Nom,Description,Photo
Hans Peter Müller,,https://m.media-amazon.com/images/S/amzn-author-media-prod/kbfam7pltiv4pd3pkrjvo2tv69._SY600_.jpg
Hans Peter Müller,,https://m.media-amazon.com/images/S/amzn-author-media-prod/kbfam7pltiv4pd3pkrjvo2tv69._SY600_.jpg
Hans Peter Müller,,https://m.media-amazon.com/images/S/amzn-author-media-prod/kbfam7pltiv4pd3pkrjvo2tv69._SY600_.jpg
Abelle Leroy,,
Martine Voclain,,https://m.media-amazon.com/images/S/amzn-author-media-prod/7u7koh5e82dliv8v7fsged1f4d._SY600_.jpg
Henri Cohen,,
Anne-Sophie Laroche,,https://m.media-amazon.com/images/S/amzn-author-media-prod/37n8g015k5cuil5nm5kc7mfbn2._SY600_.jpg
Loïc Ternisien,"Scientifique de formation, Loïc Ternisien a découvert la naturopathie au Canada. Spécialisé en aromathérapie et en herboristerie, il consulte entre Montréal et Paris. Formateur, il est aussi le fondateur d&#39un programme de rééquilibrage alimentaire Nyam.fr, et anime la série web "" Les Tutos de Loïc "" où il présente de façon ludique l&#39aromathérapie.",https://m.media-amazon.com/images/S/amzn-author-media-prod/3mc3s96g8niih45bgnhmb4v0lr._SY600_.jpg
Recettes Pros,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Bertrand Waterman,,https://m.media-amazon.com/images/S/amzn-author-media-prod/u53vmo838ip1r2dp1stp8duvfq._SY600_.jpg
Virginie Martin,"Grégoire Cozon est médecin hospitalier, maître de conférence des universités à l&#39UFR de médecine Lyon-Est (Université Claude Bernard Lyon 1) et spécialiste des déficits immunitaires primitifs de l&#39adulte ainsi que de la prise en charge de maladies de cause indéterminée. Virginie Martin suit avec ses enfants un régime d&#39éviction sans gluten, sans lait, sans sucre et sans levure depuis plusieurs années. Etant passionnée de cuisine, elle a réussi à adapter des plats courants à leur régime d&#39éviction et a alors créé le blog latabledesintolerants, dans lequel sont répertoriées plus de 400 recettes. Les recettes présentées dans cet ouvrage sont en partie inédites.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
IG Media,,https://m.media-amazon.com/images/S/amzn-author-media-prod/ihcdde44dr4qblkflu3a73j6uf._SY600_.jpg
,,
Peter J. D&#39Adamo,,
Déborah Cohen,,https://m.media-amazon.com/images/S/amzn-author-media-prod/u6mbmp7h6dtq6endpp7vqnocvb._SY600_.jpg
