Nom,Description,Photo
Steve Rioux,,
Georges Lemaire,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Hervé Le Tellier,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Prof. Shaul Harel,,https://m.media-amazon.com/images/S/amzn-author-media-prod/3mn6ijq73n0r0l42r4rj9uagvm._SY600_.jpg
Bernard Pivot,"Journaliste, écrivain et critique littéraire, Bernard Pivot, à travers ses émissions Ouvrez les Guillemets, Apostrophes ou encore Bouillon de culture, a donné le goût de la lecture à des millions de téléspectateurs. Il a présidé l’Académie Goncourt de 2014 à 2019.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Marine Jacquemin,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
David Hecq,,https://m.media-amazon.com/images/S/amzn-author-media-prod/vvnpbpkf0bbm6utjque5s752pf._SY600_.jpg
Aurélie Valognes,"Louise et Madeleine. Deux écrivaines, deux générations. L&#39une écrit pour fuguer, l&#39autre fugue pour écrire. L&#39une débute dans l&#39écriture, l&#39autre n&#39écrit plus.
À travers une correspondance intime, elles partagent leurs doutes face à la création et à leurs vies de femmes artistes, d&#39épouses et de mères. Être prête à décevoir, à déplaire, à oser dire ce que l&#39on pense et à faire ce qui doit être fait pour devenir – au-delà des injonctions, de la culpabilité, des injustices sociales et de genre – la personne que l&#39on devait être.

Une ode à la transmission, à la nature et à la liberté qui pose la question brûlante : quand on a pris certains chemins dans la vie – travail, mariage, enfants –, a-t-on encore le droit d&#39être soi ?

À travers cette amitié épistolaire, qui nous plonge dans les abîmes de la création et dans la solitude de la vie d&#39écrivain, Aurélie Valognes nous livre son roman le plus intime.",https://m.media-amazon.com/images/I/815kf3YG6fL._SY600_.jpg
EDOUARD MAITRE,,
Cizia Zykë,"Fils d&#39un légionnaire français d&#39origine albanaise et d&#39une mère grecque, Cizia Zykë passe son enfance à Taroudant dans le sud du Maroc. Sa famille s&#39installe à Bordeaux lorsque le Maron gagne son indépendance en 1956. Cizia Zykë a terminé son aventure terrestre le 26 septembre 2011 à Bordeaux.",https://m.media-amazon.com/images/I/41wGd6vHOeL._SY600_.jpg
