Nom,Description,Photo
Mark Sloan,,https://m.media-amazon.com/images/S/amzn-author-media-prod/hb5q7mtfpngdq7mgignomdb5rt._SY600_.jpg
Mark Sloan,,https://m.media-amazon.com/images/S/amzn-author-media-prod/hb5q7mtfpngdq7mgignomdb5rt._SY600_.jpg
Laurent Schwartz,"Formé à l&#39université de Harvard et longtemps chercheur à l&#39École Polytechnique, Laurent Schwartz est cancérologue de l&#39Assistance Publique des Hôpitaux de Paris (AP-HP). Il a consacré sa vie au développement de traitements novateurs et non toxiques du cancer. Il a créé un groupe de physiciens, mathématiciens, biologistes et médecins dont le seul but est de comprendre pour guérir.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Yann Tiberghien,"Médecin généraliste sur l&#39île de Saint-Barthélemy, dans les Caraïbes,
le Dr Yann Tiberghien pratique également l&#39homéopathie et l&#39acupuncture, avec l&#39ambition de créer des ponts entre la médecine occidentale moderne et les techniques de soin alternatives, afin que le monde médical puisse améliorer les méthodes de prise en charge des patients.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Dr. Angela Fetzner,,https://m.media-amazon.com/images/S/amzn-author-media-prod/m90hom0ub4mq1g9o565fe888uu._SY600_.jpg
Jean-Loup Mouysset,"Docteur Jean-Loup Mouysset est oncologue depuis plus de 25 ans, formé à la santé environnementale, créateur des premiers ateliers de nutrition en France et du concept d&#39accompagnement thérapeutique en cancérologie. Il est un fervent défenseur de l&#39oncologie intégrative, discipline qui fait appel aux approches non médicamenteuses, en complément des traitements conventionnels contre le cancer. Il est fondateur du concept innovant de « Centre Ressource » proposant des soins de mieux-être aux personnes touchées par le cancer.",
Mark Sloan,,https://m.media-amazon.com/images/S/amzn-author-media-prod/hb5q7mtfpngdq7mgignomdb5rt._SY600_.jpg
Jane McLelland,"Jane McLelland a travaillé pendant de nombreuses années comme kinésithérapeute, puis comme entrepreneure. Aujourd&#39hui, elle consacre son temps à aider les malades du cancer ; elle est suivie par des milliers de personnes sur son groupe Facebook : Jane McLelland Off Label Drugs for Cancer. Elle vit à Londres, avec son mari et ses fils.",https://m.media-amazon.com/images/S/amzn-author-media-prod/iue8si4rq89u2b9vrmq9c5g6i5._SY600_.jpg
Stephanie Matthews Simonton,"Stéphanie Matthews Simonton, psychologue et psychothérapeute-conseil et co-inventeur de la méthode, a élaboré un programme de psychothérapie intensive pour les services d&#39aide aux malades atteints d&#39un cancer.

Le docteur Carl Simonton, cancérologue-radiothérapeute, travaille sur le cancer depuis des années et intervient dans de nombreux hôpitaux et facultés de médecine aux États-Unis.

James Creighton, psychothérapeute, est l&#39un des plus proches collaborateurs de Carl Simonton et Stephanie Matthews Simonton.",
Guy Tenenbaum,"Guy Tenenbaum est un gérant d’entreprise. Après l’annonce de son cancer et le diagnostic funeste des médecins, il décide de s’intéresser à la santé naturelle et aux causes du cancer pour vaincre son cancer.

Alexandra Sebov se forme aujourd’hui pour devenir thérapeute holistique. Mais cela n’a pas toujours été le cas. Stress, fatigue, temps de transport à rallonge, malbouffe, tout un quotidien qui malmenait le corps et l’esprit. Une vie comme celle de millions de personnes qui l’a poussée par la force des choses à s’intéresser aux méthodes de santé naturelle, au jeûne, à l’alimentation vivante, à la relaxation, etc.",
Cynthia Kå,"Cynthia Kå, Auteure, experte en prévention et santé naturelle et fondatrice des comptes @by_cynthia_ka (400k)

Lorsque l&#39on observe le parcours professionnel de Cynthia Kå, on distingue deux pics qui se se font face : le premier affiche un décompte brillant d&#39études supérieures réalisées en Angleterre et les postes enviables qui en découlent,(Netflix, Galeries Lafayette...) le second accueille une communauté de 400k personnes attentives à chaque nouvelle vidéo de la créatrice de contenus.
Quel heureux évènement a pu faire dévier une trajectoire initialement sereine et sans nuages vers une existence de personnalité inspirante des réseaux sociaux ?
Le cancer du sein.

Pendant l&#39été 2016, Cynthia, 31ans, se familiarise avec les calamités qui accompagnent sa maladie : mastectomie, dépression, chimiothérapie. Son quotidien s’écroule, son milieu professionnel la déconsidère, et surtout elle pense avoir fait ses adieux à sa féminité après l’ablation de son sein. C’est pourtant au plus bas que Cynthia reconfigure sa vie, décide de demeurer femme coûte que coûte, et surtout commence à partager son expérience à la fois traumatisante et banale, puisqu’en France une femme sur huit connait la même descente aux enfers.

Elle remarque que le corps médical laisse souvent de côté les aspects les plus élémentaires du quotidien alors qu&#39ils sont pourtant largement impactés par le cancer. Armée de ses expériences professionnelles et personnelles, Cynthia entame sa révolution et communique sur les réseaux en s&#39emparant de ces questions essentielles avec honnêteté et sans aucun tabou. Même les sujets les plus intimes - « Comment expliquer à son « date » qu’on a qu’un sein ? » - sont traités sans détours, tandis que nombre de contenus axés sur la méditation, le
yoga et les conseils alimentaires incitent à désintoxiquer nos comportements et nos réflexes de consommateurs. En 6 mois, un vide médiatique insoupçonné est partiellement comblé puisque 400k personnes tous réseaux confondus s&#39agrègent autour de Cynthia Kå, aussi bien les femmes touchées par la maladie que leurs proches, sans oublier les femmes racisées que Cynthia représente simplement.

Cynthia Kå continue de renouveler ses façons d’apporter réconfort, écoute et soutien.",
Mark Sloan,,https://m.media-amazon.com/images/S/amzn-author-media-prod/hb5q7mtfpngdq7mgignomdb5rt._SY600_.jpg
Lise Bourbeau,"Travaillant initialement dans la vente, Lise Bourbeau a formé et aidé plus de 40 000 personnes à découvrir leur potentiel tout en constatant que très peu de gens déclaraient être vraiment heureux. Sa curiosité l&#39a amenée à en rechercher les causes et les solutions ! Après plusieurs formations, elle quitte en 1982 son travail pour créer un atelier aidant les gens à se connaître à travers leur alimentation, leurs malaises et maladies. En 1984, elle ouvre le centre de développement personnel ""Écoute Ton Corps"" et décide de former ses propres animateurs pour répandre son enseignement. Aujourd&#39hui, c&#39est la plus grande école de développement personnel au Québec et son enseignement est diffusé dans 22 pays. Lise Bourbeau, devenue auteur et éditrice, a vendu à ce jour plus de 4,5 millions de livres traduits dans le monde entier.",https://m.media-amazon.com/images/I/71RyiOqLpUL._SY600_.jpg
Ulrike Kammerer,"Le Pr Ulrike Kämmerer, le Dr Christina Schlatterer et le Dr Gerd Knoll sont trois docteurs en biologie. Ulrike Kämmerer est à l&#39origine de l&#39une des premières études cliniques portant sur l&#39alimentation cétogène chez les malades du cancer.",
"Victoria Leto""",,
Céline HEDIN TRONEL,,
Mark Sloan,,https://m.media-amazon.com/images/S/amzn-author-media-prod/hb5q7mtfpngdq7mgignomdb5rt._SY600_.jpg
David Servan-Schreiber,"Médecin et chercheur en neurosciences cognitives, cofondateur de la branche américaine de Médecins Sans Frontières, David Servan-Schreiber a créé et dirigé le centre de médecine intégré de l&#39université de Pittsburgh, où il enseignait en qualité de professeur clinique de psychiatrie.
David Servan-Schreiber s&#39est éteint le 24 juillet 2011, à l&#39âge de 50 ans, d&#39une récidive d&#39un cancer du cerveau auquel il avait survécu, au-delà de toutes espérances, plus de dix-neuf ans après son diagnostic.
En plus d&#39articles réguliers pour Psychologies Magazine, il a notamment fait paraître aux éditions Robert Laffont : Guérir (2003), Anticancer (2007) et On peut se dire au revoir plusieurs fois (2011). L&#39ouvrage Notre corps aime la vérité (Robert Laffont, 2012), publié à titre posthume, reprend les chroniques que David Servan-Schreiber a rédigées pour Psychologies Magazine entre 1999 et 2011.",https://m.media-amazon.com/images/I/21wmhgggqoL._SY600_.jpg
Fadila Benahmed,"Mère de Yanis, Fadila Benahmed, est agente à la Brigade des délégations et des enquêtes de proximité (BDEP).

Journaliste spécialisée dans la psychologie et le bien-être, Roselyne Madelénat a collaboré à de nombreux journaux (Fémina, l&#39Obs, Fémitude, Fémi 9...). Elle est également l&#39autrice de plusieurs ouvrages.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Andreas Moritz,,
Luc Bodin,"Luc BODIN ancien médecin, diplômé en cancérologie clinique et spécialiste en médecines naturelles est conférencier, formateur et auteur de nombreux livres à succès, dont Le Grand manuel des soins énergétiques, Le Grand livre du nettoyage énergétique des personnes et des lieux, La Médecine spirituelle, Développez vos talents subtils et Découvrir le sens caché des maladies, parus chez le même éditeur.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Mark Sloan,,https://m.media-amazon.com/images/S/amzn-author-media-prod/hb5q7mtfpngdq7mgignomdb5rt._SY600_.jpg
Mark Sloan,,https://m.media-amazon.com/images/S/amzn-author-media-prod/hb5q7mtfpngdq7mgignomdb5rt._SY600_.jpg
Mark Sloan,,https://m.media-amazon.com/images/S/amzn-author-media-prod/hb5q7mtfpngdq7mgignomdb5rt._SY600_.jpg
Michel de Lorgeril,"Michel de Lorgeril est médecin, expert international en épidémiologie et physiologie. Diplômé d&#39universités européennes, il intègre le CNRS en 1990. Son parcours scientifique et médical en fait l&#39un des meilleurs spécialistes en méthodologie des sciences, en particulier pour évaluer la recherche médicale. Il est l&#39auteur de nombreux ouvrages sur la santé destinés au grand public.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Siddhartha Mukherjee,"La lutte contre le cancer est une histoire humaine : une aventure pleine de découvertes dues au hasard, d&#39opportunités saisies au bon moment mais surtout une célébration de la ténacité des hommes. Des premiers traitements chirurgicaux, novateurs mais brutaux, jusqu&#39aux travaux des époux Curie sur les radiations et leur dénouement tragique ; des risques démesurés pris par Sidney Farber dans sa mise au point de la chimiothérapie jusqu&#39à l&#39auteur lui-même et au traitement de ses patients, ce livre captivant retrace un combat plusieurs fois centenaire. De nos jours, alors que le cancer devient une expérience universelle, le besoin de mieux connaître notre vieil ennemi et ses traitements est plus fort que jamais. Dans ce récit exceptionnel, traduit dans trente-cinq pays et notamment récompensé par le prix Pulitzer, Siddhartha Mukherjee nous dévoile le chemin parcouru pour résoudre l&#39un des grands mystères de la science et nous offre un aperçu fascinant de nos progrès futurs.",https://m.media-amazon.com/images/I/31FvquiHx8L._SY600_.jpg
Kelly A. Turner,"Cet ouvrage présente une approche globale et proactive de la guérison, en plus des traitements médicaux classiques ou quand ceux-ci n&#39ont pas réussi à vaincre le cancer. Après avoir analysé 1000 cas de rémission consignés dans des publications médicales et interviewé une centaine de thérapeutes alternatifs, Kelly A. Turner a répertorié 75 facteurs physiques, émotionnels et spirituels ayant joué un rôle dans le processus de rémission. Parmi ces facteurs, 9 étaient des facteurs-clés mis en oeuvre par tous les survivants. Véritable message d&#39espoir pour les malades, ce livre aidera aussi les médecins à approfondir les raisons qui conduisent les patients vers d&#39autres pratiques de soin et permettra aux bien-portants d&#39approcher le monde du cancer à travers les yeux des personnes qui en souffrent.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
