Nom,Description,Photo
Boutanox,,
Boutanox,,
Mr Tan,"Antoine Dole, alias Mr Tan, est scénariste de bandes dessinées.
Auteur prolifique, il a créé de nombreux univers BD pour l&#39édition (Casterman, Actes Sud, Gallimard, Glénat, Bayard...) et la presse jeunesse (Le Journal de Mickey, Bayard Presse). Antoine Dole a écrit des mangas et de nombreux romans pour ados et jeunes adultes, tous reconnus par la critique et pour lesquels il a remporté de multiples prix. Il est aussi connu comme le créateur de la célèbre Mortelle Adèle, qu&#39il a imaginée quand il avait 14 ans. Une héroïne au caractère bien trempé, qui est pour lui l&#39occasion de porter un regard sur les fantaisies de l&#39enfance, la question de la norme et des différences, entre impertinence et revendications tendres. Plus que le scénario, Mr Tan a donc pensé le personnage de Mortelle Adèle, façonné son caractère, et fut le premier à en dessiner les traits dans ses cahiers d&#39école.

Diane Le Feyer a commencé sa carrière d&#39illustratrice dans le jeu vidéo en France, puis s&#39est tournée vers la publicité et le dessin animé au Cartoon Saloon en Irlande et au Canada. Elle a également collaboré avec France 3 et la Rai Uno sur divers dessins animés, avant de se tourner vers l&#39édition jeunesse en France et à l&#39étranger. Elle a depuis eu l&#39occasion de multiplier de prestigieuses collaborations avec Hallmark, Harper and Collins, Mattel, Simon and Shuster, Scholastic, Igloo Books, Five Mile, Sophia Institute... Elle infuse sa passion de l&#39Espace et de la Fantasy dans ses illustrations, dans lesquelles elle donne libre cours à son imagination colorée, portée par la culture pop. Elle est publiée aux Etats-Unis, au Royaume-Uni, en Europe et en Australie. Elle intervient également à l&#39École Émile Cohl à Lyon, dont elle est sortie diplômée en 2002, où elle transmet aujourd&#39hui sa passion du dessin aux futures générations d&#39artistes.",
DUBU(REDICE STUDIO),,
Larcenet Manu,"Manu Larcenet est né en 1969. En 1994 il intègre ?Fluide glacial? et, en 2000, il s&#39installe chez ""Poisson Pilote"" (Dargaud) avec Trondheim et ""Les cosmonautes du futur"" (2000-2004), puis avec son frère Patrice Larcenet et ""Les Entremondes"" (2000-2001), puis tout seul avec ""Le Temps de chien"" (2002), ""Nic Oumouk"" (2005-2007) et le magnifique ""Combat ordinaire"" (2003-2008), pour lequel il obtient en 2004 le prix du meilleur album du festival d&#39Angoulême. Entre-temps, il part s&#39installer à la campagne. Ce virage existentiel notable nous vaut ""Le retour à la terre"" (2002-2019, Dargaud), scénarisé en toute complicité par son ami Jean-Yves Ferri, dont le 6e tome sort en 2019. De 2008 à 2014, il se lance dans ""Blast"" (2009-2014, Dargaud) : quatre albums denses, sombres, bourrés jusqu&#39à la gueule d&#39une humanité débordante et d?une sauvagerie fascinante. Il publie également une dizaine de titres chez Les Rêveurs, maison d&#39édition qu&#39il a cofondée en 1997 avec son ami Nicolas Lebedel. En 2012, il illustre le roman de Daniel Pennac ""Journal d&#39un corps"", (Futuropolis-Gallimard). En 2015, il s&#39attaque pour la première fois à une adaptation, celle du ""Rapport de Brodeck"" (Dargaud), un roman de Philippe Claudel. Avec ""Thérapie de groupe"" (Dargaud, 2020), Manu Larcenet se met à nu dans une exploration d&#39une richesse et d&#39une profondeur rare et d&#39une vérité souvent déchirante. Et d&#39une drôlerie surprenante. En 2023, à l&#39occasion du Festival du livre de Paris, Manu Larcenet reçoit pour ce titre le Premier Prix Gotlib de la BD humoristique. Après ""Le Rapport de Brodeck"", Manu Larcenet adapte de nouveau une oeuvre majeure de la littérature : ""La Route"" de Cormac McCarthy, couronné par le prix Pulitzer en 2007.",https://m.media-amazon.com/images/I/61gzO-ts-eL._SY600_.jpg
Blain Christophe,"Christophe Blain est né en 1970. Trois semaines en fac de droit, deux années en école de graphisme et une courte immersion dans l&#39art contemporain aux Beaux-Arts de Cherbourg n&#39auront heureusement pas raison de sa vocation : le dessin, en général, et la bande dessinée en particulier. La fréquentation de l&#39atelier des Vosges, où il côtoie la nouvelle génération d&#39auteurs des années 1990 (Sfar, Bravo, Trondheim, David B., Satrapi, etc.), le décide enfin à se consacrer au neuvième art, dans lequel il fait une entrée remarquée en 1997 avec ""La Révolte d&#39Hop-Frog"" (Dargaud, scénario de David B.) avant d&#39obtenir la reconnaissance publique et critique avec les séries ""Isaac le Pirate"", ""Socrate le demi-chien"" et ""Gus"" (Dargaud). En 2008, Christophe Blain s&#39essaie à la réalisation avec le clip vidéo du single ""Comme un Manouche sans guitare"", de l&#39album éponyme de Thomas Dutronc (Mercury Records). En 2010 sort le premier volet du diptyque ""Quai d&#39Orsay, chroniques diplomatiques"" (Dargaud) avec Abel Lanzac, coscénariste, qui lui confie ses expériences au ministère français des Affaires étrangères lors de l&#39ère Villepin ; il les retranscrit avec humour et clairvoyance dans cette oeuvre originale. ""Quai d&#39Orsay"" devient un véritable best-seller (plus de 500 000 exemplaires vendus !) et est adapté au cinéma en 2013 par Bertrand Tavernier. Christophe Blain est aussi l&#39auteur de ""La Fille"", un album réalisé en collaboration avec la chanteuse Barbara Carlotti, de ""En cuisine avec Alain Passard"" (Gallimard, 2011) et de King Kong (réédition chez Hachette en 2019). Il a reçu à deux reprises le prix du meilleur album du festival d&#39Angoulême, pour le premier tome d&#39""Isaac le pirate"" (en 2002) et pour le tome 2 de ""Quai d&#39Orsay"" (en 2013), ce qui fait de lui l&#39un des rares auteurs à avoir obtenu deux fois cette distinction. En 2019 paraît le premier volet des d&#39une aventure du ""lieutenant Blueberry"" (Dargaud) avec Joann Sfar. Cet « hommage » très attendu du chef-d&#39oeuvre créé par Jean-Michel Charlier et Jean Giraud permet à l&#39auteur d&#39explorer un genre qu&#39il affectionne particulièrement, le western.  Christophe Blain collabore avec Jean-Marc Jancovici, considéré comme le spécialiste incontournable en matière d&#39énergie et de climat, et publie ""Le Monde sans fin"" (Dargaud), un ouvrage qui aborde avec intelligence, humour et brio les questions fondamentales liées aux enjeux énergétiques et climatiques de demain.

Jean-Marc Jancovici est associé co-fondateur de Carbone 4, une société de conseil et de données spécialisée dans les questions liées au changement climatique, et président du think tank The Shift Project. Il est également enseignant à Mines ParisTech, membre du Haut conseil pour le climat, et conférencier. Il est l&#39auteur ou le co-auteur de plusieurs livres dont ""L&#39Avenir climatique, quel temps ferons-nous ?"" (Points), ""Dormez tranquille jusqu&#39en 2100"" (Odile Jacob) ou ""C&#39est maintenant ! 3 ans pour sauver le monde"" (Seuil). Il est diplômé de l&#39École Polytechnique et de l&#39école Nationale supérieure des télécommunications. Jean-Marc Jancovici est considéré comme le spécialiste incontournable en matière d&#39énergie et de climat. ""Le Monde sans fin"" (Dargaud) est sa première bande dessinée réalisée avec un grand nom du 9e art, Christophe Blain.",https://m.media-amazon.com/images/I/61rBNLFYLgL._SY600_.jpg
Boutanox,,
Vincent Lemire,"Vincent Lemire est historien. Il vit à Jérusalem où il dirige le Centre de recherche français (CNRS-MAE). Il est l&#39auteur de plusieurs ouvrages de référence sur la Ville sainte, traduits dans plusieurs pays et pour lesquels il a reçu de nombreux prix.
Christophe Gaultier dessine depuis vingt ans. Il est l&#39auteur notamment de La Désolation, avec Appollo, aux éditions Dargaud, du Porteur d&#39histoire (adaptation de la pièce d&#39Alexis Michalik) et de La Tragédie brune, avec Thomas Cadène, aux Arènes BD.",https://m.media-amazon.com/images/S/amzn-author-media-prod/4rpunqlek8r4um20ph2lu0nld0._SY600_.jpg
ChrisPop,"ChrisPop a rejoint l&#39aventure Mortelle Adèle en 2019. D&#39abord maquettiste puis coloriste sur différents ouvrages, celui qui incarne également la voix du facétieux Tyroll sur l&#39album musical 365 jours pour être sage ne manque pas de cordes à son arc. Ses premières histoires, il les écrit dans le village isérois où il a grandi pour faire rire ses animaux de compagnie. Pas étonnant qu&#39il prête aujourd&#39hui sa plume à Ajax et à ses camarades pour leur faire vivre de nouvelles aventures. La Petite Grande Chaventure d&#39Ajax est son premier livre.


Antoine Dole, alias Mr Tan, est scénariste de bandes dessinées.
Auteur prolifique, il a créé de nombreux univers BD pour l&#39édition (Casterman, Actes Sud, Gallimard, Glénat, Bayard...) et la presse jeunesse (Le Journal de Mickey, Bayard Presse). Antoine Dole a écrit des mangas et de nombreux romans pour ados et jeunes adultes, tous reconnus par la critique et pour lesquels il a remporté de multiples prix. Il est aussi connu comme le créateur de la célèbre Mortelle Adèle, qu&#39il a imaginée quand il avait 14 ans. Une héroïne au caractère bien trempé, qui est pour lui l&#39occasion de porter un regard sur les fantaisies de l&#39enfance, la question de la norme et des différences, entre impertinence et revendications tendres. Plus que le scénario, Mr Tan a donc pensé le personnage de Mortelle Adèle, façonné son caractère, et fut le premier à en dessiner les traits dans ses cahiers d&#39école.

Diane le Feyer a commencé sa carrière d&#39illustratrice dans le jeu vidéo en France, puis s&#39est tournée vers la publicité et le dessin animé au Cartoon Saloon en Irlande et au Canada. Elle a également collaboré avec France 3 et la Rai Uno sur divers dessins animés, avant de se tourner vers l&#39édition jeunesse en France et à l&#39étranger. Elle a depuis eu l&#39occasion de multiplier de prestigieuses collaborations avec Hallmark, Harper and Collins, Mattel, Simon and Shuster, Scholastic, Igloo Books, Five Mile, Sophia Institute... Elle infuse sa passion de l&#39Espace et de la Fantasy dans ses illustrations, dans lesquelles elle donne libre cours à son imagination colorée, portée par la culture pop. Elle est publiée aux Etats-Unis, au Royaume-Uni, en Europe et en Australie. Elle intervient également à l&#39Ecole Emile Cohl à Lyon, dont elle est sortie diplômée en 2002, où elle transmet aujourd&#39hui sa passion du dessin aux futures générations d&#39artistes.",
Mr Tan,"Antoine Dole, alias Mr Tan, est scénariste de bandes dessinées.
Auteur prolifique, il a créé de nombreux univers BD pour l&#39édition (Casterman, Actes Sud, Gallimard, Glénat, Bayard...) et la presse jeunesse (Le Journal de Mickey, Bayard Presse). Antoine Dole a écrit des mangas et de nombreux romans pour ados et jeunes adultes, tous reconnus par la critique et pour lesquels il a remporté de multiples prix. Il est aussi connu comme le créateur de la célèbre Mortelle Adèle, qu&#39il a imaginée quand il avait 14 ans. Une héroïne au caractère bien trempé, qui est pour lui l&#39occasion de porter un regard sur les fantaisies de l&#39enfance, la question de la norme et des différences, entre impertinence et revendications tendres. Plus que le scénario, Mr Tan a donc pensé le personnage de Mortelle Adèle, façonné son caractère, et fut le premier à en dessiner les traits dans ses cahiers d&#39école.

Diane le Feyer a commencé sa carrière d&#39illustratrice dans le jeu vidéo en France, puis s&#39est tournée vers la publicité et le dessin animé au Cartoon Saloon en Irlande et au Canada. Elle a également collaboré avec France 3 et la Rai Uno sur divers dessins animés, avant de se tourner vers l&#39édition jeunesse en France et à l&#39étranger. Elle a depuis eu l&#39occasion de multiplier de prestigieuses collaborations avec Hallmark, Harper and Collins, Mattel, Simon and Shuster, Scholastic, Igloo Books, Five Mile, Sophia Institute... Elle infuse sa passion de l&#39Espace et de la Fantasy dans ses illustrations, dans lesquelles elle donne libre cours à son imagination colorée, portée par la culture pop. Elle est publiée aux Etats-Unis, au Royaume-Uni, en Europe et en Australie. Elle intervient également à l&#39Ecole Emile Cohl à Lyon, dont elle est sortie diplômée en 2002, où elle transmet aujourd&#39hui sa passion du dessin aux futures générations d&#39artistes.",
