Nom,Description,Photo
Emily English,"Emily is a fully qualified, registered nutritionist with a degree from Kings College London. Her passion began from an early age through her family of cooks and chefs. Spending her childhood summers in the kitchen, with her school terms in the chemistry lab, Emily&#39s curiosity grew for both what was on her plate and what was going on inside our bodies.

She continued her academic journey at the prestigious university Kings College London, ranked number 1 in the UK for nutritional sciences, where she flourished and discovered the true depth of the subject. Using her knowledge for both cooking food, nutrition and human physiology she is able to achieve incredible results in her private London clinic.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Livres Sanitaires Editions,,
sleeve cilou,,https://m.media-amazon.com/images/S/amzn-author-media-prod/jar7ebcg82pc2mscivi0nf2u85._SY600_.jpg
Kate M Deering,,https://m.media-amazon.com/images/S/amzn-author-media-prod/c7gtlp59kednh9dmha28m1dg5q._SY600_.jpg
Régis Moreau,,https://m.media-amazon.com/images/S/amzn-author-media-prod/fv73p4hsqgkolt7vh4norpua10._SY600_.jpg
Menno Henselmans,,https://m.media-amazon.com/images/S/amzn-author-media-prod/cm7utlg3p7rruqjpesaoi4ch9u._SY600_.jpg
Mathieu Legrand Productions,,https://m.media-amazon.com/images/S/amzn-author-media-prod/31dpq58ms7r5080ickgq4tjrin._SY600_.jpg
Nathalie MEER,"Nathalie Meer est coach minceur neuro-comportementaliste en nutrition, diplômée en psychologie et pédagogie du comportement alimentaire, coach professionnelle formée auprès d&#39un maître enseignant en PNL (The Society of NLP et INLPTA) et enseignant certifié en neurosémantique. Elle a étudié la physiologie nutritionnelle, les neurosciences et la biologie cellulaire, notamment à travers la science de l&#39épigénétique. Elle est formatrice et a créé un réseau de partenaires présents en France et à l&#39étranger.",
Papeterie Bleu,,
Marina BASSANO,,
Stella Morel,,
Penny Craig,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Camille Leclercq,,https://m.media-amazon.com/images/S/amzn-author-media-prod/o8d2gs90ds2vk5u6vv94p7k9m5._SY600_.jpg
IG Media,,https://m.media-amazon.com/images/S/amzn-author-media-prod/ihcdde44dr4qblkflu3a73j6uf._SY600_.jpg
Blanche Vidal Soler,,https://m.media-amazon.com/images/I/71tnTZNkXhL._SY600_.jpg
DZ CREATIVES,,https://m.media-amazon.com/images/S/amzn-author-media-prod/1jpo1b2nuhporc6mmkdko2nkgn._SY600_.jpg
Shirley Rios,,https://m.media-amazon.com/images/S/amzn-author-media-prod/qug0hsd0d2kfb1iuoml14tjd0d._SY600_.jpg
Isabelle Benne,,https://m.media-amazon.com/images/S/amzn-author-media-prod/t3e2d3p84vd16fcmi25etiu50p._SY600_.jpg
Peter Coucquyt,"Foodpairing is a method for identifying which foods go well together, based on groundbreaking scientific research that combines neurogastronomy (how the brain perceives flavour) with the analysis of aroma profiles derived from the chemical components of food.

This exciting new book explains why the food combinations we know and love work so well together (strawberries + chocolate, for example) and opens up a whole new world of delicious pairings (strawberries + parmesan, say) that will transform the way",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Billie Lucas,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Dr Clare Bailey,"Dr Michael Mosley trained as a doctor before becoming a journalist and television presenter. He is the author of The Fast Diet, The 8-Week Blood Sugar Diet, The Clever Guts Diet, The Fast 800 and The Fast 800 Keto. He is married with four children.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Une diète de chef,,
Allan Trevor,,https://m.media-amazon.com/images/S/amzn-author-media-prod/3812reci4sgm98aga489dnojib._SY600_.jpg
