Nom,Description,Photo
Emmanuel Todd,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Anne Frank,A tenu un journal du 14 juin 1942 au 1er août 1944. Auteur de contes.,
Amin Maalouf,"Amin Maalouf a publié une dizaine de romans, comme Le rocher de Tanios (Prix Goncourt 1993) ou Les désorientés ; des livrets d’opéra, comme L’amour de loin ; et plusieurs essais. Le labyrinthe des égarés se situe clairement dans le prolongement de ses plus grands ouvrages de réflexion historique, tel Le dérèglement du monde (Grasset, 2009) ou Le naufrage des civilisations (Grasset, 2019). Ses livres sont traduits en une cinquantaine de langues. Il a été élu à l’Académie française en juin 2011, au fauteuil de Claude Lévi-Strauss.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Delphine Horvilleur,"Femme rabbin appartenant à l’organisation juive libérale Judaïsme en mouvement, directrice de rédaction de la revue Tenou’a, Delphine Horvilleur est auteur chez Grasset de En tenue d’Eve : féminin, pudeur et judaïsme (2013), Comment les rabbins font des enfants : sexe, transmission et identité dans le judaïsme (2015), Réflexions sur la question antisémite (2019), Vivre avec nos morts (2021), Il n’y a pas de Ajar : monologue contre l’identité (2022)",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Albert Camus,"La notion d&#39absurde et le rapport entre l&#39absurde et le suicide forment le sujet de cet essai. Une fois reconnu le divorce entre son désir raisonnable de compréhension et de bonheur et le silence du monde, l&#39homme peut-il juger que la vie vaut la peine d&#39être vécue ? Telle est la question fondamentale de la philosophie. Mais si l&#39absurde m&#39apparaît évident, je dois le maintenir par un effort lucide et accepter en le vivant de vivre. Ma révolte, ma liberté, ma passion seront ses conséquences. Assuré de mourir tout entier, mais refusant la mort, délivré de l&#39espoir surnaturel qui le liait, l&#39homme va pouvoir connaître la passion de vivre dans un monde rendu à son indifférence et à sa beauté périssable. Les images de Don Juan, du comédien, de l&#39aventurier illustrent la liberté et la sagesse lucide de l&#39homme absurde. Mais la création - une fois admis qu&#39elle peut ne pas être - est pour lui la meilleure chance de maintenir sa conscience éveillée aux images éclatantes et sans raison du monde. Le travail de Sisyphe qui méprise les dieux, aime la vie et hait la mort, figure la condition humaine. Mais la lutte vers les sommets porte sa récompense en elle-même. Il faut imaginer Sisyphe heureux.",https://m.media-amazon.com/images/I/71jqyXVmw0L._SY600_.jpg
Lionel Froissart,"Lionel Froissart nous fait vivre ces dernières heures avec pour fil conducteur ce circuit si particulier, ce moment que personne n&#39a oublié.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Anna Roy,"Sage-femme passionnée et engagée auprès des parents, Anna Roy est chroniqueuse à La Maison des Maternelles (France 2) et également l&#39autrice de nombreux ouvrages dont La Vie rêvée du post-partum.

Caroline Michel est journaliste en psycho, socio et sexologie. Elle s’intéresse de près à la santé des femmes. Elle est notamment la coauteure de Chouchoutez votre vagin aux éditions Larousse.",https://m.media-amazon.com/images/S/amzn-author-media-prod/cf5q915h2bqvshiuoa9j7e5sva._SY600_.jpg
Lee YARON,"« [Lee Yaron] signe le premier livre qui reconstitue “la journée la plus meurtrière de
l’histoire d’Israël”. À la charnière du journalisme d’investigation et de “l’histoire orale”, le texte s’efforce de dire ce qui a eu lieu. Sa force, c’est de replacer le calvaire des victimes dans le temps long de leur trajectoire individuelle et familiale. » Jean Birnbaum, Le Monde

« Mémorial de papier et livre de deuil, entrepris pour “servir de rempart contre la distorsion et l’oubli”, 7 octobre est le fruit de centaines d’entretiens menés par la journaliste du quotidien Haaretz […]. Les récits mêlés des témoins et survivants constituent le matériau saisissant, minutieux, d’une nudité et d’une précision souvent irrespirables dont use Lee Yaron pour reconstituer la journée du 7 octobre 2023. » Nathalie Crom, Télérama (TTTT)

« La journaliste israélienne Lee Yaron consacre un ouvrage poignant aux victimes de l’attaque du Hamas, plongeant dans la vie de chacune d’entre elles, pour que personne n’oublie ces hommes et ces femmes. Dans un méticuleux travail de recueil de témoignages des rescapés et des familles endeuillées, la reporter raconte avec beaucoup de délicatesse la vie de chacun, juifs et arabes, religieux et laïcs, vieux et jeunes, Israéliens ou étrangers… pour qu’aucun ne soit jamais oublié, qu’ils ne soient plus “des nombres sur une liste”. » Céline Lussato, Le Nouvel Obs

« C’est brut, c&#39est fouillé, c’est précis, c’est indispensable. Au-delà des faits, elle raconte, à travers les victimes, leurs familles, leurs origines, leur humanité, l’histoire d’Israël dans toute sa complexité et ses ambiguïtés […]. » Didier Hassoux, Le Canard enchaîné

« Elle a voulu fixer la mémoire. À 30 ans, la journaliste israélienne Lee Yaron publie un livre puissant, 7 octobre qui revient sur le massacre du Hamas. Cette journée la plus meurtrière de l’histoire d’Israël, Lee Yaron l’a disséquée. S’appuyant sur des centaines d’entretiens, de vidéos, de transcriptions, elle retrace le parcours de ces hommes, ces femmes, ces enfants assassinés. Une manière aussi de revenir sur les enjeux politiques et historiques du pays longtemps considéré comme un refuge. » Rachel Binhas, Marianne

« Journaliste au quotidien israélien Haaretz, Lee Yaron a recueilli des dizaines de témoignages de rescapés des attaques meurtrières du Hamas et des proches des victimes. Au-delà de l’enquête minutieuse et bouleversante, son récit donne à voir le destin d’un pays et d’un peuple, bien avant le cataclysme du 7 octobre. » Julie Connan, La Croix

« 7 octobre, le livre de la journaliste israélienne Lee Yaron, est à la fois une enquête journalistique et un livre de deuil, de mémoire. Enquête journalistique parce qu’il est le premier à transmettre quelque chose de l’ampleur atroce de ce qui s’est passé ce jour-là dans le sud d’Israël à partir de centaines de témoignages minutieusement recueillis ; livre de deuil et de mémoire aussi, parce que l’enquête se fait à hauteur humaine, en retraçant autant que possible chaque fois le parcours des victimes dans leurs trajectoires individuelles et familiales ; livre de mémoire enfin parce que l’on se rend compte à quel point ces parcours sont hantés par la violence et la haine parfois sur des générations. En creux se dessine ainsi une histoire d’Israël désidéalisée, et aussi tragique et douloureuse qu’éloignée des idéologies. Récit d’une journée, 7 octobre est à lire par tous ceux qui non seulement veulent savoir ce qui s’est produit ce jour-là, mais aussi par tous ceux qui veulent comprendre l’Histoire de ce bout de terre au-delà des slogans. » Marc Weitzmann, France Culture

« [Lee Yaron] s’est immergée pendant des mois pour essayer de donner de la chair et un visage à tous ceux qui étaient inclus dans un nombre : 1 200 morts […]. Elle écrit les noms, elle raconte leur histoire, elle raconte d’où ils viennent, elle raconte leurs combats, elle raconte qui ils sont, elle leur donne de la vie. » Anne Sinclair, C à vous",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
,,
Bernard Cerquiglini,,
Simone Veil,"Simone Veil est née en 1927 à Nice. Agée de 17 ans, elle est déportée à Auschwitz. Des études à l&#39Institut d&#39Etudes Politiques et à la Faculté de droit la conduisent à entamer une carrière de magistrate. En 1974, elle entre au gouvernement comme Ministre de la Santé et fait voter la loi de légalisation de l&#39avortement. Elle devient en 1979 la première femme présidente du Parlement Européen. Elle poursuit depuis une carrière politique hors du commun. Elle a été membre du Conseil constitutionnel de 1998 à 2007. Elle a été reçue à l&#39Académie française en avril 2010. Décédée en 2017, Simone Veil est entrée au Panthéon en 2018.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
François Lecointre,"Ancien chez d&#39état-major des armées, le général d&#39armée François Lecointre est grand chancelier de la Légion d&#39honneur.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
