Nom,Description,Photo
Nicolas Caron,,https://m.media-amazon.com/images/S/amzn-author-media-prod/cgp6e3v5k1500bdtgivnugg9mk._SY600_.jpg
The Shift Project,"De l’énergie au logement, des mobilités à l’agriculture, de l’industrie à la finance, en passant par la culture, l’éducation ou la santé, le Shift Project, groupe de réflexion sur la transition énergétique, présente pour chaque secteur les leviers de transformation, l’objectif final ainsi que les implications en matière d’emploi, de mode de vie et d’organisation de la société.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Dennis Meadows,"En 1972, quatre jeunes scientifiques du MIT rédigent à la demande du Club de Rome un rapport qu&#39ils intitulent The Limits to Growth. Celui-ci va choquer le monde et devenir un best-seller international. Pour la première fois, leur recherche établit les conséquences dramatiques d&#39une croissance exponentielle dans un monde fini.
En 2004, quand les auteurs reprennent leur analyse et l&#39enrichissent de données accumulées durant trois décennies d&#39expansion sans limites, l&#39impact destructeur des activités humaines sur les processus naturels les conforte définitivement dans leur raisonnement.
En 2012, à l&#39occasion de la traduction française de cette dernière version, Dennis Meadows déclare : « Il y aura plus de changements – sociaux, économiques et politiques – dans les vingt ans à venir que durant le siècle passé. »
En 2022, que nous reste-t-il à envisager ?",
W. Chan Kim,"W. Chan Kim and Renée Mauborgne are Professors of Strategy at INSEAD and Codirectors of the INSEAD Blue Ocean Strategy Institute. They are the authors of the New York Times and #1 Wall Street Journal bestseller, BLUE OCEAN SHIFT and the international bestseller BLUE OCEAN STRATEGY, which is recognized as one of the most iconic and impactful strategy books ever written. Blue Ocean Strategy has sold over 4 million copies, is being published in a record-breaking 49 languages, and is a bestseller across five continents. In 2019, Chan Kim and Renée Mauborgne were named the world&#39s most influential business thinkers by Thinkers50. They are the recipients of numerous academic and management awards around the world including the Nobels Colloquia Prize for Leadership on Business and Economic Thinking, the Carl S. Sloane Award by the Association of Management Consulting Firms, the Leadership Hall of Fame by Fast Company, and the Eldridge Haynes Prize by the Academy of International Business, among others. They are Fellows of the World Economic Forum and the founders of the Blue Ocean Global Network. For more on these authors and their new book, BLUE OCEAN SHIFT, see blueoceanstrategy.com.",
Yoann Truwant,,https://m.media-amazon.com/images/S/amzn-author-media-prod/d9vuv6iaf9pjf9j5ed3t51mkhm._SY600_.jpg
Nicolas Caron,,https://m.media-amazon.com/images/S/amzn-author-media-prod/cgp6e3v5k1500bdtgivnugg9mk._SY600_.jpg
Jenni Romaniuk,"Professor Jenni Romaniuk is Associate Director (International) of the Ehrenberg-Bass Institute, University of South Australia. Jenni is author is Building Distinctive Brand Assets and developers of the Distinctive Assets Grid. She is a pioneer in mental availability measurements and metrics, as well as identification and use of category entry points. Jenni is a past executive editor of the Journal of Advertising Research, and now sits on the Journals Senior Advisory Board.

Professor Byron Sharp is Director of the Ehrenberg-Bass Institute, University of South Australia. Byrons international bestseller How Brands Grow has sold over 120,000 copies and has been translated into more than a dozen languages. He has published over 100 academic papers and is on the editorial board of five journals. With Professor Jerry Wind, he hosted two conferences at the Wharton Business School on the laws of advertising, and co-edited two special issues of the Journal of Advertising Research.",https://m.media-amazon.com/images/S/amzn-author-media-prod/jnpiecldqg7e2j9hthp6beq8ej._SY600_.jpg
Nicolas Popovitch,,https://m.media-amazon.com/images/S/amzn-author-media-prod/vr101dju6t24h74jq2uvtts1fs._SY600_.jpg
Marty Cagan,"This book has been written by the five SVPG product partners. Our belief is that to lead an effective transformation to the product model, it is critical to have personally been there and done that, and to truly know what good looks like. That is why each of our partners has built products for decades, first as a product creator, and then as a product leader, at several of the most successful tech-powered product companies in the world. You can learn more about the individual partners at www.svpg.com/team.",https://m.media-amazon.com/images/S/amzn-author-media-prod/de0423hlb15pogt5r4grfpc16s._SY600_.jpg
Victor Cabrera,"Victor Cabrera est consultant / formateur en efficacité commerciale, et dirigeant d&#39entreprises. Son Blog www.technique-de-vente.com est le 1er Blog dédié aux techniques de vente avec 5,4 millions de visites en provenance de 159 pays.
Il a formé plusieurs milliers de commerciaux, dirigeants, entrepreneurs et porteurs de projets au travers de ses différentes interventions en entreprises.
Il permet aujourd&#39hui à n&#39importe qui d&#39accéder aux meilleures pratiques commerciales (partout dans le monde) depuis une simple connexion Internet via son programme 360° Efficacité Vente : http://www.formation-commerciale-efficacite-vente.com/",https://m.media-amazon.com/images/S/amzn-author-media-prod/8gtjf1mndgeurjk5r2vuehbsmc._SY600_.jpg
Zakai Jeremias,,
Jim Collins,"...the biggest selling and most influential management book of the new millennium. ― Financial Times

...seminal... ― The Times

...a must-read... ― Management Today

Peppered with dozens of stories and examples from the great and not-so-great, Collins lays a well-reasoned roadmap to excellence that any organisation would do well to consider. Like Built to Last, Good to Great is one of those books that managers and CEOs will be reading and rereading for years to come. ― Amazon.co.uk Review

in this category (management books) there is nothing to touch Jim Collins... It is essential reading. ― Sunday Times Business Books of the Year",https://m.media-amazon.com/images/S/amzn-author-media-prod/4v871sn4ilkadsjd489hatcd36._SY600_.jpg
Michel Musolino,"Michel Musolino, professeur d&#39économie, enseigne en classes préparatoires à HEC et dans des écoles de commerce. Il est notamment l&#39auteur de L&#39Imposture économique et La Défaite du travail.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
