Nom,Description,Photo
Thomas C. Durand,"Thomas C. Durand, docteur en biologie, co-fondateur de l&#39Association pour la science et la transmission de l&#39esprit critique (ASTEC), se consacre à la vulgarisation par la zététique, notamment sur la chaîne YouTube La Tronche en Biais (qui compte 285 000 abonnés). En 2016, il a reçu le Prix Diderot qui récompense les projets et les acteurs engagés dans la diffusion du savoir.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Thomas C. Durand,"Thomas C. Durand, docteur en biologie, co-fondateur de l&#39Association pour la science et la transmission de l&#39esprit critique (ASTEC), se consacre à la vulgarisation par la zététique, notamment sur la chaîne YouTube La Tronche en Biais (qui compte 285 000 abonnés). En 2016, il a reçu le Prix Diderot qui récompense les projets et les acteurs engagés dans la diffusion du savoir.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Philippe Boxho,"Philippe BOXHO est médecin légiste, professeur de médecine légale et directeur de l&#39Institut de médecine légale de l&#39Université de Liège. Il est également chroniqueur auprès de Patrick Weber dans l&#39émission C&#39est pas fini tous les soirs sur Vivacité.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Philippe Boxho,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Jean-Dominique Michel,"Anthropologue, expert en santé publique, Jean-Dominique Michel est un spécialiste des déterminants de la santé, de la salutogenèse et de l’adéquation entre les dispositifs sanitaires et les besoins de la population. Ses interventions au cours de la crise Covid ont rejoint des millions de personnes et reçu un très large soutien au sein de la communauté scientifique.",
Philippe Boxho,,
Sébastien Chesbeuf,"Sébastien Chesbeuf était un des responsables du Comité d’organisation des Jeux olympiques et paralympiques de 2024 avant d’être licencié. Gagnant aux Prud’hommes, il demande le statut de lanceur d’alerte.

Thierry Vildary est journaliste d’investigation au service des Sports de France Télévisions.

Jean-François Laville a piloté le service des Sports de France Télévisions pendant quinze ans.",
Stéphane Allix,"Journaliste, ancien reporter de guerre, fondateur de l’INREES (Institut de Recherches sur les Expériences Extraordinaires) et du magazine Inexploré, concepteur et présentateur des Enquêtes extraordinaires sur M6, Stéphane Allix a publié plusieurs livres devenus des best-sellers, tels que Le Test, Après…, Nos Âmes oubliées.",https://m.media-amazon.com/images/I/81RwpD0JCCL._SY600_.jpg
Etienne Delarcher,Étienne Delarcher est journaliste indépendant.,
Luc Ferry,"Philosophe, ancien ministre, Luc Ferry est l&#39auteur de nombreux ouvrages traduits dans une quarantaine de langues dont Apprendre à vivre (2006), La Révolution de l&#39amour (2010), L&#39Innovation destructrice (2014) et La Révolution transhumaniste (2016).",https://m.media-amazon.com/images/I/31ywifQQ+uL._SY600_.jpg
Marine Jacquemin,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Jean-Loup Bonnamy,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Jean-Dominique Michel,"Anthropologue, expert en santé publique, Jean-Dominique Michel est un spécialiste des déterminants de la santé, de la salutogenèse et de l’adéquation entre les dispositifs sanitaires et les besoins de la population. Ses interventions au cours de la crise Covid ont rejoint des millions de personnes et reçu un très large soutien au sein de la communauté scientifique.",https://m.media-amazon.com/images/I/B1qaQmkvNGS._SY600_.jpg
Lorelou Desjardins,,https://m.media-amazon.com/images/S/amzn-author-media-prod/jafun731v5mbi0292adghfv4cr._SY600_.jpg
Erin Meyer,"Revue de presse
""Erin Meyer provides us with a brilliant guide to what all business leaders need to know right now: How to succeed in managing across the diverse cultural contexts of today&#39s workplace!""―Marshall Goldsmith, author of the New York Times and global bestseller What Got You Here Won&#39t Get You There

""Whether you are sitting at a desk in Boston or eating at a restaurant in Beijing, communicating across cultures is the great challenge of the global economy. Getting it right will be the difference between success and failure. Erin Meyer has written a very important book. Managers everywhere should read it."" ―Des Dearlove and Stuart Crainer, founders of the Thinkers50

""Whether you&#39re a corporate or traditional diplomat, global traveler, government official, or passionate world citizen, this is the one book you should not miss. Chock-full of real-world examples and a simple framework that can be utilized in any cross-cultural context, Meyer&#39s work is characterized by a fresh and relevant voice, distilling down the essentials of communicating, persuading and working effectively around the globe. It is rare that I pick up a cross-cultural book and can&#39t put it down.""―Cari Guittard, Huffington Post

""With business becoming ever global, there are a raft of books available on dealing with cultural differences. If you only read one, make it INSEAD professor Erin Meyer&#39s...Skillfully blend[s] real-life examples...with an analytical framework... What brings this book to life are the numerous examples Meyer has encountered, both in her own life as an American living in Paris, and in her experience as running the Managing Virtual Teams module at INSEAD.""―HR Magazine, 5 star review

""The book abounds with well-chosen anecdotes to illustrate the misunderstandings that can arise from clashing cultural assumptions, making this enlightening book a pleasure to read.""―Foreign Affairs

""Amusing.""―Financial Times

""This readable book explains how to dramatically increase organisational success by improving our ability to understand the behaviour of colleagues, clients, and suppliers from different countries.""―Professional Manager (UK)

""A helpful guide to working effectively with people from other cultures...Meyer delivers important reading for those engaged in international business.""―Kirkus Reviews

""In a relaxed, entertaining, but always knowledgeable style, Meyer draws on numerous examples from her experiences to explain how to detect the invisible barriers in the global business world--and how to get past them.""―Siemens Industry Journal
Quatrième de couverture
Whether you work in a home office or abroad, business success in our ever more globalized and virtual world requires the skills to navigate through cultural differences and decode cultures foreign to your own. Renowned expert Erin Meyer is your guide through this subtle, sometimes treacherous terrain where people from starkly different backgrounds are expected to work harmoniously together.

When you have Americans who precede anything negative with three nice comments; French, Dutch, Israelis, and Germans who get straight to the point (""your presentation was simply awful""); Latin Americans and Asians who are steeped in hierarchy; Scandinavians who think the best boss is just one of the crowd--the result can be, well, sometimes interesting, even funny, but often disastrous.

Even with English as a global language, it&#39s easy to fall into cultural traps that endanger careers and sink deals when, say, a Brazilian manager tries to fathom how his Chinese suppliers really get things done, or an American team leader tries to get a handle on the intra-team dynamics between his Russian and Indian team members.

In The Culture Map, Erin Meyer provides a field-tested model for decoding how cultural differences impact international business. She combines a smart analytical framework with practical, actionable advice for succeeding in a global world.


En lire plus",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Robert Greene,"Robert Greene, author of bestselling books including Mastery, The 48 Laws of Power and The Art of Seduction (both from Profile), has a degree in Classical Studies and has been an editor at Esquire and other magazines. He is also a playwright and lives in Los Angeles.",
Didier Van Cauwelaert,"Prix Goncourt, Grand prix du Théâtre de l&#39Académie française, prix Science-Frontières de la vulgarisation scientifique, Didier van Cauwelaert a participé à de nombreuses expériences avec des chercheurs renommés sur les états modifiés de conscience et les pouvoirs de la pensée.",https://m.media-amazon.com/images/I/41xQvO5rThL._SY600_.jpg
