Nom,Description,Photo
Viola Di Russo,,https://m.media-amazon.com/images/S/amzn-author-media-prod/c63ejrtr6tat5ac5rg97r2oira._SY600_.jpg
Viola Di Russo,,https://m.media-amazon.com/images/S/amzn-author-media-prod/c63ejrtr6tat5ac5rg97r2oira._SY600_.jpg
Célestine Leroi,,
ANNE-CLAIRE FROGER,,https://m.media-amazon.com/images/S/amzn-author-media-prod/v2oiktlfecbjo6vvu8pqrf0aud._SY600_.jpg
Robert Mercier,,https://m.media-amazon.com/images/S/amzn-author-media-prod/oda0i7087u40e9co9guij2r4fu._SY600_.jpg
Yasmin Blossom,,https://m.media-amazon.com/images/S/amzn-author-media-prod/r1l6pue4jialh5bo6mr12fcrap._SY600_.jpg
Lucio Canistrelli,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Mathilde CRESPEL Norainnoflower,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Claire Vermont,,
Hilal Creations Press,,https://m.media-amazon.com/images/S/amzn-author-media-prod/ic640i9f2arscjoohbngfs2b5h._SY600_.jpg
Papier Bohème,,
Coloribou,,
Freddy G,,
Edition LuxMots,,https://m.media-amazon.com/images/S/amzn-author-media-prod/sabh5mls5t22b5594hdhs15kfl._SY600_.jpg
Julie Smith,"Full of sound, helpful advice with life skills, from building confidence to managing stress ― Sunday Times

The book&#39s great. It&#39s real, it&#39s authentic . . . Very practical and very, very helpful -- Lorraine Kelly

I&#39m blown away by her ability to communicate difficult ideas with ease, simplicity and practicality. Amazing. Go and buy it now! -- Jay Shetty

Such a brilliant book -- Steven Bartlett ― Diary of a CEO podcast

A toolkit of deceptively simple strategies for life&#39s troubles. Everyone could benefit from the wisdom of Dr Smith ― i, &#39The Best Non-Fiction Books of 2022&#39

This book is a goldmine. I truly treat it like a handbook now ― Stylist

Julie Smith is the psychology teacher you wish you&#39d had at school ― Evening Standard

It&#39s so engaging that it&#39s even led me to switch off my phone for several hours so I can read it, and in this social media-obsessed age, I don&#39t think I can give a bigger recommendation than that -- Bryony Gordon ― Telegraph

Relatable, real and easy to digest, it covers everything from understanding low mood to emotional pain, self-doubt and anxiety as if your wise best friend is chatting to you. An essential mental-health bible for adults and teenagers ― YOU Magazine

Smart, insightful, and warm. Dr Julie is both the expert and wise friend we all need ― Lori Gottlieb, New York Times bestselling author of Maybe You Should Talk to Someone and co-host of the &#39Dear Therapists&#39 podcast

This book is basically an inside scoop into a therapist&#39s tool kit. Covers so many important topics such as managing anxiety, battling low mood, building self-confidence and learning to forgive yourself. It is no wonder that the author has become an online sensation with all her amazing advice ― Marie Claire

Now more than ever, people are struggling with their mental health and Dr Julie Smith delivers in a big way in Why Has Nobody Told Me This Before?. Her practical tips and tools are for anyone struggling with anxiety, self-doubt, or depression. Readers will step away from this book feeling more resilient and able to take control of their own lives. If you want to feel like you have a therapist sitting across from you, empowering you with how to be your best self, this book is for you! ― Nicole LePera, New York Times bestselling author of How to Do the Work

This book is a goldmine. I truly treat it like a handbook now - when I feel an unpleasant feeling brewing or come up against a tricky moment at work or in my relationships, my first thought is to wonder what Smith might suggest ― Stylist

A guide for optimal mental wellbeing that you can dip into whenever you need ― Women&#39s Health

Wise words and compassionate tone . . . Smith&#39s work is hugely important in bringing applied psychology into the public realm ― The Psychologist

So much advice on such a wide variety of things: it&#39s brilliant. So helpful ― Katie Piper

Smith . . . is especially adept at addressing the insecurities afflicting a younger generation raised on social media ― Financial Times

If you have never read a self-help book before, this is the book to read ― Ireland AM

Very helpful -- BBC Radio 2 ― Michael Ball

Take care of your mental health with these bite-size tips on everything from how to manage anxiety to coping with grief ― Woman & Home",https://m.media-amazon.com/images/S/amzn-author-media-prod/q2p9pjpbv6ubgtkqjl4s9334mh._SY600_.jpg
Jean-Luc Émery,"Médecin psychiatre, spécialiste des thérapies cognitives et comportementales, Jean-Luc Emery exerce à Paris.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
A G,,https://m.media-amazon.com/images/S/amzn-author-media-prod/g3c2e411egr42s65ig2u2csdng._SY600_.jpg
Delphine Laffon,,https://m.media-amazon.com/images/S/amzn-author-media-prod/6qfb943pqd3lefbjvbdof2hotu._SY600_.jpg
Norainnoflower By Mathilde,,https://m.media-amazon.com/images/S/amzn-author-media-prod/c6sglejr3k3if3fo2ldto0ula5._SY600_.jpg
Docteur Christophe Fauré,"Christophe Fauré est psychiatre et psychothérapeute, spécialisé dans l’accompagnement face aux deuils, divorces et autres ruptures de la vie. Il est déjà l’auteur de nombreux ouvrages à succès, notamment Vivre le deuil au jour le jour ou encore Maintenant ou jamais ! La transition du milieu de la vie.",https://m.media-amazon.com/images/I/51N4gSWKXBL._SY600_.jpg
MetaMind Edition,,https://m.media-amazon.com/images/S/amzn-author-media-prod/79s0od0bvjc847mi32v4p9jbq._SY600_.jpg
Moussa Nabati,"Moussa Nabati est psychanalyste, thérapeute et chercheur, docteur en psychologie de l&#39université de Paris.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Joshua Fletcher,"Joshua Fletcher is a Manchester-based author, therapist and media personality specialising in anxiety. Having been diagnosed with several anxiety conditions, Joshua combines his professional knowledge with lived experience to educate and help others. Josh uses his personable, empathetic and witty approach to convey his knowledge through his social media pages (@anxietyjosh), bestselling self-help books, The Panic Pod podcast and working with popular media.",https://m.media-amazon.com/images/S/amzn-author-media-prod/90a88ru76tn7h7va8vidiprdb0._SY600_.jpg
Thomas Piquemal,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Viola Di Russo,,https://m.media-amazon.com/images/S/amzn-author-media-prod/c63ejrtr6tat5ac5rg97r2oira._SY600_.jpg
Stella Morel,,
Adam Tusco,,https://m.media-amazon.com/images/S/amzn-author-media-prod/qooi53hb5d7t3dcincmmmqn0na._SY600_.jpg
Annie Robert,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Camille Bonnet,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Health and Wealth,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Matt Haig,"Né en 1975 en Angleterre, Matt Haig est journaliste et écrivain. Il est l&#39auteur de plusieurs romans dont Les Radley, Humains et La Bibliothèque de minuit, bestseller international. Il est traduit en plus de quarante langues.",https://m.media-amazon.com/images/S/amzn-author-media-prod/urdupbvd590pq3m51f8lguccth._SY600_.jpg
Eléanore Sarda,,
Russ Harris,"HOW TO STOP STRUGGLING FOR PERFECT HAPPINESS AND LEAD A RICHER LIFE

Do you ever feel worried, miserable or unfulfilled - yet put on a happy face and pretend everything&#39s fine? You are not alone. Stress, anxiety, depression and low self-esteem are all around. Research suggests that many of us get caught in a psychological trap, a vicious circle in which the more we strive for happiness, the more it eludes us.

Fortunately, there is a way to escape from the &#39Happiness Trap&#39 in this updated and expanded second edition which unlocks the secrets to a truly fulfilling life. This empowering book presents the insights and techniques of Acceptance and Commitment Therapy (ACT), covering more topics and providing more practical tools than ever before. Learn how to clarify your values, develop self-compassion and find true satisfaction with this bigger and better guide to:
· Reducing stress and worry
· Handling painful thoughts and feelings more effectively
· Breaking self-defeating habits
· Overcoming insecurity and self-doubt
· Building better relationships
· Improving performance and finding fulfilment at work

The Happiness Trap is for everyone. Whether you&#39re lacking confidence, facing illness, coping with loss, working in a high-stress job, or suffering from anxiety or depression, this book will show you how to build authentic happiness, from the inside out.

DR RUSS HARRIS is world-renowned trainer in ACT, a therapist and a coach, with a background in medicine as a general practitioner. He has run hundreds of workshops providing training for tens of thousands of health professionals and he is the author of several bestselling ACT-based textbooks and self-help books. The Happiness Trap is an international bestseller, with over a million copies sold worldwide and editions published in over thirty languages.",https://m.media-amazon.com/images/S/amzn-author-media-prod/e65l7rf4vbgn1fvv9sgardn0n2._SY600_.jpg
Glavetin Books,,https://m.media-amazon.com/images/S/amzn-author-media-prod/aa15qe4inbp175mqlrfj0tqus3._SY600_.jpg
Carine Mobius,,
Julius Loewenstein,,https://m.media-amazon.com/images/S/amzn-author-media-prod/ndqgk2bi52rnta86pevjld742e._SY600_.jpg
Dr Charly Cungi,"Médecin psychiatre et enseignant à l&#39Université, Charly Cungi est un spécialiste reconnu des thérapies comportementales et cognitives (TCC). Avec le Dr Jean Cottraux, il est membre fondateur de l&#39Ifforthecc (Institut de formation et de recherche en thérapie comportementale et cognitive).
Il conduit des recherches en milieu hospitalier et anime régulièrement de nombreuses formations sur le stress et l&#39affirmation de soi, les problèmes de dépendance, l&#39alliance thérapeutique.
Charly Cungi a fait ses études de médecine et de psychiatrie à Lyon. Après une activité hospitalière, en 1983, il ouvre son cabinet privé à Rumilly, en Haute-Savoie. Ancien médecin consultant des Hôpitaux universitaires de Genève, il est diplômé en thérapie comportementale et cognitive, en thérapie familiale et systémique, et a suivi une formation complète en psychanalyse et en hypnose clinique.
En dehors de son cabinet, il exerce comme médecin consultant à l&#39hôpital de Rumilly où il s&#39occupe de la psychiatrie de liaison pour les services de médecine, de cardiologie et de neurologie ; et à la clinique Belmont, à Genève, spécialisée dans les problèmes de dépendance et les troubles alimentaires.
Auteur vedette chez Retz, il est directeur des collections "" Faire face "" et "" Savoir faire psy "".
Son site Internet :


Le docteur Ivan-Druon Note est psychiatre au Centre hospitalier régional de Marseille (hôpital Sainte-Marguerite), et responsable du diplôme universitaire de thérapie et médecine comportementale (université Aix-Marseille-II). Il est spécialisé dans le traitement des dépressions et de l&#39anxiété.",
Roger Hargreaves,Auteur et illustrateur de livres pour la jeunesse.,https://m.media-amazon.com/images/I/31RW0d1ZHdL._SY600_.jpg
Julia Kristeva,"Ce livre traite des dépressions que nourrit un deuil impossible de l&#39objet aimé et perdu. En déniant le lien universel qu&#39est le langage, le déprimé nie le sens qui, pour l&#39être parlant, est le sens de la vie. Athée radical, le dépressif reste cependant un mystique : rivé à l&#39affect, la douleur et les larmes sont pour lui le pays secret d&#39une beauté aussi inaccessible qu&#39entière.Le sublime naît dans la mélancolie. La preuve ? Holbein, minimaliste macabre. Nerval, le Prince noir. Dostoïevski, persuadé que la soufrance est le but suprême de l&#39humanité, appelant le pardon. Et Duras, la femme-tristesse, qui rend contagieuses les figures de la dépression féminine dévoilées ici à partir de quelques histoires dites sur le divan du psychanalyste.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Delphine Laffon,,https://m.media-amazon.com/images/S/amzn-author-media-prod/6qfb943pqd3lefbjvbdof2hotu._SY600_.jpg
Viola Di Russo,,https://m.media-amazon.com/images/S/amzn-author-media-prod/c63ejrtr6tat5ac5rg97r2oira._SY600_.jpg
Julien Esclause,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Roger J. Callahan,"ROGER J. CALLAHAN est docteur en psychologie clinique. Il fut maître de conférences à l&#39Université du Michigan et Président de l&#39Académie américaine des psychologues en thérapie familiale et conjugale. Déçu par les résultats des démarches classiques de la psychothérapie, il a développé les concepts originaux de la Thérapie du Champ Mental à partir de son expérience avec des milliers de patients. RICHARD TRUBO a écrit de nombreux ouvrages dans les domaines de la physique, de la psychologie et de la santé.",
Meg Mason,"Revue de presse
This richly spiced novel is a pleasure from the first page to the last... Its beautifully understated, airy style conceals the fiercest intelligence. I loved it so much that I stalked the author on social media - a first. Just read it. It&#39s unforgettable. -- India Knight ― SUNDAY TIMES CULTURE

The most wonderful, heartbreakingly gorgeous novel of the year. -- Elizabeth Day ― THE MAIL ON SUNDAY, YOU MAGAZINE

It is impossible to read this novel and not be moved. It is also impossible not to laugh out loud... Mason pulls off something extraordinary in this huge-hearted novel, alchemising an unbearable anguish into something tender and hilarious and redemptive and wise, without ever undermining its gravity or diminishing its pain. -- Clare Clark ― GUARDIAN

Inspired storytelling... a devastating and sharply funny love story... it is Martha&#39s voice itself - her woeful deadpan narration always teetering between the comic, the tragic and the downright unlikable - that makes this novel sing. -- Julie Myerson ― OBSERVER

Probably the best book you&#39ll read this year... Brilliant, bleak, hilarious: the book of the summer. -- Natasha Poliszczuk ― THE MAIL ON SUNDAY

Sorrow and Bliss, Meg Mason&#39s first novel to be published in the UK, is as wonderful as everyone says it is. Blunt, tender, hilarious, and so very good on the trickiness of families, it is that rare perfect balance of fun (commercial) and difficult (literary), and exactly the book to read right now, when you need a laugh, but want to cry. -- Eva Wiseman ― THE OBSERVER MAGAZINE

Summer&#39s must-read novel... We can&#39t recommend Sorrow And Bliss highly enough. -- Francesca Brown ― STYLIST

A Fleabag-esque novel being raved about by Gillian Anderson and Ann Patchett... Expect this one to light up the WhatsApp chats. -- Louisa McGillicuddy ― SUNDAY TIMES STYLE

You know that book that only comes along every so often, that seems to unite everyone who has read it in a sort of delirious fervour? Sorrow and Bliss is that book... It&#39s utterly compelling and darkly funny: the book you have to read this summer. -- Jessie Thompson ― EVENING STANDARD

Meg Mason has achieved something remarkable - Sorrow and Bliss is a raucously funny, beautifully written, emotionbashing book about love, family and life&#39s curveballs that leaves you, satisfyingly, with what feels like wisdom forged in fire. -- Siobhan Murphy ― THE TIMES

This is a story of mental illness reflected through the prism of an uproarious, big-hearted family comedy. It is fiercely intelligent and absolutely sublime. -- Anne Cunningham ― IRISH INDEPENDENT

Rarely have the excoriating effects of mental illness been articulated quite so beautifully - as heartbreaking as it&#39s funny, Sorrow And Bliss is one for the keeper shelves. -- Sarra Manning ― RED MAGAZINE

Deeply moving but also darkly funny, Mason has created the sort of story that you savour the last pages of and long for once it&#39s over. -- Olivia Ovenden ― ESQUIRE

Completely brilliant, I loved it. I think every girl and woman should read it. ― Gillian Anderson

Sorrow and Bliss is a brilliantly faceted and extremely funny book about depression that engulfed me in the way I&#39m always hoping to be to be engulfed by novels. While I was reading it, I was making a list of all the people I wanted to send it to, until I realized that I wanted to send it to everyone I know. ― Ann Patchett

Sharp yet humane, and jaw-droppingly funny, this is the kind of novel you will want to press into the hands of everyone you know. Mason has an extraordinary talent for dialogue and character, and her understanding of how much poignancy a reader can take is profound. A masterclass on family, damage and the bonds of love: as soon as I finished it, I started again. ― Jessie Burton

Sorrow and Bliss is a thing of beauty. Astute observations on marriage, motherhood, family, and mental illness are threaded through a story that is by turns devastating and restorative. Every sentence rings true. I will be telling everyone I love to read this book. ― Sara Collins, author of THE CONFESSIONS OF FRANNIE LANGTON

A sharply observed, darkly hilarious and merciless portrait of a thoroughly messed-up family. Patrick Melrose meets Fleabag. Brilliant. ― Clare Chambers, author of SMALL PLEASURES

Meg Mason writes about the slow bleed of life-long depression with candour, humour and stark precision. Sorrow and Bliss is about what happens when your illness pushes everyone away - leaving you with only the sorest parts of yourself for company. It will, as the title suggests, shatter your heart, before mending it with infinite love. I&#39ve never read anything like it and will be pressing it into the hands of every reader I know. ― Pandora Sykes

Compulsively readable, Sorrow and Bliss is one of the funniest books I&#39ve read... Martha is such a brilliant, singular creation - as Patrick says, ""The idea that you might be ordinary is unbearable"" - that it is more interesting to imagine not the characters that have inspired her but the ones she will inspire. -- Francesca Steele ― I NEWSPAPER

Sharp, stylish and revelatory, this novel is sure to be one of the big success stories of the year. -- Sarah Gilmartin ― IRISH TIMES

Consistently funny and sharp and dark: it&#39s wonderful. ― Charlotte Mendelson, author of ALMOST ENGLISH

[A] razor-sharp exploration of mental health and identity. Hilarious and heartbreaking, this is best enjoyed over a large glass of rosé on a sunny afternoon. ― COSMOPOLITAN

The unforgettable novel you need to read this summer. ― TIMES BOOKS NEWSLETTER

I&#39ve never read a novel about the impact of mental illness on the life of a woman, and those around her, like this. It is simply brilliant, and Martha&#39s voice is a joy: hilarious, sharp and devastating. A must read. -- Alice O&#39Keefe ― THE BOOKSELLER, Editor&#39s Choice

Nina Stibbe meets Fleabag -- Charlotte Heathcote ― DAILY EXPRESS

Blisteringly good... a novel that manages to be psychologically complex, yet still an utter joy to read. Sorrow and Bliss bristles with great one-liners and setpieces that are sometimes alarming, sometimes comic, but more often both. ― READER&#39S DIGEST

Heartbreakingly sad and yet screamingly funny. -- Deirdre O&#39Brien ― BEST

I very much enjoyed Meg Mason&#39s witty, affecting Sorrow and Bliss. -- David Nicholls ― GUARDIAN - Hot Summer Books feature

This is a beautiful depiction of a marriage, with all of its ugliness and joy. But its also a brilliant depiction of a whole family, wounded by a legacy of mental illness, and tender, witty, and loving, in spite of it, So funny, and so very, very sad. ― Abigail Dean, bestselling author of GIRL A

An incredibly funny and devastating debut ... enlivened, often, by a madcap energy. Yet it still manages to be sensitive and heartfelt, and to offer a nuanced portrayal of what it means to try to make amends and change. ― Guardian

With its finger on the modern pulse, Sorrow and Bliss blisters with its prose which manages to be both hilarious and heartbreaking in the same line. I kept having to stop to underline sentences. It reminded me of a cross between Fleabag and My Year of Rest and Relaxation, but really, Meg Mason has crafted a protagonist who feels completely her own person. Fresh and alive. ― Jodie Chapman, author of ANOTHER LIFE

Sorrow and Bliss is a moving and poignant story about mental illness, family and love. It made me laugh and cry; a bittersweet read that will stay with you for a long time. ― Libby Page, bestselling author of The Lido

I devoured this book, with all its humour and pain and cock-eyed hope. It&#39s a funny and excruciating portrayal of mental illness, family dysfunction and love, all told through the point of view of a narrator who is in turn frustrating and endearing, but always fascinating. I adored it from the first page. ― Julie Cohen, author of TOGETHER

Sorrow and Bliss is hilarious, haunting, and utterly captivating. Meg Mason has created a heroine as prickly as Bernadette in Where&#39d You Go, Bernadette. Her humor is as arch and wise as the best work of Joan Didion and Rachel Cusk, yet completely original. What a thrilling new voice! ― Amanda Eyre Ward, New York Times bestselling author of THE JETSETTERS

Brutal, tender, funny, this novel - a portrait of love in all of its many incarnations - came alive for me from the very first page. I saw myself here. I saw the people I love. I am changed by this book. ― Mary Beth Keane, New York Times bestselling author of ASK AGAIN, YES

So dark, so funny, so true. You will see your sad, struggling, triumphant self in this deeply affecting novel ― Laura Zigman, author of SEPARATION ANXIETY

This is a romance, true, but a real one. It&#39s modern love up against the confusing, sad aches of mental illness, with all its highs, lows, humour and misery. Comparisons to Sally Rooney will be made, but Mason&#39s writing is less self-conscious than Rooney&#39s, and perhaps more mature. Her character work is outstanding, and poignant-the hairline fractures, contradictions and nuances of the middle-class family dynamic are painstakingly rendered with moving familiarity and black humour, resulting in a combination as devastating and sharply witty as Phoebe Waller-Bridge&#39s Fleabag. ― Bookseller+Publisher

Exploring the multifaceted hardships of mental illness and the frustrating inaccuracy of diagnoses, medications, and treatments, Sorrow and Bliss is darkly comic and deeply heartfelt. Much like the narrator of Eleanor Oliphant is Completely Fine, Martha&#39s voice is acerbic, witty, and raw. Fans of Marian Keyes should put this on their to-read lists.
― Booklist

Martha&#39s anecdotes, simultaneously funny and sad, are stacked with observations that alternate between brutally cutting-especially when directed at her mother and at the patient and supportive Patrick-and aching, as when her oblique descriptions of her sister&#39s growing family increasingly belie her true feelings about motherhood. Witty and stark, Martha&#39s emotionally affecting story will delight fans of Sally Rooney. ― Publishers Weekly, Starred Review

Martha Friel, the narrator of this improbably charming novel about mental illness, will have you chortling and reading lines aloud. ― PEOPLE

Meg Mason has the ability to keep the reader alongside and sharing in the hope every step of the way. ― WOMAN & HOME

A sharp-eyed look at the impact of mental illness that&#39s heartbreaking but also bitterly funny. -- Jo Finney ― GOOD HOUSEKEEPING

Deliciously dark and fantastically funny. ― THE SUNDAY POST

Martha tells the sotry of the end of her marriage, her fiercely close relationship with her sister and her terrifying experiences of mental chaos in this brilliant, painful and unexpectedly comic novel. Narrated with insight and sensitivity by actor Emilia Fox, it looks set to become one of the hits of the year. -- Alex Clark ― FINANCIAL TIMES, Audio Books review round up

A viciously funny novel about mental illness that combines acute social satire with warmth and insight. -- Claire Allfree ― METRO

Without a doubt the book of the summer.By turns dryly funny and breathtakingly sad, it is a compulsive, exquisitely written look at mental illness and relationships. -- Gwendolyn Smith ― I NEWSPAPER - #1 pick in summer reading roud up

Brilliant, bleak and hysterically funny. Tackling mental illness, families, sisterly love and failing marriages... it&#39s universally being proclaimed ""The book of the summer"". -- Suzannah Ramsdale ― EVENING STANDARD

Meg Mason&#39s debut novel is tender and dark as a bruise, coloured with complicated emotions but also wryly funny. And, as it takes a candid look at the way mental illness can derail a person, it also brims with hope as Martha looks to the future, determined to pick up the pieces of her broken life. -- Eithne Farry ― SUNDAY EXPRESS S MAGAZINE

Unputdownable - one of the darkest, sharpest novels you will find this year. -- Nadine O&#39Regan ― THE SUNDAY BUSINESS POST

This debut from Meg Mason is a brilliant, many-faceted diamond of a book. ― SAINSBURY&#39S MAGAZINE

Martha Friel is one of those fictional characters that you can&#39t get out of your head... The moment we&#39d finished this dazzling, spiky, darkly funny book, we wanted to read it all over again. -- Emma Lee-Potter ― INDEPENDENT

The most recommended book of the summer, and with good reason. Meg Mason&#39s novel about mental health, marriage and sisterhood is told in a singular voice of wry wit and blackly comic frankness. One of those &#39read it in one sitting and tell all your friends&#39 kind of books. -- Jessie Thompson ― EVENING STANDARD, Best Fiction of 2021

It is a subtle and sensitive writer who can make you shout with laughter as she wrings your heart. Mason&#39s characters are exquisitely drawn. Sorrow, yes, but also utter bliss. -- Rose Shepherd ― SAGA

Must-read stuff: clever, sparkling and funny. ― STRONG WORDS

This account of a life derailed by mental illness is both darkly funny and deeply touching... A brilliantly faceted and funny book that will engulf you.
― BEST MONTHLY

It made me laugh and cry. I loved it so much - I need to read it again. ― Emilia Clarke

The summer of 2021&#39s most (justifiably) hyped novel... is a beautifully paced, darkly funny, heart-thuddingly moving portrait of family, marriage and chronic illness. Its pithy protagonist-narrator, Martha, is a memorable creation. -- Patricia Nicol ― THE SUNDAY TIMES, Best Fiction of the Year

Simply unforgettable. -- Francesca Steele ― I NEWSPAPER, Best Books of 2021

The summer&#39s word-of-mouth hit was Meg Mason&#39s Sorrow and Bliss (W&N), a wisecracking black comedy of mental anguish and eccentric family life focused on a woman who should have everything to live for. -- Justine Jordan ― GUARDIAN, Best Books of 2021

Sorrow and Bliss by Meg Mason is a knockout. An unnamed mental health illness and a struggling marriage are both rendered by Mason with devastating honesty and laugh-out-loud wit. -- Louise O&#39Neill ― IRISH EXAMINER
Quatrième de couverture
Everyone tells Martha Friel she is clever and beautiful, a brilliant writer who has been loved every day of her adult life by one man, her husband Patrick. A gift, her mother once said, not everybody gets.

So why is everything broken? Why is Martha - on the edge of 40 - friendless, practically jobless and so often sad? And why did Patrick decide to leave?

Maybe she is just too sensitive, someone who finds it harder to be alive than most people. Or maybe - as she has long believed - there is something wrong with her. Something that broke when a little bomb went off in her brain, at 17, and left her changed in a way that no doctor or therapist has ever been able to explain.

Forced to return to her childhood home to live with her dysfunctional, bohemian parents (but without the help of her devoted, foul-mouthed sister Ingrid), Martha has one last chance to find out whether a life is ever too broken to fix - or whether, maybe, by starting over, she will get to write a better ending for herself.
En lire plus",https://m.media-amazon.com/images/S/amzn-author-media-prod/bsj5eulicn7r8grtu4tc4uk05h._SY600_.jpg
Giuseppe Dr. Sorrentino,,https://m.media-amazon.com/images/S/amzn-author-media-prod/i5vntpi2ab2pf01tvocj59p4q1._SY600_.jpg
Christophe André,"Christophe André, psychiatre, ancien praticien à l’hôpital Sainte-Anne à Paris, est un auteur, lu et reconnu dans le monde entier, notamment pour Imparfaits, libres et heureux, L’Estime de soi et Et n’oublie pas d’être heureux.

Patrick Légeron, psychiatre, fondateur du cabinet Stimulus, expert de la santé psychologique au travail, enseignant à Sciences Po Paris, est l’auteur d’un grand succès : Le Stress au travail. Un enjeu de santé.",
Quentin Jacquier,,https://m.media-amazon.com/images/S/amzn-author-media-prod/odrf13mklu6e6ftvcpjm0mee4u._SY600_.jpg
Remole Editions,,
Tony Attwood,"Tony Attwood, PhD, is a clinical psychologist from Brisbane, Australia, with over 30 years of experience with individuals with autism spectrum disorders. He is currently Adjunct Professor at Griffith University in Queensland.

Dr Michelle Garnett, PhD, is an AuDHD clinical psychologist with more than 30 years of experience specialising in autism. In 2019, she co-founded Attwood & Garnett Events with Tony Attwood to enhance autism awareness and understanding globally.

Colin Thompson has worked as a silk-screen printer, a graphic designer, a stage manager in the theatre but never as a lumberjack in Canada or a sailor on a tramp-steamer in the South Seas. He is the author and illustrator of over 65 published books. Colin lives in Australia with his wife.",
Dr Yvan Bourgeois,,https://m.media-amazon.com/images/S/amzn-author-media-prod/etdp2d5v0prnbf5na6r5dhnlsq._SY600_.jpg
