Nom,Description,Photo
Dany Harel,,
Dany Harel,,
Mme Anne Reymonet-Valers,,
IGFacile,,https://m.media-amazon.com/images/S/amzn-author-media-prod/tcpcmef40u1qi5ubhlq9tokeaq._SY600_.jpg
Dr Pierre Nys,"Le Dr Pierre Nys est diabétologue, endocrinologue-nutritionniste, ex-attaché des Hôpitaux de Paris. Il est spécialiste de l’Index Glycémique, ex-expert près de la cour d’appel de Paris pour les litiges et crimes ayant trait à la glycémie et auteur de plusieurs best-sellers aux éditions Leduc, dont Ma bible IG et Ma bible de l’alimentation antidiabète.",https://m.media-amazon.com/images/I/81uy6rg2gZL._SY600_.jpg
Réginald Allouche,"Le Dr Réginald Allouche est médecin, ingénieur et chercheur dans le domaine de la prévention du diabète et du surpoids. Il a mis notamment en place le plan Nutrition de l&#39AP-HP en intégrant les problématiques de nutrition spécifiques aux pathologies.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Dany Harel,,
Claire Pinson,"Claire Pinson est l&#39auteur de nombreux ouvrages sur la diététique, la nutrition et la santé.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Jason Fung,"""Le Dr Fung vous offre les outils qui vous permettront de vous débarrasser à jamais du diabète. Procurez-vous ce livre !""
Dr Steven Gundry, auteur du Paradoxe des plantes
""Clair et totalement convaincant, ce livre mérite d&#39être lu par tous.""
Dr Michael Mosley, auteur de ""8 semaines pour en finir avec le diabète sans médicaments""
Le diabète de type 2 : une maladie chronique et progressive selon la plupart des médecins, des diététiciens et même des spécialistes du diabète.
Mais, comme le démontre le Dr Jason Fung dans cet ouvrage qui fait éclater les paradigmes, la vérité est ailleurs : le diabète est réversible.
Dans ce livre choc, écrit dans un langage clair et très convaincant, vous comprendrez pourquoi les traitements conventionnels reposant sur l&#39insuline ou sur d&#39autres médicaments qui abaissent la glycémie peuvent en réalité exacerber le problème, en entraînant des prises de poids importantes voire des maladies cardiovasculaires. Pour lutter contre le diabète de type 2, la seule méthode véritablement efficace s&#39avère non pas la prise de médicaments, mais plutôt un régime faible en glucides et la pratique du jeûne intermittent.",https://m.media-amazon.com/images/S/amzn-author-media-prod/8k0a3lsqk9osqihm1vfo282ks7._SY600_.jpg
SWT Edition,,
Anne-Sophie Laroche,,https://m.media-amazon.com/images/S/amzn-author-media-prod/37n8g015k5cuil5nm5kc7mfbn2._SY600_.jpg
Dany Harel,,
Solange Paulette Morice,,
Marie Fontaine,,
Vipers Cotoon,,
Dany Harel,,
ALK Impressions,,
Matt Richtel,"Revue de presse
“Vividly told. ... Explicates for the lay reader the intricate biology of our immune system. ... Richtel succeeds in this formidable task.” — JEROME GROOPMAN, New York Review of Books
“Deeply affecting. … A compelling modern history of—as well as an elegant defense for—the preeminent science of our time.” — Los Angeles Review of Books
“Richtel brilliantly blurs the lines between biology primer, medical historical text and the traditional first-person patient story. ... Richtel harnesses his reporter’s eye for the human condition.” — Washington Post
“In this thorough investigation, Richtel details the explosion of knowledge over the past 70 years. ... He weaves into his narrative four case studies [that] add a moving personal dimension.” — BBC, “10 Books to Read This Month”
“One of those rare nonfiction books that transcends the genre. ... A fascinating and engrossing account of the latest, and quite astonishing, discoveries involving the human immune system. ... An inspiring and wonderful read. ... I highly recommend this extraordinary book.” — Douglas Preston, #1 bestselling author of The Lost City of the Monkey God
“A thorough, richly entertaining and just-wonky-enough beginner’s class in immunology through the case studies of four patients.” — Wall Street Journal
“Remarkable. … Richtel is a gifted storyteller. … A story about cutting-edge science, humanely told.” — Matt McCarthy, USA Today
“Matt Richtel’s An Elegant Defense is a comprehensive and engaging primer on the body’s ‘ever-vigilant, omnipresent peacekeeping force.’ The immune system plays an essential role in fighting infections and cancer and in regulating our normal health. Read this superb book to better understand one of the enduring mysteries of human biology.” — SANDEEP JAUHAR, New York Times bestselling author of Heart: A History
“An expert examination of the immune system. … Richtel illuminates a complex subject so well that even physicians will learn.” — Kirkus, STARRED review
“Richtel approaches this essential subject with awe, his writing meticulous and empathic.” — Booklist, STARRED Review
“Award-winning reporter Matt Richtel examines the scientific and human realities of immune anomaly through four case studies. … Through these harrowing accounts, Richtel interweaves the research history.” — Nature, “Best Science Picks”
“A deeply reported and entertainingly written exploration of the human immune system and how it works.” — USA Today (”5 Books Not to Miss”)
“Plumbs the enormous impact of the human immune system. … Despite the topic’s staggering complexity… the heart and craft of a fine storyteller emerges most memorably.” — Mercury News
“A remarkable journey of exploration inside the human body. … Richly informative and engaging. … Eminently readable and with so many important takeaways, An Elegant Defense is well worth one’s investment of time.” — Shelf Awareness
“An engaging deep dive into our immune system.” — Men’s Health
“Richtel’s new book is so useful. ... Give[s] lay readers a means of understanding what’s known so far about the intricate biology of our immune systems.” — The Week, “Book of the Week”
“Compelling. … Richtel enthusiastically and compassionately demystifies the science and the story of one of the most intricate and misunderstood landscapes of human biology. … A celebration of life and the journey we all share.” — Washington Independent Review of Books
“Enlightening. … Readers who suffer from challenged immune systems will welcome validation for the physical and emotional trials they endure, gain deeper understanding of their ailments, and find hope for the future. Readers who are interested in the human body’s capacity to both harm or heal itself will be fascinated.” — New York Journal of Books
“A deeply reported account of how the immune system works. … Richtel weaves dense, complex research into suspense and human drama; his book reads, at times, like a harrowing mystery novel.” — Spirituality and Health magazine
“A hard-to-put-down account of the body’s first line of defense.” — Publishers Weekly
“A sweeping overview of immunology’s history. ... The prose in An Elegant Defense is vibrant, conversational, direct and often funny. … The content is captivating and useful.” — Science News
“[An] entertaining and a worthwhile read.” — The Missourian
“Fascinating. ... Rooted in evidence-based research. ... Compelling.” — AudioFile
""Books like An Elegant Defense give mainstream readers insights into that process, insights that run deeper than those a textbook might provide. When we understand how science really works, perhaps we will be a bit less susceptible to anti-scientific seductions. Richtel’s elegant analogies and compelling human stories will help us remember the basic concepts of modern immunology long after the jargon and acronyms have been forgotten."" — Commentary
“A mind-blowing page-turner with moving yet playful human dramas.” — MindBodyGreen
""Fascinating read, especially in the context of a pandemic. Through four personal stories, you discover the captivating complexity of our immune system, written in such a way that it’s an easy read for the layman."" — Bloomberg News, A Best Book of 2020
“A valuable read that will help you understand what it takes to stop COVID-19. … A super interesting look at the science of immunity.” — Bill Gates
Quatrième de couverture
Magnificently reported and soulfully crafted, An Elegant Defense is an epic, first-of-its-kind exploration of the human immune system and the secrets of health, by Pulitzer Prize–winning New York Times journalist Matt Richtel
A terminal cancer patient rises from the grave. A medical marvel defies HIV. Two women with autoimmunity discover their own bodies have turned against them. An Elegant Defense uniquely entwines these intimate stories with science’s centuries-long quest to unlock the mysteries of sickness and health, and illuminates the immune system as never before.
The immune system is our body’s essential defense network, a guardian vigilantly fighting illness, healing wounds, maintaining order and balance, and keeping us alive. Its legion of microscopic foot soldiers—from T cells to “natural killers”—patrols our body, linked by a nearly instantaneous communications grid. It has been honed by evolution over millennia to face an almost infinite array of threats. 
For all its astonishing complexity, however, the immune system can be easily compromised by fatigue, stress, toxins, advanced age, and poor nutrition—hallmarks of modern life—and even by excessive hygiene. Paradoxically, it is a fragile wonder weapon that can turn on our own bodies with startling results, leading today to epidemic levels of autoimmune disorders.
Richtel effortlessly guides readers on a scientific detective tale winding from the Black Plague to twentieth-century breakthroughs in vaccination and antibiotics, to the cutting-edge laboratories that are revolutionizing immunology—perhaps the most extraordinary and consequential medical story of our time. The foundation that Richtel builds makes accessible revelations about cancer immunotherapy, the microbiome, and autoimmune treatments that are changing millions of lives. An Elegant Defense also captures in vivid detail how these powerful therapies, along with our behavior and environment, interact with the immune system, often for the good but always on a razor’s edge that can throw this remarkable system out of balance.
Drawing on his groundbreaking reporting for the New York Times and based on extensive new interviews with dozens of world-renowned scientists, Matt Richtel has produced a landmark book, equally an investigation into the deepest riddles of survival and a profoundly human tale that is movingly brought to life through the eyes of his four main characters, each of whom illuminates an essential facet of our “elegant defense.”
En lire plus",https://m.media-amazon.com/images/S/amzn-author-media-prod/kc70cqarm6ello4qmaavl2olki._SY600_.jpg
Evelyne Bourdua-Roy,"La Dre Èvelyne Bourdua-Roy est médecin généraliste. Elle a fondé la Clinique Reversa dans la ville de Contrecoeur au Québec. Elle a été assistée dans la rédaction par Sophie Rolland, neuroscientifique, spécialiste de l&#39alimentation cétogène et directrice clinique de la Clinique Reversa.",https://m.media-amazon.com/images/I/51HXhnNxKaL._SY600_.jpg
Daily Logs Art Books,,https://m.media-amazon.com/images/S/amzn-author-media-prod/6p6pkhd9k3o3uf4v6urs45kdsq._SY600_.jpg
Dany Harel,,
Dany Harel,,
Dany Harel,,
IG Media,,https://m.media-amazon.com/images/S/amzn-author-media-prod/ihcdde44dr4qblkflu3a73j6uf._SY600_.jpg
Elmer Hosh,,
Isabella Evelyn,,https://m.media-amazon.com/images/S/amzn-author-media-prod/jg5ncvvtpp94q84a2jt6rk01bp._SY600_.jpg
