Nom,Description,Photo
Jason Zweig,"Un grand classique, annoté et commenté, de l&#39expérience boursière de Graham
Benjamin Graham, le plus grand financier du XXème siècle, a inspiré nombre d&#39investisseurs individuels et professionnels. Sa stratégie - l&#39investissement dans la valeur - permet de bâtir des stratégies de long terme et d&#39éviter des erreurs coûteuses. Ce livre est une bible depuis sa première édition en 1949.
Année après année, les soubresauts des marchés financiers ont démontré la sagesse et la pertinence des stratégies d&#39investissement de Graham. Tout en préservant l&#39intégralité du texte original, cette édition révisée inclut des commentaires du journaliste financier Jason Zweig, mettant en perspective le texte avec l&#39actualité financière et des annotations de Didier Coutton, professeur de finance, pour éclairer le lecteur sur la façon d&#39appliquer les principes de Graham.
Ouvrage vital et indispensable, L&#39Investisseur Intelligent est le livre qui restera dans la mémoire des lecteurs et les accompagnera pour atteindre leurs objectifs financiers.
""Exprime pleinement les principes de base de l&#39approche de l&#39investissement de Graham tant prisée et qui marche si bien."" - Money
Plus d&#39un million d&#39exemplaires vendus dans le monde",
Mark Douglas,"Même les traders les plus intelligents, les plus motivés et qui dominent leur sujet peuvent être paralysés par des pensées contre-productives qui les incitent à prendre de mauvaises décisions et à commettre des erreurs de trading. Ils souffrent de leur incapacité à rester objectivement concentrés ou bien ils manquent de la confiance nécessaire pour exécuter leurs opérations correctement. Ou encore, ils tolèrent que des contradictions profondément enracinées et des idées erronées sur le trading ou la nature du marché influencent la sélection de leurs actions.
Aux yeux de Mark Douglas, la clé de la réussite réside dans l&#39optimisation de l&#39état d&#39esprit du trader. Non pas dans l&#39analyse du marché exhaustive ou dans le tout dernier ""système"" à la mode. Il apprend au trader à penser en termes de probabilités et à adopter les certitudes fondamentales nécessaires pour acquérir une ""mentalité de gagnant"". Les traders qui sont dans ""la zone"" n&#39ont pas besoin de savoir - et ils s&#39en moquent - ce que le marché va faire par la suite. Eux savent ce qu&#39ils vont faire. Et c&#39est ce qui fait toute la différence.",https://m.media-amazon.com/images/S/amzn-author-media-prod/dj823eeiooh01ug57ln6cue8e6._SY600_.jpg
Christophe Nijdam,"Christophe Nijdam a été banquier aux États-Unis dans les années quatre-vingt, analyste financier pendant la crise des subprimes et dirigeant d&#39une ONG européenne dont la mission est de remettre la finance au service de la société. Également impliqué dans le monde universitaire, il a enseigné à Sciences Po pendant dix-huit ans. Il est l&#39auteur de Calculatrix : 85 astuces pour jongler de tête avec les chiffres.",https://m.media-amazon.com/images/S/amzn-author-media-prod/tnt9lka1sb8dt66f5jeh9omhu1._SY600_.jpg
Chris Miller,,
Benoist Rousseau,"Benoist Rousseau is a historian, blogger and french independent trader. After being a teacher for 10 years, he resigned to become self-employed trader and opened Andlil.com website where he shares his visions on trading, his economic analyses and his thoughts on the evolution of society. Andlil.com forum, which has more than a million posts, lets traders, both amateur and professional, exchange ideas about their passion in a respectful environment",https://m.media-amazon.com/images/S/amzn-author-media-prod/o83c5bdbtlj3hh828f9s5vv10i._SY600_.jpg
Thami Kabbaj,"En 10 leçons très illustrées, Thami Kabbaj donne les principes clés de l&#39analyse technique, et met ainsi à portée de tous les secrets de cette technique ancestrale d&#39analyse des cours.
De l&#39étude des différentes figures à leur interprétation pour bâtir une stratégie de trading, Thami Kabbaj apporte toute son expérience de professionnel pour vous permettre d&#39anticiper efficacement l&#39évolution des marchés, et de générer des gains explosifs.
Leçon n°1 : Faites comme les pros : utilisez l&#39analyse technique
Leçon n°2 : Apprenez à lire un graphique boursier
Leçon n°3 : Positionnez-vous avant tout dans le sens de la tendance dominante
Leçon n°4 : Optimisez votre timing avec l&#39analyse graphique
Leçon n°5 : Apprenez à décrypter la rythmique des indicateurs techniques
Leçon n°6 : Anticipez les retournements majeurs comme un gourou
Leçon n°7 : Misez sur les probabilités : privilégiez les signaux convergents
Leçon n°8 : Les techniques avancées
Leçon n°9 : La gestion du risque est la clé de la survie !
Leçon n°10 : Variez la taille de vos positions pour réaliser des gains spectaculaires !",https://m.media-amazon.com/images/S/amzn-author-media-prod/lh0gdh1nuc14h90k10i3sfo817._SY600_.jpg
Gérard Horny,"Gérard Horny, journaliste spécialisé, a effectué l&#39essentiel de sa carrière à l&#39hebdomadaire financier Investir, où il a été successivement rédacteur au service Economie, chef de service, rédacteur en chef adjoint et rédacteur en chef.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
John C. Bogle,"Présentation des astuces pour avoir un portefeuille d&#39actions et en tirer profit.
""Un fonds indiciel à bas coût est le placement en actions le plus raisonnable pour la grande majorité des investisseurs. Mon mentor, Ben Graham, a choisi cette position il a déjà plusieurs années de cela et tout ce que j&#39ai vu depuis m&#39a convaincu de cette vérité. Dans ce livre, John Bogie vous explique pourquoi.""
Warren E. Buffett, président de Berkshire Hathaway
""L&#39ouvrage de John Bogie apporte une précieuse contribution aux investisseurs. Le danger pour ces derniers est de croire en toutes sortes d&#39absurdités. Ceux qui combattent ces absurdités sont particulièrement utiles lorsque, comme Bogie, ils ne baissent jamais les bras face à la sottise.""
Charles T. Munger, Vice-président de Berkshire Hathaway
""Que vous en soyez conscient ou pas, Wall Street veut vous voler votre avenir. Si vous voulez l&#39arrêter, laissez tout tomber, lisez ce merveilleux petit livre et faites-en votre référence ; vos enfants et vos petits-enfants vous remercieront.""
William Bernstein, Conseiller en investissement et auteur de
The Four Pillars of lnvesting",
Gérard Horny,"Gérard Horny, journaliste spécialisé, a effectué l&#39essentiel de sa carrière à l&#39hebdomadaire financier Investir, où il a été successivement rédacteur au service Economie, chef de service, rédacteur en chef adjoint et rédacteur en chef.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Scott Galloway,"Extrait
Chapter 1: Stoicism

What kept me from economic security for much of my life was a stubborn belief that I was exceptional. The market reinforced this. I was starting companies, being profiled in magazines, and raising tens of millions for my start-ups. I was (obviously) on the verge of tens, if not hundreds, of millions as I was (obviously) exceptional. Getting close a couple times only reinforced the belief.

Convinced of my imminent jump to light speed, I ignored the idea of living below my means or saving and investing. The IPO or acquisition would be any day now. I could have easily saved $10,000 to $100,000 per year in my twenties and thirties, but why sacrifice when so much more is right around the corner? Right? Wrong. The dot bomb of 2000, a divorce, and the Great Financial Recession meant that every time the ball looked to be headed for the fence, it would veer foul. And then, at 42, my first son was born.

Angels singing? A Hallmark Channel moment? On the contrary. I was so nauseous I couldn&#39t stand upright. It wasn&#39t the blood and screaming that rendered me useless, but the wave of shame that washed over me. I had fucked up. I could have easily had a few million dollars in the bank, and I didn&#39t. I had failed. Until minutes earlier, I could handle that, because I&#39d only failed myself. What I couldn&#39t handle was the realization that I had failed my son.

My failure was constructed from poor choices, but it wasn&#39t from a lack of knowledge. I had an MBA, I&#39d raised many millions of dollars in capital, made payroll every week, and delivered profits every quarter. I understood money. I just wasn&#39t any good at it. I was not alone in this. A study of UK consumers found that while both financial illiteracy and a lack of self-control contributed to people getting over their head in debt, the data showed ""a stronger role for lack of self-control than for financial illiteracy in explaining consumer over-indebtedness.""

Economic security doesn&#39t derive from an intellectual exercise; it&#39s the result of a pattern of behavior. How can we avoid the pattern of behavior that leads to over-indebtedness and develop that which leads to wealth? Put another way, how can we align our behavior with our intentions? On the surface, this looks like self-control. But self-control suggests willpower, holding to a plan with white-knuckled grip. That&#39s exhausting, fighting your own impulses constantly. There has to be something deeper that enables some people to align their behavior with their intentions consistently over the years.

The distilled answer: character. In the face of modern capitalism&#39s temptations, human frailty, setbacks, and bad luck, our intended behaviors require durability, and that only comes when those behaviors are rooted in our true character. If durable changes of behavior could arise from intention alone, we would keep our New Year&#39s resolutions and never forget a thank-you note. What we do is an expression of who we are. Contrary to the popular saying, it is not the thought that counts.

This chapter explores the development of our character in three parts. First, I explore the essential mechanics and principles of character building. Second, I describe how I apply those principles in my own life, and then I suggest how you might think about building your own strong character. Lastly, I widen the lens to consider character in the community. Humans are a social species, and we can only achieve our full potential in cooperation (and sometimes competition) with others.

Character and Behavior

Humans have sought to build character throughout history. The good news: we know how it&#39s done. The bad: it&#39s difficult. But it&#39s neither mysterious nor complicated. Character and behavior exist in a self-reinforcing cycle. Just as our actions reflect our character, our character is ultimately the product of our actions. That cycle can be a virtuous circle or a destructive spiral-your choice. This is true for more than mere economic success. Living with purpose and consistency is what it means to live an authentic life, leaving it all on the field even if you come up short. The pursuit of wealth, like its cousin, the pursuit of happiness, is a whole-person project.

Humanity has learned the process many times, including through the teachings of Stoicism. Stoicism is a school of philosophy founded in classical Greece that flowered in the Roman Empire and has been reinvigorated by modern interpreters. Stoics regard the development of one&#39s character as the highest virtue, and they have written at length on its pursuit. I call this chapter ""Stoicism"" because the language of the Stoic philosophers and their modern interpreters resonates with me, and their teachings influence the way I approach my professional and personal life. That said, this section is not an exegesis of Stoic philosophy or limited to its teachings. Marcus Aurelius didn&#39t suggest we ""make rich friends,"" as I do in this section. But I like to think he&#39d be nodding through most of this chapter.

Around the same time the first Stoic philosophers were contemplating virtue in Greece, the disciples of Siddhartha Gautama were elaborating on his teachings, the emphasis on right intention, right action, and right mindfulness that form the heart of Buddhism. Centuries later, Jesus preached the importance of rightfulness and resistance from temptation, warning us: ""The flesh is willing, but the spirit is weak."" In nineteenth-century America, Thoreau wrote that the purpose of philosophy is not merely ""to have subtle thoughts,"" but rather ""to solve some of the problems of life, not only theoretically, but practically."" I suspect every culture and philosophy has some variation of what I cover here. Borrow from these traditions that which serves you.

Hung(a)ry

After graduating from UCLA, I traveled around Europe. At the Vienna airport I changed $300 in American Express Travelers Cheques (don&#39t ask . . . they made no sense then, either). Anyway, in exchange for three fake Benjamins, converted at 96¢ to the dollar into a foreign currency at an American Express travel office (see above: made no sense), I received several stacks of forints and was now the baller I was meant to be. A short train ride was all that stood between me and the consumer orgy waiting for me in Budapest.

In a store window I saw a beautiful leather travel bag, so I went inside. There I found people shopping for . . . spools of thread and needles. Before I even had the chance to ask about the bag, the woman behind the desk pointed at it and said, ""Not for sale."" Soon I was back at the travel office with my only slightly smaller stack of forints, getting a lesson in currency exchange and the bid-ask spread.

Thirty-five years of capitalism later, whether you are in Budapest, Hungary, or Budapest, Georgia (yes, this place exists), and you want toothpaste for sensitive teeth infused with olive oil or cereal that tastes like French toast, no problem. Those products exist and can be at your doorstep that afternoon. Say what you will about communism, but it sure made it easy to be frugal.

""The easiest way to make a dollar is to save a dollar"" is good advice. Yet every day, hundreds of times a day, we are confronted with messages, arguments, and encouragement to spend. Capitalism harnesses the ingenuity and energy of an entire society toward a singular purpose-to persuade you to spend money. It&#39s what makes the system function. The temptations range from an impulse purchase of gum at checkout to add-ons to your Amazon cart to an upgrade to economy-plus with priority boarding and free drinks. And, by the way, do you want to ""protect"" your trip (i.e., buy insurance) in case something happens . . . or check the ""I do not want to protect my trip"" box and feel irresponsible, negligent even? Don&#39t worry, American Airlines (or their insurance partner) can make you feel less negligent for an additional $39.95.

Craving Is in Our DNA

Capitalism has a lot to work with. For 99% of our species&#39s existence, most people didn&#39t live past 35. And the number-one killer was starvation, a lack of ""stuff."" It&#39s not YOLO (""You only live once"") that&#39s being whispered in your ear, but something much stronger: YNSN (""You need stuff now"") . . . or you will die.

We are biologically programmed to seek sugar, fat, and salt, because for most of our species&#39 existence these items were in short supply. Just the touch of these substances to our taste buds triggers a cascade of chemical reactions that read as pleasure in our consciousness. Our brains link memories of this pleasure to everything from the color of the packaging of chocolate to the intersection where our favorite burger joint resides. Our brain is trying to help when it does this, mapping us a route back to the ultimate reward, the best feeling: survival.

It gets worse. Once you&#39ve checked the ""survival"" box, another instinctive voice begins screaming at you: propagation. It&#39s easy for me to tell young people to save, invest, etc. However, a twentysomething is tasked with finding a mate. And finding a mate involves signaling and spending. Panerai watches and Manolo Blahniks are nods to your evolutionary obligations, to find a mate stronger, faster, and smarter than you so your genes will mingle with theirs and live forever.

At 23, after my first year at Morgan Stanley, I received a $30,000 bonus. I had, until this point, never had more than $1,000 in my checking account. Finally, a base to build from. A base? Yeah, right. I went out and bought a BMW 320i (hello, ladies). It was navy blue, and I hung swim goggles from the rearview. Why? Because once a week I was (wait for it) swimming. Neither of these actions had anything to do with transportation or exercise but signaled that I was strong and had resources . . . and that you should have sex with me. So . . . yeah . . . easier said than done. Also, there&#39s some logic that a certain level of signaling can be justified: looking good, putting yourself in social situations where there are mating opportunities (e.g., Coachella, clubs, Cancun).

Modern humans are doubly disadvantaged. We live in a world of excess but are built for an environment of scarcity. And we have built our economy on exploiting this disconnect. You are not going to think your way out of this dilemma.

You Are What You Do

Advice on careers, budgeting, and investing is not in short supply. Bookshelves, the Web, and social and family gatherings are bursting with it. None of it matters if it doesn&#39t translate into action. The gap between your intentions and your actions is a decent forward-looking indicator of your future success, emotionally and financially. When we describe people we admire, we call them ""courageous,"" ""entrepreneurial,"" or ""innovative."" These are all different shades of action, specifically people who are prone to action that foots to their values, words, and plans. As Carl Jung put it, ""You are what you do, not what you say you will do.""

Unfortunately, we are bombarded with messages that there are shortcuts to closing the gap between intentions and actions. In preparation for writing the classic guide to self-improvement The 7 Habits of Highly Effective People, Stephen Covey did not merely study successful people, he reviewed the literature on how to become successful. From the post-WWII period forward, he discerned a shift from what he termed the ""character ethic"" to a ""personality ethic."" Older works encouraged readers to build character: foster principles and values in themselves, to build success on the basis of virtues like temperance, industriousness, and patience. The more recent advice, on the other hand, focused on how to change merely your personality: how you present yourself to others. As the title of the grandfather of these self-improvement books puts it, How to Win Friends and Influence People.

Covey was working in the 1980s, but any time spent on the internet will confirm that this trend has only accelerated. Social media is littered with ""life hacks"" (something called mushroom coffee?), dating tips on the best ""openers,"" and other ""weird tricks."" Every aspect of our lives has a fad diet to better it. What keeps personality ethic advice flowing is that it might give you a momentary boost but it doesn&#39t work over any significant time span or against serious opposition. (A survey of 121 studies found that a variety of popular diets, no matter what theory they promoted or which celebrity promoted them, showed no effect on weight after a year.)

Just as adherents to fad diets inevitably slide back to their pre-diet weight, success tactics are just that-tactics, rooted entirely in a specific behavior-and won&#39t last. If I tell you the secret to success is waking up at 5:30 a.m., taking a cold shower, and running 5 miles, that&#39s not bad advice. Likely you will be more focused and productive on days when you follow it. And maybe you&#39ll follow it for a few days, even, if you are highly disciplined, a few weeks. But novelty wears off, and the morning&#39s dark and cold persists. I&#39ve spent a lot of my professional life around wealthy people, and some do get up at 5:30, take a cold shower, etc. But that&#39s not why they&#39re successful. Those are habits that are the product of living an industrious, disciplined life. Character and behavior are inextricable.

Ancient Defenses Against Modern Temptations

The Stoics identified the four virtues: courage, wisdom, justice, and temperance. I believe these are the keys to resisting temptations-and to much more.

Courage is our persistence, what modern thinkers often term ""grit."" We have courage when we do not let fear guide our actions: fear of poverty, fear of embarrassment, fear of failure. Instead, we are industrious, positive, and confident. Marketers are masters of exploiting our fears and insecurities. Courage is cheaper than Chanel, and it works better.

Wisdom, as described by Epictetus, is the ability ""to identify and separate matters so that I can say clearly to myself which are external and not under my control, and which have to do with the choices I actually control."" Or as Annie Proulx put it in Brokeback Mountain: ""If you can&#39t fix it, you gotta stand it.""

Justice is a commitment to the common good, a recognition that we are interdependent. The Stoic emperor Marcus Aurelius believed that justice was ""the source of all other virtues."" When we act with justice we are honest, and we take the full consequences of our actions into account. We can&#39t build good habits alone, and the latter part of this chapter takes on the ways in which our character is in part a function of community.
Revue de presse
“Profoundly insightful and a joy to read. Few explain complicated topics better than Scott Galloway.”
—Morgan Housel, New York Times bestselling author of The Psychology of Money


“The decisions you make at the beginning of your professional life have a compounding impact on your chances of success, and this invaluable guide will steer you toward an optimal outcome.”
—Annie Duke, bestselling author of Thinking in Bets


“The Algebra of Wealth is a book that is about far more than investing and wealth. It’s about how your life choices play out in your financial standing and wealth, and Scott delivers his lessons with humor and panache. I cannot recommend it strongly enough!""
—Aswath Damodaran, professor of finance, Stern School of Business, NYU


“Not only does Scott walk you through the vital steps to gaining financial independence, he provides compelling advice on how to build character, relationships, and an interesting life.”
—David Solomon, CEO of Goldman Sachs


“This is the type of high-impact financial advice that will actually get you to where you want to go.”
—Lyn Alden, financial analyst and author of Broken Money











En lire plus",https://m.media-amazon.com/images/S/amzn-author-media-prod/gt36igv5f6cj55j5itnva7gf97._SY600_.jpg
