Nom,Description,Photo
Jonas Salzgeber,,https://m.media-amazon.com/images/S/amzn-author-media-prod/320ua484avv798bfshv7sk1p7u._SY600_.jpg
Cyrus North,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Valentin Auwercx,,https://m.media-amazon.com/images/S/amzn-author-media-prod/i670vqg6bclubcr4q11ddm7je5._SY600_.jpg
Marc Aurèle,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Robert Mercier,,https://m.media-amazon.com/images/S/amzn-author-media-prod/oda0i7087u40e9co9guij2r4fu._SY600_.jpg
LEH Edition,,
Marie-Véronique Hémard,"Julien Dochez est inspecteur d&#39académie, inspecteur pédagogique régional d&#39histoire-géographie.
Diplômé de la Sorbonne, il est chargé d&#39enseignement à l&#39université polytechnique Hauts-de-France. Il a une longue expérience dans la préparation aux concours de la fonction publique, notamment à l&#39IPAG de Valenciennes et en classe préparatoire intégrée de l&#39IRA de Lille.


David Dubar est professeur d&#39histoire-géographie et formateur académique.
Diplômé de la Sorbonne, il est chargé d&#39enseignement à l&#39université polytechnique Hauts-de-France. Il a une longue expérience dans la préparation aux concours de la fonction publique, notamment à l&#39IPAG de Valenciennes et en classe préparatoire intégrée de l&#39IRA de Lille.",
André Comte-Sponville,"Normalien, agrégé et docteur de troisième cycle, André Comte-Sponville a longtemps enseigné la philosophie à l’université Paris I Panthéon-Sorbonne. Il est l’auteur d’une trentaine d’ouvrages traduits dans le monde entier.",https://m.media-amazon.com/images/S/amzn-author-media-prod/jkrdij5bpga2vuih47ug5foll4._SY600_.jpg
Sofia Briffaut,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Louis-Arthur Girard,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Caela Gillespie,"Caëla Gillespie est professeure de philosophie. Elle enseigne actuellement en classes préparatoires en région Ile-de-France. Ancienne élève de l’École Normale Supérieure, Agrégée et docteure en philosophie, elle cherche avant tout à « penser l’évènement » et à construire avec ses étudiants une réflexion critique sur l’actualité. La question de la nature de l’ultralibéralisme est au cœur de sa réflexion.",
Daniele Giglioli,"Daniele Giglioli es profesor de Literatura comparada en la Universidad de Bérgamo. Colabora con el periódico Corriere della Sera. Entre sus publicaciones destacan Tema (2001), Il pedagogo e il libertino (2002), All’ordine del giorno è il terrore (2007), Senza trauma (2011) y Stato di minorità (2015).",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Kamel Abbadi,"Professeur agrégé de biochimie à l&#39 IFSI Poissy-Saint Germain en Laye, Yvelines (en 2010).

Médecin biologiste.

Docteur en médecine. Praticien hospitalier au CHU de Marseille (en 2014).

Professeur certifié de biochimie, génie biologique. Titulaire d&#39une certification complémentaire DLN, anglais.

Docteur en biologie moléculaire et cellulaire (Strasbourg 1, 1997). Ingénieur hospitalier au Département de génétique médicale à Hôpital de La Timone, Marseille (depuis 2006). Enseignant en école d&#39ostéopathie (depuis 2008) et à l&#39Institut de formation en soins infirmiers d&#39Aix-Marseille (depuis 2009).",
Alexis Haupt,"Alexis Haupt est né en 1990. A l&#39âge de vingt ans, il écrit ses premiers essais de philosophie. Depuis cette date, il écrit quotidiennement sur diverses thématiques. Il est présent sur les réseaux sociaux depuis la crise sanitaire et y est surtout connu pour ses prises de position concernant la ""crise démocratique"". Ses propres méditations l&#39ont conduit à avoir une grille de lecture personnelle du monde, laquelle prône avant tout un éveil de la conscience des Hommes, c&#39est-à-dire du ""moi-pensant"", et, ce dès l&#39enfance.",https://m.media-amazon.com/images/S/amzn-author-media-prod/6seve6b25ktj27astckc0s7pr1._SY600_.jpg
Baruch de Spinoza,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
