Nom,Description,Photo
Georges Bensoussan,"Agrégé d'histoire, HDR, Georges Bensoussan est historien des mondes juifs. En « Que sais-je ? », il est l'auteur de l'Histoire de la Shoah (no 3081).",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Ma petite librairie Arc en ciel,,https://m.media-amazon.com/images/S/amzn-author-media-prod/kkvui1l6dok4c4ndvo2q12d2n._SY600_.jpg
Robert Greene,"Robert Greene, author of bestselling books including Mastery, The 48 Laws of Power and The Art of Seduction (both from Profile), has a degree in Classical Studies and has been an editor at Esquire and other magazines. He is also a playwright and lives in Los Angeles.",
Frantz Fanon,"Frantz Fanon (1925-1961), né à Fort-de-France, il s'engage dans les Forces françaises libres en 1943, puis étudie la médecine, la philosophie et la psychologie à Lyon. Il devient médecin-chef de l'hôpital psychiatrique de Blida, mais il est expulsé d'Algérie en 1957 et s'installe à Tunis où il reste lié aux dirigeants du GPRA. Il meurt d'une leucémie après avoir publié deux autres ouvrages consacrés à la révolution algérienne et à la décolonisation.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Peter Heather,"Peter Heather was born in Northern Ireland and educated at Maidstone Grammar School and New College, Oxford. He briefly joined HM Treasury before being awarded the Murray Fellowship in History at Worcester College, Oxford. His previous books include Goths and Romans, 332-489 (1991) and The Goths in the Fourth Century (1991).",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Jared Diamond,"La question essentielle, pour la compréhension de l'état du monde contemporain, est celle de l'inégale répartition des richesses entre les sociétés : pourquoi une telle domination de l'Eurasie dans l'histoire ? Pourquoi ne sont-ce pas les indigènes d'Amérique, les Africains et les aborigènes australiens qui ont décimé, asservi et exterminé les Européens et les Asiatiques ?Cette question cruciale, les historiens ont renoncé depuis longtemps à y répondre, s'en tenant aux seules causes prochaines des guerres de conquête et de l'expansion du monde industrialisé. Mais les causes lointaines, un certain usage de la biologie prétend aujourd'hui les expliquer par l'inégalité supposée du capital génétique au sein de l'humanité.Or l'inégalité entre les sociétés est liée aux différences de milieux, pas aux différences génétiques. Jared Diamond le démontre dans cette fresque éblouissante de l'histoire de l'humanité depuis 13 000 ans. Mobilisant des disciplines aussi diverses que la génétique, la biologie moléculaire, l'écologie des comportements, l'épidémiologie, la linguistique, l'archéologie et l'histoire des technologies, il marque notamment le rôle de la production alimentaire, l'évolution des germes caractéristiques des populations humaines denses, favorisées par la révolution agricole, le rôle de la géographie dans la diffusion contrastée de l'écriture et de la technologie, selon la latitude en Eurasie, mais la longitude aux Amériques et en Afrique.",https://m.media-amazon.com/images/I/31rmS-HV34L._SY600_.jpg
David Graeber,"Voici l'édition Poche collector du grand livre de davdi Graeber et David Wengrow. Depuis des siècles, nous nous racontons sur les origines des sociétés humaines et des inégalités sociales une histoire très simple. Pendant l’essentiel de leur existence sur terre, les êtres humains auraient vécu au sein de petits clans de chasseurs-cueilleurs. Puis l’agriculture aurait fait son entrée, et avec elle la propriété privée. Enfin seraient nées les villes, marquant l’apparition non seulement de la civilisation, mais aussi des guerres, de la bureaucratie, du patriarcat et de l’esclavage. Ce récit pose un gros problème : il est faux.",https://m.media-amazon.com/images/S/amzn-author-media-prod/bip217dmm2n9abnsifoupq0a45._SY600_.jpg
Henry Gee,"Henry Gee est paléontologue et biologiste évolutionniste. Il est rédacteur en chef chez Nature et auteur de plusieurs livres scientifiques et de science-fiction. Il a écrit pour The Guardian, The Times et BBC Focus.",https://m.media-amazon.com/images/S/amzn-author-media-prod/gofkfma8hronaelvi61d60doju._SY600_.jpg
Ilan Pappe,"'A major intervention in an argument that will, and must, continue. There's no hope of lasting Middle East peace while the ghosts of 1948 still walk.' ― Independent

'Along with the late Edward Said, Ilan Pappe is the most eloquent writer of Palestinian history.' ― New Statesman

'Pappe has opened up an important new line of inquiry into the vast and fateful subject of the Palestinian refugees. His book is rewarding in other ways. It has at times an elegiac, even sentimental, character, recalling the lost, obliterated life of the Palestinian Arabs and imagining or regretting what Pappe believes could have been a better land of Palestine.' ― Times Literary Supplement

'Ilan Pappe is Israel's bravest, most principled, most incisive historian.' ― John Pilger - director of The War on Democracy and author of Freedom Next Time

'Superb account of how, and why, Palestinians were driven out of their homes.' ― Socialist Review

'Pappe’s book is an essential read for anyone trying to understand the politics and history of the Middle East.' ― Frontline Magazine (an Independent Marxist review from Scotland)

'Leading Israeli historian Ilan Pappe delves into his country's bloodied past in search of answers in the present.' ― Morning Star

'Pappe is one of the brave few voices to stand up and be counted in the oppressive atmosphere of Israeli society. Pappe's book is a searing account of the horrific brutality perpetrated during the birth of the state of Israel.' ― Morning Star

'Pappe is well positioned to lob a grenade such as this one into the twin worlds of Middle Eastern studies and politics. Pappe's book should shock and shame the academic world' ― Arab Banker

'Pappe's ethical clarity and humane vision permeate The Ethnic Cleansing of Palestine... Given the meticulous research and compelling moral imperative embodied in The Ethnic Cleansing of Palestine, Zionism itself may be in trouble.' ― Race and Class

'Pappe offers a scorching indictment of Israel's treatment of the Palestinian people in The Ethnic Cleansing of Palestine.' ― Metro

'A bold expose of Israel's purge of its Arab population in the early years of its existence. It should be read by anyone wanting to grasp the seemingly unfathomable background to the Israel-Palestine conflict. Pappe himself should be supported and applauded.' ― Morning Star

'Ilan Pappe's The Ethnic Cleansing of Palestine is a vital contribution to the scholarship from these new historians… Pappe forever puts to rest any doubt that Palestinians were systematically and brutally expelled from their homeland.' ― Against the Current (An independent socialist organisation)

'Pappe’s book will command attention.' ― Washington Report on Middle East Affairs

'Superb account of how, and why, Palestinians were driven out of their homes. Pappe explains why there can be no peace until this crime has been acknowledged and redressed.' ― Scottish Review

'The organization of the material in this book leaves almost nothing to be desired. The twelve sections substantially challenge and considerably undermine the ostensibly convincing Israeli discourse on the refugees question and the 1984 events.' ― Arab Studies Quarterly

'Shocking, telling and illuminating.' ― Emel

'Groundbreaking research into a well-kept Israeli secret. A classic of historical scholarship on a taboo subject by one of Israel's foremost New Historians.' ― Ghada Karmi - Institute of Arab and Islamic Studies, University of Exeter, England, UK",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Kamel Abbadi,"Professeur agrégé de biochimie à l' IFSI Poissy-Saint Germain en Laye, Yvelines (en 2010).

Médecin biologiste.

Docteur en médecine. Praticien hospitalier au CHU de Marseille (en 2014).

Professeur certifié de biochimie, génie biologique. Titulaire d'une certification complémentaire DLN, anglais.

Docteur en biologie moléculaire et cellulaire (Strasbourg 1, 1997). Ingénieur hospitalier au Département de génétique médicale à Hôpital de La Timone, Marseille (depuis 2006). Enseignant en école d'ostéopathie (depuis 2008) et à l'Institut de formation en soins infirmiers d'Aix-Marseille (depuis 2009).",
Kamel Abbadi,"Professeur agrégé de biochimie à l' IFSI Poissy-Saint Germain en Laye, Yvelines (en 2010).

Professeur certifié de biochimie, génie biologique. Titulaire d'une certification complémentaire DLN, anglais.",
Daniel Biebuyck,"Daniel Biebuyck was H. Rodney Sharp Professor of Anthropology and the Humanities at the University of Delaware.
Kahombo C. Mateene was Head of the Division of Language Policy of the Organization of African Unity / Center for Linguistic and Historical Studies by Oral Tradition.",
Yuval Noah Harari,"Revue de presse
I would recommend Sapiens to anyone who’s interested in the history and future of our species ― Bill Gates

Interesting and provocative… It gives you a sense of how briefly we’ve been on this Earth ― Barack Obama

Jaw-dropping from the first word to the last… It may be the best book I’ve ever read ― Chris Evans

Tackles the biggest questions of history and the modern world… Written in unforgettably vivid language ― Jared Diamond

Startling... It changes the way you look at the world ― Simon Mayo

Sapiens is a starburst of a book, as enjoyable as it is stimulating ― Sunday Express

One of the best books I’ve read recently… Gives an excellent overview of how our species has developed ― Lily Cole

Sweeps the cobwebs out of your brain… Radiates power and clarity, making the world strange and new ― Sunday Times
Quatrième de couverture
Planet Earth is 4.5 billion years old. In just a fraction of that time, one species among countless others has conquered it. Us. We are the most advanced and most destructive animals ever to have lived. What makes us brilliant? What makes us deadly? What makes us Sapiens? In this bold and provocative book, Yuval Noah Harari explores who we are, how we got here and where we're going.
Sapiens is a thrilling account of humankind's extraordinary history - from the Stone Age to the Silicon Age - and our journe
En lire plus",https://m.media-amazon.com/images/S/amzn-author-media-prod/jorjp12f9jbo3ojjmn1aacli7s._SY600_.jpg
