Nom,Description,Photo
Marie Zafimehy,"Avant, les choses paraissaient simples : on était soit hétérosexuel, soit homosexuel. En réalité, les autres identités se cachaient pour éviter de subir l&#39opprobre de la société dont les homosexuels commençaient à peine à s&#39extraire.Aujourd&#39hui, nous revendiquons notre genre : l&#39épanouissement du féminisme et le mouvement #MeToo ont permis à chacun de s&#39interroger sur son identité et de l&#39assumer. Nonbinaire, asexuel, trans, intersexe, fluide... Nous découvrons alors une multiplicité de comportements, et nous sommes un peu perdus !À la manière d&#39un dictionnaire, cet ouvrage nous donne toutes les clés de compréhension des genres, à travers une nomenclature précise. Quelle est l&#39histoire et le sens de chacun d&#39eux ? Promis, c&#39est pas si compliqué !Avec clarté et pédagogie, ce livre nous éclaire sur la place de toutes ces personnes au sein de la société, leurs difficultés d&#39intégration, leurs valeurs, leurs personnalités cultes, leurs combats, leurs références culturelles, et aborde sous forme d&#39encadrés certains débats contemporains : l&#39affaire J. K. Rowling, l&#39usage de l&#39écriture inclusive, la polémique Jordan Peterson... Le tout illustré par Émilie Sarnel.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Marie Zafimehy,"Avant, les choses paraissaient simples : on était soit hétérosexuel, soit homosexuel. En réalité, les autres identités se cachaient pour éviter de subir l&#39opprobre de la société dont les homosexuels commençaient à peine à s&#39extraire.Aujourd&#39hui, nous revendiquons notre genre : l&#39épanouissement du féminisme et le mouvement #MeToo ont permis à chacun de s&#39interroger sur son identité et de l&#39assumer. Nonbinaire, asexuel, trans, intersexe, fluide... Nous découvrons alors une multiplicité de comportements, et nous sommes un peu perdus !À la manière d&#39un dictionnaire, cet ouvrage nous donne toutes les clés de compréhension des genres, à travers une nomenclature précise. Quelle est l&#39histoire et le sens de chacun d&#39eux ? Promis, c&#39est pas si compliqué !Avec clarté et pédagogie, ce livre nous éclaire sur la place de toutes ces personnes au sein de la société, leurs difficultés d&#39intégration, leurs valeurs, leurs personnalités cultes, leurs combats, leurs références culturelles, et aborde sous forme d&#39encadrés certains débats contemporains : l&#39affaire J. K. Rowling, l&#39usage de l&#39écriture inclusive, la polémique Jordan Peterson... Le tout illustré par Émilie Sarnel.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Jean-Dominique Michel,"Anthropologue, expert en santé publique, Jean-Dominique Michel est un spécialiste des déterminants de la santé, de la salutogenèse et de l’adéquation entre les dispositifs sanitaires et les besoins de la population. Ses interventions au cours de la crise Covid ont rejoint des millions de personnes et reçu un très large soutien au sein de la communauté scientifique.",
Charline VERMONT,"Charline Vermont est praticienne en sexothérapie et enseignante en DU de Santé Sexuelle (La Sorbonne). À travers son compte Instagram Orgasme_et_moi (plus de 700k abonné.e.s) et ses conférences, elle permet à tou.te.s de bénéficier d&#39une éducation positive à la sexualité et au consentement. Son premier livre Corps, Amour, Sexualité : les 120 questions que vos enfants vont vous poser est un best-seller.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Philippe Boxho,,
Etienne Delarcher,Étienne Delarcher est journaliste indépendant.,
Elodie Font,,
Jean-Dominique Michel,"Anthropologue, expert en santé publique, Jean-Dominique Michel est un spécialiste des déterminants de la santé, de la salutogenèse et de l’adéquation entre les dispositifs sanitaires et les besoins de la population. Ses interventions au cours de la crise Covid ont rejoint des millions de personnes et reçu un très large soutien au sein de la communauté scientifique.",https://m.media-amazon.com/images/I/B1qaQmkvNGS._SY600_.jpg
Michelle Dayan,,
Didier Van Cauwelaert,"Prix Goncourt, Grand prix du Théâtre de l&#39Académie française, prix Science-Frontières de la vulgarisation scientifique, Didier van Cauwelaert a participé à de nombreuses expériences avec des chercheurs renommés sur les états modifiés de conscience et les pouvoirs de la pensée.",https://m.media-amazon.com/images/I/41xQvO5rThL._SY600_.jpg
