Nom,Description,Photo
Alexandra Monot,"Alexandra Monot est professeure agrégée et docteur en géographie à l&#39université de Strasbourg. Elle dirige la collection Amphi Capes Agrégation Géographie et les manuels de géographie publiés en partenariat avec l&#39APHG.

 Frank Paris est professeur agrégé en géographie et enseigne en classes préparatoires. Il travaille sur la notion d’habiter et sur les îles tropicales.


Matthieu Schorung est docteur en géographie et aménagement, chercheur post-doctorant au sein de la Chaire Logistics City, laboratoire SPLOTT à l’université Gustave Eiffel.


Paul-André Havé est agrégé d&#39histoire-géographie. Après des études d&#39histoire à Strasbourg, il enseigne l&#39histoire -géographie en lycée.


Clémence Cattaneo, ancienne élève de l&#39ENS et professeure de chaire supérieure en géographie, enseigne la géopolitique en CPGE économiques et commerciales au lycée Thiers à Marseille depuis dix ans.",
Christian Grataloup,Christian Grataloup est géohistorien. Professeur émérite à l&#39université Paris Diderot. Il a publié de nombreux ouvrages et dirige la collection d&#39atlas historiques aux éditions Les Arènes.,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Frank Paris," Frank Paris est professeur agrégé en géographie et enseigne en classes préparatoires. Il travaille sur la notion d’habiter et sur les îles tropicales.


Marie Crépin-Leblond et professeure d&#39histoire-géographie.


Alexandra Monot est professeure agrégée et docteur en géographie à l&#39université de Strasbourg. Elle dirige la collection Amphi Capes Agrégation Géographie et les manuels de géographie publiés en partenariat avec l&#39APHG.",
Laurent BIHL,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
111 FunFacts,,https://m.media-amazon.com/images/S/amzn-author-media-prod/hee1tslcti9j7bvbqe8gcmvq2a._SY600_.jpg
,,
David Blanchon,"David Blanchon est géographe. Il enseigne à l&#39université Paris-Ouest Nanterre après avoir passé deux ans au sein de l&#39IRL iGlobes (CNRS-université d&#39Arizona) à Tucson, Arizona. Aurélie Boissière est cartographe indépendante.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
,,
Frank Paris," Frank Paris est professeur agrégé en géographie et enseigne en classes préparatoires. Il travaille sur la notion d’habiter et sur les îles tropicales.


Laurent Courdrier est agrégé de géographie, professeur en classes préparatoires au lycée Gambetta-Carnot à Arras et chargé de cours aux universités de Lille et de Valenciennes.",
Gérard Noiriel,"Gérard Noiriel Spécialiste d&#39histoire sociale et d&#39histoire de l&#39immigration, Gérard Noiriel est directeur d&#39études à l&#39Ecole des hautes études en sciences sociales.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Paul Cary,"Paul Cary est agrégé de sciences économiques et sociales, maître de conférences en sociologie habilité à diriger des recherches à l&#39université de Lille, chercheur au CeRIES. Il a codirigé l&#39ouvrage et rédigé avec Bruno Villalba l&#39introduction, la partie Repères et le chapitre ""Reconcep-tualiser nos rapports à la nature, un aperçu des enjeux théoriques"". Il a également rédigé le chapitre ""Une problématisation internationale des désastres environnementaux"". Bruno Villalba est professeur de science politique à AgroParisTech, chercheur au laboratoire Printemps. Il a codirigé l&#39ouvrage, rédigé avec Paul Cary l&#39introduction, la partie Repères et le chapitre ""Reconcep-tualiser nos rapports à la nature, un aperçu des enjeux théoriques"". Il a également rédigé la fiche ""Mobilisations politiques de l&#39environnement"".",
Bernadette Mérenne-Schoumaker,"Assurer son approvisionnement, valoriser ses ressources naturelles et réussir la transition énergétique. Nourrir les hommes, répondre à leurs besoins énergétiques et préserver l&#39environnement : ce sont les grands enjeux du monde d&#39aujourd&#39hui et de demain. • Grands métaux industriels, hydrocarbures, métaux rares, produits agricoles, bois et même eau douce : toutes ces matières premières sont devenues des biens qui s&#39échangent dans le monde entier. • Quels choix stratégiques opérer dans un contexte d&#39épuisement des ressources et d&#39instabilité des marchés ? • Acteurs, enjeux socio-économiques et environnementaux : comment mettre en place une économie des matières premières réellement durable et solidaire. Les 100 cartes et infographies, entièrement mises à jour pour cette nouvelle édition, nourrissent la réflexion face au défi d&#39une gestion raisonnée de ces matières premières.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Jean Soulat,"Jean Soulat fait partie des rares archéologues à être spécialiste de la piraterie. En 2019, il initie la création d’un programme de recherche centré sur l’étude des sites pirate en mer et sur la terre ferme à proximité des îles de l’océan Indien. Son travail est au centre d’un documentaire passionnant diffusé en 2023 sur Arte : “La véritable histoire des pirates”.",https://m.media-amazon.com/images/S/amzn-author-media-prod/4iv46q0b71h83v3d8njrlrnnfm._SY600_.jpg
GILLI Frédéric,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Elisée Reclus,"Un traité géographique qui est aussi une méditation poétique et morale, par l&#39anarchiste Reclus.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Alexandra Monot,"Alexandra Monot est professeure agrégée et docteur en géographie à l&#39université de Strasbourg. Elle dirige la collection Amphi Capes Agrégation Géographie et les manuels de géographie publiés en partenariat avec l&#39APHG.

 Frank Paris est professeur agrégé en géographie et enseigne en classes préparatoires. Il travaille sur la notion d’habiter et sur les îles tropicales.


Matthieu Schorung est docteur en géographie et aménagement, chercheur post-doctorant au sein de la Chaire Logistics City, laboratoire SPLOTT à l’université Gustave Eiffel.


Paul-André Havé est agrégé d&#39histoire-géographie. Après des études d&#39histoire à Strasbourg, il enseigne l&#39histoire -géographie en lycée.


Clémence Cattaneo, ancienne élève de l&#39ENS et professeure de chaire supérieure en géographie, enseigne la géopolitique en CPGE économiques et commerciales au lycée Thiers à Marseille depuis dix ans.",
Pierre Blanc,,
Stéphane Mourlane,"Stéphane Mourlane : Agrégé et docteur en histoire, ancien membre de l&#39Ecole française de Rome, actuellement maître de conférences en histoire contemporaine à l&#39université d&#39Aix-Marseille et chercheur au sein de l&#39UMR Telemme à la Maison méditerranéenne des sciences de l&#39homme d&#39Aix-en-Provence. Ses travaux portent sur l&#39histoire culturelle et politique de l&#39immigration italienne, en particulier dans le sud-est de la France. Il est l&#39auteur, en collaboration avec Ralph Schor et Yvan Gastaut, de Nice cosmopolite, 1860-2010 (Paris, Autrement, 2010), avec Aurélien Delpirou, d&#39Atlas de l&#39Italie contemporaine. En quête d&#39unité (Paris, Autrement, 2011), et avec Céline Regnard d&#39Empreintes italiennes. Marseille et sa région (Lyon, Lieux-Dits, 2013). Il est le commissaire scientifique de l&#39exposition ""Ciao Italia ! Un siècle d&#39immigration et de culture italiennes en France"" au Musée national de l&#39histoire de l&#39immigration (2017). Dominique Païni : Anicien directeur de la Cinémathèque française puis du Centre Pompidou, il est aujourd&#39hui commissaire d&#39expositions : ""Hitchcock et les arts"" (2001) ; ""Jean Cocteau, sur le fil du siècle"" (2003) ; ""La main numérique"" (2008 et 2010 à Taiwan) ; ""ABC, Art belge contemporain"" (Le Fresnoy, Lille, 2011) ; ""Hsieh Chun-Te"" (Pavillon de Taiwan, Biennale de Venise, 2011), et co-commissaire de ""II était une fois Walt Disney"" (Grand Palais, Paris, 2006). Expositions récentes : ""Antonioni"" (Ferrare, 2013, Bruxelles et Paris, 2015) ; ""Lewis Baltz"" (BAL, Paris, 2014) ; ""Gaumont, 120 ans de cinéma"" (Le 104, Paris, 2015) et ""Jean-Michel Alberola"" (palais Tokyo, Paris, 2016). II enseigne l&#39histoire du cinéma à l&#39Ecole du Louvre de 2002 à 2014 à la HEAD de Genève en 2017. Ses livres sont consacrés aux relations entre le cinéma et les autres arts : Le Temps exposé, le cinéma de la salle au musée (Editions des Cahiers du Cinéma. 2002), Le Cinéma un art plastique (Editions Yellow Now, 2014).",
Matthew D Vocke,,
Patrick Weil,"À l&#39heure où la ""question immigrée"" divise le pays, une seule certitude réunit les adversaires : la France n&#39a pas de politique de l&#39immigration. Des textes épars, des pratiques gouvernementales de circonstance, des administrations incompétentes : rien qui puisse ressembler à une stratégie cohérente et continue.Au terme de plusieurs années de recherches, après avoir consulté nombre d&#39archives inacessibles et mené des entretiens avec plus de cent vingt acteurs de la vie publique, Patrick Weil prouve ici le contraire. Il démontre que les principes consensuels d&#39une politique française de l&#39immigration - constituée progressivement à partir de la fin des années trente autour de grands choix, puis définitivement arrêtée à la Libération - existent bel et bien. Cachés au grand public pour des raisons politiques, ils singularisent la France parmi ses principaux partenaires occidentaux.Mais des principes aux réalités, il y a les approximations, les erreurs et les dérives d&#39une pratique qui se cherchera pendant quarante ans : La France et ses étrangers constitue le récit inédit de cette aventure dans les coulisses du pouvoir d&#39État.",https://m.media-amazon.com/images/S/amzn-author-media-prod/52leiaimarbrca52iggq845919._SY600_.jpg
Olivier Dabène,Olivier Dabène est professeur à Sciences-Po Paris et président de l&#39Observatoire politique de l&#39Amérique latine et des Caraïbes (Opale). Frédéric Louault est professeur de science politique à l&#39université libre de Bruxelles (ULB) et directeur du Cevipol de l&#39ULB. Aurélie Boissière est géographe-cartographe indépendante.,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Arlette Bravo-Prudent,"Arlette Bravo-Prudent, originaire de la Martinique, participa très tôt au mouvement des jeunes contre les injustices et les discriminations. Elle choisit Paris pour ses études universitaires où elle fréquenta le Cercle Frant Fanon des intellectuels. Lors de séjours en Angleterre, elle se prit d&#39intérêt pour la Caraïbe anglophone. En 1983, de retour au pays, elle créa le ""Carribean Contact"" et mit la culture anglophone au coeur de son enseignement. Puis elle intégra les collectivités territoriales, participa à la création de l&#39Association des Etats de la Caraïbe et multiplia les rencontres à la découverte de l&#39archipel Enseignante et chercheuse, elle a soutenu en 2003 un doctorat sur la civilisation caribéenne anglophone (Paris Sorbonne). Elle travaille actuellement à l&#39organisation d&#39une coopération régionale et internationale de la santé.",
,,
François Cérésa,"François Cérésa a fait tous les métiers : maçon, peintre, journaliste au Figaro, rédacteur en chef du Nouvel Observateur, chauffeur de maître et même écrivain. Son œuvre compte une trentaine d&#39ouvrages et réunit essais, romans et exercices d&#39admiration, souvent récompensés, notamment par le Grand Prix Michel Déon de l&#39Académie française. Il est le fondateur et le directeur de la revue Service littéraire.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Outils du directeur d&#39école,,
Gérard Noiriel,Gérard Noiriel est directeur d&#39études à l&#39école des hautes études en sciences sociales Co-fondateur de la revue Genèses et auteur de nombreux ouvrages dont Sur la “crise” de l&#39histoire échos des médias Carnet de bord n°2 2001 […] On ne peut en effet que saluer la manière dont l’auteur construit son questionnement […],https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Épiphane Mouvondo,"Épiphane MOUVONDO est enseignant-chercheur au Département de Géographie de l&#39Université Omar Bongo de Libreville (Gabon). Titulaire d&#39un doctorat en géographie de l&#39Université de Nantes (France), il poursuit des recherches sur les transports et la logistique en relation avec le développement des territoires.",
,,
Jean Teulé,,https://m.media-amazon.com/images/I/41ncVjxXM1L._SY600_.jpg
Donella Meadows,"If you only read one book ... make this it! -- L HUNTER LOVINS, co-author of Natural Capitalism

It is time for the world to re-read Limits to Growth! The message
of 1972 is more real and relevant now, and we wasted 30 valuable years of
action by misreading the message of the first book&#39 -- MATTHEW R SIMMONS, founder, Simmons & Company International, the world&#39s largest energy investment banking firm

Not everything bears repetition, but truth does - especially when
that truth is both denied by entrenched interests and verified by new
information. --HERMAN E DALY, former World Bank senior economist and professor, University of Maryland

This is compelling, essential and indeed necessary reading for all
concerned with our common future. --International Journal of Sustainability in Higher Education Vol 6 no 3 2005

This is superb stuff. If you read only one book this year my guess
is that it should be this one!
--Social and Environmental Accounting Journal, April 2005",
Jean-René Genty,"Jean-René Genty, haut fonctionnaire, travaille sur l&#39histoire des différentes immigrations dans la région du Nord. Il a notamment publié aux éditions de l&#39Harmattan trois ouvrages : L&#39immigration algérienne dans le Nord-Pas-de-Calais, 1909-1962, en 1999 ; dans la collection CREAC-Histoire, Des Algériens dans la région du Nord. De la catastrophe de Courrières à l&#39indépendance, en 2005 et Les nationalistes algériens dans le département du Nord (1947-1957). Fidaou al Djazaïr, en 2008.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
