Nom,Description,Photo
François Lecointre,"Ancien chez d'état-major des armées, le général d'armée François Lecointre est grand chancelier de la Légion d'honneur.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Vincent Lemire,"Agrégé d'histoire, Thomas Snégaroff a longtemps enseigné l'histoire et la géopolitique au lycée, en classes préparatoires et à Sciences-Po avant de devenir journaliste. Il présente "" Le Grand Face-à-face "" le samedi sur France Inter et "" C Politique "" le dimanche sur France 5.

Ancien élève de l'ENS Fontenay/Saint-Cloud, Vincent Lemire est agrégé d'histoire et docteur en histoire. Il a été directeur du Centre de recherche français de Jérusalem (CNRS-MAE) entre 2019 et 2023. Il est actuellement professeur à l'université Paris-Est/Gustave-Eiffel et directeur du projet européen Open Jerusalem (www.openjerusalem.org).",https://m.media-amazon.com/images/S/amzn-author-media-prod/4rpunqlek8r4um20ph2lu0nld0._SY600_.jpg
Alain Bauer,"Alain Bauer est professeur de criminologie au Conservatoire National des Arts et Métiers, New York et Shanghai. Il est responsable du pôle sécurité défense - renseignement criminologie cybermenaces et crises. Il a publié une soixantaine d'ouvrages sur les questions de sécurité, criminelles et de terrorisme.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Emmanuel Todd,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
McSkyz,"Passionné de true crime, Joris Lavarenne alias McSkyz publie sur sa chaîne YouTube une nouvelle “histoire vraie et flippante” presque tous les vendredis soirs depuis 2018. Ses “HVF” comptent aujourd’hui entre 500 000 et 1, 5 millions de vues.

Acharné de travail, il s’enferme jusqu’à douze heures par jour dans le studio d’enregistrement aménagé chez lui. Disparitions mystérieuses, meurtres, séquestrations, toutes les affaires sont décortiquées par ses soins, de la découverte du crime à sa résolution…

Mêlant vidéos, illustrations et photos, il se met également en scène face caméra.",
Maurizio Serra,"Diplomate et écrivain italien, Maurizio Serra est actuellement ambassadeur d'Italie à l'Unesco. Il est l'auteur de brillantes biographies, en particulier celle de Curzio Madaparte (prix Goncourt 2011). En 2018, il est récompensé d'un prix Prince Pierre de Monaco pour l'ensemble de son oeuvre et en 2020, il est élu à l'Académie française.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Aldo Sterone,,https://m.media-amazon.com/images/I/71VfJKVcBNL._SY600_.jpg
Christophe Clavel,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Florence BERGEAUD-BLACKLER,"Florence Bergeaud-Blackler est anthropologue, chargée de recherche CNRS (HDR) au groupe Sociétés, religions, laïcité à l’École pratique des hautes études.",https://m.media-amazon.com/images/S/amzn-author-media-prod/5hp9rgbp1kr4qtrif71qi1audq._SY600_.jpg
Alexandra Saviana,"Alexandra Saviana est journaliste société à L'Express. Elle a auparavant travaillé à Marianne. Elle est l'auteure de l'enquête L'or de la Montagne Noire, un scandale sanitaire français, chez JC Lattès (2021).",
Alain Bauer,"Alain Bauer est professeur de criminologie au Conservatoire National des Arts et Métiers, New York et Shanghai. Il est responsable du pôle sécurité défense - renseignement criminologie cybermenaces et crises. Il a publié une soixantaine d'ouvrages sur les questions de sécurité, criminelles et de terrorisme.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Nathalie Schuck,"Nathalie Schuck, grand reporter et rédactrice en chef adjointe du Point, a suivi les mandats de Nicolas Sarkozy, François Hollande et Emmanuel Macron. Elle est l'auteure de Madame la Présidente (Plon, 2019) avec Ava Djamshidi, et de Ça reste entre nous, hein ? Deux ans de confidences de Nicolas Sarkozy (Flammarion, 2014) avec Frédéric Gerschel.",
Renaud Camus,,https://m.media-amazon.com/images/S/amzn-author-media-prod/5b7biqv80913laigj1f49q00nm._SY600_.jpg
Valérie Benaïm,"Valérie Benaïm est une journaliste et animatrice de télévision très populaire.
Elle est une chroniqueuse régulière de l’émission Touche pas à mon poste ! sur C8.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Gilles Kepel,"Gilles Kepel est Professeur des universités, politiste et arabisant. Il a notamment publié Terreur dans l'Hexagone. Genèse du djihad français (2015), Sortir du chaos. Les crises en Méditerranée et au Moyen-Orient (2018) et Prophète en son pays (2023). Ses livres sont traduits dans une vingtaine de langues.

Cartes inédites de Fabrice Balanche, maître de conférences à
l'université Lyon II.",
Marc Rousset,"Marc Roussel, H.E.C, Docteur ès Sciences Economiques, diplômé des universités Columbia et Harvard, Prix de l'Académie des Sciences Morales et Politiques, est un ancien haut dirigeant d'entreprise. Chroniqueur, économiste, écrivain, auteur de la Nouvelle Europe de Charlemagne préfacée par Alain Peyrefitte, il en appelle à un sursaut salvateur et démontre dans ce livre que l'Avenir de la France et de l'Europe est i l'Est, avec la Russie, et non pas avec l'Amérique !",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Pascal Boniface,"Le Monde Diplomatique : « Les grandes questions […] sont présentées de manière simple, mais juste et précise. »

L’Elephant.fr : ""une bande dessinée de géopolitique complète et visuellement très séduisante""

dBD : ""Chaque séquence est présentée de manière claire et concise, avec une touche d'humour ""

Darius Rochebin - LCI : ""Je la recommande""

Politis : ""Vaste entreprise qui concilie la rigueur historique et l'humour""
Emmanuel Ostian - LCI : ""Géostratégix fera plaisir aux amateurs de BD et de géopolitique. C’est délicieux""

Michel-Edouard Leclerc : ""C'est une véritable somme qu'il faut avoir lue pour pouvoir déchiffrer les récents épisodes de la géopolitique mondiale. Je conseille, top !""

Bulles d'Encre : ""Un très bon ouvrage de vulgarisation de la géopolitique, indispensable""

Blast-info.fr : « ce petit ouvrage dessiné sera précieux »",https://m.media-amazon.com/images/S/amzn-author-media-prod/6sjmjqknaate5s9ll9jq3k397g._SY600_.jpg
Jean Lopez,"Directeur de la rédaction de Guerres & Histoire et du Mook De la guerre, Jean Lopez s'est signalé par une série d'ouvrages revisitant le front germano-soviétique.
Il est l'auteur de nombreux ouvrages dont, chez Perrin, une biographie de Joukov (avec Lasha Otkhmezuri), Les Mythes de la Seconde Guerre mondiale et Les Grandes Erreurs de la Seconde Guerre mondiale (avec Olivier Wieviorka), Les Maréchaux de Staline (avec Lasha Otkhmezuri) et, en 2023, les très remarqués Conduire la guerre. Entretiens sur l'art opératif (avec Benoist Bihan) et L'ours et le Renard. Histoire immédiate de la guerre en Ukraine (avec Michel Goya).
Directeur de la collection "" Champs de bataille "" (Perrin-ministère des Armées), il en a rédigé le premier opus, Kharkov 1942.",
Jean-François Colosimo,"Essayiste, documentariste et éditeur, Jean-François Colosimo est l'auteur d'une oeuvre remarquée sur la relation entre religions et géopolitique dont La Crucifixion de l'Ukraine. Mille ans de guerres de religion en Europe (Albin Michel, 2022 ; réédition dans la collection « espaces libres », 2024). Il a également publié Turquie, nation impossible (Arte, 2019) et Le sabre et le turban (Cerf, 2020) ainsi que L'Apocalypse russe (Fayard 2008, Lexio-poche 2021).",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Collectif,,
Nathalie Mazier,"Née en 1989, Anaïs Gletty raconte ce drame qui l'a anéantie à l'âge de 22 ans. Elle retrace l'enquête et ses incompréhensions lorsqu'elle découvre l'identité de la coupable. Elle raconte la haine, le désarroi, la profonde tristesse de ces années difficiles. Le procès, insatisfaisant et son obsession : rencontrer la meurtrière. D'abord les lettres, puis les entretiens de justice restaurative...
À travers ce livre, Anaïs Gletty, s'interroge sur la vie après le drame et se questionne sur la place de chacun après la prison. A-t-on le droit à une seconde chance ?

Née en 1984, Nathalie Mazier est journaliste, spécialisée dans les affaires criminelles. Elle a réalisé de nombreux reportages, notamment pour l'émission "" Au bout de l'enquête "", diffusée sur France 2.",
Christophe Clavel,,
Maxime DesGranges,"Lecteur et traducteur au service d'une maison d'édition, chroniqueur
littéraire pour différents médias en ligne, Maxime DesGranges signe
ici son premier livre.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Frantz Fanon,"Frantz Fanon (1925-1961) né martiniquais, mort algérien à l'âge de 36 ans, psychiatre, militant FLN, il est notamment l'auteur de Peau noire, masques blancs, Sociologie d'une révolution (L'an V de la révolution algérienne) et Les damnés de la terre.


Alice Cherki, psychiatre et pyschanalyste, est l'auteur du Portrait de Frantz Fanon (Seuil, 2000).",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
L'humaniste Nicolas Machiavel,,https://m.media-amazon.com/images/S/amzn-author-media-prod/v4srf1ffldq61h2ci2pglg3hlf._SY600_.jpg
Christine Kelly,"Journaliste, Christine Kelly a travaillé neuf ans à LCI. Aujourd'hui, elle anime l'émission quotidienne Face à l'info sur CNews et collabore au JDD. Elle fut le plus jeune membre du Conseil supérieur de l'audiovisuel, de 2009 à 2015.",
Alain Bauer,"Alain Bauer est professeur de criminologie au Conservatoire National des Arts et Métiers, New York et Shanghai. Il est responsable du pôle sécurité défense - renseignement criminologie cybermenaces et crises. Il a publié une soixantaine d'ouvrages sur les questions de sécurité, criminelles et de terrorisme.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Jacques Baud,"Jacques Baud est Colonel chef d'état-major, ex-agent des services secrets suisses et expert en armes chimiques et nucléaires. Il a été, entre autres, chef de la doctrine des opérations de maintien de la paix des Nations Unies à New York. Il est l'auteur de plusieurs livres sur le renseignement, la guerre et le terrorisme, dont les best-sellers Gouverner par les fake news, Poutine, le maitre du jeu ? , opération Z, Ukraine entre guerre et paix et L'art de la guerre russe, édités aux éditions Max Milo.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Evelyne Berdagué-Boutet,évelyne Berdagué-Boutet est cadre de santé et formatrice auprès des étudiants en soins infirmiers et d'élèves aides-soignantes.,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
