Nom,Description,Photo
Mme Anne Reymonet-Valers,,
Guilhem Cayzac,"Essénien depuis près de 30 ans, Guilhem Cayzac s’est orienté vers la naturopathie après une carrière dans l’édition et le journalisme. Il a découvert l’apport incroyable que pourrait constituer le savoir essénien appliqué aux thérapies de toutes sortes. Il prend du temps pour transmettre à tous les thérapeutes, les riches apports que constitue la sagesse essénienne.",https://m.media-amazon.com/images/S/amzn-author-media-prod/naenbqa4qrdecbih7787mh4o5k._SY600_.jpg
Franck Ribaldy,,
Evelyn Schneider-Mark,,
Weiming Shi,,
Olda BUCH,,https://m.media-amazon.com/images/S/amzn-author-media-prod/8t8eonh0975853s5rvfuf1ehk0._SY600_.jpg
Dr. Mindy Pelz,"If you’ve grown tired of one-size-fits-all health advice that leaves you feeling disappointed, this book will feel like a breath of fresh air. Dr Mindy Pelz will help you create a plan that’s unique to your body and your goals. She combines ground-breaking research, powerful stories and a clear guide to greater health. ― Jessica Ortner, New York Times bestselling author of The Tapping Solution

Dr Mindy is the Warren Buffet of fasting. ― Jesse Itzler, entrepreneur, New York Times bestselling author, endurance athlete and an owner of the Atlanta Hawks

I have never met someone that has more respect for the body and its innate intelligence to heal than Mindy. Her reverence for the body is met with an intense passion for helping people learn how to tap into it through the timing of fasting, eating and detoxing. This way of living is the way of the future for all women if they want to truly thrive. ― Danica Patrick, entrepreneur and former race car driver

Fast Like a Girl is an amazing book that is both inspiring and informative. It’s a wealth of knowledge for any woman who wants to reclaim their health. It will leave you feeling motivated and ready to take on the world. ― Megan Ramos, New York Times bestselling author, co-founder and CEO of The Fasting Method

Fasting is an incredible tool for longevity and healing. With Fast Like a Girl, women finally have a go-to manual designed specifically to their unique hormonal needs. ― John Gray, New York Times bestselling relationship author of Men Are from Mars, Women are from Venus

In her ground-breaking book, Fast Like a Girl, Dr Mindy Pelz provides a much-needed manual on fasting specifically for women. ― Elle Macpherson, founder of Wellco, humanitarian, supermodel and actress

At a time when all of us are looking for ways to improve our health and vitality, Dr Mindy Pelz offers great advice. This book is about fasting, but also so much more. It’s about our womanhood, our health and our lives. ― Marianne Williamson, four-time New York Times bestselling author

A much-needed fasting resource for women! ― Sara Gottfried MD, New York Times bestselling co-author of The Hormone Cure

Fasting is such an incredible tool for our mental and physical health. Dr Mindy is my go-to for fasting! She’s teaching women like me how to tap into our innate intelligence while minding our hormones. ― Alexandra Elle, author of After the Rain and How We Heal

It’s possible to say goodbye to being tired and hungry all the time. Fast Like a Girl will teach you how long and when to fast so your hormones will support you instead of working against you. Welcome to getting your brain back and having to buy new, smaller pants! ― Dave Asprey, author of four New York Times bestselling books, including Fast This Way

Fasting is not a one-size-fits-all approach. Dr Mindy Pelz is one of the leading experts in this area of fasting for women, and she truly understands how fasting is different for both men and women. If you’re a woman and want to get the most out of fasting, then this is the book for you. ― Drew Manning, creator of TV show Fit2Fat2Fit and New York Times bestselling author of Fit2Fat2Fit

Fasting is such a powerful healing tool. In Fast Like a Girl, Dr Mindy doeas an excellent job of helping women understand how they can use fasting to power up their hormones, as well as providing tips and strategies that are easy to follow and tailored specifically for women. ― Josh Axe DC, DNM, CNS, founder of Ancient Nutrition and DrAxe.com, bestselling author of Keto Diet, The Collagen Diet and Ancient Remedies

Wow. Didn’t think Dr Mindy could achieve the same brilliance as she put forth in The Menopause Rest – but she did – going above and beyond. This should be required reading for any and every woman on the planet wanting to bring metabolic flexibility, vitality and longevity to their life! Packed with good science, resources and inspiration, this will be the gift that keeps on giving. ― Nasha Winters ND, FABNO, bestselling co-author of The Metabolic Approach to Cancer

Dr Mindy has written the guide of all guides for women looking to improve their health by adding fasting into their life. Most importantly, she plans it all around their menstrual cycle.
As a women&#39s health and hormone doctor, I can&#39t recommend this book and her step-by-step process enough!
― Carrie Jones ND, FABNE, MPH, head of Medical Education, Rupa Health

When it comes to health, there’s no cookie-cutter approach. This is especially true with fasting. In Fast Like a Girl, Dr Mindy Pelz does a masterful job of outlining why women should practice fasting differently than men. Mindy provides practical steps backed up by science on how women at different stages of life can apply fasting strategies to balance hormones, reset their metabolism and lose weight without having to deprive themselves. If you are wondering how to apply fasting for your unique hormonal needs, this is the book for you! ― Ben Azadi, bestselling author of Keto Flex

The nutrition and integrative health fields are increasingly recognizing the power of short- and long-term fasting in protocols for health and disease. However, too often the influence of cyclical hormonal patterns on metabolism and fasting physiology is overlooked. Dr Mindy outlines here a strategy for optimizing the healthful impact of fasting in coordination with your hormonal cycles. ― Zach Bush PhD, physician (internal medicine, endocrinology and hospice care)

Dr Mindy is such a wonderful women&#39s health advocate by empowering women, at all stages, to embrace their physiology and to stop apologizing for our own unique needs! Fasting is one of many tools that can help us thrive irrespective of our life stage! ― Cynthia Thurlow NP, author of Intermittent Fasting Transformation

Wow! How refreshing! Dr Mindy Pelz’s book weaves patient stories with ancestral and nutritional research about the science of fasting and tied it together with clear steps for women to follow. Her words of truth delivered spot-on advice. I found myself saying, ‘Oh, I’m stealing that.’ A wonderful read! ― Annette Bosworth MD, founder of Dr Boz, owner of Meaningful Medicine and author of Anyway You Can and KetoContinuum

Fast Like a Girl is a must-have-guide for resetting your hormones, ageing beautifully and looking and feeling fantastic. But even more importantly, following Dr Mindy’s guidance can have a profound impact on generations to come because fasting is the ultimate detox. Buy a copy for your daughters and granddaughters, teach them to Fast Like a Girl and help put an end to this epidemic of hormone imbalances, infertility and – ultimately – on the chronic illnesses in our children. ― Donna Gates M Ed, ABAAHP, internationally bestselling author and founder of The Body Ecology Diet

Much like with exercise, fasting is an incredible, free healing tool that everyone can benefit from. What makes this book so unique is that women now have a fasting manual that will help customize food and fasting to match the needs of their hormones. In Fast Like a Girl, Dr Mindy not only makes the science of fasting easy to understand but lays out a whole new health paradigm for women and men to improve their lives in a myriad of ways. ― Tony Horton, bestselling author and creator of the popular P90X workout series

Do check out Mindy’s fabulous book, Fast Like A Girl. I’ve been recommending it to everyone and it’s a great resource for anyone interested in fasting as a tool for health. ― Dr Rupy Aujla, Sunday Times bestselling author, doctor and host of The Doctor&#39s Kitchen podcast",https://m.media-amazon.com/images/S/amzn-author-media-prod/c3rm0gpcu988fv132cbfm9afc4._SY600_.jpg
Eric Riquet,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Nicolas ORLER,,https://m.media-amazon.com/images/S/amzn-author-media-prod/bu1ncmb9u0fjlc7cj28pf1mfvm._SY600_.jpg
Olivier Remole,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
