Nom,Description,Photo
René Goscinny,"Faire la fête et laminer ses adversaires : voilà bien ce que les gaulois préfèrent. Et lorsqu’ils apprennent que les Romains du camp d’Aquarium s’entraînent pour représenter Rome aux prochains jeux olympiques, ils n’ont qu’une envie : y participer eux aussi !
Astérix et ses amis se voient déjà vainqueurs, mais leur affaire se complique : la potion magique relève du dopage et est par conséquent formellement interdite. La palme du vainqueur s’éloigne. A moins que…",
Ryan Ottley,"Dessinateur de bandes dessinées.

Scénariste de bandes dessinées. Scénariste et producteur.",https://m.media-amazon.com/images/I/31KdZr+hO5L._SY600_.jpg
Tim Probert,"Tim Probert est un artiste aux multiples casquettes : illustrateur, coloriste, scénariste, il est également directeur artistique d&#39un studio d&#39animation indépendant (Aardman Nathan Love), où il travaille sur des projets pour Nickelodeon, Kellogg&#39s, Coca-Cola ou Candy Crush... Il vit à New-York et Lightfall est sa première bande dessinée.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Tui T. Sutherland,"Tui T. Sutherland a écrit une trentaine de romans pour tous les âges, sous différents noms de plume. Elle a aussi participé à la conception de la série best-seller ""La Guerre des clans"" en tant qu&#39éditrice et coauteur, et fait ainsi partie des six auteurs qui signent sous le pseudonyme Erin Hunter. Ces dernières années, Tui T. Sutherland s&#39est investie, seule, dans la création des ""Royaumes de Feu"", un univers de fantasy original et merveilleux, qui renouvelle le genre. Retrouvez Tui T. Sutherland sur son site Internet : www.tuibooks.com",https://m.media-amazon.com/images/I/41DlbQwMy5L._SY600_.jpg
Tim Probert,"Tim Probert est un artiste aux multiples casquettes : illustrateur, coloriste, scénariste, il est également directeur artistique d&#39un studio d&#39animation indépendant (Aardman Nathan Love), où il travaille sur des projets pour Nickelodeon, Kellogg&#39s, Coca-Cola ou Candy Crush... Il vit à New-York et Lightfall est sa première bande dessinée.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
René Goscinny,"Dans le camp fortifié romain Petibonum, on se pose des questions : comment les Irréductibles Gaulois du village d’Astérix font-ils pour ridiculiser encore et toujours la puissance romaine ? Décidé à percer à jour le mystère de la force surhumaine de nos héros, le centurion Caius Bonus envoie un espion déguisé en Gaulois.
C’est Caligula Minus qui s’y colle, et découvre bien vite l’existence de la potion magique préparée par Panoramix. Sans attendre, le centurion Caius Bonus fait enlever le druide pour s’emparer de la recette du fameux breuvage histoire, qui sait, de devenir César à la place de Jules ! Une première occasion pour Astérix de démontrer son courage et ses talents de stratège.",
Benjamin Percy,"Nouvelliste. Professeur d&#39anglais et d&#39écriture créative, Iowa state university, Ames (en 2008).

Dessinateur de bandes dessinées.",
John Byrne,"Dessinateur et scénariste de bandes dessinées. Écrirait aussi sous le pseudonyme ""Lieberman, A. J."".

Scénariste de bandes dessinées.",
TAYLOR Tom,"Tom TAYLOR est entré dans le monde du comics en 2009, et y a insufflé une fraîcheur qui ne l&#39a depuis jamais quitté. Présent dans le comics indé et la jeunesse, c&#39est véritablement chez DC Comics qu&#39il dévoile la diversité de son talent, utilisant les personnages de l&#39écurie comme autant de jouets à sa disposition pour les placer dans des univers alternatifs variés, et n&#39hésitant pas à les sacrifier pour les besoins du récit... D&#39un naturel optimiste, il a également à coeur de transmettre des valeurs bienveillantes et progressistes dans ses séries. Le mois de septembre est l&#39occasion d&#39explorer ses différentes facettes et de mettre en avant sa carrière, son style et son talent.",https://m.media-amazon.com/images/S/amzn-author-media-prod/au4m2lthon9eqh1hkdtjgb1lio._SY600_.jpg
Sylvia Douyé,"Sylvia Douyé, née en 1973, devient journaliste à Sciences & Vie Découvertes, E=M6, Mon Quotidien, Wapiti, après ses études de biologie. Elle débute la BD avec Malice et Azimut parue dans Sciences & Vie Découvertes, écrit des scénarios pour le multimédia (Adi, Les Petits Débrouillards), puis signe chez Casterman la série Les Zinzinventeurs qui compte aujourd&#39hui cinq volumes et a reçu le prix Jeunesse à Angoulême. Elle coscénarise également Les Guides en BD Junior et Les Guides au Féminin avec Jacky Goupil. Elle scénarise aussi la série Marie-Lune, dessinée par Yllya et récompensée par le prix Canal J en 2010. En 2015, elle reprend les rênes d&#39une mythique série d&#39heroic fantasy de Goupil et Crisse en lançant en compagnie de Fabio Lai Les Mondes de l&#39Épée de cristal. En 2018, elle lance une nouvelle série jeunesse, Sorceline. Récompensée par le prix des lecteurs du Journal de Mickey est acclamée par le public comme la critique.Réside en Île-de-France.


Paola Antista est une dessinatrice italienne. Diplômée de l’académie Disney, elle commence comme illustratrice pour des magazines, des livres scolaires ou des agences de pub. Elle donne régulièrement des cours de BD en école élémentaire et collège. En France, elle publie la série Chats !, dont six tomes sont parus. Elle a également dessiné deux tomes de la série Alix et Arsénou chez Clair de lune. À partir de 2018, elle travaille avec Sylvia Douyé sur la série Sorceline. Réside en Italie.",https://m.media-amazon.com/images/S/amzn-author-media-prod/ko2kq8k68qi3g327vbu8srsh0s._SY600_.jpg
