Nom,Description,Photo
Hervé Larrant,,
Hervé Larrant,,
Dr. Ameet Aggarwal ND,,https://m.media-amazon.com/images/S/amzn-author-media-prod/dull1jp528vhm6cftnt26k83kk._SY600_.jpg
Alain Horvilleur,"- Comprendre les principes théoriques de l'homéopathie - Vivre la consultation - Décrypter l'ordonnance - Reconnaître les maladies qui sont du ressort de l'homéopathie - Savoir pratiquer l'automédication pour les petites affections courantes mais aussi consulter un médecin quand c'est nécessaire. Ce guide, le plus complet des ouvrages destinés au grand public, est un inventaire des principaux médicaments homéopathiques et des différentes maladies traitées par cette thérapeutique douce et atoxique. Il met à votre portée un savoir indispensable pour vous-même et votre famille.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Albert-Claude Quemoun,"Albert-Claude Quemoun, pharmacien, est président de l’Institut homéopathique scientifique, ex-président de la Société française d’homéopathie, ex-chargé de cours d’homéopathie et conseiller scientifique à la Faculté de médecine de Paris XIII, membre du groupe de recherche du Professeur Luc Montagnier. Avec la collaboration de Sophie Pensa, journaliste indépendante spécialisée en santé et auteure ou coauteure de plusieurs livres sur l’homéopathie.",
Eduard Van den Bogaert,"Passionné dès son plus jeune âge par l’art de guérir, Eduard Van den Bogaert étudie la médecine à l’Université Libre de Bruxelles. Il est le fondateur de la Médecine Sensitive Coopérative, qu’il pratique en vue de décrypter les maladies, reprogrammer la santé, faciliter la guérison et à améliorer la qualité de vie de ses patients.",
Hervé Larrant,,
TETSUGAKU GROUP,,https://m.media-amazon.com/images/S/amzn-author-media-prod/tgkrr30dkikmjm5ceptt629jml._SY600_.jpg
Martine Gardenal,"Martine Gardénal est médecin homéopathe et médecin du sport depuis près de quarante ans. Elle a également été médecin d'une équipe de France aux jeux Olympiques de Los Angeles et a consulté de nombreuses années au département médical de l'INSEP (Institut National du Sport, de l'Expertise et de la Performance), lieu de formation et de pratique de plus de 650 sportifs au plus haut niveau français et mondial. Déjà auteur de plusieurs ouvrages sur l'homéopathie, elle donne par ailleurs de nombreuses conférences sur la santé.",https://m.media-amazon.com/images/I/318tTBkWd4L._SY600_.jpg
Jorge Mateo,,https://m.media-amazon.com/images/S/amzn-author-media-prod/vjvct988ej9c8bdg6q3qj805ip._SY600_.jpg
,,
Marc Henry,"Marc Henry est ingénieur chimiste, docteur ès sciences, habilité à diriger des recherches et professeur d’université dispensant un enseignement sur la chimie, la science des matériaux, la physique quantique et la symétrie moléculaire et cristalline. Marc Henry est aussi membre d’honneur de l’association Natur’Eau Quant qui milite pour une approche quantique de la nature.

Jean-Pierre Aoun est praticien en thérapies alternatives et étudie la médecine. Il est également le réalisateur du documentaire ""La Science de l'homéopathie"".",
Dr Michel Geeraert,,
Daniel Scimeca,"Le Dr Daniel Scimeca est médecin homéopathe, phytothérapeute et président du syndicat de la médecine homéopathique.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Alain Horvilleur,"L'auteur, le Docteur Alain Horvilleur, est Secrétaire général de l'Organisation Médicale Homéopathique Internationale. Il livre ici, en plus des recommandations communément admises pour chaque maladie et chaque médicament, le fruit de son expérience de plus de 40 ans de prescriptions dans le domaine de l'homéopathie.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Jayasuriya Anto,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Alain Horvilleur,Alain Horvilleur est un médecin homéopathe français.,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Docteur Vivien Hémond,est médecin généraliste homéopathe et acupuncteur. Il enseigne l'homéopathie à la faculté de médecine de Paris-Nord.,
Hervé Larrant,,
Hervé Larrant,,
,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Boericke,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Raphaël et Docteur Winsfield Dajafée,,
