Nom,Description,Photo
Collectif,,https://m.media-amazon.com/images/S/amzn-author-media-prod/j75f5asf0ir4jlof2m5fnui6j8._SY600_.jpg
Renaud Camus,,https://m.media-amazon.com/images/S/amzn-author-media-prod/5b7biqv80913laigj1f49q00nm._SY600_.jpg
Arthur Rimbaud,Arthur Rimbaud (1854-1891) Dossier pédagogique d&#39Elsa Rouvière.,
Paul Harmann,,https://m.media-amazon.com/images/S/amzn-author-media-prod/ttj7tg97268vjqb3h6hdpg7lv4._SY600_.jpg
Pascal Blanchard,"Pascal Blanchard est historien, spécialiste du ""fait colonial"" et de l&#39histoire des immigrations, chercheur-associé au Centre d&#39histoire internationale et d&#39études politiques de la mondialisation (CRHIM de l&#39Université de Lausanne/ UNIL). Il a publié ou codirigé une soixantaine d&#39ouvrages, dont Décolonisations françaises. La chute d&#39un empire (Editions de La Martinière, 2020), Culture coloniale en France (CNRS Editions, 2008), La France noire (La Découverte, 2011), Les années 30 sont de retour. Petite leçon d&#39histoire pour comprendre les crises du présent (Flammarion, 2014), le coffret de huit ouvrages sur L&#39Immigration des Suds en France (GRA, 2009). Documentariste et commissaire d&#39expositions, il vient de proposer les trois séries de films pour France Télévisions Champions de France, Artistes de France et Frères d&#39armes, ainsi que le documentaire en deux parties Décolonisations. Du sang et des larmes (France 2, 2020) et a codirigé l&#39exposition au Musée du quai Branly Exhibitions. L&#39invention du sauvage en 2011-2012. Hadrien Dubucs est maître de conférences en géographie à Sorbonne Université et membre du laboratoire Médiations - Sciences des lieux, sciences des liens (UR de Sorbonne Université). De 2016 à 2021 il a dirigé le département de géographie de Sorbonne Université Abu Dhabi. Ses travaux portent sur les migrations internationales contemporaines en France (migrations japonaises et italiennes), en Europe (circulations et migrations très qualifiées) et aux Emirats arabes unis. Il a dirigé les programmes de recherche ""Commerce alimentaire ""ethnique"" à Paris "" (COMET, 2012-2015) et ""Exploring Abu Dhabi Public Spaces"" (2018-2020). Depuis 2021 il est affilié à l&#39Institut Convergences Migrations. Yvan Gastaut est historien, spécialiste de l&#39histoire de l&#39immigration en France. Maître de conférences à l&#39université Côte d&#39Azur, membre du laboratoire URMIS (Unité de recherches Migrations et Société CNRS UMR 8245 et IRD UMR 205). Membre du Conseil d&#39orientation du Musée national d&#39histoire de l&#39immigration, il est l&#39auteur de nombreux ouvrages, parmi lesquels : Les années 30 sont de retour. Petite leçon d&#39histoire pour comprendre les crises du présent (Flammarion, 2014), La France arabo-orientale (La Découverte, 2013), Nice cosmopolite (Autrement, 2010), Allez la France, football et immigration, histoires croisées (Gallimard, 2010, catalogue d&#39exposition), Le métissage par le foot, l&#39intégration mais jusqu&#39où (Autrement, 2008), L&#39immigration et l&#39opinion en France sous la V République (Seuil, 2000). Aurélie Boissière est géographe-cartographe. Elle a réalisé de nombreux atlas de la collection Autrement (boiteacartes.fr).",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Ilan Pappe,"&#39A major intervention in an argument that will, and must, continue. There&#39s no hope of lasting Middle East peace while the ghosts of 1948 still walk.&#39 ― Independent

&#39Along with the late Edward Said, Ilan Pappe is the most eloquent writer of Palestinian history.&#39 ― New Statesman

&#39Pappe has opened up an important new line of inquiry into the vast and fateful subject of the Palestinian refugees. His book is rewarding in other ways. It has at times an elegiac, even sentimental, character, recalling the lost, obliterated life of the Palestinian Arabs and imagining or regretting what Pappe believes could have been a better land of Palestine.&#39 ― Times Literary Supplement

&#39Ilan Pappe is Israel&#39s bravest, most principled, most incisive historian.&#39 ― John Pilger - director of The War on Democracy and author of Freedom Next Time

&#39Superb account of how, and why, Palestinians were driven out of their homes.&#39 ― Socialist Review

&#39Pappe’s book is an essential read for anyone trying to understand the politics and history of the Middle East.&#39 ― Frontline Magazine (an Independent Marxist review from Scotland)

&#39Leading Israeli historian Ilan Pappe delves into his country&#39s bloodied past in search of answers in the present.&#39 ― Morning Star

&#39Pappe is one of the brave few voices to stand up and be counted in the oppressive atmosphere of Israeli society. Pappe&#39s book is a searing account of the horrific brutality perpetrated during the birth of the state of Israel.&#39 ― Morning Star

&#39Pappe is well positioned to lob a grenade such as this one into the twin worlds of Middle Eastern studies and politics. Pappe&#39s book should shock and shame the academic world&#39 ― Arab Banker

&#39Pappe&#39s ethical clarity and humane vision permeate The Ethnic Cleansing of Palestine... Given the meticulous research and compelling moral imperative embodied in The Ethnic Cleansing of Palestine, Zionism itself may be in trouble.&#39 ― Race and Class

&#39Pappe offers a scorching indictment of Israel&#39s treatment of the Palestinian people in The Ethnic Cleansing of Palestine.&#39 ― Metro

&#39A bold expose of Israel&#39s purge of its Arab population in the early years of its existence. It should be read by anyone wanting to grasp the seemingly unfathomable background to the Israel-Palestine conflict. Pappe himself should be supported and applauded.&#39 ― Morning Star

&#39Ilan Pappe&#39s The Ethnic Cleansing of Palestine is a vital contribution to the scholarship from these new historians… Pappe forever puts to rest any doubt that Palestinians were systematically and brutally expelled from their homeland.&#39 ― Against the Current (An independent socialist organisation)

&#39Pappe’s book will command attention.&#39 ― Washington Report on Middle East Affairs

&#39Superb account of how, and why, Palestinians were driven out of their homes. Pappe explains why there can be no peace until this crime has been acknowledged and redressed.&#39 ― Scottish Review

&#39The organization of the material in this book leaves almost nothing to be desired. The twelve sections substantially challenge and considerably undermine the ostensibly convincing Israeli discourse on the refugees question and the 1984 events.&#39 ― Arab Studies Quarterly

&#39Shocking, telling and illuminating.&#39 ― Emel

&#39Groundbreaking research into a well-kept Israeli secret. A classic of historical scholarship on a taboo subject by one of Israel&#39s foremost New Historians.&#39 ― Ghada Karmi - Institute of Arab and Islamic Studies, University of Exeter, England, UK",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Fanny Vella,"En 2017, Fanny Vella met de côté sa carrière dans l’accompagnement d’enfants porteurs de handicap pour devenir maman et lancer sa carrière d’illustratrice. Suite à l’engouement que ses dessins suscitent sur les réseaux, elle en profite pour sensibiliser sa communauté avec humour et bienveillance aux thématiques qui lui tiennent à coeur (violences éducatives et conjugales, sexisme ordinaire), et contribuer à faire bouger les lignes. Aux éditions Leduc, elle est déjà l’auteure de On l’appelait Vermicelle. Retrouvez aussi son univers sur @fannyvella.",
Bill Maher,"""For fans, the book is a welcome reminder of Maher’s funniness, his intelligence, his sanity....Maher’s observations are often as cutting as they’re well-written [and] come from a place of wit and education and work well bundled together as a book.""—New York Post

""Maher’s style...is funny but not hyperbolic, challenging but not confrontational, and urgent but not in your face. That formula has served Maher well throughout his career, and it serves him well in this book.""—Booklist

""His wittiest and most incisive book yet...he writes sharp critiques on American life, politics, and culture. From covering free speech and cancel culture to race and religion, Maher manages to dissect the most controversial of topics in a way that is both funny and digestible.""—Air Mail

“The least boring book I’ve ever read.”—John Cleese

“This book is so funny you may not notice how smart it is. The only thing that will make you want to put it down is to take a moment to tell someone else about it.”—Donna Brazile

“I love Bill Maher. He’s often brilliant, occasionally maddening but unfailingly original. He’s the unfiltered, hilarious voice we desperately need during these batshit-crazy times.”—Katie Couric

“Whether you agree or disagree with him—and I do both—Bill Maher had proven himself to be an illuminating force in a world that values heat over light. His is a vital voice, keeping the left honest and calling the right to account for itself before the bar of reason and of decency. I’d say ‘thank God for Bill,’ but he doesn’t believe in God. So I’ll just say thanks.”—Jon Meacham",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Driss Ghali,Diplomé en sciences politique et spécialiste des relations internationales.,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Harper Lee,"Revue de presse
&#39No one ever forgets this book&#39 ― Independent

&#39Someone rare has written this very fine novel, a writer with the liveliest sense of life and the warmest, most authentic humor. A touching book; and so funny, so likeable&#39 - Truman Capote

&#39Her book is lifted...into the rare company of those that linger in the mind long after dramas, sagas and sophisticated frolics have coalesced into a blur of half-forgotten fiction&#39 ― Bookman

&#39There is humour as well as tragedy in this book, besides its faint note of hope for human nature; and it is delightfully written in the now familiar Southern tradition&#39 ― Sunday Times

Someone rare has written this very fine novel, a writer with the liveliest sense of life and the warmest, most authentic humour. A touching book; and so funny, so likeable ― Truman Capote Published On: 2003-10-22
Quatrième de couverture
A moving coming-of-age story, which explores attitudes to race and class in the Deep South of the 1930s. This Pulitzer-Prize winning classic has sold over 30 million copies worldwide and been translated into more than 40 languages.
En lire plus",https://m.media-amazon.com/images/I/51gzmhkPBxL._SY600_.jpg
