Nom,Description,Photo
Jonas Salzgeber,,https://m.media-amazon.com/images/S/amzn-author-media-prod/320ua484avv798bfshv7sk1p7u._SY600_.jpg
Jonas Salzgeber,,https://m.media-amazon.com/images/S/amzn-author-media-prod/320ua484avv798bfshv7sk1p7u._SY600_.jpg
Sofia Rouxel,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Valentin Auwercx,,https://m.media-amazon.com/images/S/amzn-author-media-prod/i670vqg6bclubcr4q11ddm7je5._SY600_.jpg
Delphine Auclair,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Robert Mercier,,https://m.media-amazon.com/images/S/amzn-author-media-prod/oda0i7087u40e9co9guij2r4fu._SY600_.jpg
Jonas Salzgeber,,https://m.media-amazon.com/images/S/amzn-author-media-prod/320ua484avv798bfshv7sk1p7u._SY600_.jpg
Günther Anders,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Clément Rosset,"Rien de plus fragile que la faculté humaine d&#39admettre la réalité, d&#39accepter sans réserves l&#39impérieuse prérogative du réel. Cette faculté se trouve si souvent prise en défaut qu&#39il semble raisonnable d&#39imaginer qu&#39elle n&#39implique pas la reconnaissance d&#39un droit imprescriptible - celui du réel à être perçu - mais figure plutôt une sorte de tolérance, conditionnelle et provisoire. Le réel n&#39est généralement admis que sous certaines conditions et seulement jusqu&#39à un certain point : s&#39il abuse et se montre déplaisant, la tolérance est suspendue. Un arrêt de perception met alors la conscience à l&#39abri de tout spectacle indésirable. Quant au réel, s&#39il insiste et tient absolument à être perçu, il pourra toujours aller se faire voir ailleurs.Cet essai vise à illustrer le lien entre l&#39illusion et le double, à montrer que la structure fondamentale de l&#39illusion n&#39est autre que la structure paradoxale du double. Paradoxale, car la notion de double implique en elle-même un paradoxe : d&#39être à la fois elle-même et l&#39autre.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
André Comte-Sponville,"Normalien, agrégé et docteur de troisième cycle, André Comte-Sponville a longtemps enseigné la philosophie à l’université Paris I Panthéon-Sorbonne. Il est l’auteur d’une trentaine d’ouvrages traduits dans le monde entier.",https://m.media-amazon.com/images/S/amzn-author-media-prod/jkrdij5bpga2vuih47ug5foll4._SY600_.jpg
Sofia Briffaut,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Louis-Arthur Girard,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Claire Marin,"Philosophe, Claire Marin est professeure en classes préparatoires aux grandes écoles et membre associé de l’ENS-Ulm. Ses recherches portent sur les épreuves de la vie.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Marina van Zuylen,"Franco-américaine, Marina van Zuylen est professeure de littérature comparée à Bard College (État de New York). Elle trouve dans l&#39ennui, l&#39oisiveté, le manque d&#39ambition, des qualités philosophiques à exploiter. Elle a publié Éloge des vertus minuscules en 2023, livre coup de coeur des libraires, qui a reçu un excellent accueil critique.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Jun&#39ichiro Tanizaki,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Pierre Zaoui,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Michael Pollan,"Le LSD et les champignons magiques, des reliques des années hippies ? Détrompez-vous. Ces substances psychédéliques font aujourd&#39hui leur grand retour en recherche clinique et les perspectives qu&#39elles ouvrent sont extraordinaires. Elles révèlent les mécanismes de notre conscience grâce auxquels nous donnons du sens à notre vie et appréhendons les autres et le monde. Elles permettent le traitement de la dépression, des addictions (tabac, alcool) ou de notre anxiété à l&#39approche de la mort, dans des temps très courts et avec un taux de réussite remarquable.
Afin de comprendre la réalité de cette révolution en cours, ce qu&#39elle peut nous apprendre sur nous-mêmes et la nature des expériences dont il est question, le journaliste et écrivain Michael Pollan a mené l&#39enquête, à la première personne. Au fil de ses rencontres avec des patients, des chamans modernes, des guides spirituels et la nouvelle génération de scientifiques qui cartographient notre cerveau, nous le suivons dans des lieux où il ne s&#39était jamais aventuré, parfois même jusqu&#39au plus profond de lui-même.
Voyage aux confins de l&#39esprit est un succès mondial traduit en 16 langues. Il est le témoignage fascinant de ce que nous sommes et de ce à quoi pourrait ressembler l&#39avenir de la conscience.
Préface du Dr. Bertrand Lebeau-Leibovici et de Vincent Verroust",https://m.media-amazon.com/images/I/318Vdn-minL._SY600_.jpg
