Nom,Description,Photo
Robert Mercier,,https://m.media-amazon.com/images/S/amzn-author-media-prod/oda0i7087u40e9co9guij2r4fu._SY600_.jpg
Angela Rivoli,,https://m.media-amazon.com/images/S/amzn-author-media-prod/gv1d91te3rd2r02pd4iabdnl4o._SY600_.jpg
Nicolas Machiavel,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Jean-Yves Dormagen,"Jean-Yves Dormagen est professeur de science politique à l&#39Université de Montpellier.

Daniel Mouchard est professeur de science politique à l&#39Université Sorbonne Nouvelle - Paris 3.

Alexandre Dézé est maître de conférences en science politique à l’Université de Montpellier, chercheur au CEPEL et enseignant à Sciences Po Paris.

Yohann Aucante est maître de conférences à l’EHESS, chercheur au Centre d&#39études sociologiques et politiques Raymond Aron (CESPRA).",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Franck Thilliez,"Né en 1973 à Annecy, Franck Thilliez, ancien ingénieur en nouvelles technologies, vit actuellement dans le Pas-de-Calais. Il est l&#39auteur d&#39une vingtaine de romans dont La Chambre des morts, adapté au cinéma en 2007, prix des lecteurs Quais du Polar 2006 et prix SNCF du polar français 2007, Puzzle (2013), Rêver (2016), Le Manuscrit inachevé (2018) ou bien encore Il était deux fois (2020). Il est également connu pour avoir donné vie à deux personnages emblématiques, Franck Sharko et Lucie Henebelle. Ces derniers sont réunis pour la première fois dans Le Syndrome [E] (2010), qui a été adapté en BD et est actuellement en cours d&#39adaptation pour une mini-série qui sera diffusée sur TF1. De plus, ces deux personnages sont présents dans les récents Sharko (2017) et Luca (2019) chez Fleuve Éditions. Son recueil de nouvelles, Au-delà de l&#39horizon et autres nouvelles, a paru en 2020 chez Pocket. Franck Thilliez a publié 1991 chez Fleuve Éditions en 2021, ainsi que Labyrinthes chez le même éditeur, en 2022.
Ses titres ont été salués par la critique, traduits dans le monde entier et se sont classés à leur sortie en tête des meilleures ventes. Franck Thilliez est aujourd&#39hui le 3e auteur de fiction moderne le plus lu en France.

Retrouvez l&#39auteur sur sa page Facebook :
https://fr-fr.facebook.com/Franck.Thilliez.Officiel",https://m.media-amazon.com/images/I/61ZcENeXggL._SY600_.jpg
James Path,,https://m.media-amazon.com/images/S/amzn-author-media-prod/n9hpvaaiu9fa7bv9cq89mr9fmq._SY600_.jpg
Alexis Fontbonne,"Médiéviste, Alexis Fontbonne est membre associé du Centre d&#39études en sciences sociales du religieux (EHESS-CNRS). Après une thèse sur l&#39Histoire sociale de l&#39Esprit-Saint en Occident (XIe-XIVe siècle), publiée en 2020, il a créé un séminaire consacré au Moyen Âge de Max Weber.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Gérard Noiriel,"Gérard Noiriel est historien, directeur d&#39études à l&#39EHESS, et auteur de nombreux livres sur l&#39histoire sur l&#39histoire de l&#39immigration en France, sur le racisme, sur l&#39histoire de la classe ouvrière et sur les questions interdisciplinaires et épistémologiques en histoire. Il tient un blog dans lequel il approfondit, explicite et discute les questions développées dans ces livres et s&#39exprime sur les grands problèmes d&#39actualité en mobilisant les outils des sciences sociales : .",
Aurèle Martin,,
Jean-Christophe Buisson,"Jean-Christophe Buisson est directeur adjoint du Figaro Magazine et présentateur de "" Historiquement show "" sur la chaîne Histoire. Il est l&#39auteur de plusieurs ouvrages chez Perrin, dont Mihailovic,Assassinés et Le noir et le brun. Il a également codirigé Les grands duels qui ont fait la France (avec Alexis Brézet) et Les Derniers Jours des reines (avec Jean Sévillia).
En 2023, il reçoit le Prix de l&#39Institut de France pour l&#39ensemble de son œuvre.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Philippe Bernoux,"Sociologue, docteur d&#39Etat, directeur honoraire de recherches au CNRS, Philippe Bernoux a enseigné dans une école d&#39ingénieurs (INSA de Lyon), à l&#39université, dans des centres de formation continue (CNAM-IESTO) et dans de nombreuses entreprises.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Marcel Mauss,"Marcel Mauss (1872-1950) fut l&#39un des fondateurs de l&#39anthropologie sociale. Son oeuvre s&#39inscrit dans l&#39aventure collective de L&#39Année sociologique, revue dont il devient le pilier après la mort de Durkheim en 1917. Elle a durablement influencé la philosophie et les sciences sociales, notamment l&#39anthropologie, la sociologie des sciences, la psychologie sociale, l&#39histoire des techniques et l&#39archéologie.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
