Nom,Description,Photo
Kilian Jornet,"« Laisse l'instinct guider tes pas, il t'amènera vers ce que tu aimes. » Qu'est ce qui fait courir Kilian Jornet ? Quelles sont les pensées, les motivations profondes de cet extraterrestre du trail ? « Sky runner » à l'assaut des sommets et du ciel, il multiplie les exploits : quatre fois champion du monde de skyrunning, champion du monde de ski de montagne, il bat aussi des records en courses rapides comme la traversée du GR20, l'Ultra-Trail du Mont-Blanc ou l'ascension du Kilimandjaro. De son premier « 4 000 » réalisé à l'âge de 7 ans au défi mondial Summits of my Life, Kilian Jornet revient sur son destin de champion. Cet athlète d'exception nous livre un témoignage palpitant sur sa passion pour la course et la montagne et sur sa philosophie de vie profondément ancrée dans sa pratique sportive et son amour pour les grands espaces.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Dorian Louvet,"Dorian Louvet est coach sportif et conférencier autour de la motivation et du dépassement de soi. Il est au-jourd'hui suivi par plus de 140 000 personnes sur Instagram.

Julien Todeschini écrit en collaboration avec Dorian, il est lui-même diététicien nutritionniste, conférencier et auteur de Bien dans son as-siette et à l'aise dans ses baskets, et En forme en 12 semaines : sport et alimentation, éditions Vigot.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
J.L Edition,,
JACK DANIELS,"Jack DANIELS (USA) : Jack DANIELS est un physiologiste américain du sport, titulaire d'un doctorat en physiologie de l'effort.Il fut médaillé olympique en pentathlon moderne et possède plus de 50 ans d'expérience comme entraîneur d'athlétisme aussi bien auprès de coureurs amateur que de coureurs élite.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Cocojatte,,https://m.media-amazon.com/images/S/amzn-author-media-prod/qcuuoltjc0k45n6bf0njau3bov._SY600_.jpg
Jean-Marc Enguiale,,https://m.media-amazon.com/images/S/amzn-author-media-prod/11eroj1d7sn36pc8c4rv5hvnli._SY600_.jpg
NAPIER-C,"Chris Napier est médecin clinicien, chercheur spécialisé dans la prévention des blessures de course à pied et coureur passionné. Il est copropriétaire de Restore Physiotherapy, une clinique privée de Vancouver, et enseigne en tant que professeur clinicien au département de kinésithérapie de l'Université de Colombie-Britannique. Il est kinésithérapeute au sein de la fédération d'athlétisme du Canada et a travaillé avec des équipes concourant aux jeux du Commonwealth, aux jeux panaméricains, aux jeux Olympiques et aux championnats du monde. En course à pied (demi-fond), il a remporté la médaille d'argent des championnats d'athlétisme universitaire junior du Canada en 1996 et la médaille de bronze aux championnats d'athlétisme universitaire du Canada en 1997. Marathonien depuis 2010, il améliore chaque année son record personnel avec l'aide de son coach Jerry Ziak, coauteur de cet ouvrage. Jerry Ziak participe à des compétitions de course de fond depuis 1986, exerce en tant qu'entraîneur depuis 2005 et est copropriétaire du magasin spécialisé Forerunners North Shore, à Vancouver, depuis 2013. Sa carrière de coureur de fond a commencé par le cross-country et l'athlétisme, où il se spécialise dans les courses de 800 m à 10 km. Il a couru pour l'Université d'Auburn en Alabama, l'Université d'Etat de l'Idaho, l'Université de Victoria et l'Université de Colombie-Britannique au Canada. Sa longue expérience lui a permis de se préparer lui-même à de plus grandes distances, pour atteindre un record de 2 : 17 : 24 au marathon. Il a été entraîneur de cross-country et d'athlétisme dans l'enseignement secondaire et organise des stages de préparation au semi-marathon et au marathon. Aujourd'hui âgé de 44 ans, il continue à concourir sur différentes distances et prend plaisir à partager son savoir et sa passion du sport en ligne, dans son magasin et lors de ses stages.",
Frédéric Poirier,"Frédéric Poirier, né en 1965, a découvert l'athlétisme au collège, notamment avec les cross hivernaux, puis en club FFA avec la piste, du 400 jusqu'au 1 500 m. En 1980, il se tourne vers les courses sur route et prend le départ de son premier marathon à 19 ans, à Paris. En un peu plus de 40 ans, il a couru... 42 marathons, et un record à Paris en 2h47. Collaborateur régulier des revues sportives comme Jogging International ou Running Attitude, de marques comme New Balance ou Anita, d'organisateurs d'événements sportifs ou de la Fédération française d'athlétisme, il a pensé ce livre pour rappeler que le marathon est aussi bien un moment de record personnel que de partage, que l'on soit coureur ou simplement spectateur.",
NADINE CHARLAT,"Nadine Charlat, licenciée en biologie et en psychologie, est enseignante depuis 23 ans. Elle pratique la course à pied depuis 2008 et est entraîneur bénévole dans un des clubs associatifs de sa ville. Par ailleurs, elle anime aussi bénévolement dans son village des ""cours de course à pied"" adaptés au cas par cas à toutes les personnes qui souhaitent se mettre à courir. Elle est l'auteur du roman ""Je vous montrerai les étoiles"", publié aux éditions Vérone.",https://m.media-amazon.com/images/S/amzn-author-media-prod/ig25t92e9rqbr84pktlfi0m4oo._SY600_.jpg
Denis Boucher,,https://m.media-amazon.com/images/S/amzn-author-media-prod/3467a3cattt9do5qnbtaammd4d._SY600_.jpg
