Nom,Description,Photo
HereLee,,
Akari Hatta,,
Umebachi Yamanaka,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Mashiro,,
Tomoko Ninomiya,"Elle a reçu en 2004 le 28e Prix du manga Kôdansha, catégorie shôjo, pour Nodame Cantabile. Sa popularité est devenue nationale puis internationale avec l&#39adaptation de la série en drama, en anime et en films. Tomoko Ninomiya est également l’autrice de bien d’autres séries dont Green, Tensai Family Company ou encore Nanatsuya Shinobu no Hôseki-bako, un jôsei actuellement en cours dans le magazine Kiss de Kôdansha et encore inédit en France.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Hiromi Ebira,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
HAYASHIDA-Q,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Umebachi Yamanaka,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Moyoco Anno,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Mashiro,,
Takako Shimura,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
HIBIKI,,
AKIKO HIGASHIMURA,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Natsumi Hoshino,Mangaka.,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
OKADA+EMOTO,,
Yuka Murayama,,
An Ogura,,
Tamiki Wakaki,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Myeongmi Kim,"Scénariste de manhwa (bandes dessinées coréennes).

Dessinateur scénariste de manhwa (bandes dessinées coréennes).",
Kujira,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
OKADA+EMOTO,,
Myeongmi Kim,"Scénariste de manhwa (bandes dessinées coréennes).

Dessinateur scénariste de manhwa (bandes dessinées coréennes).",
Tomoko Yamashita,Ce que tu éprouves n&#39appartient qu&#39à toi et personne n&#39a le droit de te faire des reproches.,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Toth-M,,
Toth-M,Les monstres aussi ont un coeur,
Umebachi Yamanaka,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Fumiya Hayashi,,
Hiromi Ebira,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Tamekou,,
Ko Hiratori,,
Rie Aruga,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
KYOKO OKAZAKI,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Touya Mikanagi,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Gyeong Yun Jeong,"Scénariste de manhwa (bandes dessinées coréennes).

Dessinateur scénariste de manhwa (bandes dessinées coréennes).",
Ko Hiratori,,
Yuki Kodama,"Née un 26 septembre dans le département de Nagasaki, Yuki Kodama débute sa carrière de mangaka en 2000. Elle est prépubliée dans le magazine mensuel Flowers à partir de 2005 et est notamment connue pour Tsukikage Baby (inédit en France) et Kids on the Slope, qui a remporté la 57e édition des Shogakukan Manga Awards et a eu droit une adaptation cinématographique en 2018.
À ce jour, elle est toujours prépubliée dans le magazine Flowers.",
An Ogura,,
Ai Hibiki,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Mai Nishikata,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Isuna HASEKURA,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
An Ogura,,
Rie Aruga,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Tamekou,,
Rie Aruga,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Rie Aruga,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Moyashi Fujisawa,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Gaku Kuze,,
Miyuki Tonogaya,Mangaka.,
Rie Aruga,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Miyuki Tonogaya,Mangaka.,
Gyeong Yun Jeong,"Scénariste de manhwa (bandes dessinées coréennes).

Dessinateur scénariste de manhwa (bandes dessinées coréennes).",
Tamiki Wakaki,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
AKIKO HIGASHIMURA,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Ai Hibiki,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
TSURATA KENJI,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Yuki Kodama,"Née un 26 septembre dans le département de Nagasaki, Yuki Kodama débute sa carrière de mangaka en 2000. Elle est prépubliée dans le magazine mensuel Flowers à partir de 2005 et est notamment connue pour Tsukikage Baby (inédit en France) et Kids on the Slope, qui a remporté la 57e édition des Shogakukan Manga Awards et a eu droit une adaptation cinématographique en 2018.
À ce jour, elle est toujours prépubliée dans le magazine Flowers.",
KarakaraKemuri,Auteur de mangas.,
Mai Nishikata,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Tomoko Ninomiya,"Elle a reçu en 2004 le 28e Prix du manga Kôdansha, catégorie shôjo, pour Nodame Cantabile. Sa popularité est devenue nationale puis internationale avec l&#39adaptation de la série en drama, en anime et en films. Tomoko Ninomiya est également l’autrice de bien d’autres séries dont Green, Tensai Family Company ou encore Nanatsuya Shinobu no Hôseki-bako, un jôsei actuellement en cours dans le magazine Kiss de Kôdansha et encore inédit en France.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Tamiki Wakaki,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
noho,,
Touya Mikanagi,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Touya Mikanagi,,
Kanemoto,,
