Nom,Description,Photo
Robert Mercier,,https://m.media-amazon.com/images/S/amzn-author-media-prod/oda0i7087u40e9co9guij2r4fu._SY600_.jpg
HAMAN MANA,,
Willy Ronis,,
Bernard Stirn,"Plus que jamais, les libertés sont en questions. À l&#39état d&#39urgence appliqué entre 2015 et 2017 afin de lutter contre le terrorisme a succédé, de 2020 à 2022, l&#39état d&#39urgence sanitaire pour faire face à l&#39épidémie de Covid-19. Après le vent d&#39optimisme qu&#39avaient fait souffler, à la fin du xxe siècle, la chute du mur de Berlin, la perestroïka en Russie, la consolidation de l&#39espace juridique européen, est venu le temps des inquiétudes, marqué par la crise de la représentation, les dérives autoritaires et la montée des populismes. Le droit et les juges montrent leurs limites face à la force des armes et la fureur des hommes.
De nombreux débats d&#39actualité témoignent aussi de fortes interrogations sur les libertés : rôle et indépendance des juges, laïcité et signes religieux dans la vie publique, incertitudes bioéthiques devant les progrès de la médecine et les évolutions des moeurs, respect de la vie privée dans le monde de l&#39internet. Des questions nouvelles se posent sur des sujets aussi variés que le mariage pour tous, l&#39assistance médicale à la procréation, la fin de vie, l&#39afflux des migrants ou les exigences du développement durable.
Les libertés en questions éclairent la réflexion sur ces sujets à partir des liens entre le droit et les libertés, présentés selon une approche ouverte sur l&#39espace européen et les comparaisons internationales. Après avoir tracé le cadre juridique, qui repose sur les règles de droit et les interventions des juges, ce livre traite des grands débats de société, groupés autour de deux axes, vivre sa vie et vivre ensemble. Utile pour la préparation de concours et d&#39examens, notamment le grand oral de l&#39examen d&#39accès à la profession d&#39avocat (CRFPA), cet ouvrage est aussi destiné aux citoyens désireux de s&#39informer sur les enjeux juridiques des questions de société et soucieux de réfléchir à l&#39avenir de la démocratie.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Fabienne Desseux,"En 26 lettres et autant de notions, voici une présentation du dessin de presse français des 50 dernières années, dans une perspective historique (caricatures antisémites pendant l&#39affaire Dreyfus, dessin de propagande durant la Première Guerre...).
Dans cet abécédaire, Fabienne Desseux aborde le sujet avec verve et rigueur. Des chapitres pointent les nombreux ennemis du dessin de presse, d&#39autres les défauts ou les ambivalences du milieu. Aussi, la précarité du secteur et la difficulté de ce métier. Chaque article est illustré par Cami et Urbs, qui signent ici 52 dessins originaux. Adoptant un angle critique, ce livre vient nourrir de façon constructive le débat public sur la liberté d&#39expression et les valeurs républicaines.",
Reporters sans frontières (RSF),,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
REPORTERS SANS FRONTIERES,,
Collectif,,
Abbas,,
Bruno Gaccio,"Bruno Gaccio est un scénariste, auteur, acteur, producteur
de télévision français, connu notamment comme co-créateur
et co-auteur de l&#39émission satirique "" Les Guignols de l&#39info ""
de Canal+ de 1992 à 2007. Il est l&#39auteur de dix livres, dont
C&#39est quoi ce bordel ? aux Éditions Massot.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Patrick Chauvel,,
Collectif,,
Steve Mccurry,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
CARTIER-BRESSON Henri,,
Rebecca Shouse,,
Évariste Lefèvre,,
Reporters sans front,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
