Nom,Description,Photo
,,
Baptiste Lorber,,
Anne Bezon,"Anne Bezon est coach en écriture et écrivaine. À travers ses romans, elle amène ses lecteurs et lectrices à questionner les diktats de la société. Après l&#39hypersensibilité dans J&#39aimerais être comme vous, elle aborde ici la parentalité et toutes les joies qui vont avec. Elle vit en Auvergne avec son mari et ses deux affr...adorables garçons !",https://m.media-amazon.com/images/S/amzn-author-media-prod/igddqblfpqemju53hjjrg6nbon._SY600_.jpg
Mélodie Miller,,https://m.media-amazon.com/images/S/amzn-author-media-prod/72jikqi0nadpolufhn60fbbfr1._SY600_.jpg
Matthias Debureaux,"Matthias Debureaux est rédacteur en chef du magazine Citizen K, il est notamment l&#39auteur du livre culte De l&#39art d&#39ennuyer en racontant ses voyages (Allary Éditions, 2015), de Le noble art de la brouille (2018) et du Guide mondain des villages de France (2022)",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Papacito,Marsault a 35 ans et vit dans un ailleurs en banlieue parisienne.,
,,
Charlotte Lennox,"Charlotte Lennox (1720 - 1804), American-born English novelist whose work was much admired by leading literary figures of her time, including Samuel Johnson and the novelists Henry Fielding and Samuel Richardson. Lennox&#39s first novel was The Life of Harriot Stuart (1751). The Female Quixote (1752) and Henrietta (1758) followed.


Amanda Gilroy and Wil Verhoeven both teach at the University of Groningen, having previously taught at Brown University in the US. Together they have edited Gilbert Imlay&#39s The Emigrants for Penguin Classics and they have also published widely in the area of historical travel writing.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Marsault,Marsault a 35 ans et vit dans un ailleurs en banlieue parisienne.,
Elodie Arnould,"Elodie Arnould a gardé son âme d&#39enfant. Son seule en scène, Future grande ! en est la preuve. Jeune maman énergique, on se délecte de ses péripéties partagées sur les réseaux sociaux !",
Papacito,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
J. R. R. Tolkien,"Revue de presse
‘Among the greatest works of imaginative fiction of the 20th century.’
Sunday Telegraph
‘The English-speaking world is divided into those who have read The Lord of the Rings and The Hobbit and those who are going to read them’
Sunday Times
‘Masterpiece? Oh yes, I’ve no doubt about that.’
Evening Standard
Quatrième de couverture
For the first time ever, a very special edition of the classic masterpiece, illustrated throughout in colour by the author himself and with the complete text printed in two colours.

Since it was first published in 1954, The Lord of the Rings has been a book people have treasured. Steeped in unrivalled magic and otherworldliness, its sweeping fantasy and epic adventure has touched the hearts of young and old alike. Over 150 million copies of its many editions have been sold around the world, and occasion
En lire plus",https://m.media-amazon.com/images/S/amzn-author-media-prod/hq6oari96tk6tlqvhqs9qqcvi8._SY600_.jpg
,,
Sylvie BOUGEOT,,https://m.media-amazon.com/images/S/amzn-author-media-prod/cl41afuid8o6859jfumihh6egs._SY600_.jpg
Richard Osman,"Revue de presse
I cried in public (well, on a plane). It’s beautiful - 12/10 -- Marian Keyes

The essence of June Whitfield, Joanna Lumley, Celia Imrie, Olivia Colman and Penelope Wilton ― The Times

This moving, tightly plotted caper is [his] best book yet; moving and beautiful ― i News

An essential refuge from the cares of real life ― Telegraph

Another witty, charming and hugely entertaining read ... his best yet ― SUNDAY EXPRESS

Expect intrigue, red herrings and loads of charm ― GOOD HOUSEKEEPING

Delivered with the sharp wit that we associate with Osman ― FINANCIAL TIMES

Intricate plots, humour and the most endearing cast of characters ― WOMAN’S WEEKLY
Quatrième de couverture
A new mystery is afoot in the fourth book in the Thursday Murder Club series from million-copy bestselling author Richard Osman. Coming Autumn 2023!
En lire plus",https://m.media-amazon.com/images/S/amzn-author-media-prod/9lsugb4dtrg7kia89vmekafs2r._SY600_.jpg
Emily Henry,"Revue de presse
Emily Henry&#39s books are a gift, the perfect balance between steamy and sweet -- V. E Schwab, GALLANT

Nobody does it quite like Emily Henry -- Casey McQuiston, RED, WHITE & ROYAL BLUE

Our generation&#39s answer to Nora Ephron -- Sophie Cousens, THIS TIME NEXT YEAR

My newest automatic-buy author -- Jodi Picoult, WISH YOU WERE HERE
Quatrième de couverture
Harriet and Wyn are the perfect couple - they go together like bread and butter, gin and tonic, Blake Lively and Ryan Reynolds. Except, now they don&#39t.

They broke up six months ago. And they still haven&#39t told anyone.

Which is how they end up sharing a bedroom at the cottage that has been their yearly getaway with their best friends for the past decade. For one glorious week they leave behind their lives, drink far too much wine and soak up the sea air with their favourite people.

Only this year,
En lire plus",https://m.media-amazon.com/images/S/amzn-author-media-prod/qgushojm4202cgqeh9lv86g2a7._SY600_.jpg
Mark Haddon,"Revue de presse
Wondrous...brilliantly inventive...dazzling. Not simply the most original novel I&#39ve read in years - it&#39s also one of the best ― The Times

Exceptional by any standards. Both funny and deeply moving ― Sunday Telegraph

Outstanding. Heartening as well as richly entertaining. A stunningly good read ― Independent

Superbly realised. A funny as well as a sad book. Brilliant ― Guardian

A remarkable book. An impressive achievement and a rewarding read ― Time Out

A magical book. It&#39s one of those books that makes you feel as though you have been on an emotional rollercoaster. ― Carrie Grant, Sunday Express Published On: 2004-12-21

Brilliantly empathetic. Believe the hype: a brilliant, heart-warming book ― Scotsman

In telling a painful story in the voice of a 15-year-old boy with Asperger&#39s, Haddon broadens ordinary minds and helps to understand how they work, too. ― Daily Telegraph Published On: 2004-12-21

Mark Haddon&#39s portrayal of an emotionally dissociated mind is a superb achievement. He is a wise and bleakly funny writer with rare gifts of empathy -- Ian McEwan

I have never read anything quite like Mark Haddon&#39s funny and agonizingly honest book, or encountered a narrator more vivid and memorable. I advise you to buy two copies; you won&#39t want to lend yours out ― Arthur Golden, author of &#39Memoirs of a Geisha&#39
Quatrième de couverture
The Curious Incident of the Dog in the Night-Time is a murder mystery novel like no other. The detective, and narrator, is Christopher Boone. Christopher is fifteen and has Asperger&#39s Syndrome. He knows a very great deal about maths and very little about human beings. He loves lists, patterns and the truth. He hates the colours yellow and brown and being touched. He has never gone further than the end of the road on his own, but when he finds a neighbour&#39s dog murdered he sets out on a terrifying journey which will turn his whole world upside down.
En lire plus",https://m.media-amazon.com/images/I/41UaslFaMxL._SY600_.jpg
Bonnie Garmus,"Chemist Elizabeth Zott is not your average woman. In fact, Elizabeth Zott would be the first to point out that there is no such thing.

But it&#39s the early 1960s and her all-male team at Hastings Research Institute take a very unscientific view of equality. Except for one: Calvin Evans, the lonely, brilliant, Nobel-prize nominated grudge-holder who falls in love with - of all things - her mind. True chemistry results.

Like science, life is unpredictable. Which is why a few years later, Elizabeth Zott f",https://m.media-amazon.com/images/S/amzn-author-media-prod/a2tokv8s8ctfper0gf4f5kcg49._SY600_.jpg
Elena Armas,"Jeune autrice espagnole et book addict invétérée, Elena Armas s&#39est hissée en tête des meilleures ventes dès son premier roman. Phénomène TikTok, The Spanish Love Deception a séduit plus de 500 000 lecteurs.",https://m.media-amazon.com/images/S/amzn-author-media-prod/hiebg9nusq2i7ghslqp58v4kna._SY600_.jpg
