Nom,Description,Photo
LULY Editions,,
Gardez Votre Esprit Jeune,,
MOKHAPPY,,https://m.media-amazon.com/images/S/amzn-author-media-prod/94smd3sadb6vjcqqle5gp1oies._SY600_.jpg
Ciel Bleu,,
Samuel Goleman,,https://m.media-amazon.com/images/S/amzn-author-media-prod/ca4o6gku1fq9r3q939gisu2s2t._SY600_.jpg
Editions Layke,,https://m.media-amazon.com/images/S/amzn-author-media-prod/tr93dg8mnaucj55efnr4gnbcm9._SY600_.jpg
Editions Layke,,https://m.media-amazon.com/images/S/amzn-author-media-prod/tr93dg8mnaucj55efnr4gnbcm9._SY600_.jpg
Mokhappy,,https://m.media-amazon.com/images/S/amzn-author-media-prod/94smd3sadb6vjcqqle5gp1oies._SY600_.jpg
Jean-Pierre Willem,"Chirurgien et anthropologue, le Dr Jean-Pierre Willem a longtemps été médecin itinérant, ses missions l'ayant conduit de l'Afrique à l'Asie. Fort de cette enrichissante expérience, il a créé la Faculté Libre de Médecines Naturelles et d'Ethnomédecine à la Sorbonne (1986), ouverte au public, et l'Association humanitaire ""Les Médecins Aux Pieds Nus"" (1987). Diplômé dans la plupart des disciplines médicales (Acupuncture, Homéopathie, Phytothérapie, Aromathérapie), il est reconnu par ses pairs comme chef d'école. Il a écrit une douzaine d'ouvrages dont certains sont des best-sellers traduits dans plusieurs langues.",https://m.media-amazon.com/images/I/41MuCTfCrmL._SY600_.jpg
Jean-claude Prevost,"Jean-Claude Prévost pensait vivre une retraite tranquille, jusqu’à ce qu’on lui diagnostique une maladie de Parkinson. Refusant la pronostic d’incurabilité des médecins, il se lance dans un combat contre la maladie, et décide de l’étudier pour mieux l’apprivoiser. Depuis 2016, grâce à cette reprise en main de sa santé, sa « Parki » ne se manifeste plus.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
MOKHAPPY,,https://m.media-amazon.com/images/S/amzn-author-media-prod/94smd3sadb6vjcqqle5gp1oies._SY600_.jpg
Arthur Écho,,
Dale Bredesen,"Neurologue, le Dr Dale Bredesen a consacré plus de 30 ans à la recherche sur les maladies dégénératives. Il a notamment travaillé dans le laboratoire du prix Nobel Stanley Prusiner, avant d'occuper des fonctions professorales à l'université de Californie. Il a dirigé le programme de recherches sur le vieillissement de l'Institut Burnham avant de fonder l'Institut Buck, dédié au vieillissement.",
Originale Educ,,https://m.media-amazon.com/images/S/amzn-author-media-prod/4qas0u92svi3hfapu8e4v64ghf._SY600_.jpg
Cogni Pass,,
Originale Educ,,https://m.media-amazon.com/images/S/amzn-author-media-prod/4qas0u92svi3hfapu8e4v64ghf._SY600_.jpg
Dale Bredesen,"Neurologue, le Dr Dale Bredesen a consacré plus de 30 ans à la recherche sur les maladies dégénératives. Il a travaillé dans le laboratoire du prix Nobel Stanley Prusiner. Professeur à l'université de Californie, il dirige l'Institut Buck en Californie, dédié au vieillissement.",https://m.media-amazon.com/images/S/amzn-author-media-prod/fs1l9gno8gc5e71vr9e6dag1h0._SY600_.jpg
LULY Editions,,
Stéphane Baurand,,https://m.media-amazon.com/images/S/amzn-author-media-prod/j5i02vf33sippev77h6cubstmv._SY600_.jpg
Stéphane Baurand,,https://m.media-amazon.com/images/S/amzn-author-media-prod/j5i02vf33sippev77h6cubstmv._SY600_.jpg
Bernard Gendoré,,
CerebrumLudos Edition,,https://m.media-amazon.com/images/S/amzn-author-media-prod/3ruoqotnknplg8os7fc8ogpkm5._SY600_.jpg
Colette Roumanoff,"Auteur et metteur en scène, Colette Roumanoff a accompagné son mari au quotidien pendant dix ans. Elle partage son expérience et sa démarche lors de conférences, d'ateliers théâtre, et avec la pièce La Confusionite. Elle est aussi l'auteur de Le Bonheur plus fort que l'oubli (Michel Lafon, 2015 ; Points, 2016), L'homme qui tartinait une éponge (La Martinière, 2018 ; Points, 2019), Alzheimer, une école de bienveillance (La Martinière, 2021), et anime le blog Bienvivreavecalzheimeccom.",https://m.media-amazon.com/images/I/9121+X5ZmrL._SY600_.jpg
