Nom,Description,Photo
Denis,,
Claire Dahyot-Fizelier,"Complet et pratique, le Manuel d’Infectiologie appliquée en Anesthésie-réanimation et Médecine péri-opératoire du Collège national des enseignants d’anesthésie et de réanimation fournit aux internes et médecins anesthésistes-réanimateurs les connaissances en infectiologie indispensables pour leur pratique quotidienne.Élaboré par plus de 45 experts de l’infectiologie, cet outil didactique, illustré de nombreuses figures, tableaux, et algorithmes décisionnels propose 5 parties :• physiopathologie ;• outils diagnostiques ;• outils thérapeutiques ;• situations cliniques (orientations diagnostiques et terrains spécifiques,infection selon le site, infection selon le micro-organisme) ;• médecine péri-opératoire. Un manuel amené à devenir une référence dans la discipline.",
Renilde Loeckx,"The extraordinary story of scientists in East and West combatting HIV
A small group of scientists were doggedly working in the field of antiviral treatments when the AIDS epidemic struck. Faced with one of the grand challenges of modern biology of the twentieth century, scientists worked across the political divide of the Cold War to produce a new class of antivirals. Their molecules were developed by a Californian start-up together with teams of scientists at the Rega Institute of KU Leuven and the Institute of Organic Chemistry and Biochemistry (IOCB) of the Academy of Sciences in Prague. These molecules became the cornerstone of the blockbuster drugs now used to combat and prevent HIV. Cold War Triangle gives an insight into the human face of science as it recounts the extraordinary story of scientists in East and West who overcame ideological barriers and worked together for the benefit of humanity.",https://m.media-amazon.com/images/I/71fVFRztHVL._SY600_.jpg
Emmanuelle Albert,"Emmanuelle Albert est orthophoniste, elle s’est spécialisée dans la rééducation des troubles neurologiques et des pathologies ORL. Elle intervient dans une Maison d’Accueil Spécialisée Korian qui accueille des personnes cérébrolésées et également dans le service ORL du Pr Justin Michel à l’hôpital de la Conception à Marseille (AP-HM). Elle est en charge de la rééducation des troubles de l’odorat et du gout dans le cadre de l’hôpital de jour dédié à l’anosmie post-Covid.",https://m.media-amazon.com/images/S/amzn-author-media-prod/l2sio39cu1gkfnu7cu8m2qsh71._SY600_.jpg
Matt Richtel,"Revue de presse
“Vividly told. ... Explicates for the lay reader the intricate biology of our immune system. ... Richtel succeeds in this formidable task.” — JEROME GROOPMAN, New York Review of Books
“Deeply affecting. … A compelling modern history of—as well as an elegant defense for—the preeminent science of our time.” — Los Angeles Review of Books
“Richtel brilliantly blurs the lines between biology primer, medical historical text and the traditional first-person patient story. ... Richtel harnesses his reporter’s eye for the human condition.” — Washington Post
“In this thorough investigation, Richtel details the explosion of knowledge over the past 70 years. ... He weaves into his narrative four case studies [that] add a moving personal dimension.” — BBC, “10 Books to Read This Month”
“One of those rare nonfiction books that transcends the genre. ... A fascinating and engrossing account of the latest, and quite astonishing, discoveries involving the human immune system. ... An inspiring and wonderful read. ... I highly recommend this extraordinary book.” — Douglas Preston, #1 bestselling author of The Lost City of the Monkey God
“A thorough, richly entertaining and just-wonky-enough beginner’s class in immunology through the case studies of four patients.” — Wall Street Journal
“Remarkable. … Richtel is a gifted storyteller. … A story about cutting-edge science, humanely told.” — Matt McCarthy, USA Today
“Matt Richtel’s An Elegant Defense is a comprehensive and engaging primer on the body’s ‘ever-vigilant, omnipresent peacekeeping force.’ The immune system plays an essential role in fighting infections and cancer and in regulating our normal health. Read this superb book to better understand one of the enduring mysteries of human biology.” — SANDEEP JAUHAR, New York Times bestselling author of Heart: A History
“An expert examination of the immune system. … Richtel illuminates a complex subject so well that even physicians will learn.” — Kirkus, STARRED review
“Richtel approaches this essential subject with awe, his writing meticulous and empathic.” — Booklist, STARRED Review
“Award-winning reporter Matt Richtel examines the scientific and human realities of immune anomaly through four case studies. … Through these harrowing accounts, Richtel interweaves the research history.” — Nature, “Best Science Picks”
“A deeply reported and entertainingly written exploration of the human immune system and how it works.” — USA Today (”5 Books Not to Miss”)
“Plumbs the enormous impact of the human immune system. … Despite the topic’s staggering complexity… the heart and craft of a fine storyteller emerges most memorably.” — Mercury News
“A remarkable journey of exploration inside the human body. … Richly informative and engaging. … Eminently readable and with so many important takeaways, An Elegant Defense is well worth one’s investment of time.” — Shelf Awareness
“An engaging deep dive into our immune system.” — Men’s Health
“Richtel’s new book is so useful. ... Give[s] lay readers a means of understanding what’s known so far about the intricate biology of our immune systems.” — The Week, “Book of the Week”
“Compelling. … Richtel enthusiastically and compassionately demystifies the science and the story of one of the most intricate and misunderstood landscapes of human biology. … A celebration of life and the journey we all share.” — Washington Independent Review of Books
“Enlightening. … Readers who suffer from challenged immune systems will welcome validation for the physical and emotional trials they endure, gain deeper understanding of their ailments, and find hope for the future. Readers who are interested in the human body’s capacity to both harm or heal itself will be fascinated.” — New York Journal of Books
“A deeply reported account of how the immune system works. … Richtel weaves dense, complex research into suspense and human drama; his book reads, at times, like a harrowing mystery novel.” — Spirituality and Health magazine
“A hard-to-put-down account of the body’s first line of defense.” — Publishers Weekly
“A sweeping overview of immunology’s history. ... The prose in An Elegant Defense is vibrant, conversational, direct and often funny. … The content is captivating and useful.” — Science News
“[An] entertaining and a worthwhile read.” — The Missourian
“Fascinating. ... Rooted in evidence-based research. ... Compelling.” — AudioFile
""Books like An Elegant Defense give mainstream readers insights into that process, insights that run deeper than those a textbook might provide. When we understand how science really works, perhaps we will be a bit less susceptible to anti-scientific seductions. Richtel’s elegant analogies and compelling human stories will help us remember the basic concepts of modern immunology long after the jargon and acronyms have been forgotten."" — Commentary
“A mind-blowing page-turner with moving yet playful human dramas.” — MindBodyGreen
""Fascinating read, especially in the context of a pandemic. Through four personal stories, you discover the captivating complexity of our immune system, written in such a way that it’s an easy read for the layman."" — Bloomberg News, A Best Book of 2020
“A valuable read that will help you understand what it takes to stop COVID-19. … A super interesting look at the science of immunity.” — Bill Gates
Quatrième de couverture
Magnificently reported and soulfully crafted, An Elegant Defense is an epic, first-of-its-kind exploration of the human immune system and the secrets of health, by Pulitzer Prize–winning New York Times journalist Matt Richtel
A terminal cancer patient rises from the grave. A medical marvel defies HIV. Two women with autoimmunity discover their own bodies have turned against them. An Elegant Defense uniquely entwines these intimate stories with science’s centuries-long quest to unlock the mysteries of sickness and health, and illuminates the immune system as never before.
The immune system is our body’s essential defense network, a guardian vigilantly fighting illness, healing wounds, maintaining order and balance, and keeping us alive. Its legion of microscopic foot soldiers—from T cells to “natural killers”—patrols our body, linked by a nearly instantaneous communications grid. It has been honed by evolution over millennia to face an almost infinite array of threats. 
For all its astonishing complexity, however, the immune system can be easily compromised by fatigue, stress, toxins, advanced age, and poor nutrition—hallmarks of modern life—and even by excessive hygiene. Paradoxically, it is a fragile wonder weapon that can turn on our own bodies with startling results, leading today to epidemic levels of autoimmune disorders.
Richtel effortlessly guides readers on a scientific detective tale winding from the Black Plague to twentieth-century breakthroughs in vaccination and antibiotics, to the cutting-edge laboratories that are revolutionizing immunology—perhaps the most extraordinary and consequential medical story of our time. The foundation that Richtel builds makes accessible revelations about cancer immunotherapy, the microbiome, and autoimmune treatments that are changing millions of lives. An Elegant Defense also captures in vivid detail how these powerful therapies, along with our behavior and environment, interact with the immune system, often for the good but always on a razor’s edge that can throw this remarkable system out of balance.
Drawing on his groundbreaking reporting for the New York Times and based on extensive new interviews with dozens of world-renowned scientists, Matt Richtel has produced a landmark book, equally an investigation into the deepest riddles of survival and a profoundly human tale that is movingly brought to life through the eyes of his four main characters, each of whom illuminates an essential facet of our “elegant defense.”
En lire plus",https://m.media-amazon.com/images/S/amzn-author-media-prod/kc70cqarm6ello4qmaavl2olki._SY600_.jpg
Philipp Dettmer,"Revue de presse
&#39Through wonderful analogies and a genius for clarifying complex ideas, Immune is a truly brilliant introduction to the human body&#39s vast system for fighting infections and other threats. With his trademark wit and intellectual deft, Dettmer helps us understand not just the beautiful and strange mechanics of human immune responses, but also what works (and perhaps more importantly what doesn&#39t work!) when seeking to bolster immunity.&#39 -- John Green

&#39Immune reads as if it&#39s a riveting sci-fi novel, as Philipp Dettmer takes you on a journey into the body for an up-close look at the armies of expert warriors, rogue gladiators, and stealthy detectives that protect you in the daily war against trillions of ruthless microbe enemies. By the end of the book, I understood my entire body far better than I ever had before. Immune is a delightful treat for the curious&#39 -- Tim Urban
Quatrième de couverture
You wake up and feel a tickle in your throat. Your head hurts. You&#39re mildly annoyed as you get the kids ready for school and dress for work yourself. Meanwhile, an utterly epic war is being fought, just below your skin. Millions are fighting and dying for you to be able to complain as you drink your cup of tea and head out the door.

So what, exactly, IS your immune system?

Second only to the human brain in its complexity, it is one of the oldest and most critical facets of life on Earth. Without it, you would die within days. In Immune, Philipp Dettmer, the brains behind the most popular science channel on YouTube, takes readers on a journey through the fortress of the human body and its defences. There is a constant battle of staggering scale raging within us, full of stories of invasion, strategy, defeat, and noble self-sacrifice. In fact, in the time you&#39ve been reading this, your immune system has probably identified and eradicated a cancer cell that started to grow in your body.

Each chapter delves deeply into an element of the immune system, including defences like antibodies and inflammation as well as threats like viruses, bacteria, allergies and cancer, as Dettmer reveals why boosting your immune system is actually nonsense, how parasites sneak their way past your body&#39s defences, how viruses - including the coronavirus - work, and what goes on in your wounds when you cut yourself.

Enlivened by engaging full-colour graphics and immersive descriptions, Immune turns one of the most intricate, interconnected, and confusing subjects - immunology - into a gripping adventure through an astonishing alien landscape.

Challenging what you know and think about your own body and how it defends you against all sorts of maladies and how it might also eventually be your own downfall, Immune is a vital and remarkably fun crash course in what is arguably, and increasingly, the most important system in the body.



En lire plus",https://m.media-amazon.com/images/S/amzn-author-media-prod/4s6p2a5sfikm4u937sbul8qgq6._SY600_.jpg
Pauline Hillier,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Mark Bonner,"Docteur en dentisterie, Mark Bonner a voué sa vie entière à la lutte contre la maladie parodontale. Un de ces hommes dont on est heureux de ne pas avoir eu à l&#39inventer ! Il nous fallait son irrésistible enthousiasme, son professionnalisme irréprochable, sa générosité contagieuse, sa foi inébranlable, sa liberté sans concession, son humour ravageur et son incroyable obstination pour venir à bout de ce fléau.",
Daniel Roytas,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Martin DANIS,"Marc Gentilini, professeur émérite de maladies infectieuses et tropicales, hôpital de la Pitié-Salpêtrière, Paris. Eric Caumes, professeur des universités, praticien hospitalier, service des maladies infectieuses et tropicales, hôpital de la Pitié-Salpêtrière, Paris. Martin Danis, professeur émérite des universités, service de parasitologie-mycologie, hôpital de la Pitié-Salpêtrière, Paris. Dominique Richard-Lenoble, professeur des universités, praticien hospitalier, service de parasitologie-mycologie, médecine tropicale, CHU de Tours. Pierre Bégué, professeur émérite de pédiatrie, chef de service honoraire, hôpital Armand-Trousseau, Paris. Jean-Etienne Touze, professeur, Ecole du Val-de-Grâce, Paris. Dominique Kerouédan, maître de conférences, fondatrice et conseillère scientifique de la spécialisation Global Health à la Paris School of International Affaires de Sciences Po. Pour la rédaction de ce livre, les coordinateurs se sont entourés d&#39une équipe de plus de 90 éminents spécialistes de la discipline. Liste des collaborateurs",
