Nom,Description,Photo
Vincent Pellaumail,,
Dorian Louvet,"Dorian Louvet est coach sportif et conférencier autour de la motivation et du dépassement de soi. Il est au-jourd&#39hui suivi par plus de 140 000 personnes sur Instagram.

Julien Todeschini écrit en collaboration avec Dorian, il est lui-même diététicien nutritionniste, conférencier et auteur de Bien dans son as-siette et à l&#39aise dans ses baskets, et En forme en 12 semaines : sport et alimentation, éditions Vigot.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Andrea Marcolongo,,
Dr Fabrice Kuhn,Xavier Teychenné est kinésithérapeute spécialisé dans la course à pied et conférencier. Il est aussi traileur et coach. Il a enseigné au sein de la Clinique du coureur durant de nombreuses années.,https://m.media-amazon.com/images/S/amzn-author-media-prod/uv3ibdqit5pt5on3g04gmdc9tf._SY600_.jpg
Clotilde Morgaut,,
JACK DANIELS,"Jack DANIELS (USA) : Jack DANIELS est un physiologiste américain du sport, titulaire d&#39un doctorat en physiologie de l&#39effort.Il fut médaillé olympique en pentathlon moderne et possède plus de 50 ans d&#39expérience comme entraîneur d&#39athlétisme aussi bien auprès de coureurs amateur que de coureurs élite.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Jean-Marc Enguiale,,https://m.media-amazon.com/images/S/amzn-author-media-prod/11eroj1d7sn36pc8c4rv5hvnli._SY600_.jpg
Boris KERTY,,
David Goggins,,https://m.media-amazon.com/images/S/amzn-author-media-prod/73kvrao1t3fmfgit79ne3dsu5v._SY600_.jpg
Sonia Sieff,"Revue de presse
On the heels of Les Françaises, Sonia Sieff’s critically acclaimed book on the beauty of the female form, comes her unprecedented and sublime exploration of the male nude.

Following her much lauded and decidedly feminist take on the female nude, Sieff now trains her lens on the men from all walks of life who are photographed in a wide range of locales in Sieff’s native France, throughout neighboring countries in Europe, and as far reaching as Africa in this second volume of her nude portraiture. Celebra --From the Back Cover

On the heels of Les Françaises, Sonia Sieff’s critically acclaimed book on the beauty of the female form, comes her unprecedented and sublime exploration of the male nude.

Following her much lauded and decidedly feminist take on the female nude, Sieff now trains her lens on the men from all walks of life who are photographed in a wide range of locales in Sieff’s native France, throughout neighboring countries in Europe, and as far reaching as Africa in this second volume of her nude portraiture. Celebra --From the Back Cover
Quatrième de couverture
On the heels of Les Françaises, Sonia Sieff’s critically acclaimed book on the beauty of the female form, comes her unprecedented and sublime exploration of the male nude.

Following her much lauded and decidedly feminist take on the female nude, Sieff now trains her lens on the men from all walks of life who are photographed in a wide range of locales in Sieff’s native France, throughout neighboring countries in Europe, and as far reaching as Africa in this second volume of her nude portraiture. Celebra
En lire plus",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Run Rise,,
Run Rise,,
Jean-Claude Vollmer,"Jean-Claude Vollmer, entraîneur d&#39Hassan Chahdi (meilleur chrono français sur marathon en 2017 en 2h10min20s), ancien entraîneur national de demi-fond, ancien Directeur Technique National adjoint, responsable du département du sport de haut niveau à l&#39INSEP, expert lepape-info.",
Anaïs Brosseau,"Journaliste, Anaïs Brosseau est spécialisée dans les sujets mêlant sport et société. Journaliste, Cyril Petit est rédacteur en chef délégué à Ouest-France. Passionnés de course à pied, ils cumulent une dizaine de marathons en France et à l&#39étranger. Préface de Christelle Daunay, médaillée d&#39or aux championnats d&#39Europe d&#39athlétisme en 2014 et détentrice du record de France du marathon de 2008 à 2024.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Phil Knight,"In 1962, fresh out of business school, Phil Knight borrowed $50 from his father and created a company with a simple mission: import high-quality, low-cost athletic shoes from Japan. Selling the shoes from the boot of his Plymouth, Knight grossed $8000 in his first year. Today, Nike&#39s annual sales top $30 billion. In an age of start-ups, Nike is the ne plus ultra of all start-ups, and the swoosh has become a revolutionary, globe-spanning icon, one of the most ubiquitous and recognisable symbols in the world",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Adharanand Finn,"Adharanand Finn, journaliste au Guardian, a publié Courir avec les Kenyans – Le secret des hommes les plus rapides du monde, JC Lattès 2012) et The Way of the Runner (sur la course d&#39endurance au Japon).
The Rise of the Ultrarunners est traduit de l&#39anglais par Jean-Philippe Lefief.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Arthur Gasquier,,
Grégoire Chevignard,"Quadragénaire et père de famille, Grégoire Chevignard a découvert la course à pied par hasard. De paires de chaussures en paires de chaussures, il s&#39est pris de passion pour cette discipline. En trois ans, il a couru une cinquantaine de marathons, la Saintélyon (72 km), le Tor des Géants (330 km, 25 000 m de dénivelé positif) ou encore la Diagonale des fous (170 km, 10 000 ni de dénivelé positif).",https://m.media-amazon.com/images/I/91X1wsIM6mL._SY600_.jpg
Jean-Philippe Lefief,"Passionné d&#39ultra-trail depuis 2005, Jean-Philippe Lefief a participé dix fois à l&#39Ultra Trail du Mont-Blanc (30h08 en 2014) et en a couru près de 80. Journaliste de profession et spécialiste de l&#39actualité internationale, il a exercé vingt ans dans une grande agence de presse.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Run Rise,,
Run Rise,,
Acian,,
