Nom,Description,Photo
,,
Nadia Volf,"NADIA VOLF est docteur en médecine, docteur ès sciences et responsable pédagogique du diplôme interuniversitaire d&#39acupuncture scientifique à l&#39université Paris-Saclay.",
Emeric Persillet (Monsieur Réflexo),,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Cécile Jeanne Fraeye,,https://m.media-amazon.com/images/S/amzn-author-media-prod/if9l9pub1udgmfcv1jce9ucn6r._SY600_.jpg
Joseph Kessel,"À la veille de la Seconde Guerre mondiale, Felix Kersten est spécialisé dans les massages thérapeutiques. Parmi sa clientèle huppée figurent les grands d&#39Europe. Pris entre les principes qui constituent les fondements de sa profession et ses convictions, le docteur Kersten consent à examiner Himmler, le puissant chef de la Gestapo. Affligé d&#39intolérables douleurs d&#39estomac, celui-ci en fait bientôt son médecin personnel. C&#39est le début d&#39une étonnante lutte, Felix Kersten utilisant la confiance du fanatique bourreau pour arracher des milliers de victimes à l&#39enfer. Joseph Kessel nous raconte l&#39incroyable histoire du docteur Kersten et lève le voile sur un épisode méconnu du XXᵉ siècle.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Nadia Volf,"NADIA VOLF est docteur en médecine, docteur ès sciences et responsable pédagogique du diplôme interuniversitaire d&#39acupuncture scientifique à l&#39université Paris-Saclay.
Membre de l&#39Association scientifique des médecins acupuncteurs de France et de l&#39École française d&#39acupuncture, ainsi que de l&#39American Academy of Medical Acupuncture, elle est conférencière internationale et auteure de nombreux ouvrages parmi lesquels La Symphonie des méridiens du corps et Guide de survie en temps incertains, parus chez le même éditeur.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Dr. Angela Fetzner,,https://m.media-amazon.com/images/S/amzn-author-media-prod/m90hom0ub4mq1g9o565fe888uu._SY600_.jpg
Ingela P. Arrhenius,,
Murielle Toussaint,"Naturopathe et journaliste spécialisée dans le domaine de la santé, Murielle Toussaint est l’autrice de plusieurs ouvrages aux éditions Mosaïque-Santé, notamment ""Mon cahier de lithothérapie"", ""Mon cahier des points qui guérissent"" et ""Mon cahier de réflexologie plantaire"", tous best sellers.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Murielle Toussaint,"Naturopathe et journaliste spécialisée dans le domaine de la santé, Murielle Toussaint est l’autrice de plusieurs ouvrages aux éditions Mosaïque-Santé, notamment ""Mon cahier de lithothérapie"", ""Mon cahier des points qui guérissent"" et ""Mon cahier de réflexologie plantaire"", tous best sellers.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Bùi Quôc Chàu,"Le professeur Bùi Quôc Chàu organise de nombreuses formations partout dans le monde et transmet lui-même son savoir aux praticiens.Il est l’auteur, aux Éditions Grancher, de Le Dien Chan (collection ABC), Schémas de similitude de forme et de multiréflexologie en Dien Chan et de 150 schémas de traitement en Dien Chan.

Madame Le Yen Zys enseigne le Dien Chan en Europe et en Amérique du Nord. Elle préside l’Académie internationale de Dien Chan à Paris.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Isabelle Trombert,"Isabelle Trombert est aromathérapeute, masseuse et somatothérapeute. Passionnée par les bienfaits et les techniques du massage, elle crée en 2004, à 24 ans seulement, sa propre école de massage, puis son réseau de spa. Elle met aujourd&#39hui toute son énergie à former les masseurs selon une méthode rigoureuse et oeuvre pour la professionnalisation des enseignements.",
Mireille Meunier,"Mireille Meunier a une formation en psychologie. Elle a reçu son diplome d&#39état de ""Heilpraktikerin"" par le ministère de la santé de Berlin en 1990 et est à l&#39origine de la création de la fédération française de reflexologues. Elle est devenue référente dans le domaine.",https://m.media-amazon.com/images/S/amzn-author-media-prod/gd9h4ff6neq2li8pkne4k08o9i._SY600_.jpg
