Nom,Description,Photo
Viola Di Russo,,https://m.media-amazon.com/images/S/amzn-author-media-prod/c63ejrtr6tat5ac5rg97r2oira._SY600_.jpg
Viola Di Russo,,https://m.media-amazon.com/images/S/amzn-author-media-prod/c63ejrtr6tat5ac5rg97r2oira._SY600_.jpg
Patrick Drouot,"PATRICK DROUOT est physicien, diplômé de l&#39université Columbia à New York, spécialiste mondialement reconnu des sciences cognitives, de l&#39expérimentation des états d&#39expansion de conscience, et des thérapies quantiques. Il a développé une synthèse des nouvelles découvertes de la physique post-quantique et de leurs liens avec les grandes traditions de l&#39humanité. Il est auteur de nombreux ouvrages dont les bestsellers Nous sommes tous immortels, et Guérison spirituelle et immortalité (Éditions du Rocher), et Le Guide pratique de la cohérence cardiaque, paru chez Guy Trédaniel édite

MARIE BORREL est journaliste et auteure. Elle a dirigé pendant une dizaine d&#39années la rubrique santé du magazine Psychologies, avant de devenir rédactrice en chef du magazine Médecine douce.
Pendant plus de vingt ans, elle a exploré les chemins du bien-être, découvrant peu à peu comment les petites améliorations de notre hygiène de vie et de notre équilibre psycho-émotionnel se combinent pour nous permettre de mieux vivre. Elle a signé de multiples ouvrages et collabore avec de nombreux médecins et chercheurs.",https://m.media-amazon.com/images/I/51XJma0ndXL._SY600_.jpg
Thibaut Meurisse,,https://m.media-amazon.com/images/S/amzn-author-media-prod/dodgjj92binq4366fb33l1m2jg._SY600_.jpg
Serge Boutboul,"Enseignant spirituel ayant inspiré des milliers de personnes de par ses perceptions et sa connaissance extraordinairement fines des mondes subtils, Serge Boutboul fut élève et ami de Raymond Réant, l&#39un des plus célèbres clairvoyants français. Éveilleur de conscience, il transmet ses techniques d&#39éveil psychique et spirituel depuis plus de vingt-cinq ans à travers des cours, séminaires, conférences et émissions qui ont su sensibiliser un vaste public. Il est l&#39auteur de nombreux livres et coffrets best-sellers, chez le même éditeur.

Site Internet : https://sergeboutboul.com/
Facebook : Serge Boutboul
Youtube Serge Boutboul
Instagram serge_boutboul",https://m.media-amazon.com/images/I/B1n+1Z9Z0oS._SY600_.jpg
Khalil Gibran,"Durant toutes ces années, le prophète a côtoyé les collines, conversé avec les vents et murmuré au creux des arbres. Étranger au peuple d&#39Orphalese, il a pourtant appris à le connaître et à l&#39aimer. Or, à l&#39heure de repartir vers sa terre natale, il éprouve une grande tristesse. Car c&#39est au sein de ce peuple, grâce à tout ce que lui a insufflé ce lieu, qu&#39il a pu mûrir la sagesse qu&#39il va désormais dispenser. Et c&#39est à Orphalese qu&#39à l&#39heure de l&#39adieu, dans un ultime échange, il s&#39accomplit comme prophète. On l&#39interroge sur les grandes préoccupations humaines et, inlassablement, il chuchote sa réponse avec tendresse et compréhension, sans dogmatisme. Long poème en prose, Le Prophète nous livre une conception de la religion qui est une conception de la vie. Étonnamment moderne, le panthéisme de Khalil Gibran conduit le divin vers des régions accessibles à tous. Nul besoin d&#39être chrétien du Liban, comme son auteur, pour se laisser bercer par le doux balancement des phrases. D&#39une grande indulgence envers les faiblesses de l&#39homme, mais aussi d&#39une grande confiance dans ses possibilités, cette modulation de L&#39Ecclésiastique, publiée en 1925, est sans doute le texte auquel Gibran a consacré le plus d&#39efforts. --Sana Tang-Léopold Wauters",
Bessel van der Kolk,"Revue de presse
An astonishing and important book. The trauma Bible. I cannot recommend it enough for anyone struggling with...well...anything -- Tara Westover

Fascinating, hard to put down, and filled with powerful case histories. . . . the most important series of breakthroughs in mental health in the last thirty years -- Norman Doidge, author of The Brain That Changes Itself

A gripping bestseller about where trauma goes, and its disastrous effects on both individuals and societies. Deeply interesting. ― The Times

Nobody can stop talking about this book right now . . . you might want to listen -- Maddie Bender ― Men&#39s Health

Dr. van der Kolk&#39s masterpiece combines the boundless curiosity of the scientist, the erudition of the scholar, and the passion of the truth teller -- Judith Herman, M.D., author of Trauma and Recovery

Everyone should read this book -- Nigella Lawson

A seminal book that outlines the author&#39s pioneering work -- Thea Jane May ― Vogue

Draws on 30 years of experience to argue powerfully that trauma is one of the West&#39s most urgent public health issues... Packed with science and human stories ... van der Kolk has a lot to say, and the struggle and resilience of his patients is very moving ― New Scientist

Fundamental in understanding how our physical self is connected to all the things we go through and beyond -- Gemma Cairney

A masterpiece of powerful understanding and brave heartedness, one of the most intelligent and helpful works on trauma I have ever read. . . a brilliant synthesis of clinical cases, neuroscience, powerful tools and caring humanity, offering a whole new level of healing -- Jack Kornfied, author of A Path With Heart

Incredible -- William Leith, &#39Books of the Year&#39 ― Evening Standard
Quatrième de couverture
The effects of trauma can be devastating for sufferers, their families and future generations. Here one of the world&#39s experts on traumatic stress offers a bold new paradigm for treatment, moving away from standard talking and drug therapies and towards an alternative approach that heals mind, brain and body.
En lire plus",
Frédéric Lenoir,"Frédéric Lenoir est philosophe, sociologue, historien des religions et chercheur associé à l&#39École des Hautes Études en Sciences Sociales (EHESS). Il produit l&#39émission hebdomadaire "" Les Racines du ciel "" sur France Culture. Auteur d&#39une quarantaine d&#39ouvrages (essais, encyclopédies, romans), traduits dans une vingtaine de langues et vendus à plus de quatre millions d&#39exemplaires, Frédéric Lenoir écrit aussi pour le cinéma, le théâtre et la bande dessinée.

Retrouvez toute l&#39actualité de l&#39auteur sur :
www.fredericlenoir.com
www.facebook.com/pages/Frédéric-Lenoir",https://m.media-amazon.com/images/S/amzn-author-media-prod/loaeehprlvjk6tdmam3kjibm2o._SY600_.jpg
Samuel Ganes,"Samuel Ganes est instructeur de yoga, en méditation, thérapeute ayurvédique, spirothérapeute, sophrologue et formateur. Au fil de ses nombreux voyages en Inde, il s&#39est spécialisé dans les méthodes de respirations ancestrales (pranayamas) auprès des plus grands à Varanasi ou Mumbai, avant de créer la spirothérapie, thérapie par le souffle, à laquelle il forme chaque année de nombreuses personnes.
Il est l&#39auteur d&#39ouvrages de bien-être dont Mon coach ayurvéda et 50 exercices de yoga (éd. Eyrolles).",https://m.media-amazon.com/images/S/amzn-author-media-prod/23gh1khu86uffjrmb2cc0gba3k._SY600_.jpg
Héctor García,"Revue de presse
Ikigai urges individuals to simplify their lives by pursuing what sparks joy for them ― Marie &#39KonMari&#39 Kondo

I love [this] book… I read it and it’s bewitched me ever since. I’m spellbound

A refreshingly simple recipe for happiness... According to the Japanese, everyone has an ikigai. It means your purpose – the reason you get up in the morning. The thing that fires you up and keeps you busy. Your raison d&#39être. ― Stylist

Curl up on the sofa with this and enjoy an insight into Japanese culture while picking up some self-care tips you may not have considered before... Ikigai offers an insight into a gentle yet focused way of life built around a sense of purpose. ― Independent

Ikigaigently unlocks simple secrets we can all use to live long, meaningful, happy lives. Science-based studies weave beautifully into honest, straight-talking conversation you won’t be able to put down. Warm, patient, and kind, this book pulls you gently along your own journey rather than pushing you from behind.

[The] Japanese art of ikigai ...Its basic message is about ""authentic living"". Practitioners must fill in overlapping circles that cover motivation, fulfilment, what they earn and what improves their life. The answer at the centre will be the key to a happy and long life. ― Guardian

If hygge is the art of doing nothing, ikigai is the art of doing something - and doing it with supreme focus and joy. ― New York Post
Quatrième de couverture
Bring meaning and joy to your every day with the internationally bestselling guide to ikigai.

The people of Japan believe that everyone has an ikigai – a reason for being; the thing that gets you out of bed each morning. And according to the residents of the Japanese island of Okinawa – the world’s longest-living people – finding it is the key to a longer and more fulfilled life.

Inspiring and comforting, this book will bring you closer to these centenarians’ secrets: how they leave urgency behind; keep doing what they love for as long as possible; nurture friendships; live in the moment; participate in their communities and throw themselves into their passions. And it provides practical tools to help you discover your own personal ikigai.

Because who doesn’t want to find happiness in every day?








En lire plus",
Luc Bodin,"Luc Bodin est docteur en médecine, diplômé en cancérologie clinique et spécialiste en médecines naturelles. Il est aussi conférencier, formateur et auteur de nombreux livres à succès, dont Le Grand Manuel des soins énergétiques, Soignez avec l&#39énergie, ROHR au quotidien, La médecine spirituelle, et Découvrir le sens caché des maladies, parus chez le même éditeur.",
Isabel S Churchill,,https://m.media-amazon.com/images/S/amzn-author-media-prod/qvog9obcugf9adqo3qd7mf5og._SY600_.jpg
Christophe André,"Il y a d&#39abord cette lumière jaune, intense, d&#39un soleil d&#39hiver qui brille au-dehors. Un soleil qui éblouit sans réchauffer. Puis on découvre le vieil homme immobile. II s&#39est détourné de sa table de travail et du livre qu&#39il étudiait : pour réfléchir ? Se reposer ? Méditer ? Notre regard glisse ensuite vers la droite et remarque la porte basse de la cave. Puis il est attiré par l&#39escalier en colimaçon. Au moment où il s&#39apprête à gravir les premières marches, il découvre le feu qui crépite dans l&#39âtre et une femme attisant la braise. Il revient vers l&#39envol des marches : mais elles ne conduisent qu&#39à de l&#39obscurité.
Le tableau est petit, le lieu qu&#39il dépeint est sombre, mais on a le sentiment d&#39un vaste espace. C&#39est le génie de Rembrandt, qui fait voyager notre regard dans toutes les dimensions. En largeur, depuis la gauche, d&#39où irradie la lumière du jour, vers la droite, où celle du feu est fragile, presque dérisoire; le dialogue d&#39un soleil qui éclaire sans réchauffer et d&#39un feu qui réchauffe sans éclairer ; soleil de la raison et feu de la passion, deux ingrédients pour philosopher ? En hauteur, avec cet escalier en colimaçon qui relie profondeurs secrètes de la cave et mystères obscurs de l&#39étage. En profondeur, depuis le fond du tableau où siège le philosophe jusqu&#39au cercle de ténèbres qui l&#39entoure. Mais le sentiment d&#39espace vient aussi du jeu subtil entre le dévoilé et le caché. Ce qui importe, c&#39est ce qu&#39on imagine : de l&#39autre côté de la fenêtre, derrière la porte de la cave, en haut de l&#39escalier. Et le plus vaste de ces univers cachés à nos yeux qui sont passés trop vite : l&#39esprit du philosophe, son monde intérieur. Ténèbres et pénombres, un peu de lumière, un peu de chaleur. Et un esprit en marche. Est-ce à cela que ressemble notre intériorité ?

Méditer c&#39est s&#39arrêter

S&#39arrêter de faire, de remuer, de s&#39agiter. Se mettre un peu en retrait, se tenir à l&#39écart du monde.
Au début, ce qu&#39on éprouve semble bizarre : il y a du vide (d&#39action, de distraction) et du plein (tumulte des pensées et des sensations dont on prend soudainement conscience). Il y a ce qui nous manque : nos repères et des choses à faire ; et, au bout d&#39un moment, il y a l&#39apaisement qui provient de ce manque. Les choses ne se passent pas comme à «l&#39extérieur», où notre esprit est toujours accroché à quelque objet ou projet : agir, réfléchir sur un sujet précis, avoir son attention captée par une distraction.
Dans cette apparente non-action de l&#39expérience méditative, on met du temps à s&#39habituer, à voir un peu plus clair. Comme dans le tableau. Comme lorsqu&#39on passe de la lumière à l&#39ombre. Nous sommes entrés en nous-mêmes, pour de vrai. C&#39était tout près de nous, mais nous n&#39y allions jamais. Nous traînions plutôt dehors : à notre époque de sollicitations effrénées et de connexions forcenées, notre lien à nous-mêmes reste souvent en friche. Intériorités abandonnées... les extériorités sont plus faciles, et plus balisées. Alors que l&#39expérience méditative est souvent une terre sans sentiers. Dans la pièce où médite le philosophe, il y a moins de lumière, alors il faut ouvrir les yeux plus grand. En nous-mêmes aussi : il y a moins d&#39évidences et de réassurances, alors nous avons à ouvrir plus grand les yeux de notre esprit.
On pensait, on espérait trouver le calme, le vide. On tombe souvent sur un grand bazar, du tapage, du chaos. On aspirait à la clarté, on a trouvé la confusion. Parfois, méditer nous expose à l&#39angoisse, à la souffrance, à ce qui nous fait souffrir et qu&#39on évitait en pensant à autre chose, en s&#39agitant ailleurs. --Extrait

http://www.editions-iconoclaste.fr/spip.php?article1549 --Revue de presse",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Christophe André,"Médecin psychiatre, Christophe André est l&#39un des meilleurs spécialistes français de la psychologie des émotions. Ses ouvrages de vulgarisation scientifique – dont Méditer jour après jour ou Imparfaits, libres et heureux – connaissent un immense succès et ont aidé de nombreux lecteurs.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Séverine Carqueville,,
David O&#39Hare,"Le Dr David O&#39Hare est médecin et spécialiste international de la cohérence cardiaque. Il forme des thérapeutes, des intervenants professionnels et des coachs au sein de l&#39institut de formation Equilibios David O&#39Hare (IFEDO) en Europe francophone et au Québec.",
Catherine Satra Le Bris,,
Eline Snel,"Eline Snel est thérapeute. Elle a mis au point une méthode de méditation pour les enfants qui a fait le tour du monde. Son Académie pour l&#39enseignement de la pleine conscience forme de nombreux parents et professionnels de la petite enfance aux Pays-Bas, en France, en Espagne, en Amérique latine et dans bien d&#39autres pays. Son livre Calme et attentif comme une grenouille est devenu le livre n°1 de méditation pour les enfants dans le monde entier. Aujourd&#39hui, de plus en plus d&#39écoles découvrent les bienfaits de la pleine conscience.",
Viola Di Russo,,https://m.media-amazon.com/images/S/amzn-author-media-prod/c63ejrtr6tat5ac5rg97r2oira._SY600_.jpg
Viola Di Russo,,https://m.media-amazon.com/images/S/amzn-author-media-prod/c63ejrtr6tat5ac5rg97r2oira._SY600_.jpg
Luc Bodin,"Luc Bodin est docteur en médecine, diplômé en cancérologie clinique et spécialiste en médecines naturelles. Il est de plus, conférencier et auteur de nombreux livres dont le Ho&#39oponopono, le secret des guérisseurs hawaïens, Soignez avec l&#39énergie, Manuel de soins énergétiques et Les trois secrets de l&#39Univers.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Frédéric Lenoir,"Frédéric Lenoir est philosophe, sociologue, historien des religions et chercheur associé à l&#39École des Hautes Études en Sciences Sociales (EHESS). Il produit l&#39émission hebdomadaire "" Les Racines du ciel "" sur France Culture. Auteur d&#39une quarantaine d&#39ouvrages (essais, encyclopédies, romans), traduits dans une vingtaine de langues et vendus à plus de quatre millions d&#39exemplaires, Frédéric Lenoir écrit aussi pour le cinéma, le théâtre et la bande dessinée.

Retrouvez toute l&#39actualité de l&#39auteur sur :
www.fredericlenoir.com
www.facebook.com/pages/Frédéric-Lenoir",https://m.media-amazon.com/images/S/amzn-author-media-prod/loaeehprlvjk6tdmam3kjibm2o._SY600_.jpg
Thich Nhat Hanh,"La Pleine Conscience est le miracle grâce auquel nous pouvons vivre pleinement chaque instant de la vie, que ce soit en mangeant une mandarine, en jouant avec des enfants ou en faisant la vaisselle. Les principes simples et directs qu&#39énonce le célèbre maître zen Thich Nhat Hanh sont universels et chacun peut y découvrir des trésors. Par cet enseignement, où méditation et action ne sont pas séparées, nous sommes invités à redécouvrir la véritable beauté de la vie au fil de notre quotidien, à apprécier chaque minute, chaque seconde du miracle de la réalité. Le miracle de la Pleine Conscience nous apprend à retrouver l&#39émerveillement de l&#39enfant devant le monde et à nous reposer dans le calme et la paix de notre nature profonde.",https://m.media-amazon.com/images/S/amzn-author-media-prod/91o0mh6hjt44j5c7g77853fef8._SY600_.jpg
David Berceli,David Berceli (Ph.D.) est un expert international de la gestion des stress post-traumatiques. Il a vécu et travaillé pendant plus de 25 ans dans des pays déchirés par la guerre ou frappés par des catastrophes naturelles. Il a élaboré des programmes spéciaux d&#39aide post-traumatique pour l&#39armée américaine. Actuellement il enseigne la méthode TRE dans une trentaine de pays.,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
collection Leslie Matthew,,
Jose Silva,"1. Using More of Your Mind in Special Ways 1 Using More of Your Mind in Special Ways
Imagine coming into direct, working contact with an all-pervading higher intelligence and learning in a moment of numinous joy that it is on your side. Imagine too that you made this contact in such simple ways that for the rest of your life you need never again feel helplessly out of touch with something you always suspected was there but could never quite reach—a helpful wisdom, a flash of insight when you need it, the feeling of a loving, powerful presence. How would it feel?

It would be a peak experience not too different—perhaps not different at all—from spiritual awe.

This is what it feels like after four days of Silva Mind Control training. So far, more than a half-million people know; they have been through it. And as they become more accustomed to using the methods that produce this feeling they settle down into a calm, self-confident use of new powers and energies, their lives richer, healthier, freer of problems.

Shortly José Silva will explain some of these methods so that you will be able to start using them yourself. First let’s look in on the beginning of a Mind Control class and see what takes place.

To start off, there is an introductory lecture of about an hour and twenty minutes. The lecturer defines Mind Control and outlines the two decades of research that led to its development. Then, briefly, he describes ways the students will be able to apply what they learn in improving health, solving everyday problems, learning more easily, and deepening spiritual awareness. A twenty-minute break follows.

Over coffee the students become acquainted. They are from widely varying backgrounds. Physicians, secretaries, teachers, taxi drivers, housewives, high-school and college students, psychiatrists, religious leaders, retired people—this is a typical mix.

After the break there is another hour-and-twenty-minute session beginning with some questions and answers, then down to business with the first training exercise, which will lead to a meditative level of mind. The lecturer explains that this is a state of deep relaxation, deeper than in sleep itself but accompanied by a special kind of awareness. It is in fact an altered state of consciousness used in virtually every meditative discipline and in intensive prayer.

No drugs or biofeedback machines are used. Mind Control lecturers speak of entering this state as “going to your level,” or sometimes “going into Alpha.” In a thirty-minute exercise they lead the student there gently, giving instructions in plain English. In fact all of Mind Control is in plain English: no scientific jargon or Far Eastern words.

Several of the students may already have learned to meditate before coming to class, some using methods that take a few weeks to learn, others after months of determined effort. They are amazed at a simple exercise that takes only thirty minutes.

One of the first things students hear is, “You are learning to use more of your mind and to use it in a special manner.”

This is a simple sentence they hear and internalize at the outset. The full meaning of it is nothing less than stupefying. Everyone—no exceptions—everyone has a mind that can easily be trained to exercise powers that beginners openly doubt they have. Only when they actually experience these powers do they come to believe.

Another thing that students are told is, “Project yourself mentally to your ideal place of relaxation”—a pleasant, calming, remarkably vivid exercise, which both strengthens the imagination and leads to deeper relaxation.

A word about meditation: In everyday speech it means thinking things over. If you set this book aside for a moment and consider what to have for dinner tomorrow, you are meditating.

But in the various meditative disciplines the word has a more specific meaning, referring to a special level of mind. In some disciplines, reaching this level is an end in itself, clearing the mind of all conscious thought. This produces a pleasant calm and goes a long way toward relieving and preventing illnesses caused by tension, as countless studies have proved.

But this is passive meditation. Mind Control goes far beyond this. It teaches the student to use this level of mind for solving problems, little nagging ones as well as larger, burdensome ones. This is dynamic meditation; the power of it is truly spectacular.

We hear more and more about Alpha nowadays. It is one of the brain-wave patterns, a kind of electrical energy produced by the brain, and can be measured by an electroencephalograph (EEG). The rhythms of this energy are measured in cycles per second (CPS). Generally, about fourteen CPS and up are called Beta waves; about seven to fourteen are Alpha; four to seven Theta; and four and below are Delta.

When you are wide awake, doing and achieving in the workaday world, you are in Beta, or “outer consciousness,” to use Mind Control terminology. When you are daydreaming, or just going to sleep but not quite there yet, or just awakening but not yet awake, you are in Alpha. Mind Control people call this “inner consciousness.” When you are asleep you are in Alpha, Theta, or Delta, not just Alpha alone, as many believe. With Mind Control training you can enter the Alpha level at will and still remain fully alert.

You may wonder what it feels like to be in these different levels of mind.

Being in Beta, or wide awake, does not produce any one particular feeling. You might feel confident or fearful, busy or idle, engrossed or bored—the possibilities in Beta are endless.

In the deeper levels the possibilities are limited for most people. Life has taught them to function in Beta, not Alpha or Theta. At these deeper levels they are pretty much limited to daydreaming, the edges of sleep, or sleep itself. But with Mind Control training, useful possibilities begin to multiply with no end in sight. As Harry McKnight, Associate Director of Silva Mind Control, wrote, “The Alpha dimension has a complete set of sensing faculties, like the Beta.” In other words, we can do different things in Alpha than we can do in Beta.

This is a key concept in Mind Control. Once you become acquainted with these sensing faculties and learn to use them, you will be using more of your mind in a special manner. You will actually operate psychically whenever you want to, tapping in on Higher Intelligence.

Most people seek out Mind Control as a way to relax, to end insomnia, to find relief from headaches, or to learn to do things that cost great efforts of will, such as stopping smoking, losing weight, improving memory, studying more effectively. This is what most of them come for; they learn much, much more.

They learn that the five senses—touching, tasting, smelling, hearing, and seeing—are only a part of the senses they were born with. There are others, call them powers or senses, once known only to a gifted few and to mystics who developed them over lifetimes removed from the active world. The mission of Mind Control is to train us to awaken these powers.

What this awakening can mean was well put by Mademoiselle’s beauty editor, Nadine Bertin, in the March 1972 issue:

“The drug culture can have its mind-expanding pills, powders and shots. I’ll take mine straight. Mind Control does expand your mind. It teaches you HOW to expand it. It is aptly named because, unlike drugs or hypnosis, you are in control. Mind expansion, self-knowledge and helping others through Mind Control are only limited by your own limitations. ANYTHING is possible. You hear about it happening to others. And suddenly, you see it happening to you.”",
Ryan Holiday,"If Stoicism is becoming trendy, you can credit, or blame, Mr. Holiday. ― New York Times

The Daily Stoic follows up on the success of [The Obstacle Is The Way] by providing a year of quotations and life lessons drawn from the three great Stoic sages. ― Wall Street Journal

A generous gift of guidance on modern living culled from a canon of wisdom hatched long ago. -- Maria Popova, editor of Brain Pickings

A richly rewarding spring of practical wisdom to help you focus on what&#39s in your control, eliminate false and limiting beliefs, and take more effective action. Make The Daily Stoic your guide and you will grow in clarity, effectiveness, and serenity each day! -- Jack Canfield, co-author of &#39The Success Principles&#39™ and the &#39Chicken Soup for the Soul&#39® series

A treasure for managing our choices, overcoming self-deception, and learning to act according to the true worth of things -- Joseph A. Maciariello, author of &#39The Daily Drucker&#39

Whether you&#39re a lowly cubicle slave or a US Senator, this book will help you find your still center. -- Gregory Hays, translator of The Modern Library&#39s edition of Marcus Aurelius&#39 &#39Meditations&#39; Professor of Classics and Director of Undergraduate Studies at the University of Virginia

The Daily Stoic is a treasure for managing our choices, overcoming self-deception, and learning to act according to the true worth of things while keeping the common good always in view. Caring for the soul in this way makes not only better people, but a stronger society too. -- Joseph A. Maciariello, Professor Emeritus at Drucker and Ito Graduate Management School; author of The Daily Drucker, The Effective Executive in Action, and A Year with Peter Drucker

Really digging this. -- Debra Messing, actress

Praise for The Obstacle is the Way:
&#39A book for the bedside of every future - and current - leader in the world.
-- Robert Greene, author of The 48 Laws of Power and Mastery

[The book that&#39s] turning the entrepreneurs and the moguls into hard-wired stoics ― The Times

Ryan Holiday is part Machiavelli, part Ogilvy ... this whiz kid is the secret weapon you&#39ve never heard of. -- Tim Ferriss, author of The 4-Hour Work Week",
Viola Di Russo,,https://m.media-amazon.com/images/S/amzn-author-media-prod/c63ejrtr6tat5ac5rg97r2oira._SY600_.jpg
Viola Di Russo,,https://m.media-amazon.com/images/S/amzn-author-media-prod/c63ejrtr6tat5ac5rg97r2oira._SY600_.jpg
Emilie Pernet,"Émilie Pernet est sophrologue et hypnothérapeute. Chez First, elle est également l&#39auteur du Petit Livre du lâcher-prise et du Petit Livre de l&#39intuition.",https://m.media-amazon.com/images/S/amzn-author-media-prod/78ts660diokn8pqtf3601bdprk._SY600_.jpg
Christophe André,"Médecin psychiatre à l&#39hôpital Sainte Anne (Paris), Christophe André est l&#39auteur de nombreux best-sellers : L&#39estime de soi ; Vivre heureux ; Imparfaits, libres et heureux, (prix Psychologies Magazine 2006). Christophe AndréChristophe André est né à Montpellier d&#39un père marin et d&#39une mère institutrice. D&#39où, peut-être, son goût pour la pédagogie et la psychologie des profondeurs. Il lit très tôt l&#39oeuvre de Freud et décide de faire médecine pour devenir psychiatre. Il pratique pendant 15 ans psychiatrie et rugby à Toulouse. Après son mariage, il monte à Paris, remplace alors la pratique du rugby par celle de l&#39écriture, la visite des mêlées par celle des musées, et ne marque plus d&#39essais, mais en publie de nombreux. Il exerce à l&#39hôpital Sainte-Anne à Paris, au sein d&#39une Unité de Psychothérapie Comportementale et Cognitive, spécialisée dans le traitement des troubles émotionnels, anxieux et dépressifs. Beaucoup de ses ouvrages ont connu un très grand succès en France et à l&#39étranger, mais il considère cependant que ses véritables chefs d&#39oeuvre sont ses trois filles.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Luc Bodin,"Luc Bodin est docteur en médecine, diplômé en cancérologie clinique et spécialiste en médecines naturelles. Il est conseiller scientifique auprès de revues de santé et auteur de plusieurs best-sellers comme Ho&#39oponopono, le secret des guérisseurs hawaïens, AORA au quotidien, Soigner avec l&#39énergie, Le manuel de soins énergétiques, Les trois secrets de l&#39univers, etc.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Matthieu Ricard,"Docteur en génétique cellulaire, moine bouddhiste, interprète du Dalaï-Lama, photographe, Matthieu Ricard est l&#39auteur de nombreux ouvrages, parmi lesquels Plaidoyer pour le bonheur, L&#39Art de la méditation, Plaidoyer pour l&#39altruisme (NiL, 2003, 2008, 2013), Plaidoyer pour les animaux, Cerveau et méditation, et Pouvoir et altruisme (Allary Éditions, 2014, 2017, 2018), tous repris chez Pocket et traduits dans plus de vingt langues. Il vit au Népal où il se consacre aux projets humanitaires de l&#39association Karuna-Shechen. Méditant chevronné, il est régulièrement sollicité par les universités du monde entier pour se prêter à des expériences sur le cerveau.",
Tanmaya Honervogt,"Tanmaya Honervogt, Maître Enseignant de Reiki Usui, anime régulièrement des séances de formation en Europe, au Japon et aux États-Unis. Elle est l&#39auteure de nombreux ouvrages.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
