Nom,Description,Photo
Vallée Sylvain,"Sylvain Vallée est né en 1972. Ses premières publications révèlent très tôt son goût pour le cinéma et les univers populaires français. Après avoir assuré le dessin de la série ""Gil St. André"" (Glénat), il créé avec Fabien Nury la saga ""Il était une fois en France"" (Glénat), un succès public et critique, récompensée par le prix de la meilleure série au festival d&#39Angoulême 2011. Passé maître dans l&#39art de retranscrire les états émotionnels de ses personnages, son trait semi-réaliste expressif lui ouvre une palette de tons variée. En 2014, il réalise un épisode de ""XIII Mystery"", ""Betty Barnowsky"", (Dargaud), d&#39après un scénario de Joël Callède, pour ensuite créer l&#39iconoclaste ""Katanga"" chez Dargaud, dont l&#39intégrale paraît en 2023 chez ce même éditeur. En 2021, il réalise ""Tananarive"" avec Mark Eacersall (Glénat). Il lance, en mai 2024, un tout nouveau projet aux côtés de Jacky Schwartzmann, ""Habemus Bastard"", quand un tueur à gage choisit comme couverture de se faire passer pour un moine, ça ne peut qu&#39être explosif.

Jacky Schwartzmann est un auteur de polars : ""Mauvais coûts"" (La Fosse aux Ours), ""Demain, c&#39est loin"" et ""Pension complète"" (Le Seuil). Ses « romans sont aussi poilants que profonds », dixit De Caune dans &#39Popopop&#39, on retrouve ces deux qualités dans ""Stop Work"" (Dargaud, 2020) ! Dialoguiste hors-pair, il exprime sa vision grinçante de la vie en entreprise aujourd&#39hui. Il en parle en connaissance de cause : il vient enfin de quitter son travail dans une grande entreprise internationale (General Electric) pour se consacrer à l&#39écriture : un nouveau roman à paraître au Seuil en 2020, un livre chez Paulsen, écriture de scénario audiovisuel, etc. En 2024, il collabore avec Sylvain Vallée sur ""Habemus Bastard"", quand un tueur à gage choisit comme couverture de se faire passer pour un moine, ça ne peut qu&#39être explosif.",
Yann,"Yann est un jour descendu sur la Belgique pour y dessiner (un peu) et y raconter (beaucoup) des zieverderaa. Né en 1954, Yann affirme avoir 48 ans et se présente sous le nom de son complice Conrad avec un sérieux de pince-sans-rire invétéré. Yann le Pennetier a débuté, en 1974, dans le journal de Spirou, s&#39est fait vider trois fois des locaux de chez Dupuis et a déjà un passé riche d&#39une vingtaine de séries. Sa prose cynique et son sens de la narration complexe ont été mis en image par Berthet (Pin Up), Verron (Odilon Verjus), Hardy (Lolo et Sucette), Lamy (Colt Walker), et la liste est encore longue. Le phénomène Yann s&#39est révélé au début des années 80. Avec son compagnon marseillais Conrad, il pond une série qui restera dans les annales de la BD : trois affreux débarquent dans les pages de Spirou, ils sont grossiers et attachants, cruels et tendres, on les appelle les Innommables.

Né au Perreux-sur-Marne le 5 mars 1962, il découvre tout petit la bande dessinée, grâce à des séries classiques telles qu&#39""Astérix"", ""Lucky Luke"" ou ""Tintin"". Très tôt, le dessin lui permet de s&#39évader et de prolonger le plaisir qu&#39il a pu ressentir à la vision de certains films. Ses premiers dessins représentent, le plus souvent, des hordes de cow-boys affrontant des tribus d&#39Indiens. Un bac scientifique en poche, il s&#39égare quelque temps, et surtout par obligation familiale, sur le chemin des études de médecine avant de décider de se consacrer uniquement au dessin, et surtout à la bande dessinée. Il fréquente une fac d&#39arts plastiques durant quelques mois, mais cela ne lui permet pas d&#39assouvir sa soif de connaissance du 9e art. En 1986, il entre au journal ?Triolo&#39 (édité par Fleurus), dans lequel il publie, avec le scénariste Dieter, une série BD jeunesse ""La forêt de Nouhaud"". Après divers travaux d&#39illustration ou de BD chez Bayard presse, Hachette ou Édi-Monde, il démarre, toujours avec Dieter, ""Sark"" (Glénat, 1990), sa première série en albums. Il entame ensuite une nouvelle et fructueuse collaboration avec Serge Le Tendre, scénariste renommé de ""La quête de l&#39oiseau du temps"" avec, dans un premier temps, la reprise des ""Voyages de Takuan"" (Delcourt, 1994), puis, dans un deuxième temps, la création de la série western ""Chinaman"" (Dupuis, 1997). Celle-ci compte aujourd&#39hui neuf tomes. En 2008, à l&#39initiative du scénariste Nicolas Barral, il aborde une bande dessinée plus légère, voire humoristique, avec la série intitulée ""Mon pépé est un fantôme""(Dupuis). En 2013, le tandem TaDuc-Le Tendre signe son grand retour avec ""Griffe blanche"" (Dargaud), une série d&#39aventures qui se déroule dans une Chine médiévale fantastique. Le troisième et dernier tome paraît en 2015. Olivier TaDuc travaille actuellement sur la série XIII Mystery. L&#39album sortira en juin 2017.",
Desberg Stephen,Un thriller financier haletant et efficace,https://m.media-amazon.com/images/I/61Ra07urRLL._SY600_.jpg
Emil Ferris,"A graphic novel so immersive it feels almost four dimensional... A fantastical, densely cross-hatched world of Nazis and mobsters and neighborhood eccentrics, seen through the curious eyes of a 10-year-old girl. --""Entertainment Weekly""

A thrilling and surprisingly profound novel ... The book is a fine balance of stunning artwork and terrific writing. --""Chicago Tribune""

Each page of the book is a small masterpiece: detailed, passionate, leaking genius. Ferris&#39s artwork bullies and commands the reader&#39s attention, each page bringing her to the brink of exhaustion because the struggle between art and words is so great, and the whole is so sensorially overwhelming. --""The Los Angeles Review of Books""",https://m.media-amazon.com/images/S/amzn-author-media-prod/a526v3lqae9vbeaa7e2l2ep1rb._SY600_.jpg
Van Hamme Jean,"Jean Van Hamme est né à Bruxelles en 1939. Ingénieur commercial, licencié en journalisme, agrégé d&#39économie politique, il travaille pour plusieurs multinationales avant de se consacrer entièrement à l&#39écriture à partir de 1976. Après avoir traduit des &#39strips&#39 américains pour l&#39hebdomadaire belge Le Moustique de 1965 à 1967, il écrit son premier scénario de BD pour le dessinateur Paul Cuvelier : le célèbre Epoxy, paru aux éditions du Terrain Vague en mai 1968 et réédité, en couleurs, en janvier 2003 dans la collection ""Signé"" au Lombard. Pour le même Cuvelier, il écrit les deux derniers Corentin. Egalement chez Lombard, il écrit des scénarios pour André Beautemps (Michaël Logan, 4 albums parus ultérieurement chez Thaulez de 1979 à 1981, puis en 1985 aux éditions du Miroir), pour Chéret (Domino, 4 albums de 1979 à 1982), Dany (Histoire sans héros, Arlequin, 3 albums de 1979 à 1984, Vingt ans après (1997), Géri (Mr Magellan, 2 albums en 1970 et 1971, et surtout pour Rosinski avec qui il crée la fameuse série Thorgal, traduite en quatorze langues et vendue dans plus de vingt pays. En 2001, il signe avec Rosinski un étonnant et superbe ""Western"" publié dans la collection ""Signé"" du Lombard. Pour Aidans, il scénarise 5 épisodes de Tony Stark (Edi-3/Novédi en 1980-1984). En 1984, il commence pour Vance la série XIII aux éditions Dargaud. Aux éditions Casterman, il publie, avec Rosinski, Le Grand Pouvoir du Chninkel, un gros roman BD de 160 pages en noir et blanc paru en 1988 et réédité en couleurs en 2001. Aux éditions Dupuis, avec Griffo, la trilogie S.O.S Bonheur parue en 1988-1989. Egalement chez Dupuis, il crée avec Philippe Francq la série Largo Winch. Et chez Glénat avec Francis Vallès, il publie la saga des Maîtres de l&#39Orge qui a fait l&#39objet d&#39une adaptation pour la télévision. Il a écrit les scénarii de 3 albums Blake et Mortimer, 2 dessinés par Ted Benoit, et le dernier (en deux tomes) par René Sterne, Chantal De Spiegeleer et Antoine Aubin (Dargaud). En 2001, il entame une collaboration avec Christian Denayer pour la série Wayne Shelton (Dargaud). Récipiendaire, pour la seule bande dessinée, de trente-sept prix et distinctions en Belgique, France, Suisse, Canada, Espagne, Allemagne et Pays-Bas, Jean Van Hamme est également l&#39auteur de neuf romans, de trois téléfilms, de deux séries télé et de l&#39adaptation pour le cinéma de « Diva » et de « Meurtres à domicile ». Il a reçu le prix de Littérature Dramatique attribué par la SACD - Belgique pour la saison 1984-1985. Directeur des éditions Dupuis d&#39avril 1986 à mars 1987, Jean Van Hamme a enseigné, le scénario de cinéma à l&#39Institut des arts de diffusion de Louvain-la-Neuve (Belgique)de 1985 à 1995. Depuis novembre 1992, il est devenu président du Centre belge de la bande dessinée.

Né le 28 septembre 1945 à Bruxelles, Christian DENAYER se souvient avoir dessiné dès son plus jeune âge, comme tous les enfants. A la différence, peut-être, que ses dessins prenaient déjà la forme de bandes dessinées. Il se racontait ainsi ses propres petites histoires. Après des études d&#39enseignant, il entre au journal TINTIN en 1962 comme assistant de Jean Graton pour les décors , les voitures et les couleurs de Michel Vaillant. En 1966, il rencontre TIBET qui lui propose le même travail sur Ric Hochet. Avec Tibet, il apprendra toutes les ""ficelles"" du métier. C&#39est chez ce dernier qu&#39il fait la connaissance d&#39André-Paul DUCHATEAU avec lequel il crée YALEK en 1969 ( 7 titres chez Rossel Edition ), ALAIN CHEVALLIER (17 titres chez Rossel et Le Lombard) le pilote automobile, en 1970 et pour le magazine ""Tintin"", la spectaculaire série AL & BROCK, Les Casseurs en 1975. Mettant en scène deux policiers américains efficaces mais super-gaffeurs avec leurs engins de toutes sortes. Il a également réalisé l&#39adaptation BD en deux tomes d&#39un roman de Lou Durand, TNT (Lefrancq Editeur) Il est aussi l&#39auteur complet de la série GENERATION COLLEGE inspirée par sa fille Christelle qu&#39il prend pour modèle dans le rôle de l&#39héroïne principale.( chez LOMBARD. - 5 titres). Sur scénarios de FRANZ pour les trois premiers titres, il crée également la surprenante série GORD dont le quatrième tome , très attendu, vient de paraître chez P&T / JOKER. Cet album clôture le premier cycle. En 2000, sa rencontre avec Jean Van Hamme a donné naissance au « gentleman - mercenaire » Wayne Shelton , ""l&#39homme que vous appelez quand vous voulez réaliser l&#39impossible », comme le cite l&#39éditeur anglais (« Wayne Shelton, the man you call when you want the impossible done ». ) A ce jour, la série compte 12 titres dont le dernier « No Return ». Le prochain paraîtra en août 2017.",
Diaz Canales Juan,"Juan Díaz Canalès est né en 1972 à Madrid, en Espagne. Il lit très tôt de la bande dessinée avant de s&#39intéresser au dessin animé. C&#39est décidé, il en fera son métier ! À 18 ans, il intègre un studio d&#39animation et y rencontre Juanjo Guarnido, avec lequel il se lie d&#39amitié. Juan reste en Espagne alors que Juanjo part en France travailler pour les studios d&#39animation de Disney. Mais cela ne les empêche pas de réfléchir à un projet de bande dessinée, ce qui donnera des années plus tard ""Blacksad ». Juan Díaz Canalès continue de fréquenter l&#39école des Beaux-Arts, puis, en 1996, fonde avec trois autres dessinateurs une société d&#39animation baptisée ""Tridente Animation"". Il est ainsi amené à travailler avec des entreprises européennes et américaines. Díaz Canalès partage son temps entre son activité de scénariste pour la BD ou l&#39animation et celle de superviseur de séries télé et de films d&#39animation longs-métrages. ""Blacksad"" est sa première série qui voit le jour en 2000 et qui s&#39inscrit dans le pur esprit du polar noir américain. Devenue culte, adaptée en jeu vidéo en 2019 (« Under the skin »), la série est publiée dans plus de 20 pays et connaîtra une actualité en 2021 après 7 ans d&#39absence ! Un 7e album, tant attendu, paraît en 2023. Mais le scénariste a également collaboré avec plusieurs dessinateurs dont José-Luis Munuera sur le très beau diptyque ""Fraternity"" (Dargaud, 2011) et Ruben Pellejero, de succéder à Hugo Pratt pour la reprise des aventures de Corto Maltese (Casterman). En 2015, il sort chez l&#39éditeur espagnol Astiberri un roman graphique dont il signe le scénario et le dessin sous le titre Au fil de l&#39eau (parution chez Rue de Sèvres en 2016). Il collabore également avec le dessinateur Antonio Lapone et la co-scénariste Teresa Valero en créant le diptyque ""Gentlemind"" (Dargaud, 2020), qui raconte le destin poignant d&#39une femme qui hérite d&#39un magazine de charme, &#39Gentlemind&#39, dans le New York des années 1950/1960. Il prépare également un diptyque fantastique avec le dessinateur Toni Fejzula, à paraître chez Dargaud.

Juanjo Guarnido est né à Grenade, en Espagne, en 1967. Il passe son enfance dans le village de Salobrena, au bord de la Méditerranée, à dessiner. Plus tard, sa famille s&#39installe à Grenade, en Andalousie. C&#39est là qu&#39il étudie les Beaux-Arts et obtient son diplôme. Par la suite, il participe à la réalisation de plusieurs fanzines grenadins. Durant ces années, il publie également de nombreuses illustrations chez Cómics Forum (un label de Planeta DeAgostini) pour l&#39édition espagnole de Marvel, ce qui lui permet de toucher un public espagnol assez large. Il prend ensuite contact avec le milieu du dessin animé et s&#39installe à Madrid où, pendant trois ans, il travaille sur plusieurs séries télé pour les studios d&#39animation Lapiz Azul. C&#39est lors de son premier jour chez Lapiz Azul qu&#39il rencontre Juan Díaz Canalès, qui deviendra son scénariste sur ""Blacksad"". En 1993, il déménage à Paris pour intégrer les studios Walt Disney à Montreuil, où il travaille comme animateur jusqu&#39à la fermeture des bureaux. Adepte depuis toujours de la BD européenne, il entreprend patiemment ce qui sera la longue fabrication de son premier album, le tome 1 de ""Blacksad"" (Dargaud), ""Quelque part entre les ombres"", paru en 2000 et dont le 7e album, tant attendu, est publié en 2023. Il mène alors de nouveaux projets en parallèle, comme ""Sorcelleries"" (Dargaud), avec Teresa Valero, ""Voyageur"" (Glénat, projet collectif) et ""Les Indes fourbes"" (Delcourt) avec Alain Ayroles. Par ailleurs, il a illustré la pochette du groupe de hard rock Freak Kitchen, &#39Cooking with pagans"" (2014) et a également réalisé le clip de leur morceau &#39Freak of the week&#39. En 2021, il réalise la couverture du premier ""Batman Death Metal"" pour DC/Urban Comics, collection lancée en 2021 autour de groupes de heavy metal, en mettant en scène le groupe Megadeth. L&#39année 2021 marque également le grand retour de Blacksad avec le premier volume d&#39un diptyque pour cette série culte qui connaît un succès considérable, publiée dans plus de 20 pays. Une adaptation en jeu vidéo a d&#39ailleurs vu le jour en 2019 sous le titre ""Under the skin"".",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Zidrou,"Zidrou a longtemps été instituteur. Problème : il rêvait d&#39une école intelligente, qui aurait appris aux enfants à penser plutôt qu&#39à bachoter avant l&#39âge ; une école tournée vers ses élèves, qui aurait pris en compte la réalité de leurs vies, de leurs problèmes. Devant l&#39impossibilité de la tâche, il a pris ses responsabilités et décidé de devenir scénariste de bande dessinée ! Et les ennuis avec l&#39administration éducative, il les laisse désormais à son héros le plus populaire,"" L&#39élève Ducobu"". Ce dernier n&#39e?tant pas be?gueule, il partage volontiers la sensibilite? et l&#39humour de son cre?ateur avec Boule a? Ze?ro, une petite fille luttant contre la leuce?mie dont elle est victime. Prolifique, Zidrou est également l&#39auteur des plus réalistes, mais non moins sensibles, ""Le Montreur d&#39histoires"", ""Tourne-Disque"", ""Lydie"", ""Folies Bergères"", ""Les beaux étés"", ""Les 3 Fruits"" ou encore ""Les Promeneurs sous la Lune"". On lui doit aussi, plus récemment, la reprise du classique autant qu&#39indémodable ""Ric Hochet"", ainsi que celles de ""Chlorophylle"" et de ""Clifton"". Son cerveau humide de Belge résistant vaillamment à la chaleur de l&#39Andalousie, sa terre d&#39élection, il trouve encore le temps d&#39écrire des chansons, des albums jeunesse et des scénarios pour le cinéma! Quel homme!

Contrairement à ce que semble indiquer son patronyme, Simon van Liemt n&#39est pas belge, mais aixois ! En revanche, c&#39est bien à Liège qu&#39il apprend son métier de dessinateur, à l&#39institut Saint-Luc. Il passe un peu plus de temps en Belgique, notamment au sein de l&#39atelier « Parfois j&#39ai dur » de Ralph Meyer et Bruno Gazzotti. Il y apprend les bases narratives qui le feront rapidement remarquer, notamment par Dominique Latil, qui lui écrit des histoires courtes pour le ""Lanfeust Mag"", dont il intègre l&#39atelier Gottferdom, à l&#39occasion de son retour au pays natal. Sa rencontre avec Jean-Christophe Derrien lui permet ensuite de se lancer sur de plus grands formats, avec les trois tomes d&#39""Incantations"". Le duo choisit ensuite de changer totalement de registre, en réalisant ""Poker"", au Lombard. Mais aucun bluff dans ce dessin fluide, qui permet à Simon van Liemt de travailler des cadrages ultra-lisibles, auxquels ses masses de noir donnent toute la profondeur du monde. Van Liemt a des jetons en cave ; la partie promet d&#39être longue et passionnante ! Et davantage encore depuis qu&#39il a entamé ""Les Nouvelles Enquêtes de Ric Hochet"".",
Diaz Canales Juan,"Juan Díaz Canalès est né en 1972 à Madrid, en Espagne. Il lit très tôt de la bande dessinée avant de s&#39intéresser au dessin animé. C&#39est décidé, il en fera son métier ! À 18 ans, il intègre un studio d&#39animation et y rencontre Juanjo Guarnido, avec lequel il se lie d&#39amitié. Juan reste en Espagne alors que Juanjo part en France travailler pour les studios d&#39animation de Disney. Mais cela ne les empêche pas de réfléchir à un projet de bande dessinée, ce qui donnera des années plus tard ""Blacksad ». Juan Díaz Canalès continue de fréquenter l&#39école des Beaux-Arts, puis, en 1996, fonde avec trois autres dessinateurs une société d&#39animation baptisée ""Tridente Animation"". Il est ainsi amené à travailler avec des entreprises européennes et américaines. Díaz Canalès partage son temps entre son activité de scénariste pour la BD ou l&#39animation et celle de superviseur de séries télé et de films d&#39animation longs-métrages. ""Blacksad"" est sa première série qui voit le jour en 2000 et qui s&#39inscrit dans le pur esprit du polar noir américain. Devenue culte, adaptée en jeu vidéo en 2019 (« Under the skin »), la série est publiée dans plus de 20 pays et connaîtra une actualité en 2021 après 7 ans d&#39absence ! Un 7e album, tant attendu, paraît en 2023. Mais le scénariste a également collaboré avec plusieurs dessinateurs dont José-Luis Munuera sur le très beau diptyque ""Fraternity"" (Dargaud, 2011) et Ruben Pellejero, de succéder à Hugo Pratt pour la reprise des aventures de Corto Maltese (Casterman). En 2015, il sort chez l&#39éditeur espagnol Astiberri un roman graphique dont il signe le scénario et le dessin sous le titre Au fil de l&#39eau (parution chez Rue de Sèvres en 2016). Il collabore également avec le dessinateur Antonio Lapone et la co-scénariste Teresa Valero en créant le diptyque ""Gentlemind"" (Dargaud, 2020), qui raconte le destin poignant d&#39une femme qui hérite d&#39un magazine de charme, &#39Gentlemind&#39, dans le New York des années 1950/1960. Il prépare également un diptyque fantastique avec le dessinateur Toni Fejzula, à paraître chez Dargaud.

Juanjo Guarnido est né à Grenade, en Espagne, en 1967. Il passe son enfance dans le village de Salobrena, au bord de la Méditerranée, à dessiner. Plus tard, sa famille s&#39installe à Grenade, en Andalousie. C&#39est là qu&#39il étudie les Beaux-Arts et obtient son diplôme. Par la suite, il participe à la réalisation de plusieurs fanzines grenadins. Durant ces années, il publie également de nombreuses illustrations chez Cómics Forum (un label de Planeta DeAgostini) pour l&#39édition espagnole de Marvel, ce qui lui permet de toucher un public espagnol assez large. Il prend ensuite contact avec le milieu du dessin animé et s&#39installe à Madrid où, pendant trois ans, il travaille sur plusieurs séries télé pour les studios d&#39animation Lapiz Azul. C&#39est lors de son premier jour chez Lapiz Azul qu&#39il rencontre Juan Díaz Canalès, qui deviendra son scénariste sur ""Blacksad"". En 1993, il déménage à Paris pour intégrer les studios Walt Disney à Montreuil, où il travaille comme animateur jusqu&#39à la fermeture des bureaux. Adepte depuis toujours de la BD européenne, il entreprend patiemment ce qui sera la longue fabrication de son premier album, le tome 1 de ""Blacksad"" (Dargaud), ""Quelque part entre les ombres"", paru en 2000 et dont le 7e album, tant attendu, est publié en 2023. Il mène alors de nouveaux projets en parallèle, comme ""Sorcelleries"" (Dargaud), avec Teresa Valero, ""Voyageur"" (Glénat, projet collectif) et ""Les Indes fourbes"" (Delcourt) avec Alain Ayroles. Par ailleurs, il a illustré la pochette du groupe de hard rock Freak Kitchen, &#39Cooking with pagans"" (2014) et a également réalisé le clip de leur morceau &#39Freak of the week&#39. En 2021, il réalise la couverture du premier ""Batman Death Metal"" pour DC/Urban Comics, collection lancée en 2021 autour de groupes de heavy metal, en mettant en scène le groupe Megadeth. L&#39année 2021 marque également le grand retour de Blacksad avec le premier volume d&#39un diptyque pour cette série culte qui connaît un succès considérable, publiée dans plus de 20 pays. Une adaptation en jeu vidéo a d&#39ailleurs vu le jour en 2019 sous le titre ""Under the skin"".",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Van Hamme Jean,"Après 1,5 millions d&#39albums vendus pour la série XIII Mystery, Jean Van Hamme clôture celle-ci avec un quatorzième épisode tonitruant, qui complète subtilement le passé de XIII !",https://m.media-amazon.com/images/S/amzn-author-media-prod/idlfsfhkpp7vsnhfb99kc24ode._SY600_.jpg
Fromental Jean-Luc,"Après dix ans dans l&#39édition, Jean-Luc Fromental se tourne vers la presse, la publicité, la télévision et, bien sûr, la bande dessinée. En 1981, il crée (avec José-Louis Bocquet) L&#39Année de la bande dessinée. En 1983, il lance le bimestriel ?Métal Aventure&#39 et en 1985 et 1986, occupe le fauteuil de rédacteur en chef du mythique ?Métal hurlant?. En 1986, il fait ses premières armes dans le dessin animé en coscénarisant la série ""Bleu, l&#39enfant de la Terre"", réalisée par Philippe Druillet, puis il travaille en 1991 sur le projet de long-métrage de Moebius, ""Starwatcher"". En 1994, il conçoit la série animée ""Il était une fois"" pour 26 dessinateurs de BD. Il crée d&#39autres séries pour la télévision : ""Witch World"" (avec Colin Hawkins, 1997), ""Les Renés"" (avec Hervé Di Rosa, 2000) et ""Mandarine & Cow"" (2007). En 2001, il participe à la série ""Lucky Luke"" comme directeur d&#39écriture et scénariste. Il s&#39oriente ensuite vers le long-métrage d&#39animation, avec l&#39adaptation du roman de Roy Lewis ""Pourquoi j&#39ai [pas] mangé mon père"", réalisé par Djamel Debouzze, et l&#39écriture, avec Grégoire Solotareff, des scénarios de ""Loulou et autres loups"" (2002) et de ""Loulou, l&#39incroyable secret"" (2013). Jean-Luc Fromental reste en contact avec le papier, publiant régulièrement pour la jeunesse, notamment le très remarqué ""365 Pingouins"" (2006, Naïve), avec Joëlle Jolivet. En 2003, il revient vers l&#39édition en créant au sein de la maison Denoël le label de bande dessinée adulte Denoël Graphic qui a, entre autres, publié ""Tamara Drewe"" (2008), de Posy Simmonds, ""La Genèse"" (2009), de Robert Crumb ou encore ""Préférence système"" d&#39Ugo Bienvenu (2019). Jean-Luc Fromental s&#39est aussi illustré comme scénariste de bandes dessinées, écrivant pour des artistes tels que Floc&#39h, Loustal, Stanislas Barthélémy (""Les Aventures d&#39Hergé"", 1999, Reporter), Yves Chaland, Blexbolex, Miles Hyman (""Le Coup de Prague"", 2017, Dupuis), Jano, Philippe Berthet (""De l&#39autre côté de la frontière"", 2020, Dargaud). Il est l&#39auteur d&#39une trentaine de romans, récits de voyage, contes et bandes dessinées. En 2022, il retrouve José-Louis Bocquet et co-signe le scénario de ""Huit heures à Berlin"", le 29e tome de Blake et Mortimer dessiné par Antoine Aubin.

C&#39est à Neuilly-sur-Seine que naît, le 28 août 1962, le petit José-Louis, si vite passionné par la BD qu&#39il fonde, à l&#39âge de treize ans, ?BIZU&#39, son propre fanzine. Il conçoit ensuite plusieurs recueils illustrés pour ?Bédérama&#39 en proposant des compilations d&#39auteurs tels que Franquin, Binet ou Andréas. Pour satisfaire sa passion pour la lecture, il devient employé de la librairie Temps Futurs au début des années 1980 et, avec son ami et complice Jean-Luc Fromental, il participe à la réalisation des ouvrages de L&#39Année de la bande dessinée, publiés par ce temple parisien de la BD et de la SF. Ses premiers articles commencent à paraître dans ?Métal hurlant&#39, et il devient attaché de presse des Humanoïdes associés en 1983, puis directeur de collection chez ce même éditeur. Ses premiers scénarios sont illustrés par Serge Clerc, Arno, Franz et Max. C&#39est avec la collaboration de François Rivière pour les scénarios et de Philippe Berthet au dessin qu&#39il commence en 1983 ""Le privé d&#39Hollywood"" (Dargaud). De 1989 à 1991, il scénarise, pour Francis Vallés, la trilogie des aventures du reporter Dorian Dombre (Glénat). En 1991, il participe avec Jean-Baptiste Gilou à la création des éditions La Sirène, où il publiera une monumentale monographie sur le cinéaste Henri-Georges Clouzot. Homme aux goûts et aux talents multiples, il a est également été rédacteur en chef adjoint de ?Salut les copains &#39 et animateur sur TF1, mais l&#39écriture reste son activité principale. José-Louis Bocquet publie ses premiers romans dans la « Série noire », chez Gallimard. Depuis, il en a signé six autres pour Le Masque, Autrement, Buchet-Chastel et La Table ronde. Chez Actes Sud et Flammarion, il est également l&#39auteur de monographies consacrées à Georges Lautner, André Franquin et René Goscinny, ainsi qu&#39au courant du rap en France. Scénariste pour la télévision et le cinéma, il a collaboré avec Pierre Jolivet, Hervé di Rosa, Olivier Mégaton, Doug Headline, Éric Valette, Patrick Grandperret et Georges Lautner. Pour Catel, il signe par ailleurs les scénarios de ""Olympe de Gouges"", ""Kiki de Montparnasse"", ""Joséphine Baker"" ou encore ""Alice Guy"" (Casterman), des biographies de femmes qui ont marqué l&#39histoire. En 2022, il retrouve José-Louis Bocquet et co-signe le scénario de ""Huit heures à Berlin"", le 29e tome de Blake et Mortimer dessiné par Antoine Aubin.

Floc&#39h, né en 1953, est un artiste majeur de l&#39illustration et de la bande dessinée. Il est l&#39un des principaux tenants de la ligne claire, aux côtés d&#39Yves Chaland, de Ted Benoit et de Joost Swarte. Après un bref passage à l&#39École nationale des arts décoratifs, à Paris, il se consacre à l&#39illustration, pour la presse et l&#39édition. En 1977, il signe, avec François Rivière, son premier album de bande dessinée, ""Le Rendez-vous de Sevenoaks"" (Dargaud) ? premier épisode de la série ""Albany & Sturgess"". Suivront trois autres tomes : ""Le Dossier Harding"" (1979), ""À la recherche de sir Malcolm"" (1985) et ""Olivia Sturgess 1914-2004"" (2005). S&#39ajoutent à la série une fantaisie, ""Meurtre en miniature"" (Dargaud, 1994), et un livre, ""Les Chroniques d&#39Oliver Alban"" (Robert Laffont, 2006). Le tandem réalise aussi la série trilogie ""Blitz"", comprenant un premier tome éponyme (Albin Michel, 1981), ""Underground"" (Albin Michel, 1996) et ""Black-out"" (Dargaud, 2009). L&#39intégrale de la série sort en 2011 (Dargaud). Dans le même temps, Floc&#39h réalise une autre bande dessinée, avec Jean-Luc Fromental, ""Jamais deux sans trois"" (1991), et signe plusieurs livres illustrés, ""Life"" (1985), ""High Life"" (avec Fromental, 1986), ""Ma vie"" (1985), ""Ma vie 2"" (1997), ""Je me souviens"" (1987), ""Un homme dans la foule"" (1985), ""Exposition (1998), ""Journal d&#39un New-Yorkais (avec Michel Jourde, 1994), ""Une vie de rêve (2007), ""Male Britannia (2009), ""London Euphoria (2010), ""Regency Utopia (2010) et ""Une vie exemplaire (2011). En 2013, il retrouve François Rivière pour le roman graphique ""Villa mauresque"", une biographie de l&#39écrivain Somerset Maugham. Illustrateur bien plus que dessinateur et auteur de BD, Floc&#39h met son talent aussi bien au service du cinéma (affiches et génériques, pour Alain Resnais, Woody Allen, Mike Leigh...) que de la publicité et de la presse (?The New Yorker&#39, ?Le Monde&#39, ?Monsieur&#39, ?Lire&#39, ?World of Interiors&#39...). Le meilleur de ce travail est recueilli dans ""Un homme dans la foule"" (1985) et dans les deux tomes de ""Floc&#39h illustrateur"" (2000 et 2005). Floc&#39h a également participé à un documentaire sur la vie de Little Big Bauer, un des speakers de la France libre à la BBC. Son graphisme épuré, les environnements distingués et cultivés dans lesquels évoluent des personnages au charme et à l&#39élégance britanniques confèrent à son oeuvre un style reconnaissable entre tous.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
