Nom,Description,Photo
Sofia Rouxel,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
L&#39Abbé Julio,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Neville Goddard,,
"de Besançon, Everard,",,
Abbé Julio,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
,,
Arthur Schopenhauer,,
Aristote,"Il n&#39y avait à ce jour que deux traductions disponibles de la Métaphysique d&#39Aristote en français. Celle de Jules Barthélémy Saint-Hilaire date de 1878. Il est évident que depuis sa parution beaucoup de travaux en codicologie, en paléographie et en philosophie ont amélioré notre connaissance du texte et notre compréhension de son contenu. La seconde traduction, celle de Jules Tricot, a paru en 1933, puis a été plusieurs fois rééditée, en particulier en 1964. Le traducteur déclare lui-même avoir voulu «rendre la pensée d&#39Aristote» plutôt que de s&#39astreindre à «une exactitude littérale». La présente traduction suit une méthode exactement opposée : elle se conforme rigoureusement au texte grec, tel qu&#39il est transmis par les manuscrits les plus anciens, pour tenter de saisir la pensée d&#39Aristote. Il est clair que la tâche n&#39en est pas simplifiée. Cependant l&#39évolution des connaissances philologiques et philosophiques autant que les exigences actuelles en matière de traduction montrent l&#39utilité de proposer une nouvelle version d&#39un texte rarement traduit.",https://m.media-amazon.com/images/I/B1l++szv30S._SY600_.jpg
Florence Scovel Shinn,,
Drew Ponder,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
René Descartes,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Martin Heidegger,,https://m.media-amazon.com/images/I/41JBgKIxWQL._SY600_.jpg
R. G. Collingwood,"R. G. Collingwood was Waynflete Professor of Metaphysical Philosophy in the University of Oxford from 1935 to 1941.

W. H. Dray is Emeritus Professor of Philosophy at the University of Ottawa; he has held visiting apptoinments at Toronto, Harvard, Stanford, and Duke Universities, among others.

W. J. van der Dussen is Professor of Humanities at the Open University of the Netherlands.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Peter Adamson,An astonishing intellectual tour de force written in an accessible and engaging style. ― Paradigm Explorer,
Claire Marin,"Philosophe, Claire Marin est professeure en classes préparatoires aux grandes écoles et membre associé de l’ENS-Ulm. Ses recherches portent sur les épreuves de la vie.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
CONNY MENDEZ,,https://m.media-amazon.com/images/I/51YQ4yknVPL._SY600_.jpg
Julius EVOLA,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
M Kévin ORONOS,,
Neville Goddard,,https://m.media-amazon.com/images/S/amzn-author-media-prod/eaq1ptl23uf0khuh7t423pbjot._SY600_.jpg
René Guénon,"René Guénon, né le 15 novembre 1886 à Blois, en France, dans une famille catholique, et mort musulman le 7 janvier 1951 au Caire, en Égypte, est un auteur français, "" figure inclassable de l&#39histoire intellectuelle du XXe siècle "". Il a publié dix-sept ouvrages de son vivant, auxquels s&#39ajoutent dix recueils d&#39articles publiés à titre posthume, soit au total vingt-sept titres régulièrement réédités. Ces livres ont trait principalement à la métaphysique, au symbolisme, à l&#39ésotérisme et à la critique du monde moderne.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Rudolf STEINER,,https://m.media-amazon.com/images/I/21clTjc5N3L._SY600_.jpg
Rizwan Virk,"Diplômé du MIT et de Stanford, Rizwan Virk est créateur de jeux vidéos, producteur de films, auteur et responsable de l&#39incubateur de recherche sur les jeux vidéos au MIT.

Médéric Degoy est ingénieur, entrepreneur, éditeur, réalisateur, photographe et musicien ; il a fondé et dirige les Éditions Extraordinaires.",https://m.media-amazon.com/images/S/amzn-author-media-prod/il0hcmt8o4frcpakc0g2b3kk9j._SY600_.jpg
Martin Heidegger,"Revue de presse
“One of the most profound thinkers of the 20th century.” — New York Times
“Among the most influential philosophers of modern times.” — Newsweek
“Powerful and original . . . Being and Time changed the course of philosophy.” — Richard Rorty, New York Times Book Review
Quatrième de couverture
Basic Writings is the finest single-volume anthology of the work of Martin Heidegger, widely considered one of the most important modern philosophers. Its selections offer a full range of the influential author&#39s writings—including ""The Origin of the Work of Art,"" the introduction to Being and Time, ""What Is Metaphysics?,"" ""Letter on Humanism,"" ""The Question Concerning Technology,"" ""The Way to Language,"" and ""The End of Philosophy."" Featuring a foreword by Heidegger scholar Taylor Carman, this essential collection provides readers with a concise introduction to the groundbreaking philosophy of this brilliant and essential thinker.
En lire plus",https://m.media-amazon.com/images/I/41JBgKIxWQL._SY600_.jpg
Edward O. Wilson,"Edward O. Wilson was Pellegrino University Professor, Emeritus, at Harvard University. In addition to two Pulitzer Prizes (one of which he shares with Bert Hölldobler), Wilson has won many scientific awards, including the National Medal of Science and the Crafoord Prize of the Royal Swedish Academy of Sciences.",https://m.media-amazon.com/images/I/41s76CbqoxL._SY600_.jpg
Paul Kalanithi,"Paul Kalanithi était chirurgien et écrivain. Il acheva un Master en Histoire et Philosophie des Sciences de l’Université de Cambridge, après un Master en Littérature. Diplômé de Médecine à Yale. Il mourut en mars 2015. Sa fille, Lucy est née quelques mois avant sa mort.",https://m.media-amazon.com/images/I/91P+Zw6GU1L._SY600_.jpg
