Nom,Description,Photo
Marc DUGENIE,,https://m.media-amazon.com/images/S/amzn-author-media-prod/nl7i1cjtdur4rrh4niup0birtj._SY600_.jpg
MATTHIEU CHADEVILLE,"Titulaire d&#39un Brevet d&#39État d&#39Éducateur Sportif aux Activités de la Natation (BEESAN), Matthieu Chadeville exerce le métier d&#39entraîneur. Parallèlement à cette activité, il a créé en 2008 le site internet « Natation pour tous » qui réunit des nageurs de tous les horizons (du débutant au nageur de compétition). D&#39abord site d&#39informations, il a ensuite permis de développer de nouvelles méthodes d&#39entraînement grâce à des stages de perfectionnement organisés tout au long de l&#39année.",
Bernard Lebaz,,
Solarberg Séhel,"Solarberg Séhel pratique la natation avec passion. Il étudie l&#39univers de ce sport depuis plus de 35 ans. À travers son blog devenu une référence, il a déjà aidé des milliers de nageurs à se perfectionner.
www.leguideducrawlmoderne.com
Fabien Gilot est un nageur français, champion olympique (4 x 100 m nage libre Londres 2012), double champion du monde (4 x 100 m nage libre et 4 x 100 m 4 nages Barcelone 2013)",
MATTHIEU CHADEVILLE,"Titulaire d&#39un Brevet d&#39État d&#39Éducateur Sportif aux Activités de la Natation (BEESAN), Matthieu Chadeville exerce le métier d&#39entraîneur. Parallèlement à cette activité, il a créé en 2008 le site internet « Natation pour tous » qui réunit des nageurs de tous les horizons (du débutant au nageur de compétition). D&#39abord site d&#39informations, il a ensuite permis de développer de nouvelles méthodes d&#39entraînement grâce à des stages de perfectionnement organisés tout au long de l&#39année.",https://m.media-amazon.com/images/I/A1yCnE88yPL._SY600_.jpg
PATRICK LHOPITALIER,"Patrick LHOPITALIER – Marseille (13) Patrick Lhopitalier est titulaire d&#39un diplôme universitaire de préparation physique à l&#39université de Lyon I et ex de Marseille (club référent) depuis 2005. Il a notamment entraîné Florent Manaudou, Camille Lacourt, Frédé travaille avec l&#39équipe de France depuis 2010 et contribue activement aux victoires des nageurs français.",
Guillaume Palmade,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
MATTHIEU CHADEVILLE,"Titulaire d&#39un Brevet d&#39État d&#39Éducateur Sportif aux Activités de la Natation (BEESAN), Matthieu Chadeville exerce le métier d&#39entraîneur. Parallèlement à cette activité, il a créé en 2008 le site internet « Natation pour tous » qui réunit des nageurs de tous les horizons (du débutant au nageur de compétition). D&#39abord site d&#39informations, il a ensuite permis de développer de nouvelles méthodes d&#39entraînement grâce à des stages de perfectionnement organisés tout au long de l&#39année.",
Susie Parr,"A fascinating social history. An essential read for every wild swimmer. --Kate Rew, author of &#39Wild Swim&#39 and founder of The Outdoor Swimming Society.

An intriguing investigation of water&#39s influence on the psyche and society. - --Daniel Start, author of &#39Wild Swimming&#39 and &#39Wild Swimming Coast&#39.

In this magnificent book about outdoor swimming part cultural history, part journal Susie Parr recognises the way water changes and stays the same, exerting its power and pull through time. This is a chronological story and a personal exploration of an &#39addiction&#39 to swimming. The book is the size of a large stepping-stone, with a picture of a demure, naked, 18th-century swimmer (Thomas Rowlandson&#39s Venus) attempting an improbably decorous stroke on its pale blue cover. The glorious illustrations stop one in one&#39s tracks: there is a comically urgent photograph of helicopter pilots bustling into a bitter Shetland sea on Boxing Day (re-enacting an ancient cleansing ritual). There is a spooky mermaid scarecrow, wrapped in a green fishing net a strange catch smiling through eyes like black beetles, her chest studded in shells. There are Donald McGill&#39s saucy seaside postcards (once graded &#39mild&#39, &#39medium&#39 and &#39strong&#39) and there are bathing belles galore it is touching to look back through the years at their holiday faces. And there is a wonderful photograph of Susie Parr on Raasay beach, arms wide open, about to step into the water. This and many of the book&#39s most striking pictures are by her husband, Martin Parr first-rate photographer and confirmed landlubber. But the book should come with a warning: do not let its illustrations keep you from the fascinating, meticulously researched, beautifully written text. This history fresh and salty connects one to every swimmer who ever swam. It also makes one glad to be a swimmer now. Swimmers of yesteryear swam heavy: Roman soldiers sometimes swam in armour. An Elizabethan gentleman strolled into the water with a knife to pare his toenails and a hawk showily balanced on his wrist. Victorian women wore hats, coats, shoes and corsets into the briny. How wonderful that nowadays we don&#39t need much more than determination and a towel. A particularly absorbing chapter is devoted to the romantic poets who saw swimming as an encounter with the sublime. Parr&#39s dripping dramatis personae includes Shelley (who could not, to his chagrin, swim and eventually drowned). But he was a persistent bather and once caused a stir pitching up at a dinner party naked, malodorous and with seaweed in his hair. Parr is entertaining, too, about &#39Lord Byron, Noted swimmer and poet&#39 (as he is remembered on a plinth in the Bay of La Spezia). As well as swimming the Hellespont, he would jump into Venetian canals to avoid &#39compromising&#39 situations. And, one suddenly realises, Byron&#39s was a swimmer&#39s poetry: fluent, rhythmical, long haul. For Swinburne, the affair was with the sea itself. Its slap and tickle was translated into luxuriously masochistic verse that was promptly banned. It is pleasing, too, to discover that Jane Austen who mocked romanticism loved bathing (I like to imagine a dainty breaststroke). Today&#39s &#39wild swimming&#39 is indebted to romanticism. And Parr interviews a variety of inspiring cold core swimmers (she suggests, unconvincingly, that her own swimming is more tame than wild). They believe, as swimmers have for centuries, that cold water is good for the health and a time-honoured cure for depression. And she explains &#39anticipatory thermogenesis&#39, the mind-over-water ability to boost one&#39s body&#39s core temperature before an icy plunge. For anyone not tempted to try out anticipatory thermogenesis this December, there can be no lovelier way in which to swim vicariously than through this book. I plan to dip in reregularly until spring. --Kate Kellaway, The Observer, Sunday 4 December 2011",
Mathis DAURIAT,,https://m.media-amazon.com/images/S/amzn-author-media-prod/3s49himvbr8di33a1j7rtodgk3._SY600_.jpg
