Nom,Description,Photo
Joshua Burns,,
Joshua Burns,,
Cynthia Kå,"Cynthia Kå. est auteure, experte en prévention & santé naturelle et naturopathe. Fondatrice du compte @by_cynthia_ka sur Instagram, elle est devenue en quelques mois une référence incontournable en matière de lifestyle healthy. Diagnostiquée à 31 ans d’un cancer du sein, elle met en avant les bienfaits d’une vie plus saine au quotidien qu’elle traduit en conseils simples pour éveiller les consciences et guider sa communauté vers une meilleure santé physique et mentale pour une vie moins toxique. Aujourd’hui, elle réunit plus de 600 000 personnes sur ses réseaux sociaux. Cynthia est titulaire d’un master en marketing de l'université. de Southampton, d’un diplôme en naturopathie du Collège des médecines douces du Québec, d’un certificat en nutrition végétale de l'université. de Winchester et d’un diplôme de professeur de yoga vinyasa (E-RYT 200) et yoga thérapeutique du Trauma Sensitive Yoga Center de Copenhague.",
Raymond Dextreit,"Jeune, Raymond Dextreit (1908-2001) connaît divers soucis de santé, dont il parvient à se défaire grâce à des soins naturels : prise d’argile et de tisanes, bains de siège, changement de mode alimentaire… À partir des années 1950, l’écriture devient son activité principale, et il anime des conférences à travers la France, la Belgique et la Suisse. Il a publié plus de 40 ouvrages ayant trait à la santé, notamment La Méthode harmoniste et Vivre sain.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Yoni Assouly,"Le docteur Yoni Assouly est diplômé de la faculté de médecine de Paris-Diderot en médecine générale. Après son internat, il a suivi des cycles complémentaires et obtenu plusieurs diplômes universitaires en alimentation-santé et micronutrition, en physionutrition et phytothérapie, en médecine nutritionnelle et fonctionnelle. Il est désormais installé à Marseille où il a ouvert son cabinet, le cabinet Almy. @dr_yoni_assouly",
Gérard Athias,"Diplômé de la faculté de Médecine de Marseille, Gérard Athias a exercé la Médecine générale et la Médecine Traditionnelle Chinoise pendant 8 ans. Nourri des enseignements de Georges Lahy et d’Alejandro Jodorowsky, il construit des ponts avec des outils aussi divers que l’énergétique, la Kabbale et le Tarot. Le fil conducteur de cet enseignement est la quête de l’Unité dans un modèle de réunification des diverses connaissances et des traditions anciennes. Il est l’auteur de nombreux ouvrages et anime des séminaires sur le thème : GEST© (Géométrie Sacrée Trame énergétique).",https://m.media-amazon.com/images/I/210R9AaPuGL._SY600_.jpg
Joshua Burns,,
Kevin Trudeau,,
Morgane Peyrot,Morgane Peyrot est passionnée d'entomologie. Elle oeuvre pour la protection des espaces naturels et organise des formations pour découvrir le monde des insectes et des plantes sauvages comestibles.,https://m.media-amazon.com/images/S/amzn-author-media-prod/6bs2kjs1uofkkvn3vs8tk2d5l._SY600_.jpg
Evelyn Schneider-Mark,,
CATHERINE PAYET,"Catherine Payet passionnée de cristaux et de pierres, a parcouru le monde pour les découvrir et apprendre leur langage.

Formée auprès d'un des plus grands experts en lithothérapie, elle se présente comme une messagère du langage des pierres.

Initiée aux techniques de la bijouterie, elle a créé sa propre ligne de bijoux énergétiques et fondé depuis 1994 un espace minéral et de bien-être qui connait un grand succès.",https://m.media-amazon.com/images/S/amzn-author-media-prod/ksrkl27l9jvn6g6iq0vvi6mpro._SY600_.jpg
Joshua Burns,,
Marine Le Gouvello,"Marine Le Gouvello est une naturopathe qui allie les enseignements traditionnels et les approches modernes. Elle a étudié la naturopathie au Cenatho, le Collège européen de naturopathie traditionnelle holistique. Fondée par Daniel Kieffer, cette école est la plus réputée pour l'enseignement de la discipline en France. Major diplômée en 2014, elle a également réussi l'examen fédéral de la Féna (Fédération française des écoles de naturopathie), sortie major la même année. Membre de l'OMNES (Organisation de la médecine naturelle et de l'éducation sanitaire), elle exerce aujourd'hui en cabinet à Paris et en Ile-de-France. Elle agit au sein de collectifs comme WakinUp pour informer le grand public sur la santé par le biais de conférences. Professeur de yoga diplômée Sivananda Vedanta, elle donne régulièrement des cours. L'enseignement et la pratique du yoga font partie intégrante de la naturopathie, toutes deux sciences de la santé et philosophies qui visent à réaliser l'union entre les différents plans de l'être en considérant l'humain dans sa globalité. Pour plus d'informations, rendez-vous sur www.marinelegouvello-naturopathe.com. Naturopathe, thérapeute transpersonnel, formateur, auteur et conférencier, Daniel Kieffer est le fondateur du Collège européen de naturopathie traditionnelle holistique (Cenatho). Il est également Président de l'Union européenne de naturopathie (UEN) et Vice-président de la Fédération française des écoles de naturopathie (Féna).",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Patrick Burensteinas,"La Trame est le nom donné par Patrick Burensteinas au schéma d'information de notre corps. Il se présente comme un quadrillage quantique de lignes verticales, horizontales et transversales fixant l'organisation des cellules de celui-ci. La Trame désigne aussi une technique révolutionnaire de soins, une séquence de 16 gestes qui permettent de dire au corps malade ce qu'il doit faire, tout en lui laissant l'initiative. Il y a un étroit rapport entre la Trame et l'Alchimie. Comme le Grand ouvre, La Trame permet la conjonction, la cohabitation harmonieuse de notre corps avec l'univers : « Cette Trame est ma contribution à l'Alchimie », dit l'auteur.",https://m.media-amazon.com/images/I/41P8tVygcnL._SY600_.jpg
