Nom,Description,Photo
,,
,,
Abelle Leroy,,
Yoni Assouly,"Le docteur Yoni Assouly est diplômé de la faculté de médecine de Paris-Diderot en médecine générale. Après son internat, il a suivi des cycles complémentaires et obtenu plusieurs diplômes universitaires en alimentation-santé et micronutrition, en physionutrition et phytothérapie, en médecine nutritionnelle et fonctionnelle. Il est désormais installé à Marseille où il a ouvert son cabinet, le cabinet Almy. @dr_yoni_assouly",
Martine Voclain,,https://m.media-amazon.com/images/S/amzn-author-media-prod/7u7koh5e82dliv8v7fsged1f4d._SY600_.jpg
Christophe Serresseque,,
,,
IGFacile,,https://m.media-amazon.com/images/S/amzn-author-media-prod/tcpcmef40u1qi5ubhlq9tokeaq._SY600_.jpg
Emily English,"Emily is a fully qualified, registered nutritionist with a degree from Kings College London. Her passion began from an early age through her family of cooks and chefs. Spending her childhood summers in the kitchen, with her school terms in the chemistry lab, Emily's curiosity grew for both what was on her plate and what was going on inside our bodies.

She continued her academic journey at the prestigious university Kings College London, ranked number 1 in the UK for nutritional sciences, where she flourished and discovered the true depth of the subject. Using her knowledge for both cooking food, nutrition and human physiology she is able to achieve incredible results in her private London clinic.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Livres Sanitaires Editions,,
IG Media,,https://m.media-amazon.com/images/S/amzn-author-media-prod/ihcdde44dr4qblkflu3a73j6uf._SY600_.jpg
,,
Jessie Inchauspe,"'Glucose Revolution will help you feel better, cut cravings, connect with yourself, balance your hormones, live longer, teach you science and put a smile on your face along the way. This book is one of my references - don't wait to read it.' -- Davinia Taylor, actor and #1 Sunday Times bestselling author of ― It’s not a Diet

'Jessie (a.k.a. the Glucose Goddess) takes you on a fun and informative journey to understand how food affects your sugar spikes and your health. This practical guide is full of wonderful tips and hacks on how and what to eat; a must for anyone who wants to understand their body and improve their health.' -- Professor Tim Spector, Professor of genetic epidemiology at King’s College, London, author of ― The Diet Myth and Spoon Fed

'Jessie Inchauspé, a born communicator, has written the best practical guide to managing glucose to maximize health and longevity.' -- David Sinclair, Harvard Professor and NYT bestselling author of ― Lifespan

'This breakthrough book is a savvy, one-stop shop to sustainable weight loss and better health.' -- Nina Teicholz, science journalist, bestselling author of ― The Big Fat Surprise

'Being a goddess is harder than it looks. But it turns out being a Glucose Goddess is easy. Jessie Inchauspé takes the new science of nutrition and makes it practical for everyone.' -- Robert H. Lustig, MD, MSL, Author of New York Times bestseller ― Fat Chance and Metabolical

'As a metabolic scientist, I'm concerned with two things: insulin and glucose. With a mix of personal experience and published evidence, Jessie has woven these two ideas together in a fascinating and satisfying memoir. Reading and applying the principles outlined in Glucose Revolution can help anyone achieve divine levels of health.' -- Benjamin Bikman, PhD, Professor of Cell Biology, Brigham Young University, author of ― 'Why We Get Sick

A startling discovery about the essential role of blood sugar in every aspect of our lives, from cravings to fertility, and the surprising hacks to optimising it while still eating the foods we love. ― Dr Mark Hyman, New York Times bestselling author",https://m.media-amazon.com/images/S/amzn-author-media-prod/f81u3u94dv0apd80u94utsmr96._SY600_.jpg
Roger Poncelet,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
