Nom,Description,Photo
ANNE-CLAIRE FROGER,,https://m.media-amazon.com/images/S/amzn-author-media-prod/v2oiktlfecbjo6vvu8pqrf0aud._SY600_.jpg
ANNE-CLAIRE FROGER,,https://m.media-amazon.com/images/S/amzn-author-media-prod/v2oiktlfecbjo6vvu8pqrf0aud._SY600_.jpg
Capucine Marc,,
Victoire Charlie,,
Chantal Labeste,,https://m.media-amazon.com/images/S/amzn-author-media-prod/jmqc9hb8efcm9r6pv292mot3fv._SY600_.jpg
Une Réflexion,,
ANNE-CLAIRE FROGER,,https://m.media-amazon.com/images/S/amzn-author-media-prod/v2oiktlfecbjo6vvu8pqrf0aud._SY600_.jpg
Marika Ciaoanxiete,,
ANNE-CLAIRE FROGER,,https://m.media-amazon.com/images/S/amzn-author-media-prod/v2oiktlfecbjo6vvu8pqrf0aud._SY600_.jpg
Lucie Vie,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Sophie Evrard,,
ANNE-CLAIRE FROGER,,https://m.media-amazon.com/images/S/amzn-author-media-prod/v2oiktlfecbjo6vvu8pqrf0aud._SY600_.jpg
Thibaut Meurisse,,https://m.media-amazon.com/images/S/amzn-author-media-prod/dodgjj92binq4366fb33l1m2jg._SY600_.jpg
David Heimbacher,,https://m.media-amazon.com/images/S/amzn-author-media-prod/h0r77te5gjmbl1ef8imfqkvd43._SY600_.jpg
Christophe André,"Christophe André, psychiatre, ancien praticien à l’hôpital Sainte-Anne à Paris, est un auteur, lu et reconnu dans le monde entier, notamment pour Imparfaits, libres et heureux, L’Estime de soi et Et n’oublie pas d’être heureux.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
ANNE-CLAIRE FROGER,,https://m.media-amazon.com/images/S/amzn-author-media-prod/v2oiktlfecbjo6vvu8pqrf0aud._SY600_.jpg
Coralie Pelletier,,
Editions Layke,,https://m.media-amazon.com/images/S/amzn-author-media-prod/tr93dg8mnaucj55efnr4gnbcm9._SY600_.jpg
Carnet time for sex edition,,
Emilie Adam,,
ANNE-CLAIRE FROGER,,https://m.media-amazon.com/images/S/amzn-author-media-prod/v2oiktlfecbjo6vvu8pqrf0aud._SY600_.jpg
,,
,,
Marika Attirelepositif,,
Monique DEVEZ VALLIENNE,,https://m.media-amazon.com/images/S/amzn-author-media-prod/fd4ge7fo9e7rh4ir41hb3odv1p._SY600_.jpg
Dr. Ameet Aggarwal ND,,https://m.media-amazon.com/images/S/amzn-author-media-prod/dull1jp528vhm6cftnt26k83kk._SY600_.jpg
CerebrumLudos Edition,,https://m.media-amazon.com/images/S/amzn-author-media-prod/3ruoqotnknplg8os7fc8ogpkm5._SY600_.jpg
Editions MM,,
Etienne Drouard,,https://m.media-amazon.com/images/S/amzn-author-media-prod/5lmqk1o1bsbf8p1vn7cu1paqr7._SY600_.jpg
Stéphane Baurand,,https://m.media-amazon.com/images/S/amzn-author-media-prod/j5i02vf33sippev77h6cubstmv._SY600_.jpg
Noholito,"Grâce à son humour et son naturel, Noholito a créé des liens très forts avec sa communauté qui le suit et réagit à ses péripéties quotidiennes sur les réseaux sociaux notamment sur TikTok, Instagram et YouTube.",
,,
,,
Faivre Pascale,"Préface du professeur Roger Guillemin, Prix Nobel",
Julie Smith,"Full of sound, helpful advice with life skills, from building confidence to managing stress ― Sunday Times

The book&#39s great. It&#39s real, it&#39s authentic . . . Very practical and very, very helpful -- Lorraine Kelly

I&#39m blown away by her ability to communicate difficult ideas with ease, simplicity and practicality. Amazing. Go and buy it now! -- Jay Shetty

Such a brilliant book -- Steven Bartlett ― Diary of a CEO podcast

A toolkit of deceptively simple strategies for life&#39s troubles. Everyone could benefit from the wisdom of Dr Smith ― i, &#39The Best Non-Fiction Books of 2022&#39

This book is a goldmine. I truly treat it like a handbook now ― Stylist

Julie Smith is the psychology teacher you wish you&#39d had at school ― Evening Standard

It&#39s so engaging that it&#39s even led me to switch off my phone for several hours so I can read it, and in this social media-obsessed age, I don&#39t think I can give a bigger recommendation than that -- Bryony Gordon ― Telegraph

Relatable, real and easy to digest, it covers everything from understanding low mood to emotional pain, self-doubt and anxiety as if your wise best friend is chatting to you. An essential mental-health bible for adults and teenagers ― YOU Magazine

Smart, insightful, and warm. Dr Julie is both the expert and wise friend we all need ― Lori Gottlieb, New York Times bestselling author of Maybe You Should Talk to Someone and co-host of the &#39Dear Therapists&#39 podcast

This book is basically an inside scoop into a therapist&#39s tool kit. Covers so many important topics such as managing anxiety, battling low mood, building self-confidence and learning to forgive yourself. It is no wonder that the author has become an online sensation with all her amazing advice ― Marie Claire

Now more than ever, people are struggling with their mental health and Dr Julie Smith delivers in a big way in Why Has Nobody Told Me This Before?. Her practical tips and tools are for anyone struggling with anxiety, self-doubt, or depression. Readers will step away from this book feeling more resilient and able to take control of their own lives. If you want to feel like you have a therapist sitting across from you, empowering you with how to be your best self, this book is for you! ― Nicole LePera, New York Times bestselling author of How to Do the Work

This book is a goldmine. I truly treat it like a handbook now - when I feel an unpleasant feeling brewing or come up against a tricky moment at work or in my relationships, my first thought is to wonder what Smith might suggest ― Stylist

A guide for optimal mental wellbeing that you can dip into whenever you need ― Women&#39s Health

Wise words and compassionate tone . . . Smith&#39s work is hugely important in bringing applied psychology into the public realm ― The Psychologist

So much advice on such a wide variety of things: it&#39s brilliant. So helpful ― Katie Piper

Smith . . . is especially adept at addressing the insecurities afflicting a younger generation raised on social media ― Financial Times

If you have never read a self-help book before, this is the book to read ― Ireland AM

Very helpful -- BBC Radio 2 ― Michael Ball

Take care of your mental health with these bite-size tips on everything from how to manage anxiety to coping with grief ― Woman & Home",https://m.media-amazon.com/images/S/amzn-author-media-prod/q2p9pjpbv6ubgtkqjl4s9334mh._SY600_.jpg
Montis Konia,,
Stéphane Baurand,,https://m.media-amazon.com/images/S/amzn-author-media-prod/j5i02vf33sippev77h6cubstmv._SY600_.jpg
Christophe André,"Médecin psychiatre à l&#39hôpital Sainte Anne (Paris), Christophe André est l&#39auteur de nombreux best-sellers : L&#39estime de soi ; Vivre heureux ; Imparfaits, libres et heureux, (prix Psychologies Magazine 2006). Christophe AndréChristophe André est né à Montpellier d&#39un père marin et d&#39une mère institutrice. D&#39où, peut-être, son goût pour la pédagogie et la psychologie des profondeurs. Il lit très tôt l&#39oeuvre de Freud et décide de faire médecine pour devenir psychiatre. Il pratique pendant 15 ans psychiatrie et rugby à Toulouse. Après son mariage, il monte à Paris, remplace alors la pratique du rugby par celle de l&#39écriture, la visite des mêlées par celle des musées, et ne marque plus d&#39essais, mais en publie de nombreux. Il exerce à l&#39hôpital Sainte-Anne à Paris, au sein d&#39une Unité de Psychothérapie Comportementale et Cognitive, spécialisée dans le traitement des troubles émotionnels, anxieux et dépressifs. Beaucoup de ses ouvrages ont connu un très grand succès en France et à l&#39étranger, mais il considère cependant que ses véritables chefs d&#39oeuvre sont ses trois filles.",
,,
,,
,,
,,
Bernard Gendoré,,
Isabelle Mullesch,,https://m.media-amazon.com/images/S/amzn-author-media-prod/gleujs75ksd6r3ku8af345nasu._SY600_.jpg
,,
Ariane Hébert,"Psychologue et fondatrice de La Boîte à Psy (www.boiteapsy.com), Ariane Hébert est l’autrice vedette de la collection Boîte à outils aux éditions de Mortagne.",https://m.media-amazon.com/images/I/61Suu-UZl6L._SY600_.jpg
Robert Mercier,,https://m.media-amazon.com/images/S/amzn-author-media-prod/oda0i7087u40e9co9guij2r4fu._SY600_.jpg
Editions Layke,,https://m.media-amazon.com/images/S/amzn-author-media-prod/tr93dg8mnaucj55efnr4gnbcm9._SY600_.jpg
Adeline Legrand,,
,,
,,
Gio Zararri,,https://m.media-amazon.com/images/S/amzn-author-media-prod/k3ap4a0aut2vgtrj9v802clvu7._SY600_.jpg
Robert Mercier,,https://m.media-amazon.com/images/S/amzn-author-media-prod/oda0i7087u40e9co9guij2r4fu._SY600_.jpg
Moussa Nabati,"Moussa Nabati est psychanalyste, thérapeute et chercheur, docteur en psychologie de l&#39université de Paris.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Laetitia B,,
