Nom,Description,Photo
Pierre Meunier,"Pierre Meunier est praticien en Énergique Traditionnelle Chinoise depuis plus de dix ans, diplômé de l&#39école SHEN, praticien Access Bars® et naturopathe formé au CNFDI.
Son objectif est d&#39apporter une ouverture et des éléments de réponse à des problématiques parfois non résolues par la médecine classique, notamment grâce aux remèdes naturels et à l&#39approche holistique sur le corps et l&#39esprit.",
Andrew Chevallier,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Caroline Gayet,"Caroline Gayet est diététicienne-nutritionniste et phyto-aromathérapeute. Elle exerce en libéral à Paris et a travaillé 10 ans à l’herboristerie du Palais Royal. Elle dirige maintenant son herboristerie Phyt&Sens à Aulnay-sous-Bois. Auteure, conférencière, animatrice d’ateliers et formatrice en santé naturelle pour le grand public et les professionnels de santé, elle œuvre pour une médecine plus intégrative. Elle est l&#39auteure du Guide de poche de Phytothérapie et de Ma Bible des secrets d&#39herboriste aux éditions Leduc.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Claudine Luu,"Claudine Luu est docteure en pharmacie et docteure ès sciences naturelles. Enseignante et conférencière, spécialiste des plantes médicinales, elle a publié de nombreux ouvrages dans ce domaine. Elle a fondé avec son mari, Vinh Luu, l&#39IMDERPLAM (Institut méditerranéen d&#39étude et de recherche sur les plantes médicinales), l&#39une des écoles phares de la phytothérapie en France, qui accueille des étudiants venus de toute l&#39Europe. Elle est aussi la fondatrice du laboratoire Phytofrance ― Euro Santé Diffusion, installé près de Montpellier.",https://m.media-amazon.com/images/I/61N8dxgRqoL._SY600_.jpg
Erika Laïs,,
Claude Davis,,
Murielle Toussaint,"Naturopathe et journaliste spécialisée dans le domaine de la santé, Murielle Toussaint est l’autrice de plusieurs ouvrages aux éditions Mosaïque-Santé, notamment ""Mon cahier de lithothérapie"", ""Mon cahier des points qui guérissent"" et ""Mon cahier de réflexologie plantaire"", tous best sellers.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Maria Treben,"Lors de la parution de son premier livre, Maria Treben laissait derrière elle une vie bien remplie, non dépourvue de vicissitudes mais néanmoins heureuse. Elle s était montrée très sceptique quant à l intérêt qu allait susciter ses conseils et son expérience concernant les plantes médicinales « puisque les librairies regorgeaient de livres sur les plantes, l un plus beau que l autre ». Cependant il en fut tout autre. Son livre « La santé à la pharmacie du bon Dieu » dont les ventes étaient de plus en plus prometteuses, accéda très rapidement à la première place sur les listes des meilleures ventes. Un quotidien allemand de renom déclara même que le premier livre de Maria Treben était le best seller du siècle. A l heure actuelle plus de 12 millions d exemplaires de ses livres ont été vendus et sont traduits dans plus de 20 langues. Ils ont propulsé leur auteur au rang de spécialiste mondiale des plantes médicinales et Maria Treben à été obligée d échanger une retraite tranquille contre une vie active faite de rendez-vous. Cette contrainte n a été possible que grâce à sa vitalité et son hygiène de vie. Elle a accepté ce sacrifice de manière désintéressée pour apporter aux gens un savoir qui était menacé de disparition. Maria Treben était une femme très croyante et une chrétienne convaincue et convaincante. Elle s était donnée comme raison de vivre de divulguer son savoir sur la toute puissance du créateur qui « fait pousser les plantes pour notre plus grand bien depuis la nuit des temps ». Une vocation qui arriva sur le tard. Maria Treben est née à Saaz, une ville houblonnière des Sudettes. Son père était imprimeur et éditeur, sa mère femme au foyer. Elle perdit son père à dix ans à la suite d un accident de la circulation et deux ans plus tard elle déménagea à Prague avec sa mère",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Michel Dubray,,https://m.media-amazon.com/images/S/amzn-author-media-prod/6v8a5sqbnvjvj8c19pk6v78cfq._SY600_.jpg
Gilles Corjon,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Laurine Pineau,"Laurine Pineau   est naturopathe. Elle a exercé une dizaine d’années en herboristerie. Spécialisée en gemmothérapie, qu’elle associe à d’autres disciplines, elle accompagne les troubles digestifs, articulaires et les problématiques liées au sport. Elle transmet également son savoir sur ces thématiques par le biais de formations et d’articles. Elle est déjà l&#39auteure chez Leduc du  Grand livre de la gemmothérapie.   ",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Stéphane Boistard,"Stéphane Boistard est cueilleur, formateur et conférencier spécialisé en gemmothérapie et approche sensible de la forêt. Depuis plus de vingt ans, il oeuvre à relier les savoirs traditionnels ruraux aux connaissances modernes. Il est un héritier de ces lignées d’hommes et de femmes « de plantes », avec un lien privilégié à la forêt, aux arbres, au « peuple des arbres ». Il est l’auteur de plusieurs livres, dont ""Paroles de cueilleurs"" et ""Textes du fond des bois"" (autoédités).",
Amélie Michel,"Amélie Michel est infirmière puéricultrice. Avec la collaboration d’Alix Lefief-Delcourt, auteure de nombreux best-sellers en santé.

Anne de Formigny est ingénieure agronome et naturopathe.

Évelyne Duplessix est spécialiste en botanique forestière. Elles sont toutes les trois conseillères hildegardiennes certifiées.",
Priscilla Powers,,
Claudine Luu,"Claudine Luu est Docteur en Pharmacie et Docteur ès Sciences naturelles. Enseignante et conférencière, spécialiste des plantes médicinales, elle a publié de nombreux ouvrages dans ce domaine. Pharmacienne, Claudine Luu est une sommité dans le monde de la phytothérapie et des médecines naturelles. Depuis plus de 50 ans, elle n&#39a de cesse d&#39étudier les plantes et de transmettre ses connaissances. Elle a notamment fondé avec son mari Vinh Luu l&#39IMDERPLAM (Institut Méditerranéen d&#39Etude et de Recherche sur les Plantes Médicinales), une des écoles phares de la phytothérapie en France. Claudine Luu est par ailleurs fondatrice et présidente du laboratoire LAPHT-Phytofrance, près de Montpellier, proposant des produits élaborés principalement à partir de la plante fraîche, dans les différents domaines de la phytothérapie et de l&#39homéopathie. Elle a déjà publié plusieurs ouvrages chez Terre vivante. Annie Fournier est docteur en Pharmacie, spécialisée en phytothérapie et en thérapies de relaxation. Elle anime des formations auprès de différents publics. Annie Fournier s&#39est depuis des années passionnée pour les approches de ""santé naturelle"", qu&#39elles viennent d&#39Orient ou d&#39Occident. Elle a pu se former à différentes pratiques de thérapies, psychocorporelles notamment, tout en continuant à approfondir la vaste connaissance des plantes médicinales. Aujourd&#39hui ses activités sont principalement orientées vers la transmission, dans les nombreux domaines que compte la phytothérapie, tant sur le terrain par des animations botaniques, qu&#39au travers de formations théoriques et d&#39ateliers pratiques, ou de la rédaction d&#39articles. Elle travaille auprès de Claudine Luu au laboratoire Phytofrance.",
Mary Voarino,"Mary Voarino (@naturolifenice) est l’auteur du livre « Le petit guide de l’herboristerie » (mercileslivres). Naturopathe, certifiée SPN et spécialisée en aromathérapie et phythothérapie, Marie Voarino vit à Nice.",
Dr Ila Abril,,
Elizabeth Adalian MCH,,
Docteur Jean Valnet,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
JC Charriée,"Docteur Jean-Christophe Charrié, médecin généraliste, est formé à la phytothérapie clinique qu&#39il enseigne en France et à l&#39étranger. Marie-Laure de Clermont-Tonnerre est journaliste et auteur de livres sur la santé au naturel.",
