Nom,Description,Photo
Alain Schmoll,"Dirigeant et repreneur d’entreprises, Alain Schmoll est un passionné de littérature. Il crée un blog de lecture, puis se met à l’écriture de fictions. Mêlant suspense et romance dans des intrigues inspirées de l’actualité, ses cinq romans embarquent leurs personnages vers des dénouements inattendus.",https://m.media-amazon.com/images/S/amzn-author-media-prod/q8n5m10jp8ir2s3c8v8acrrvg9._SY600_.jpg
Alain Schmoll,"Dirigeant et repreneur d’entreprises, Alain Schmoll est un passionné de littérature. Il crée un blog de lecture, puis se met à l’écriture de fictions. Mêlant suspense et romance dans des intrigues inspirées de l’actualité, ses cinq romans embarquent leurs personnages vers des dénouements inattendus.",https://m.media-amazon.com/images/S/amzn-author-media-prod/q8n5m10jp8ir2s3c8v8acrrvg9._SY600_.jpg
François Lecointre,"Ancien chez d&#39état-major des armées, le général d&#39armée François Lecointre est grand chancelier de la Légion d&#39honneur.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Vincent Lemire,"Agrégé d&#39histoire, Thomas Snégaroff a longtemps enseigné l&#39histoire et la géopolitique au lycée, en classes préparatoires et à Sciences-Po avant de devenir journaliste. Il présente "" Le Grand Face-à-face "" le samedi sur France Inter et "" C Politique "" le dimanche sur France 5.

Ancien élève de l&#39ENS Fontenay/Saint-Cloud, Vincent Lemire est agrégé d&#39histoire et docteur en histoire. Il a été directeur du Centre de recherche français de Jérusalem (CNRS-MAE) entre 2019 et 2023. Il est actuellement professeur à l&#39université Paris-Est/Gustave-Eiffel et directeur du projet européen Open Jerusalem (www.openjerusalem.org).",https://m.media-amazon.com/images/S/amzn-author-media-prod/4rpunqlek8r4um20ph2lu0nld0._SY600_.jpg
Emmanuel Todd,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Alain Schmoll,"Dirigeant et repreneur d’entreprises, Alain Schmoll est un passionné de littérature. Il crée un blog de lecture, puis se met à l’écriture de fictions. Mêlant suspense et romance dans des intrigues inspirées de l’actualité, ses cinq romans embarquent leurs personnages vers des dénouements inattendus.",https://m.media-amazon.com/images/S/amzn-author-media-prod/q8n5m10jp8ir2s3c8v8acrrvg9._SY600_.jpg
Alain Bauer,"Alain Bauer est professeur de criminologie au Conservatoire National des Arts et Métiers, New York et Shanghai. Il est responsable du pôle sécurité défense - renseignement criminologie cybermenaces et crises. Il a publié une soixantaine d&#39ouvrages sur les questions de sécurité, criminelles et de terrorisme.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Maurizio Serra,"Diplomate et écrivain italien, Maurizio Serra est actuellement ambassadeur d&#39Italie à l&#39Unesco. Il est l&#39auteur de brillantes biographies, en particulier celle de Curzio Madaparte (prix Goncourt 2011). En 2018, il est récompensé d&#39un prix Prince Pierre de Monaco pour l&#39ensemble de son oeuvre et en 2020, il est élu à l&#39Académie française.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Aldo Sterone,,https://m.media-amazon.com/images/I/71VfJKVcBNL._SY600_.jpg
Ghislain Benhessa,,
