Nom,Description,Photo
Xavier Gorce,"Satiriques, ridicules, craquants, mordants, givrés, incorrigibles : en un mot, Indégivrables ! Ces drôles de petits pingouins aiment bien poser les questions qui fâchent et mettre les pieds dans le plat. Leur allure humaine, leurs travers, individuels et collectifs, leurs convictions qui naviguent entre absurdité et clairvoyance en font nos doubles inconséquents, dérisoires et burlesques. À travers eux, Xavier Gorce livre une analyse mordante de notre société.Cet ouvrage rassemble une sélection de dessins autour des différentes problématiques liées aux fake news et à la liberté d'expression. Des excès des réseaux sociaux à la cancel culture, du règne de la rumeur au droit au blasphème, entre petites lâchetés et scandales insupportables, c'est toute l'absurdité de nos comportements incohérents que l'au>teur dénonce avec un humour grinçant, réveillant ainsi nos consciences.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Xavier Gorce,"Satiriques, ridicules, craquants, mordants, givrés, incorrigibles : en un mot, Indégivrables ! Ces drôles de petits pingouins aiment bien poser les questions qui fâchent et mettre les pieds dans le plat. Leur allure humaine, leurs travers, individuels et collectifs, leurs convictions qui naviguent entre absurdité et clairvoyance en font nos doubles inconséquents, dérisoires et burlesques. À travers eux, Xavier Gorce livre une analyse mordante de notre société.Cet ouvrage rassemble une sélection de dessins autour des différentes problématiques liées aux fake news et à la liberté d'expression. Des excès des réseaux sociaux à la cancel culture, du règne de la rumeur au droit au blasphème, entre petites lâchetés et scandales insupportables, c'est toute l'absurdité de nos comportements incohérents que l'au>teur dénonce avec un humour grinçant, réveillant ainsi nos consciences.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Anaïs Maquiné Denecker,"Anais Maquiné est journaliste et productrice et vit entre Los Angeles et Paris. Elle a été rédactrice en chef des émissions E=M6, confessions intimes, 10H le mag, MIAM et de nombreux primes unitaires pour TF1 et M6. Elle a aussi créé, écrit et produit plusieurs concepts audiovisuels pour M6: les chefs contre-attaquent et l'histoire au quotidien. Travaillant entre les USA et la France, elle a récemment collaboré à la réalisation de l'émission Love trip Paris"" pour Fox Entertainment diffusé sur Disney + et Hulu./ Voix off de nombreux programmes tv, elle est aussi auteure. Son dernier roman ""la clé"" paru aux éditions des falaises a reçu le prix coup de cœur polar des libraires 2020.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Adeline Toniutti,"Adeline Toniutti est chanteuse et pédagogue de renom, entourée de médecins spécialistes, elle anime des colloques internationaux pour faire avancer l'expertise sur la voix. Femme de télévision et artiste engagée, parmi ses combats, elle lutte tout particulièrement contre les violences conjugales.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Bruno Hourcade,"Diplômé d'une école de commerce, originaire du Sud-Ouest, Bruno Hourcade a raflé, à 29 ans, tous les records des jeux télés.

Cyrille Legendre, journaliste et écrivain, auteur de plusieurs romans policiers publiés au Masque, est lui aussi l'un des grands champions des "" 12 Coups de Midi "".",
Collectif,Collectif.,
Xavier Gorce,"Satiriques, ridicules, craquants, mordants, givrés, incorrigibles : en un mot, Indégivrables ! Ces drôles de petits pingouins aiment bien poser les questions qui fâchent et mettre les pieds dans le plat. Leur allure humaine, leurs travers, individuels et collectifs, leurs convictions qui naviguent entre absurdité et clairvoyance en font nos doubles inconséquents, dérisoires et burlesques. À travers eux, Xavier Gorce livre une analyse mordante de notre société.Cet ouvrage rassemble une sélection de dessins autour des différentes problématiques liées aux fake news et à la liberté d'expression. Des excès des réseaux sociaux à la cancel culture, du règne de la rumeur au droit au blasphème, entre petites lâchetés et scandales insupportables, c'est toute l'absurdité de nos comportements incohérents que l'au>teur dénonce avec un humour grinçant, réveillant ainsi nos consciences.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Oxford Languages,"[The] quick-reference English dictionary in a new paperback edition from Oxford is fully revised and excellent value for money ... [It is] ideal for quizzes and puzzle-solving. ― Suite 101

Complete dictionary and reference volume all rolled into one, at a splendidly low price. It includes all the words you will ever need for ordinary everyday use set out in the easy-to-use typography for which Oxford dictionaries are famous. ― Writers Online",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Philippe Meyer,"Sociologue et essayiste, journaliste culturel, animateur de télévision, chroniqueur matutinal, portraitiste politique, producteur de radio, auteur de livres de reportages, de one-man-show, créateur de podcasts, Philippe Meyer est l'auteur de nombreux best-sellers, dont Dans mon pays lui-même... (Flammarion), Pointes sèches (Le Seuil) et Paris la Grande (Flammarion).",
Vincent Lagaf,"Né en 1959, Vincent Lagaf' est un humoriste, acteur, chanteur, imitateur, comédien et animateur de télévision. Je m'appelais Franck est son premier livre et a paru aux éditions XO en 2023.

Retrouvez toute l'actualité de l'auteur sur :
www.instagram.com/vincelagaf/
www.tiktok.com/@vincent_lagaf
www.facebook.com/VincentLagafOfficiel/",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
