Nom,Description,Photo
Robert Greene,"ROBERT GREENE est une voix incontournable de la vie professionnelle et du développement personnel en France et dans le monde. Grand amoureux d’histoire, de littérature et de la France en particulier, il parle plusieurs langues couramment (dont le français). Diplômé de Berkeley en Californie, en lettres classiques, il est l’auteur de nombreux best-sellers dont Power (plus de 120 000 exemplaires vendus) aux éditions Alisio.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Capucine Marc,,
Ines Chapman,,
MMemories Editore,,
Jeanne Siaud-Facchin,"Jeanne Siaud-Facchin est psychologue, psychothérapeute, fondatrice des centres de psychologie intégrative Cogito’Z. Elle pratique et enseigne la méditation de pleine conscience. Elle est l’auteure d’immenses succès : L’Enfant surdoué, Tout est là, juste là et Trop intelligent pour être heureux ?",https://m.media-amazon.com/images/I/61-ZdvVRXhL._SY600_.jpg
Marc Daxx,,
Delphine Laffon,,https://m.media-amazon.com/images/S/amzn-author-media-prod/6qfb943pqd3lefbjvbdof2hotu._SY600_.jpg
Anne Ancelin-Schutzenberger,"Anne Ancelin Schutzenberger, psychothérapeute, groupe-analyste et psychodramatiste de renommée internationale, est professeur émérite des Universités et a été directeur pendant une vingtaine d&#39années du Laboratoire de psychologie sociale et clinique de l&#39Université de Nice. Elle a publié Le Psychodrame, Psychogénéalogie, Le plaisir de vivre, Sortir du deuil, chez Payot, et Vouloir guérir chez Desclée de Brouwer.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Dennis Greenberger,"Dennis Greenberger et Christine Padesky sont des psychologues américains de renommée internationale, avec une expérience des TCC de plus de trente ans. Ils ont fondé en Californie deux centres spécialisés dans les traitements des troubles anxieux et dépressifs.",
Cathy Assenheim,"Cathy Assenheim est psychologue clinicienne spécialisée en neuropsychologie. Elle s’est spécialisée dans l’accompagnement du haut potentiel, de l’hypersensibilité, mais aussi dans le traitement du stress et de ses conséquences : l&#39anxiété, les troubles du sommeil, les kilos émotionnels ou encore le burn-out.",https://m.media-amazon.com/images/S/amzn-author-media-prod/7epi1v3q3l8dc9f6pfj21chvec._SY600_.jpg
Juliette Marty-Groleas,"Exercice n° 00 : Ce livre est-il fait pour vous ?
Parmi les propositions ci-dessous, cochez celles qui vous correspondent.
Les mauvaises habitudes ont la peau dure.
Vous êtes doué pour les scénarios catastrophe.
Relativiser, en revanche, n&#39est pas votre fort.
Les situations à enjeu vous stressent.
On vous dit perfectionniste.
Vous ne parvenez pas à dire non.
Vous préférez ne pas vous lancer, plutôt qu&#39échouer.
Vous avez tendance à voir le verre à moitié vide.
Les émotions sont mauvaises conseillères.
Vous aspirez à plus de sérénité.
Moins de 2 réponses : ce livre ne vous concerne pas.
2 à 5 réponses : ce livre vous aidera à vaincre vos mauvaises petites habitudes et vos angoisses dont vous souhaitez vous débarrasser depuis longtemps.
6 à 10 réponses : ce livre est fait pour vous ! Les TCC (thérapies comportementales et cognitives) nous aident à repérer nos schémas de pensée et de fonctionnement pour nous en affranchir.
Avec ces 50 exercices, vous mènerez vos projets à terme et poserez les bases d&#39une nouvelle vie.",
Olivier Lockert,"Hypnothérapeute depuis 30 ans, enseignant international en hypnose ericksonienne et en PNL, cofondateur de l’Hypnose Humaniste, Olivier Lockert dirige l’institut français d’Hypnose Humaniste et Ericksonienne (IFHE) et est l’auteur de nombreux livres de référence, dont « Hypnose » et « Métaphores », des best-sellers vendus dans plus de 60 pays.

Alexandre Lockert est psychologue de la santé, psychothérapeute et hypnothérapeute depuis 10 ans. Il excelle dans le traitement des cas difficiles (traumatismes, troubles anxieux, dépressions, etc.) et s&#39appuie sur une expérience de terrain, en tant qu&#39ancien chef d&#39équipe de la Protection Civile (secourisme). Il enseigne l&#39hypnose thérapeutique et ses applications à l&#39Institut Français d&#39Hypnose Humaniste et Ericksonienne (IFHE) et ses séances sur YouTube ont des dizaines de milliers de vues.",
Clarissa Pinkola Estés,"Clarissa Pinkola Estés est l&#39auteur du Jardinier de l&#39Eden (Grasset, 1998) et du légendaire Femmes qui courent avec les loups (Grasset, 1996).",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Lucille Beauvais,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Docteur Clément Lecomte,"Psychiatre à l&#39EPSM (Établissement Public de Santé Mentale Lille-Métropole) d&#39Armentières, thérapeute praticien en TCC, diplômé de l&#39AFTCC.

est psychiatre, responsable de la consultation spécialisée sur le stress et l&#39anxiété au sein du service de psychiatrie adulte du centre hospitalier universitaire de Lille, service de psychiatrie adulte, et directeur d&#39enseignement à la faculté de médecine de Lille. ###",https://m.media-amazon.com/images/I/71SDqjgXfEL._SY600_.jpg
Florence Alexandre,,https://m.media-amazon.com/images/S/amzn-author-media-prod/aco2mg0fb8e1kgbf9r6kgtflf8._SY600_.jpg
Florence Alexandre,,https://m.media-amazon.com/images/S/amzn-author-media-prod/aco2mg0fb8e1kgbf9r6kgtflf8._SY600_.jpg
Cyril Balat,,
Ilios Kotsou,"Docteur en psychologie et enseignant-chercheur en psychologie à l’Université libre de Bruxelles, spécialiste des compétences émotionnelles.

Psychologue et formateur en développement des compétences émotionnelles à Grenoble.

Professeur de psychologie du développement à l&#39Université Lumière Lyon 2, chercheur au Laboratoire ""Développement, Individu, Personnalité, Handicap, Education"" et responsable de l&#39Observatoire du Bien-être à l&#39Ecole. Elle est membre de l&#39Institut Universitaire de France. Elle a déjà publié de nombreux ouvrages chez Dunod, In Press, Odile Jacob.

Professeur de psychologie à l&#39université catholique de Louvain, elle enseigne la psychologie de la santé et la psychologie des émotions. Elle a aussi publié chez Dunod ""Les interventions en psychologie de la santé"" (2013).

Docteur en psychologie et professeur à l’Université Pompeu Fabra de Barcelone, il travaille sur les émotions et la prise de décision.",https://m.media-amazon.com/images/S/amzn-author-media-prod/7q4lumkctk236fb8du31d40r3l._SY600_.jpg
Katherine Debelle,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Nathalie Franc,Le Figaro – « Etre ferme et bienveillant à la fois ? Tel est l’enjeu hautement délicat d’une éducation à refaire »,
Jeffrey E Young,"Jeffrey E Young enseigne et travaille dans le Département de psychiatrie de l&#39Université de Columbia. Il est le fondateur et le directeur des Centres de thérapie cognitive de New York et du Connecticut, ainsi que de l&#39Institut de Schéma Thérapie de New York.

Codirectrice du Centre de thérapie cognitive de Long Island, elle est également psychologue à l&#39Institut de Schéma Thérapie et au Woodstock Women&#39s Health.

Elle enseigne la psychiatrie des comportements humains à la Brown University Medical School, elle donne également des consultations à titre privé.

Pascal Bernard est psychiatre-psychothérapeute cognitivo-comportementaliste, attaché de psychothérapie au CHU de Grenoble. Chargé d&#39enseignement aux Universités de Lyon 1, Grenoble, Chambéry et Reims, il est l&#39auteur des traductions françaises de « La thérapie des schémas » de J.E. Young, et « La thérapie cognitive et les troubles émotionnels » de A.T. Beck, dans la même collection.

Jean Cottraux est psychiatre et psychothérapeute. Il est une des principales personalités françaises de la psychothérapie cognitivo-comportementale. Il est l&#39auteur de nombreux travaux sur le traitement et l&#39étiologie des troubles anxieux ainsi que de nombreux ouvrages sur les TCC. Il est un critique virulent de la psychanalyse et l&#39un des auteurs du Livre noir de la psychanalyse (sous la dir. de Catherine Meyer, 2005, Les Arènes).",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Lovelize Books,,
HAMMOND CORYDON,,
Florence Alexandre,,https://m.media-amazon.com/images/S/amzn-author-media-prod/aco2mg0fb8e1kgbf9r6kgtflf8._SY600_.jpg
Florence Alexandre,,https://m.media-amazon.com/images/S/amzn-author-media-prod/aco2mg0fb8e1kgbf9r6kgtflf8._SY600_.jpg
Le Roi de Cœur,,
Clothilde Grésillaud,,
Jessica Burgeron,,https://m.media-amazon.com/images/S/amzn-author-media-prod/3gqmritmjl9p9ve11d5fqri30i._SY600_.jpg
Sophie Duverne,"Sophie Duverne, psychogénéalogiste et formatrice en psychogénéalogie, est l&#39auteure du podcast "" Psychogénéalogie and Cie "".",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Carl Jung,"Issu d&#39une famille protestante, Carl Gustav Jung étudie au collège de Bâle et s&#39intéresse de près à l&#39Histoire et à la mythologie. Poursuivant des études de médecine, il s&#39oriente vers la psychanalyse. En 1900, il devient assistant à l&#39hôpital psychiatrique de Zurich. Présenté à Freud en 1907, il est rapidement considéré par ce dernier comme son successeur. Toutefois, les différences s&#39accumulent. Jung s&#39oppose effectivement à l&#39interprétation sexuelle du médecin viennois. Ainsi, la rupture se consomme en 1912. Jung entreprend ensuite de multiples voyages ethnographiques, au Kenya et en Inde notamment, qui lui permettent de mieux formaliser sa pensée. En 1921, il expose dans Les types psychologiques un inconscient défini par les pensées, les sensations, l&#39intuition et les sentiments et divisé entre extraversion et introversion. Avec L&#39 énergie psychique, il soumet l&#39hypothèse de l&#39existence de deux formes d&#39inconscient, celui personnel et celui collectif, mémoire de l&#39humanité véhiculant les grands archétypes mythologiques. Il devient le fondateur de la psychologie analytique.",
Amir Levine,"Amir Levine, M.D. is an adult and a child and adolescent psychiatrist and a neuroscientist. He is an associate professor of psychiatry and the director of the Levine epigenetics/molecular neuroscience lab at Columbia University. Dr. Levine has a private practice where he supervises and trains therapists from all over the world in attachment neuroscience–based treatments as well as seeing individuals and couples for consultation and treatment.

Rachel S. F. Heller, M.A. is a psychologist who works both in the public sector and in private practice. She holds a master’s degree from Columbia University. In her work, she integrates attachment-based principles with cognitive behavioral therapy, acceptance and commitment therapy, and experiential-based approaches to help both children and adults.",
Caroline Foster,,https://m.media-amazon.com/images/S/amzn-author-media-prod/u3skd9449odr5uuq8m6lmhfj68._SY600_.jpg
,,
Florence Alexandre,,https://m.media-amazon.com/images/S/amzn-author-media-prod/aco2mg0fb8e1kgbf9r6kgtflf8._SY600_.jpg
Florence Alexandre,,https://m.media-amazon.com/images/S/amzn-author-media-prod/aco2mg0fb8e1kgbf9r6kgtflf8._SY600_.jpg
Carl Gustav Jung,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Docteur Susan Forward,"Susan Forward, psychothérapeute américaine, est un écrivain de renommée mondiale.",
Bessel A. Van der kolk,"Bessel van der Kolk est un psychiatre américain d&#39origine néerlandaise, spécialiste du syndrome de stress post-traumatique et professeur de psychiatrie à la Boston University. Il a fondé le Trauma Center de Boston. Son livre, Le corps n&#39oublie rien (Albin Michel, 2018), a été traduit dans plus de quinze langues et vendu à trois millions d&#39exemplaires.",https://m.media-amazon.com/images/S/amzn-author-media-prod/126pafdtmhtn6sn3idroaecn16._SY600_.jpg
Jordan VEROT,,https://m.media-amazon.com/images/S/amzn-author-media-prod/ejphdjsqqd752v7ahi36t6ts2s._SY600_.jpg
Daniel Kahneman,"Comment prenons-nous nos décisions? Qu&#39est-ce qui guide nos préférences et nos jugements? Quand faut-il faire confiance à notre intuition? Tels sont les fils rouges de cet ouvrage, dans lequel Daniel Kahneman nous emmène à la rencontre étonnante des deux «personnages» qui se partagent notre esprit. Le «Système 1» est rapide, intuitif et émotionnel ; le «Système 2» est lent, réfléchi et logique. Via de multiples expériences auxquelles le lecteur est invité à s&#39essayer lui-même, Daniel Kahneman expose les ravages des partis pris et autres biais cognitifs dont nous sommes les jouets : illusion de familiarité, effet de halo, biais optimiste, effet d&#39ancrage... Fruit de toute une vie de recherche, Système 1 / Système 2 dessine une théorie brillante qui offre des prolongements pratiques immédiats dans la vie quotidienne et professionnelle.",https://m.media-amazon.com/images/S/amzn-author-media-prod/u5bqpd1erkokht2vl0jl3iqmfb._SY600_.jpg
Bruno Clavier,"""Les enfants comprennent beaucoup de choses, il faudrait s&#39en rendre compte."" (Bruno Clavier)

Un enfant peut-il être ""assiégé"" par ses ancêtres dans son inconscient ? Comment se reconstruire un père intérieur quand on est en manque de masculin ? Pourquoi certaines femmes se fabriquent-elles en permanence un ""prince charmant perdu"" ? Ces questions sont au cœur de ce livre sensible qui, reliant psychanalyse et psychogénéalogie, nous invite à la découverte de l&#39étonnant pays des fantômes familiaux, là où tout ce qui n&#39est pas dit est répété…",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Christophe André,"Christophe André, psychiatre, ancien praticien à l’hôpital Sainte-Anne à Paris, est un auteur, lu et reconnu dans le monde entier, notamment pour Imparfaits, libres et heureux, L’Estime de soi et Et n’oublie pas d’être heureux.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
François Lelord,"François Lelord est psychiatre et psychothérapeute. Il a écrit avec Christophe André, La Force des émotions, L&#39Estime de soi, des ouvrages de référence, qui ont contribué à populariser l&#39approche cognitivo-comportementale. Les aventures de son personnage Hector commencées avec Le Voyage d&#39Hector ou la Recherche du bonheur ont été publiées dans 35 pays.

Christophe André, psychiatre, ancien praticien à l’hôpital Sainte-Anne à Paris, est un auteur, lu et reconnu dans le monde entier, notamment pour Imparfaits, libres et heureux, L’Estime de soi et Et n’oublie pas d’être heureux.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Florence Alexandre,,https://m.media-amazon.com/images/S/amzn-author-media-prod/aco2mg0fb8e1kgbf9r6kgtflf8._SY600_.jpg
Patrick Aich,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
