Nom,Description,Photo
Robert Mercier,,https://m.media-amazon.com/images/S/amzn-author-media-prod/oda0i7087u40e9co9guij2r4fu._SY600_.jpg
Robert Mercier,,https://m.media-amazon.com/images/S/amzn-author-media-prod/oda0i7087u40e9co9guij2r4fu._SY600_.jpg
Capucine Marc,,
Amos Lloyd,,https://m.media-amazon.com/images/S/amzn-author-media-prod/4s7js9g48gig0ea253i955c6i5._SY600_.jpg
Célestine Leroi,,
Victoire Charlie,,
Alice Gendron,,https://m.media-amazon.com/images/S/amzn-author-media-prod/j91ru6enhveuncqea6ip3cm0e3._SY600_.jpg
Simone Goldmann,,https://m.media-amazon.com/images/S/amzn-author-media-prod/96a2lpjm83gj9bpgb73m5vjlct._SY600_.jpg
Une Réflexion,,
Marika Ciaoanxiete,,
Danièle Bernard,,https://m.media-amazon.com/images/S/amzn-author-media-prod/e8v5s3rc4ev2prn6hj57cb7fcb._SY600_.jpg
Lucie Vie,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Docteur Deborah Ducasse,"Déborah Ducasse est médecin, psychiatre-psychothérapeute.


Véronique Brand-Arpon est docteur en biologie de la santé, infirmière-psychothérapeute.",
Chantal Labeste,"Chantal Labeste est coach de dirigeants et de sportifs de haut niveau, depuis plus de 15 ans. Diplômée d&#39HEC Paris, elle est experte en programmation mentale et en stratégie de réussite. A travers ses programmes de coaching, ses séminaires, elle a consacré sa vie à accompagner de milliers de femmes et d&#39hommes comme vous à se révéler et à sublimer chaque facette de leur vie.",https://m.media-amazon.com/images/S/amzn-author-media-prod/jmqc9hb8efcm9r6pv292mot3fv._SY600_.jpg
Gerard Shaw,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Sophie Evrard,,
Tony Attwood,"Tony Attwood est docteur en psychologie de l&#39Université de Londres. Il dirige actuellement un établissement à Brisbane en Australie pour diagnostiquer et traiter les enfants et adultes atteints du syndrome d&#39Asperger. Il est la référence internationale dans ce domaine.

Josef Schovanec est ancien élève de Sciences-Po (Paris) et Docteur de l&#39EHESS (Paris). Chercheur en philosophie et sciences sociales, il se spécialise dans les études comparatives des religions et sociétés. Personne avec le syndrome d&#39Asperger, il est également traducteur et conférencier dans le domaine de l&#39autisme.

est Vice-présidente de l&#39organisation Asperger Aide, chargée des relations extérieures, de la recherche de fonds, des relations presse et de la communication.

Elaine Taveau est Présidente et administratrice de l&#39Association Asperger Aide. Son expertise en matière de sydrome d&#39Asperger est reconnue par les autorités en France.",
