Nom,Description,Photo
Florence Alexandre,,https://m.media-amazon.com/images/S/amzn-author-media-prod/aco2mg0fb8e1kgbf9r6kgtflf8._SY600_.jpg
Florence Alexandre,,https://m.media-amazon.com/images/S/amzn-author-media-prod/aco2mg0fb8e1kgbf9r6kgtflf8._SY600_.jpg
Capucine Marc,,
Ines Chapman,,
MMemories Editore,,
Célestine Leroi,,
Marc Daxx,,
Delphine Laffon,,https://m.media-amazon.com/images/S/amzn-author-media-prod/6qfb943pqd3lefbjvbdof2hotu._SY600_.jpg
Anne Ancelin-Schutzenberger,"Anne Ancelin Schutzenberger, psychothérapeute, groupe-analyste et psychodramatiste de renommée internationale, est professeur émérite des Universités et a été directeur pendant une vingtaine d&#39années du Laboratoire de psychologie sociale et clinique de l&#39Université de Nice. Elle a publié Le Psychodrame, Psychogénéalogie, Le plaisir de vivre, Sortir du deuil, chez Payot, et Vouloir guérir chez Desclée de Brouwer.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Dennis Greenberger,"Dennis Greenberger et Christine Padesky sont des psychologues américains de renommée internationale, avec une expérience des TCC de plus de trente ans. Ils ont fondé en Californie deux centres spécialisés dans les traitements des troubles anxieux et dépressifs.",
Juliette Marty-Groleas,"Exercice n° 00 : Ce livre est-il fait pour vous ?
Parmi les propositions ci-dessous, cochez celles qui vous correspondent.
Les mauvaises habitudes ont la peau dure.
Vous êtes doué pour les scénarios catastrophe.
Relativiser, en revanche, n&#39est pas votre fort.
Les situations à enjeu vous stressent.
On vous dit perfectionniste.
Vous ne parvenez pas à dire non.
Vous préférez ne pas vous lancer, plutôt qu&#39échouer.
Vous avez tendance à voir le verre à moitié vide.
Les émotions sont mauvaises conseillères.
Vous aspirez à plus de sérénité.
Moins de 2 réponses : ce livre ne vous concerne pas.
2 à 5 réponses : ce livre vous aidera à vaincre vos mauvaises petites habitudes et vos angoisses dont vous souhaitez vous débarrasser depuis longtemps.
6 à 10 réponses : ce livre est fait pour vous ! Les TCC (thérapies comportementales et cognitives) nous aident à repérer nos schémas de pensée et de fonctionnement pour nous en affranchir.
Avec ces 50 exercices, vous mènerez vos projets à terme et poserez les bases d&#39une nouvelle vie.",
Olivier Lockert,"Hypnothérapeute depuis 30 ans, enseignant international en hypnose ericksonienne et en PNL, cofondateur de l’Hypnose Humaniste, Olivier Lockert dirige l’institut français d’Hypnose Humaniste et Ericksonienne (IFHE) et est l’auteur de nombreux livres de référence, dont « Hypnose » et « Métaphores », des best-sellers vendus dans plus de 60 pays.

Alexandre Lockert est psychologue de la santé, psychothérapeute et hypnothérapeute depuis 10 ans. Il excelle dans le traitement des cas difficiles (traumatismes, troubles anxieux, dépressions, etc.) et s&#39appuie sur une expérience de terrain, en tant qu&#39ancien chef d&#39équipe de la Protection Civile (secourisme). Il enseigne l&#39hypnose thérapeutique et ses applications à l&#39Institut Français d&#39Hypnose Humaniste et Ericksonienne (IFHE) et ses séances sur YouTube ont des dizaines de milliers de vues.",
Lucille Beauvais,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Docteur Clément Lecomte,"Psychiatre à l&#39EPSM (Établissement Public de Santé Mentale Lille-Métropole) d&#39Armentières, thérapeute praticien en TCC, diplômé de l&#39AFTCC.

est psychiatre, responsable de la consultation spécialisée sur le stress et l&#39anxiété au sein du service de psychiatrie adulte du centre hospitalier universitaire de Lille, service de psychiatrie adulte, et directeur d&#39enseignement à la faculté de médecine de Lille. ###",https://m.media-amazon.com/images/I/71SDqjgXfEL._SY600_.jpg
Cyril Balat,,
Ilios Kotsou,"Docteur en psychologie et enseignant-chercheur en psychologie à l’Université libre de Bruxelles, spécialiste des compétences émotionnelles.

Psychologue et formateur en développement des compétences émotionnelles à Grenoble.

Professeur de psychologie du développement à l&#39Université Lumière Lyon 2, chercheur au Laboratoire ""Développement, Individu, Personnalité, Handicap, Education"" et responsable de l&#39Observatoire du Bien-être à l&#39Ecole. Elle est membre de l&#39Institut Universitaire de France. Elle a déjà publié de nombreux ouvrages chez Dunod, In Press, Odile Jacob.

Professeur de psychologie à l&#39université catholique de Louvain, elle enseigne la psychologie de la santé et la psychologie des émotions. Elle a aussi publié chez Dunod ""Les interventions en psychologie de la santé"" (2013).

Docteur en psychologie et professeur à l’Université Pompeu Fabra de Barcelone, il travaille sur les émotions et la prise de décision.",https://m.media-amazon.com/images/S/amzn-author-media-prod/7q4lumkctk236fb8du31d40r3l._SY600_.jpg
Nathalie Franc,Le Figaro – « Etre ferme et bienveillant à la fois ? Tel est l’enjeu hautement délicat d’une éducation à refaire »,
