Nom,Description,Photo
Flavien Brochard,,https://m.media-amazon.com/images/S/amzn-author-media-prod/b8t9p4gq34fdugmir5oeb2dsun._SY600_.jpg
Flavien Brochard,,https://m.media-amazon.com/images/S/amzn-author-media-prod/b8t9p4gq34fdugmir5oeb2dsun._SY600_.jpg
Georges Lemaire,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Sylvain Tesson,"Sylvain Tesson est notamment l&#39auteur du Petit traité sur l&#39immensité du monde (Equateurs), Dans les forêts de Sibérie (Gallimard, Prix Médicis Essai), La Panthère des neiges (Gallimard, Prix Renaudot).",https://m.media-amazon.com/images/S/amzn-author-media-prod/1mhf94e3m4i9806f6o9oj1uavf._SY600_.jpg
Lorelou Desjardins,,https://m.media-amazon.com/images/S/amzn-author-media-prod/jafun731v5mbi0292adghfv4cr._SY600_.jpg
Mélodie Miller,,https://m.media-amazon.com/images/S/amzn-author-media-prod/72jikqi0nadpolufhn60fbbfr1._SY600_.jpg
Flavien Brochard,,https://m.media-amazon.com/images/S/amzn-author-media-prod/b8t9p4gq34fdugmir5oeb2dsun._SY600_.jpg
Sylvain Tesson,"""Il m&#39aura fallu courir le monde et tomber d&#39un toit pour saisir que je disposais là, sous mes yeux, dans un pays si proche dont j&#39ignorais les replis, d&#39un réseau de chemins campagnards ouverts sur le mystère, baignés de pur silence, miraculeusement vides. La vie me laissait une chance, il était donc grand temps de traverser la France à pied sur mes chemins noirs. Là, personne ne vous indique ni comment vous tenir, ni quoi penser, ni même la direction à prendre."" Sylvain Tesson.",https://m.media-amazon.com/images/S/amzn-author-media-prod/1mhf94e3m4i9806f6o9oj1uavf._SY600_.jpg
Little Gypsy,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Mathieu Blanchard,"Mathieu Blanchard, 35 ans, est aventurier et ultra traileur. Ancien candidat de l&#39émission de téléréalité ""Koh Lanta"", il a quitté sa carrière d&#39ingénieur pour se consacrer à son sport et en devenir l&#39une de ses icônes.

Kilian Jornet, né en 1987, est un sportif professionnel espagnol, spécialiste de ski-alpinisme, d&#39ultra-trail et de course en montagne. Auteur de plusieurs records d&#39ascension, il est aussi triple champion du monde de skyrunning et vainqueur des ultra-trails les plus prestigieux. Kilian Jornet est également l&#39écrivain de Courir ou mourir (Arthaud, 2015) et La Frontière invisible (Arthaud, 2017).",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Antoine,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Sylvain Tesson,"""- Tesson ! Je poursuis une bête depuis six ans, dit Munier. Elle se cache sur les plateaux du Tibet. J&#39y retourne cet hiver, je t&#39emmène. - Qui est-ce ? - La panthère des neiges. Une ombre magique ! - Je pensais qu&#39elle avait disparu, dis-je. - C&#39est ce qu&#39elle fait croire.""",https://m.media-amazon.com/images/S/amzn-author-media-prod/1mhf94e3m4i9806f6o9oj1uavf._SY600_.jpg
Sylvain Tesson,"Né en 1972, il est membre de la Société des explorateurs français. Son recueil, Une vie à coucher dehors, a été récompensé du Goncourt de la nouvelle 2009. Il a également reçu pour son essai, Dans les forêts de Sibérie, le prix Médicis 2011.",https://m.media-amazon.com/images/S/amzn-author-media-prod/1mhf94e3m4i9806f6o9oj1uavf._SY600_.jpg
Michel Onfray,,
Julien Esclause,,
