Nom,Description,Photo
Marc Aurèle,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Chloé Thibaud,"Chloé Thibaud est journaliste indépendante, spécialiste des sujets culture et société. Diplômée du CELSA, elle débute sa carrière chez France 3 en tant que reporter, rejoint ensuite le Groupe Marie Claire, avant d&#39être réalisatrice pour l&#39émission culturelle “Entrée Libre“ sur France 5 puis rédactrice en chef de la newsletter féministe “Les Petites Glo“. Depuis septembre 2022, elle écrit une newsletter hebdomadaire en collaboration avec Simone Média, “La Pause Simone“, qui compte plus de 500.000 abonnés.

Elle est l&#39autrice de plusieurs ouvrages : “En relisant Gainsbourg“ (2021, Bleu nuit éditeur), “Hum Hum, et si on parlait vraiment de sexe ?“ (2022, Webedia Books), “Toutes pour la musique“ (2022, Hugo Image) et “Pécho Canards - Décryptage d&#39une vie amoureuse tumultueuse“ (2023, Mango Society).",
William T. Harrison,,https://m.media-amazon.com/images/S/amzn-author-media-prod/pnipm0cgpivg2o172ecla26car._SY600_.jpg
Morgan N. Lucas,"Morgan est thérapeute et formateur sur les questions de diversités de genres, de sexualités et de relations. Sur les réseaux sociaux, il vulgarise des concepts liés à l’identité, à l’intimité et à la santé mentale.",
GABERAN PHILIPPE,"L’essentiel du travail de l’éducateur réside dans le caractère anecdotique de sa présence à l’Autre. Ce n’est pas pour autant que tout le monde peut se dire éducateur ! L’apparente simplicité d’un « être avec » masque la réelle complexité du « faire avec ». Et ce serait maintenir une illusion que de penser trouver les ressorts du métier d’éducateur en quelques savoirs disciplinaires : ceux-ci ne peuvent l’expliquer que dans l’après-coup.

Le sens du métier d’éducateur est à puiser dans une lecture appliquée des actes posés au jour le jour ; encore faut-il pour cela disposer d’un langage approprié. D’où le choix de cent mots simples et pourtant illustratifs de la difficulté de ce métier. Cent mots pour une profession longtemps restée sans mots ! Tel est le pari de ce dictionnaire qui, par le biais de chacune des notions explorées, tisse des liens entre l’apparente banalité des gestes quotidiens de l’éducateur et leur fondamentale répercussion sur le développement de la personne accompagnée dans une relation d’aide éducative ou de soin.

Au final, ce dictionnaire ne conceptualise pas une pratique professionnelle ; il la rend visible et lisible par tous ceux qui sont appelés à l’exercer. Il est une trousse à outils que tout éducateur devra savoir garder à portée de main, tant pour l’aider dans ses écrits que pour penser sa pratique.",https://m.media-amazon.com/images/I/71vcqjwBtWL._SY600_.jpg
Elias Theodorakis,,https://m.media-amazon.com/images/S/amzn-author-media-prod/28vql8rq1d02d1rrg97ikgi4hd._SY600_.jpg
Lotus Zen,,
Anne-Sophie DUPLANTIS,,
James W Williams,,https://m.media-amazon.com/images/S/amzn-author-media-prod/jm7mc7aeh6ogdmb5lsc4edodvb._SY600_.jpg
Jane Dorian,,https://m.media-amazon.com/images/S/amzn-author-media-prod/6seuuooab0rv1pjnauhvmisn47._SY600_.jpg
Edgar Morin,"Edgar Morin

Directeur de recherche émérite au CNRS et docteur honoris causa de vingt-sept universités à travers le monde, il est l&#39auteur d&#39une œuvre transdisciplinaire abondamment commentée, traduite en vingt-sept langues et dans quarante-deux pays.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Joe Navarro,"“A masterful work on nonverbal body language by an exceptional observer. Joe Navarro’s work has been field-tested in the crucible of law enforcement at the highest levels within the FBI. I cannot praise the book enough.” — --David Givens, Ph.D., author of Crime Signals and Love Signals",
Paul Watzlawick,"Ce livre collectif marque une étape importante dans la réflexion de l&#39école dite de Palo Alto, car il élabore de façon rigoureuse et systématique l&#39épistémologie constructiviste sous-jacente à sa pratique thérapeutique. Nous construisons le monde, alors que nous pensons le percevoir. Ce que nous appelons "" réalité "" (individuelle, sociale, idéologique) est une interprétation, construite par et à travers la communication. Un patient est donc enfermé dans une (construction systématisée, qui constitue son monde à lui : dès lors la thérapie va consister à tenter de changer cette construction. On mesure l&#39importance de ce pas théorique : en lui sont déjà contenus en germe les développements ultérieurs de la thérapie systémique. On sait que celle-ci s&#39éloignera de plus en plus d&#39une épistémologie de la vérité en formulant son objectif comme le simple remplacement d&#39une construction du monde douloureuse et pathogène par une autre construction, plus saine parce que plus viable.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Jonathan Morris,"Welcome to the Whoniverse. First stop: everywhere.

Six decades may only be a handful of heartbeats to a Time Lord, but for Doctor Who it&#39s the adventure of several lifetimes. Evolving over 60 years, the world&#39s longest-running sci-fi TV show has gifted us a universe of menacing monsters and unforgettable heroes. You might even call it a &#39Whotopia&#39.

Now you can roam free through the Doctor&#39s dimension as never before in this special commemorative book for Doctor Who&#39s diamond anniversary. Join all the Doctors as each tells their own story. Learn about their legions of legendary allies - and hear from the monsters&#39 own mouths about what makes them tick. Find danger on alien worlds and threats here on Earth in all eras. And explore the gadgets, robots, spaceships, computers and mind-blowing creations that crowd the never-ending corridors of Whotopia.

Crammed with exciting new images and in full colour throughout, Whotopia: The Ultimate Guide to the Whoniverse is the essential celebration of 60 years of Doctor Who.",https://m.media-amazon.com/images/S/amzn-author-media-prod/45r5eq5bnjofj5e2a8a73jmsqg._SY600_.jpg
Philippe Roger,"Philippe Roger, chercheur au CNRS, il enseigne à l&#39École des hautes études en sciences sociales. Il est l&#39auteur de plusieurs ouvrages, portant notamment sur le XVIIIe siècle et d&#39un essai sur Barthes (Roland Barthes, roman, Grasset, 1986). Directeur de la revue Critique.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Chimamanda Ngozi Adichie,"Revue de presse
‘The book I&#39d press into the hands of girls and boys, as an inspiration for a future ""world of happier men and happier women who are truer to themselves""’ Books of the Year, Independent
‘One and a half million YouTube viewings later, this small but perfectly formed talk has become an equally small but perfectly formed book, thanks to Fourth Estate. The perfect size in fact for handbags, pockets and Christmas stockings. There really is no excuse not to buy several’ Harpers Bazaar
Praise for Chimamanda Ngozi Adichie:
‘A writer with a great deal to say’ The Times
&#39Here is a new writer endowed with the gift of ancient storytellers.’ Chinua Achebe
‘Adiche [has] virtuosity, boundless empathy and searing social acuity’ Dave Eggers
‘Adichie is terrific on human interactions … Adichie’s writing always has an elegant shimmer to it … Wise, entertaining and unendingly perceptive’ Independent on Sunday
‘[Adichie] is recording the history of her country. She is fortunate – and we, her readers, are even luckier.&#39 Edmund White
Quatrième de couverture
Available for the first time in paperback, a passionate, clever, and spirited argument for gender equality, from the bestselling author of Americanah and Half of a Yellow Sun. An Anchor Original.
What does ""feminism"" mean today? That is the question at the heart of We Should All Be Feminists, a personal, eloquently-argued essay--adapted from her much-viewed TEDx talk of the same name--by Chimamanda Ngozi Adichie, the award-winning author of Americanah and Half of a Yellow Sun. With humor and levity, here Adichie offers readers a unique definition of feminism for the twenty-first century--one rooted in inclusion and awareness. She shines a light not only on blatant discrimination, but also the more insidious, institutional behaviors that marginalize women around the world, in order to help readers of all walks of life better understand the often masked realities of sexual politics. Throughout, she draws extensively on her own experiences--in the U.S., in her native Nigeria, and abroad--offering an artfully nuanced explanation of why the gender divide is harmful for women and men, alike. Argued in the same observant, witty and clever prose that has made Adichie a bestselling novelist, here is one remarkable author&#39s exploration of what it means to be a woman today--and an of-the-moment rallying cry for why we should all be feminists.
En lire plus",https://m.media-amazon.com/images/S/amzn-author-media-prod/fbj91cmerepo1mce3chcvrpqqc._SY600_.jpg
Victoriæ Defraigne,"Victoria Defraigne est militante trans. Sur sa page Instagram @victoriapiya, elle partage du contenu sur les transidentités et son expérience de femme transgenre. Reconnue pour son expertise, elle intervient régulièrement dans les médias. ",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Philippe Bernoux,"Sociologue, docteur d&#39Etat, directeur honoraire de recherches au CNRS, Philippe Bernoux a enseigné dans une école d&#39ingénieurs (INSA de Lyon), à l&#39université, dans des centres de formation continue (CNAM-IESTO) et dans de nombreuses entreprises.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Thierry Darnaud,,
