Nom,Description,Photo
The Sincere Seeker,,https://m.media-amazon.com/images/S/amzn-author-media-prod/9rsc9ki9un88r7d9n4fchpc8s0._SY600_.jpg
Luc Ferry,"Philosophe, ancien ministre, Luc Ferry est l&#39auteur de nombreux ouvrages traduits dans une quarantaine de langues dont Apprendre à vivre (2006), La Révolution de l&#39amour (2010), L&#39Innovation destructrice (2014) et La Révolution transhumaniste (2016).",https://m.media-amazon.com/images/I/31ywifQQ+uL._SY600_.jpg
Michel-Yves Bolloré,"Michel-Yves Bolloré est ingénieur en informatique, maître ès sciences et docteur en gestion des affaires de l&#39université Paris Dauphine. De 1981 à 1990, il participe avec son frère à la direction du groupe Bolloré dont il dirige la branche industrielle. En 1990, il fonde son propre groupe, France-Essor, dont l&#39activité est centrée principalement sur l&#39industrie mécanique.

Olivier Bonnassies est un ancien élève de l&#39École polytechnique (X86), diplômé de l&#39Institut HEC start-up et de l&#39Institut catholique de Paris (licence en théologie). Entrepreneur, il a créé plusieurs sociétés. Non-croyant jusqu&#39à l&#39âge de 20 ans, il est l&#39auteur d&#39une vingtaine de livres, de vidéos et de quelques spectacles, scénarios, articles, newsletters et sites Internet sur des sujets souvent liés à la rationalité de la foi.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
José Rodrigues Dos Santos,"Journaliste, reporter de guerre, présentateur vedette du 20H au Portugal depuis plus de trente ans, J.R. dos Santos s&#39est imposé comme l&#39un des plus grands auteurs de thrillers érudits en Europe et aux États-Unis.
La saga Tomás Noronha, traduite en 18 langues, s&#39est fait connaître en France avec La Formule de Dieu, vendue à près de 500 000 exemplaires et 2 millions dans le monde.
Ses romans historiques rencontrent le même succès. Spinoza, l&#39homme qui a tué Dieu est le 5e roman historique qui paraît aux Éditions Hervé Chopin. Tous ses titres sont publiés chez Pocket.",https://m.media-amazon.com/images/S/amzn-author-media-prod/s5r9a5np7ji6m4pe1pnmhjiheb._SY600_.jpg
Ichiro,"The Courage to be Disliked shows you how to unlock the power within yourself to become your best and truest self, change your future and find lasting happiness. Using the theories of Alfred Adler, one of the three giants of 19th century psychology alongside Freud and Jung, the authors explain how we are all free to determine our own future free of the shackles of past experiences, doubts and the expectations of others. It&#39s a philosophy that&#39s profoundly liberating, allowing us to develop the courage to ch",
Delphine Horvilleur,"Delphine Horvilleur est rabbin. Elle officie au sein du Judaïsme en Mouvement et dirige la rédaction de la revue d’art, de pensée et de créativité juive Tenou’a depuis 2009. Elle est l’autrice entre autres de En tenue d’Ève : féminin, pudeur et judaïsme, Comment les rabbins font les enfants, Des mille et une façons d’être juif ou musulman, Réflexions sur la question antisémite et de Vivre avec nos morts.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Nathan Devers,"Nathan Devers est né en 1997. Normalien et agrégé de philosophie, il a publié l&#39essai Espace fumeur (Grasset, 2021) et deux romans : Ciel et terre (Flammarion, 2020), Prix du Cercle interallié du premier roman, et Les liens artificiels (Albin Michel, 2022) qui a connu un grand succès. Avec Penser contre soi-même, il signe son deuxième essai.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Alex Michaelides,"Absolutely brilliant . . . I read it in a state of intense, breathless excitement ― STEPHEN FRY

Masterly plotting, Hitchcockian suspense and an absolute jaw-dropper of an ending. Read this book! ― LUCY FOLEY, bestselling author of THE HUNTING PARTY

Intelligent, imaginative and a terrific read ― THE TIMES - Crime Book of the Month

I read it in two nights and savoured every luscious word, every grim encounter, every startling twist ― DAVID BALDACCI

Smart, sophisticated suspense - a very fine novel by any standard ― LEE CHILD

The perfect thriller. I quite literally couldn&#39t put it down ― A. J. Finn, bestselling author of THE WOMAN IN THE WINDOW

A taut, meticulously plotted and compelling novel ― THE OBSERVER

The Silent Patient may be a first novel, but it has the pace and finesse of a master ― BBC CULTURE

One of the best thrillers I&#39ve read this year. Masterfully plotted and brilliantly paced by a writer at the top of his game ― CARA HUNTER, Sunday Times bestselling author of CLOSE TO HOME

A superior psycho-thriller ― THE TIMES

I was kicking myself black and blue that I did not see *that* moment coming. I have never been so happily wrong-footed. A very clever book - highly recommended. ― C. J. TUDOR, Sunday Times bestselling author of THE CHALK MAN

A neatly woven, intelligently written story that lifts the curtain on the complexities of trauma and the human psyche ― ALI LAND, Sunday Times bestselling author of GOOD ME, BAD ME

The definition of a page turner. The twist comes as hard and fast as a slap across the face. ― JOHN MARRS, bestselling author of THE GOOD SAMARITAN

Genuinely chilling and with a real sucker punch of a twist ― SHARON BOLTON, Sunday Times bestselling author of THE CRAFTSMAN

A hugely impressive debut ― STEVE CAVANAGH, bestselling author of THIRTEEN

Comes with a killer twist ― SUNDAY TIMES Crime Club

An unforgettable - and Hollywood-bound - new thriller ― ENTERTAINMENT WEEKLY

An excellent, slow-burning psychological thriller; sharp, clever and with a whammy that genuinely took me by surprise ― JOANNE HARRIS

Impossible to put down, with a twist that will blow your mind ― MARK EDWARDS, bestselling author of THE MAGPIES

One of the most hotly anticipated novels of this year ― DAILY EXPRESS

One of the best psychological thrillers I have ever read . . . with an ending that is destined to go down as one of the most shocking, mind-blowing twists in recent memory ― BLAKE CROUCH, author of DARK MATTER",https://m.media-amazon.com/images/S/amzn-author-media-prod/rfpqeh7pf36qbudidkkvtfkk40._SY600_.jpg
Allah,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Julia Cameron,"Revue de presse
The queen of change ― New York Times

I absolutely love this book ... It&#39s a really good starting point to discover what lights you up -- Emma Gannon

It&#39s a great tool for any type of creative person. I&#39ve given away so many copies -- Tayari Jones

Morning pages has become a household name, a shorthand for unlocking your creative potential ― Vogue

It&#39s a big dog book ... [morning pages] gets all the gunk out of my head so that I can just start afresh and focus on whatever is in front of me -- Michaela Cole

I talk about this book all the time - I use quotes from it when I interview people, I use techniques from it to improve how I work, I&#39m pretty obsessed with the book, I&#39ve read it twice, it&#39s amazing -- Fearne Cotton

Julia Cameron is the queen of morning routines [and] has been unlocking our inner creative spirits for more than two decades. Everyone is doing The Artist&#39s Way ... it&#39ll make you more creative ― The Cut

Fascinating (and fun) ... Three times in the last decade I&#39ve committed to doing The Artist&#39s Way&#39s program, and each time I&#39ve learned something important and surprising about myself and my work ... Without The Artist&#39s Way, there would have been no Eat, Pray, Love -- Elizabeth Gilbert

If you have always wanted to pursue a creative dream, have always wanted to play and create with words or paints, this book will gently get you started -- Anne Lamott

Unlock your inner creativity and ease your anxiety ― Daily Telegraph

I found my way to writing to an artist workbook called The Artist&#39s Way by Julia Cameron ... Being introduced to that book, over 20 years ago, really changed my life. I still do [the morning pages] every day; it gets everything out - right at the top of the day. All the anxiety, all the fear, all the mess - it comes out and then it cracks open and leads you to wherever it is that you&#39re supposed to be inside your creativity. I never wrote until I started The Artist&#39s Way, so I would say: Start there -- Billy Porter

So inspiring -- Reese Witherspoon

I picked this book up for the first time when I was twenty-one years old. It completely changed my life. I did it again ten years ago and the impact was again life-altering. Something in my soul was stirring me to come back to it. So ... here we go ... I&#39m excited to meet myself on this path again -- Kerry Washington

It&#39s for any blocked artist ... a year into making the album, I had all this incredible material, it was flowing but then it stopped. Going to the studio was too much pressure. I read a book called The Artist&#39s Way [and] that&#39s how I got back to writing. -- J.Cole

This is a book that addresses a delicate and complex subject. For those who will use it, it is a valuable tool to get in touch with their own creativity -- Martin Scorsese

If you&#39d like to learn more about getting into the creative mode, I highly recommend The Artist&#39s Way by Julia Cameron -- John Cleese

Cameron wants you to have a serious think about what you really want from your life ― The Times

Julia Cameron invented the way people renovate the creative soul ― New York Times

Cameron is simply encouraging her readers to be a bit more open, more patient, and kinder to themselves ― New Yorker

This book has been revolutionary in my creative life. It&#39s a must-read for every artist -- Ito Aghayere

A classic that never loses its power -- Amanda de Cadenet

Unleashing our creative potential is the key to a more meaningful life ― Psychologies

The Artist&#39s Way is great ... the moment I did that, that&#39s when [the music] started to flow -- Ed O&#39Brien

The book that made a real impact on me is The Artist&#39s Way by Julia Cameron. My friend [actress and comedian] Sophie Willan recommended it to me years ago, and I still have it on my desk. It enables anyone to tap into their creative self regardless of themselves - we often get in our own way when trying to achieve. Want to write that novel? That play? This is the book. -- Lemn Sissay

The Artist&#39s Way by Julia Cameron is my favourite book -- Precious Lee ― Vogue

Cameron&#39s morning pages have shaped the lives of millions of others -- Elle Hunt ― The Guardian

I&#39ve must have read thousands of books, but the one that changed my life is without a doubt The Artist&#39s Way. I am constantly recommending it to my friends and to anyone who is going through a tough time or feels creatively blocked. I have learned so much about myself and what blocks me in my creativity, and even in my daily life, by reading this book. The Artist&#39s Way helped me recover my sense of identity, and gave me a sense of the possibility of what I could achieve for myself ... for me it was a lifesaver -- Patricia Gibney, author of Silent Voices ― The Irish Independent

Everything creative I&#39ve done has led from the freedom this book gave me. After I read The Artist&#39s Way, I wrote a comedy show and took it to Edinburgh ... this book truly changed the path my life was taking [and] I still go back to it when I feel stuck -- Cariad Lloyd, host of Griefcast and author of You Are Not Alone

Absolutely incredible -- Naomie Harris OBE

If there&#39s a key takeaway from Julia Cameron&#39s cult book The Artist&#39s Way, it&#39s morning pages: the daily practice of three pages of longhand, stream-of-consciousness writing done first thing in the morning. Many writers and artists swear by them. ― AnOther Magazine
Quatrième de couverture
&#39I love it. A practical, spiritual, nurturing book.&#39 - Russell Brand

THE MULTI-MILLION-COPY WORLDWIDE BESTSELLER

Since its first publication, The Artist&#39s Way has inspired the genius of Elizabeth Gilbert, Tim Ferriss, Reese Witherspoon, Kerry Washington and millions of readers to embark on a creative journey and find a deeper connection to process and purpose. Julia Cameron guides readers in uncovering problems and pressure points that may be restricting their creative flow and offers techniques to open up opportunities for growth and self-discovery.

A revolutionary programme for personal renewal, The Artist&#39s Way will help get you back on track, rediscover your passions, and take the steps you need to change your life.

&#39Each time I&#39ve learned something important and surprising about myself and my work ... Without The Artist&#39s Way, there would have been no Eat, Pray, Love&#39 ELIZABETH GILBERT



En lire plus",
