Nom,Description,Photo
Henri Strinati,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Henri Strinati,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Anna Stuart,,https://m.media-amazon.com/images/S/amzn-author-media-prod/fvrul0shvdol4qhpufnjcnar5f._SY600_.jpg
Philippe Collin,"Philippe Collin est producteur de radio, auteur et journaliste. Il est l&#39auteur de podcasts très suivis consacrés à Léon Blum, Napoléon, Simone de Beauvoir, Philippe Pétain ou encore aux Résistantes. Le barman du Ritz est son premier roman.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Marie-Bernadette Dupuy,"Reine française de la saga, Marie-Bernadette Dupuy a conquis une immense communauté de lecteurs par ses romans bouleversants qui figurent systématiquement dans le top des meilleures ventes à leur parution.

C’est dès la publication de sa série L’Orpheline des Neiges, se déroulant au Québec, que Marie-Bernadette Dupuy a rencontré un immense succès, qui ne s’est jamais démenti. Depuis, elle n’a eu de cesse de transporter ses lecteurs dans ses romans et ses séries mêlant aventure, amour, mystère et enquête (Le cachot de Hautefaille, Abigaël, Les fiancés du Rhin,…) au fil de destins de grandes héroïnes ou d’épopées familiales sur plusieurs générations. Marie-Bernadette Dupuy est traduite dans le monde entier, jusqu’en Russie.

Profondément attachée à sa région natale, la Charente, où elle vit, Marie-Bernadette Dupuy en parcourt les sentiers de randonnée qu’elle connaît par cœur et dont elle ne se lasse jamais.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Kate Quinn,"Kate Quinn est née en Californie du Sud. Elle est diplômée de Boston University et passionnée d&#39Histoire depuis toujours. Ses romans sont traduits dans le monde entier. Plébiscité par les critiques, Le Réseau Alice connaît un succès retentissant dans de nombreux pays.",https://m.media-amazon.com/images/S/amzn-author-media-prod/tt92hem3hjq9cdtbufdbg3dhi2._SY600_.jpg
Henri Strinati,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Anne Jacobs,"Anne Jacobs écrit sous pseudonyme de nombreux romans historiques et sagas exotiques, mais c&#39est sa série La Villa aux étoffes qui la propulse au rang d&#39auteur best-seller, aussi bien en Allemagne qu&#39à l&#39international. Composée de La Villa aux étoffes (2020), Les Filles de la villa aux étoffes (2020), L&#39Héritage de la villa aux étoffes (2021), Retour à la villa aux étoffes (2021), Tempête sur la villa aux étoffes (2022) et Les adieux à la villa aux étoffes (2023) cette saga, publiée en France aux éditions Charleston et 10/18, a déjà conquis près de 3 millions de lecteurs.",https://m.media-amazon.com/images/S/amzn-author-media-prod/60ddsjfsooq06m97p8lsbsn955._SY600_.jpg
Anna Stuart,,https://m.media-amazon.com/images/S/amzn-author-media-prod/fvrul0shvdol4qhpufnjcnar5f._SY600_.jpg
Ruth Druart,"Professeure d&#39anglais à Paris, Ruth Druart est l’auteure de L&#39enfant du train un premier roman émouvant et fort qui évoque le triomphe de l&#39espoir sur la haine. Ce best-seller mondial, salué par le public et la critique, est traduit dans 25 pays.",https://m.media-amazon.com/images/S/amzn-author-media-prod/kthj1b6d8c374bk3fpt5hm963k._SY600_.jpg
