Nom,Description,Photo
NSA Mediprint,,https://m.media-amazon.com/images/S/amzn-author-media-prod/roan6hirrd90ae0mq29kh2gctg._SY600_.jpg
Rita Badraoui,,https://m.media-amazon.com/images/S/amzn-author-media-prod/755ld05r4qdvj6cfqm74sib69m._SY600_.jpg
Mike Tavernello,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Christophe de Jaeger,"Christophe de JAEGER est médecin et chercheur. Il développe depuis plus de trente-cinq ans une vision axée sur la santé et la prévention. Son travail s&#39appuie sur la physiologie et la meilleure gestion possible de notre capital santé dans une perspective de longévité en bonne santé. Conférencier international, il est chargé d&#39enseignement à la faculté de médecine et préside la société française de médecine et physiologie de la longévité. Il est l&#39auteur de nombreux articles et ouvrages sur cette thématique.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Christophe Serresseque,,
Claude Davis,,
Dr. Casey Means,"""Get ready for the best deep dive and needed explanations into the diseases that plague us all today, along with what to do to heal."" Jessie Inchauspe, #1 Sunday Times bestselling author of The Glucose Goddess Method and Glucose Revolution
""Good Energy is a powerful vision for a brighter future – for both people and the planet."" Jay Shetty, Sunday Times bestselling author and podcaster
“Good Energy is a life-changing book full of accessible science and practical strategies for metabolically healthy living and blood sugar control."" Dr Sara Gottfried, author of New York Times bestselling The Hormone Cure
“A tour de force on how metabolism underpins most major diseases and what we can do to feel better and live longer. Everyone will benefit from reading Good Energy.” Dr Mark Hyman, 15x New York Times bestselling author
“An empowering book which argues we have much more control over our health than we’re led to believe.” Max Lugavere, author of New York Times bestselling Genius Foods
“Good Energy provides readers with tactical tips to take their power back."" Jillian Michaels, fitness and nutrition expert
“Good Energy is an actionable guide to optimize your metabolism, energy, and take your health back.” Tim Gray
""Full of actionable steps to be mentally and physically strong, and revitalize your life.” Dr Gabrielle Lyon New York Times bestselling author of Forever Strong
“Here are the keys to the kingdom for regaining and maintaining optimal health.” Dr David Perlmutter, #1 New York Times bestselling author of Grain Brain
""Good Energy provides an empowering and accessible roadmap for how we can all work towards living a healthier and happier life."" Poppy Jamie, bestselling author and podcaster",
Rodolphe Zunzarren,"Docteur en chirurgie dentaire pratique libérale ancien assistant hospitalo-universitaire en odontologie conservatrice-endodontie à l&#39université de Bordeaux.

Dirige l&#39organisme de formation Restore (odontologie conservatrice).",https://m.media-amazon.com/images/I/91BXVt3AefL._SY600_.jpg
Robin Sharma,"Robin Sharma, LL.B., LL.M., is one of the world&#39s top experts on leadership and personal development, having helped millions of people to live their best lives. He is the author of 11 major international bestsellers, including The Monk Who Sold His Ferrari and The Greatness Guide. His work has been published in over 60 countries and in nearly 70 languages, making him one of the most widely read authors in the world.",https://m.media-amazon.com/images/S/amzn-author-media-prod/ddl6isug919ukj2r4bla21gm4q._SY600_.jpg
Sara Di Pietro,,https://m.media-amazon.com/images/S/amzn-author-media-prod/c6adid4gsl0nd1pfg7k0ecue6e._SY600_.jpg
James SPY,,
Michel Lambert,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Soumyashree Biswal,,
William A. Masters,"William A. Masters is Professor at Tufts University&#39s Friedman School of Nutrition Science and Policy with a secondary appointment in the Department of Economics. He is Fellow of the Agricultural & Applied Economics Association (AAEA), International Fellow of the African Association of Agricultural Economists (AAAE), a former editor of Agricultural Economics, and a recipient of numerous awards for teaching, research, and policy analysis.
Amelia B. Finaret is Associate Professor at Allegheny College, teaching in the Department of Global Health with a secondary appointment in the Business and Economics Department. She is also Honorary Lecturer for the University of Edinburgh&#39s Global Academy of Agriculture and Food Systems (GAAFS) and a practicing clinical dietitian at Titusville Area Hospital in Titusville, Pennsylvania. Finaret holds graduate degrees in agricultural and food economics, and she is a registered dietitian (RD) and licensed dietitian nutritionist (LDN).",
NSA Mediprint,,https://m.media-amazon.com/images/S/amzn-author-media-prod/roan6hirrd90ae0mq29kh2gctg._SY600_.jpg
Jean-Hilaire Saurat,"Professeur émérite aux universités de Genève, Lausanne et Paris V ###

Professeur Emerite de Dermatologie à l&#39Université Catholique de Louvain. ### ###

Dan Lipsker est professeur des universités, praticien hospitalier au service de dermatologie, CHRU Strasbourg.

est Professeur des Universités - Praticien Hospitalier, dermatologue, chef du service de dermatologie à l&#39hôtel-Dieu de Lyon.

Professeur, directeur et médecin-chef de la Clinique de dermatologie, hôpital universitaire de Berne, Suisse",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Louise Six-Webster,,
HENRI COHEN,,
Tall Strong,,
Vanessa Ernst,,
"Victoria Leto""",,
Elisabeth Dursun,,
Laurent Dussarps,Docteur en chirurgie dentaire diplômé de la faculté de Bordeaux ###Attaché hospitalier au CHU de Bordeaux ###Expert de justice près la Cour d&#39Appel de Bordeaux,https://m.media-amazon.com/images/S/amzn-author-media-prod/nict0k67qckqrjvleo9sc0mq0n._SY600_.jpg
