Nom,Description,Photo
Grant Geissman,"“La terrorífica historia de los cómics de EC en uno de los libros más espectaculares del año. Personalmente este es el libro que más me ha gustado de este 2020. Por su contenido, su espectacular edición y por rescatar algunas de las imágenes más impactantes de toda la historia del cómic. Libros como este me recuerdan por qué amo el cómic.” ― RTVES.es",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Mr Tan,"Antoine Dole, alias Mr Tan, est scénariste de bandes dessinées.
Auteur prolifique, il a créé de nombreux univers BD pour l'édition (Casterman, Actes Sud, Gallimard, Glénat, Bayard...) et la presse jeunesse (Le Journal de Mickey, Bayard Presse). Antoine Dole a écrit des mangas et de nombreux romans pour ados et jeunes adultes, tous reconnus par la critique et pour lesquels il a remporté de multiples prix. Il est aussi connu comme le créateur de la célèbre Mortelle Adèle, qu'il a imaginée quand il avait 14 ans. Une héroïne au caractère bien trempé, qui est pour lui l'occasion de porter un regard sur les fantaisies de l'enfance, la question de la norme et des différences, entre impertinence et revendications tendres. Plus que le scénario, Mr Tan a donc pensé le personnage de Mortelle Adèle, façonné son caractère, et fut le premier à en dessiner les traits dans ses cahiers d'école.

Diane le Feyer a commencé sa carrière d'illustratrice dans le jeu vidéo en France, puis s'est tournée vers la publicité et le dessin animé au Cartoon Saloon en Irlande et au Canada. Elle a également collaboré avec France 3 et la Rai Uno sur divers dessins animés, avant de se tourner vers l'édition jeunesse en France et à l'étranger. Elle a depuis eu l'occasion de multiplier de prestigieuses collaborations avec Hallmark, Harper and Collins, Mattel, Simon and Shuster, Scholastic, Igloo Books, Five Mile, Sophia Institute... Elle infuse sa passion de l'Espace et de la Fantasy dans ses illustrations, dans lesquelles elle donne libre cours à son imagination colorée, portée par la culture pop. Elle est publiée aux États-Unis, au Royaume-Uni, en Europe et en Australie. Elle intervient également à l'École Emile Cohl à Lyon, dont elle est sortie diplômée en 2002, où elle transmet aujourd'hui sa passion du dessin aux futures générations d'artistes.",https://m.media-amazon.com/images/S/amzn-author-media-prod/m1cn6vefkt8dt6tvr90fjm34fb._SY600_.jpg
COLLECTIF,,
Bojan Kovacevic,"Auteur et scénariste de bandes dessinées.

Scénariste de bandes dessinées.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Nickelodeon,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Runberg Sylvain,La nouvelle licence Classics de 2024 !,
Igor Kordey,"Dessinateur de bandes dessinées.

Créateur de jeux de rôles et de cédéroms d'entreprises. Scénariste de bandes dessinées. Directeur de collection aux éditions Posidonia (en 2018).",https://m.media-amazon.com/images/S/amzn-author-media-prod/25h1ru68k5p5p2k5t778c7fdb2._SY600_.jpg
Igor Kordey,"Dessinateur de bandes dessinées.

Scénariste de bandes dessinées.",https://m.media-amazon.com/images/S/amzn-author-media-prod/pjvpgcnrthkfsnhjmp2kna37su._SY600_.jpg
Stéphane Louis,Scénariste de bandes dessinées.,
Robert Kirkman,"Dessinateur de bandes dessinées.

Scénariste de bandes dessinées. Scénariste et producteur.",https://m.media-amazon.com/images/I/31KdZr+hO5L._SY600_.jpg
