Nom,Description,Photo
Ludovic Girodon,"Manager depuis plus de dix ans et entrepreneur, Ludovic Girodon a un parcours aux multiples facettes allant de l’univers start-up aux grandes entreprises. Passionné par les sujets humains, il a auto-publié en 2019 le livre Dream Team, qui a connu un grand succès dès son lancement. Il fédère aujourd’hui la première communauté en France de managers au travers de ses réseaux sociaux et de sa newsletter suivis par plus de 200 000 personnes. Il écrit pour différents médias, dispense des conférences en entreprises et accompagne chaque année des centaines de managers au travers de l’organisme de formation « Dream Team Academy », qu’il a fondé.",https://m.media-amazon.com/images/S/amzn-author-media-prod/olmdd0pr74t0i24otihflponko._SY600_.jpg
Daniel KAHNEMAN,"Daniel Kahneman est spécialiste de psychologie cognitive et d&#39économie comportementale, professeur émérite à Princeton et prix Nobel d&#39économie 2002 d&#39économie. Il est l&#39auteur du best-seller Système 1, systéme 2. Les deux vitesses de la pensée.

Olivier Sibony est professeur à HEC Paris et associate fellow de la Saïd Business School (Université d’Oxford), où il enseigne la stratégie et la prise de décision. Il est l’auteur de Vous allez commettre une terrible erreur !

Cass R. Sunstein est professeur de droit à Harvard. Il a également été directeur des affaires réglementaires au sein de l’administration Obama de 2009 à 2012. Il est l’auteur avec Richard Thaler de Nudge. Comment inspirer la bonne décision.",https://m.media-amazon.com/images/S/amzn-author-media-prod/u5bqpd1erkokht2vl0jl3iqmfb._SY600_.jpg
Robert Mercier,,https://m.media-amazon.com/images/S/amzn-author-media-prod/oda0i7087u40e9co9guij2r4fu._SY600_.jpg
Robert Mercier,,https://m.media-amazon.com/images/S/amzn-author-media-prod/oda0i7087u40e9co9guij2r4fu._SY600_.jpg
,,
Louise Tourret,,
Daniel Estulin,"L&#39ouvrage fouillé d&#39Estulin démontre comment le Groupe Bilderberg a été impliqué dans tous les plus grands mystères de l&#39histoire récente et comment de cette élite émergent les figures clés du grand échiquier international – d&#39importants hommes politiques et hommes d&#39affaires européens, des présidents des États-Unis, des directeurs d&#39agences telles que la CIA ou le FBI, des grands noms du journalisme – et comment de ces rencontres naissent les lignes directrices de la mondialisation. Ce livre, traduit dans 50 langues et diffusé dans plus de 70 pays, est devenu en peu de temps un best-seller mondial.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Marie-France Hirigoyen,"Psychiatre, psychanalyste et victimologue, Marie‑France Hirigoyen s&#39est spécialisée dans l&#39étude de toutes les formes de violences : familiales, perverses et sexuelles. Elle est l&#39auteur de plusieurs livres qui ont eu un succès considérable : Le Harcèlement moral (La Découverte, 1998 ; Pocket, 2011), Malaise dans le travail (La Découverte, 2001), Les Nouvelles Solitudes (La Découverte, 2007) et, plus récemment, Les Narcisse (La Découverte, 2019).",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Gustave Le Bon,,
Marion Demonteil,,
Julian Robert,,https://m.media-amazon.com/images/S/amzn-author-media-prod/ubf2ojelo0263odt3c13ina4q3._SY600_.jpg
Laurent Bègue-Shankland,"Laurent Bègue-Shankland est professeur de psychologie sociale à l’université de Grenoble, où il dirige le laboratoire interuniversitaire de psychologie Personnalité, cognition, changement social. Il est membre honoraire de l’Institut universitaire de France et chercheur invité de l’Université Stanford, Californie.",https://m.media-amazon.com/images/S/amzn-author-media-prod/e9289un1depurkr4ugo5tcm0qt._SY600_.jpg
Paul Rocher,"Paul Rocher est l&#39auteur de Gazer, mutiler, soumettre",
