Nom,Description,Photo
L&#39humaniste Nicolas Machiavel,,https://m.media-amazon.com/images/S/amzn-author-media-prod/v4srf1ffldq61h2ci2pglg3hlf._SY600_.jpg
Carol Gilligan,"Psychologue, philosophe, spécialiste des relations sociales et pionnière de l&#39éthique du care, Carol Gilligan a enseigné à Harvard, Cambridge et New York. Elle est l&#39auteure d&#39un best-seller mondial : Une voix différente (Champs Flammarion, 2019), ainsi que de deux autres ouvrages traduits en français : Contre l&#39indifférence des privilégiés. À quoi sert le care (Payot, 2013, avec Joan Tronto et Arlie Hochschild) et Pourquoi le patriarcat ? (Flammarion, 2019, avec Naomi Snider).",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Daniel J. Jenkins,,https://m.media-amazon.com/images/S/amzn-author-media-prod/caa6e96p16bvoaqvff6alitg3q._SY600_.jpg
Frédéric Laloux,"Ancien partenaire associé chez McKinsey, Frédéric Laloux s&#39est distingué par ses recherches sur les modèles organisationnels émergents qui ont été décrites comme "" un saut dans la pensée du management "" par certains des spécialistes les plus réputés. Il accompagne de nombreux dirigeants sur le chemin de la transformation radicale de leur organisation.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
David GRAEBER,"Considéré comme l’un des penseurs les plus importants de ce début de siècle, David Graeber revient après cinq ans d’enquête pour analyser la notion de Bullshit job ou « Jobs à la con », née sous sa plume et qui a fait le tour du monde.

L’auteur du succès de librairie «Dette : 5000 ans d’histoire», postule ici que la société moderne repose sur l&#39aliénation de la vaste majorité des travailleurs de bureau qui sont amenés à dédier leur vie à des tâches inutiles et sans réel intérêt, tout en ayant pleinement conscience de la superficialité de leur contribution à la société.
En effet, alors que le progrès technologique a toujours été vu comme l’horizon d’une libération du travail, ce phénomène désignant des emplois vides de sens, inutiles ou superficiels concerne un nombre de plus en plus important de travailleurs...

Poche + : parce qu’un livre n’est jamais clos, mais toujours dans le mouvement du monde, Bullshit Jobs sera précédé d’une nouvelle préface inédite de l’auteur.",https://m.media-amazon.com/images/S/amzn-author-media-prod/bip217dmm2n9abnsifoupq0a45._SY600_.jpg
Anne-Laure Smaguine,"Anne-Laure Smaguine est diplômée d’un master en ressources humaines et communication sociale du CELSA. Elle a été responsable RH au sein du groupe STELLANTIS puis directrice du pôle formation/conseil juridique de l’ORSEU.
Elle est aujourd’hui consultante experte en stratégie et performance sociale au sein du cabinet BPI group - LHH.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Guy Hardy,"Comment aider une personne qui accepte une aide sous la menace, la contrainte ou au bénéfice d&#39un tiers ? à travers sa pratique dans le domaine de la protection de l&#39enfance, l&#39auteur décrit et analyse les interventions alternatives qu&#39il a mis en œuvre. Les éducateurs, les travailleurs sociaux et les psychologues doivent souvent aider, à la demande ou au profit d&#39un tiers, des personnes qui ne souhaitent pas toujours l&#39être. Décrivant sa pratique au travers de situations et de fragments d&#39entretiens, l&#39auteur met à plat l&#39inconfort de sa position et analyse la double contrainte à laquelle elle conduit. Il montre comment il est possible d&#39inciter les personnes concernées à quitter leur attitude d&#39opposition et à s&#39impliquer dans la relation. Guy Hardy est assistant social, formateur certifié en PNL (programmation neurolinguistique) par le New York Training Institute, membre de l&#39association européenne des thérapeutes familiaux. Il anime de nombreuses formations en France, en Belgique et au Canada.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Michel Crozier,"Michel Crozier (1922-2013) Directeur de recherche au CNRS, fondateur du Centre de sociologie des organisations, il est notamment l&#39auteur du Phénomène bureaucratique ("" Points Essais "", 1971). Erhard Friedberg Directeur de recherche au CNRS, il a notamment publié Le Pouvoir et la Règle ("" Points Essais "", 1997).",
Sciences Po,,
Émile Durkheim,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Robert Linhart,"L&#39Etabli, ce titre désigne d&#39abord les quelques centaines de militants intellectuels qui, à partir de 1967, s&#39embauchaient, "" s&#39établissaient "" dans les usines ou les docks. Celui qui parle ici a passé une année, comme 0. S. 2, dans l&#39usine Citroën de la porte de Choisy. Il raconte la chaîne, les méthodes de surveillance et de répression, il raconte aussi la résistance et la grève. Il raconte ce que c&#39est, pour un Français ou un immigré, d&#39être ouvrier dans une grande entreprise parisienne. Mais L&#39Etabli, c&#39est aussi la table de travail bricolée où un vieil ouvrier retouche les portières irrégulières ou bosselées avant qu&#39elles passent au montage. Ce double sens reflète le thème du livre, le rapport que les hommes entretiennent entre eux par l&#39intermédiaire des objets : ce que Marx appelait les rapports de production.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
,,
