Nom,Description,Photo
James Path,,https://m.media-amazon.com/images/S/amzn-author-media-prod/n9hpvaaiu9fa7bv9cq89mr9fmq._SY600_.jpg
Jean Baudrillard,"La consommation est devenue la morale de notre monde. Elle est en train de détruire les bases de l&#39être humain, c&#39est-à-dire l&#39équilibre que la pensée européenne, depuis les Grecs, a maintenu entre les racines mythologiques et le monde du logos.L&#39auteur précise : ""Comme la société du Moyen Âge s&#39équilibre sur la consommation et sur le diable, ainsi la nôtre s&#39équilibre sur la consommation et sur sa dénonciation.""",https://m.media-amazon.com/images/I/61u5hFI35pL._SY600_.jpg
Veronique Campion-vincent,"""Rien n’arrive par hasard"", ""Tout est lié"", ""Les choses ne sont pas ce qu’elles semblent être"" : nous voyons partout des complots - en particulier des ""mégacomplots"", dont les ambitions seraient planétaires. Ce phénomène est massif, varié, et touche à peu près tous les secteurs de la société, augmentant la confusion et l’incertitude qui caractérisent notre époque. Comment s’y retrouver ? Comment distinguer un vrai complot d’un complot fantasmé ? Que disent ceux qui y croient - les ""théoriciens du complot"" - et qu’en pensent les spécialistes ? Si l’heure est au soupçon généralisé, avons-nous de bonnes raisons d’être paranos ? Réponse dans ce livre, premier décryptage de l’une des grandes tendances de la société contemporaine.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Angela Rivoli,,https://m.media-amazon.com/images/S/amzn-author-media-prod/gv1d91te3rd2r02pd4iabdnl4o._SY600_.jpg
Norbert Elias,"Allemand, né à Breslau en 1897 et mort à Amsterdam en 1990, Norbert Elias est issu d&#39une famille de commerçants juifs. De formation philosophique, disciple puis assistant de Mannheim, il émigre en Suisse puis à Paris après l&#39arrivée des nazis au pouvoir. Il finit par s&#39établir à Londres où il se consacre à la rédaction du Procès de la civilisation. Dans ce livre publié en 1939 (et qui paraîtra dans sa traduction française en deux volumes : La civilisation des mœurs, 1973, et La dynamique de l&#39Occident, 1977), il présente la civilisation occidentale comme le résultat d&#39un lent processus de domestication des pulsions, et montre le rôle capital joué par la société de cour aux diverses étapes de cette évolution. Il commence alors une longue carrière d&#39enseignant en Angleterre où il demeure – exception faite d&#39un séjour au Ghana (1962-1964) – jusqu&#39à la retraite ; à la même période il publie La société de cour (1969). À partir de 1975, il se partage entre Amsterdam et Bielefeld en Allemagne, et poursuit ses travaux qui aboutissent à la publication de La dynamique de l&#39Occident (1977) et de La société des individus (1987). Sous la forme de synthèses vivantes où l&#39analyse, en dépit d&#39une perspective historique et globale, ne perd rien de son concret et de sa précision, Norbert Elias a apporté une brillante contribution à la sociologie contemporaine.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Anthony Mitchell,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Christopher Lasch,"Le seul et vrai paradis Les fractions les plus modestes des classes moyennes européennes et américaines, grâce à leur culture du sens des limites, surent un temps se prémunir contre les mirages de la surabondance illimitée. La tradition de radicalisme plébéien qui fut celle de cette petite bourgeoisie donna lieu à la seule tentative sérieuse de poser l&#39une des grandes questions politiques refoulées des XIXe et XXe siècles : l&#39abandon de ce fondement matériel de la vertu civique qu&#39était la propriété des moyens de production annonçait-il vraiment des temps meilleurs ? George Orwell, Walter Benjamin ou encore Hannah Arendt ont montré qu&#39il n&#39était pas nécessaire d&#39être progressiste pour être démocrate. Christopher Lasch montre que les mouvements démocratiques des trois derniers siècles, aussi bien en Europe qu&#39outre Atlantique, se constituèrent tous en opposition à un «mouvement de l&#39histoire» auquel ils ne croyaient pas.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Robert Mercier,,https://m.media-amazon.com/images/S/amzn-author-media-prod/oda0i7087u40e9co9guij2r4fu._SY600_.jpg
Jared Diamond,,https://m.media-amazon.com/images/I/31rmS-HV34L._SY600_.jpg
Gérard Noiriel,"Gérard Noiriel est historien, directeur d&#39études à l&#39EHESS, et auteur de nombreux livres sur l&#39histoire sur l&#39histoire de l&#39immigration en France, sur le racisme, sur l&#39histoire de la classe ouvrière et sur les questions interdisciplinaires et épistémologiques en histoire. Il tient un blog dans lequel il approfondit, explicite et discute les questions développées dans ces livres et s&#39exprime sur les grands problèmes d&#39actualité en mobilisant les outils des sciences sociales : .",
