Nom,Description,Photo
Samuel P. Huntington,"Un pavé dans la mare. Les propos de Samuel Huntington ont souvent été controversés, critiqués : il est vrai que son interprétation de l&#39évolution de la politique mondiale et des relations internationales est percutante.
Les chocs entre civilisations représentent la principale menace pour la paix dans le monde, mais ils sont aussi, au sein d&#39un ordre international désormais fondé sur les civilisations, le garde-fou le plus sûr contre une guerre mondiale.
D&#39après l&#39auteur, la géopolitique mondiale ne se lit plus dans l&#39opposition idéologique - comme ce fut le cas entre les deux blocs de la guerre froide -, mais dans des conflits et des oppositions entre grandes civilisations, regroupées par affinités culturelles.
Les mots peuvent choquer : l&#39auteur questionne le possible déclin de l&#39Occident face à la montée en puissance économique et démographique des pays d&#39Asie (Chine et Inde) et face à l&#39islam. Mais le raisonnement se fait plus profond, plus convaincant : la mondialisation n&#39entraîne pas une uniformisation des civilisations, mais renforce des pôles majeurs, suscite des nouvelles concurrences, alliances et oppositions. Il propose à un public averti un cadre général à la compréhension de la politique globale à l&#39aube du XXIe siècle. --Mattieu Reno",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Gregoire Chamayou,"Grégoire Chamayou est agrégé de philosophie, chercheur au CNRS Cerphi ENS Lyon. Derniers livres parus : Théorie du drone (2013), Les chasses à l&#39homme (2010).",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Yves Cochet,"Pablo Servigne Ingénieur agronome et docteur en biologie. Spécialiste des questions d&#39effondrement, de transition, d&#39agroécologie, il a publié récemment L&#39Entraide (LLL, 2017). Raphaël Stevens Eco-conseiller, expert en résilience des systèmes socioécologiques, il est cofondateur du bureau de consultance Greenloop.",
Jérôme Fourquet,"Jérôme Fourquet est analyste politique, expert en géographie électorale, directeur du département Opinion à l&#39IFOP. Sylvain Manternach est géographe et cartographe, issu de l&#39Institut français de géopolitique.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Max Weber,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Giuliano da Empoli,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Cristina de Robertis,"Depuis 35 ans, par une approche globale qui prend en compte les dimensions individuelle, familiale et de groupe, ce manuel demeure la référence pour la formation aux méthodes du travail social. Traduit en plusieurs langues, il représente une contribution fondamentale à la construction internationale du travail social. Cette nouvelle édition a été révisée et actualisée en tenant compte des évolutions récentes des problématiques et des terminologies.
Parce qu&#39une profession n&#39existe pas sans un ensemble de connaissances transmissibles et un cadre conceptuel général intégrant la diversité des approches et des modèles, ce livre contient les éléments de base indispensables pour le savoir-faire professionnel (processus historique de construction de la méthodologie, liens entre travail social et sciences sociales, concepts et élaboration de la méthodologie d&#39intervention et étapes du processus d&#39intervention), tout en contribuant à la construction d&#39une professionnalité créative et impliquée.
Les étudiants et praticiens du travail social (re)découvriront ici un véritable manuel de formation professionnelle, initialement destiné aux futurs assistants de service social, mais dont l&#39audience s&#39est depuis élargie à d&#39autres formations en travail social. Ils y trouveront un outil d&#39analyse et de réflexion proposant des repères pour une plus grande aisance pratique, et un cadre conceptuel général pour penser leur savoir-faire professionnel.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Emmanuel Dockès,"Emmanuel Dockès est professeur de droit du travail à l’université Paris Ouest Nanterre. Il réfléchit et écrit également au-delà du domaine juridique, et notamment sur les rapports de pouvoir en démocratie. Il collabore à plusieurs expérimentations misarchiques. Il a ainsi participé à l’exposition Lieux infinis à la Biennale d’architecture de Venise en 2018 sur le thème de friches, avec le collectif rennais de l’Hôtel Pasteur.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Alain Deneault,"Alain Deneault, docteur en philosophie de l&#39Université Paris-VIII, est notamment l&#39auteur de Noir Canada (Ecosociété, 2008), Offshore (Ecosociété/La Fabrique, 2010), Paradis sous terre (Ecosociété/Rue de l&#39Echiquier, 2012), ""Gouvernance"" (Lux, 2013) et Paradis fiscaux (Ecosociété, 2014).",https://m.media-amazon.com/images/I/31-KQPlCwKL._SY600_.jpg
Zygmunt Bauman,"Zygmunt Bauman est né en Pologne en 1925. Il a enseigné la sociologie à l&#39université de Leeds, où il est professeur émérite. Sociologue de réputation mondiale il a publié de nombreux ouvrages, dont, dans la collection ""Pluriel"", Le coût humain de la mondialisation, La vie en miettes, L&#39amour liquide, La société assiégée.",https://m.media-amazon.com/images/I/61HXlwF3LuL._SY600_.jpg
