Nom,Description,Photo
Marc Aurèle,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Elias Theodorakis,,https://m.media-amazon.com/images/S/amzn-author-media-prod/28vql8rq1d02d1rrg97ikgi4hd._SY600_.jpg
Christophe Guilluy,"L&#39auteur constate que les classes populaires, exclues des bénéfices de la mondialisation, sont reléguées dans la France périphérique, soit les petites villes et les territoires éloignés des métropoles. Celle-ci rassemble des bassins industriels asséchés, des zones d&#39emploi public ou touristiques et concentre l&#39essentiel des votes pour le Front national.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Gaël Lefort,,https://m.media-amazon.com/images/S/amzn-author-media-prod/5lmqk1o1bsbf8p1vn7cu1paqr7._SY600_.jpg
Nicolas Jounin,"Nicolas Jounin, sociologue, a reçu en 2009 pour cet ouvrage le prix "" La Ville à lire "", créé par France Culture et la revue Urbanisme. Il est aussi l&#39auteur, à La Découverte, de Voyage de classes. Des étudiants de Seine-Saint-Denis enquêtent dans les beaux quartiers (Poche, 2016) et Le Caché de La Poste. Enquête sur l&#39organisation du travail des facteurs (2021).",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Aurèle Martin,,
Kevin Lynch,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Gilles Lipovetsky,"Sous-tendu par la nouvelle religion de l&#39amélioration continuelle des conditions de vie, le mieux-vivre est devenu une passion de masse, le but suprême des sociétés démocratiques, un idéal exalté à tous les coins de rue. Nous sommes entrés dans une nouvelle phase du capitalisme : la société d&#39hyperconsommation. Un Homo consumericus de troisième type voit le jour, une espèce de turbo-consommateur décalé, mobile, flexible, largement affranchi des anciennes cultures de classe, imprévisible dans ses goûts et ses achats, à l&#39affût d&#39expériences émotionnelles et de mieux-être, de qualité de vie et de santé, de marques et d&#39authenticité, d&#39immédiateté et de communication. La consommation intimisée a pris la relève de la consommation honorifique dans un système où l&#39acheteur est de plus en plus informé et infidèle, réflexif et ""esthétique"". L&#39esprit de consommation a réussi à s&#39infiltrer jusque dans le rapport à la famille et à la religion, à la politique et au syndicalisme, à la culture et au temps disponible. Tout se passe comme si, dorénavant, la consommation fonctionnait tel un empire sans temps mort dont les contours sont infinis. Mais ces plaisirs privés débouchent sur un bonheur blessé : jamais, montre Gilles Lipovetsky, l&#39individu contemporain n&#39a atteint un tel degré de déréliction.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Matthew Desmond,"Plongée dans le quotidien disloqué de huit foyers des quartiers pauvres de Milwaukee, au Wisconsin, où chaque jour, des dizaines de ménages sont expulsés de leurs maisons. Arleen élève ses garçons avec les 20 dollars qui lui restent pour tout le mois, après avoir payé le loyer. Lamar, amputé des jambes, s&#39occupe des gamins du quartier en plus d&#39éduquer ses deux fils. Scott, infirmier devenu toxicomane après une hernie discale, vit dans un mobile home insalubre. Tous sont pris dans l&#39engrenage de l&#39endettement et leur sort est entre les mains de leurs propriétaires, que l&#39on suit aussi au fil du récit.
Fruit de longues années de terrain, ce livre montre comment la dégradation des politiques du logement et la déréglementation du marché de l&#39immobilier fabriquent et entretiennent l&#39endettement chronique et la pauvreté, une violente épidémie qui s&#39avère très rentable pour certains et qui frappe surtout les plus vulnérables, en l&#39occurrence les femmes noires. Ouvrage magistral et captivant qui offre un regard précis et juste sur la pauvreté et un implacable plaidoyer pour le droit à un habitat digne pour tous.",
Michel Pincon,"« Tout parle dans la ville… »



Voici quinze itinéraires insolites, nostalgiques, métissés, conçus spécialement par deux célèbres sociologues pour donner à comprendre Paris dans sa diversité et faire partager un peu de la vie des habitants de chaque quartier. Du Sentier à la rue Oberkampf, des villas de luxe au quartier de la Bibliothèque national de France, du métro aux portes de la capitale, ces promenades commentées sont agrémentées de plans et de photographies, et proposent différents angles sociologiques : la mobilité, l’immigration, l’embourgeoisement, le rapport à la banlieue, les transformations architecturales.",
