Nom,Description,Photo
Marcello Borelli,,https://m.media-amazon.com/images/S/amzn-author-media-prod/u96b8konprqvt39smbctsp7am3._SY600_.jpg
Marcello Borelli,,https://m.media-amazon.com/images/S/amzn-author-media-prod/u96b8konprqvt39smbctsp7am3._SY600_.jpg
Capucine Marc,,
Célestine Leroi,,
Victoire Charlie,,
Marcello Borelli,,https://m.media-amazon.com/images/S/amzn-author-media-prod/u96b8konprqvt39smbctsp7am3._SY600_.jpg
Marcello Borelli,,https://m.media-amazon.com/images/S/amzn-author-media-prod/u96b8konprqvt39smbctsp7am3._SY600_.jpg
Une Réflexion,,
Marika Ciaoanxiete,,
Lya Clark,,
Victoire Charlie,,
Marcello Borelli,,https://m.media-amazon.com/images/S/amzn-author-media-prod/u96b8konprqvt39smbctsp7am3._SY600_.jpg
Lucie Vie,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Rosalin Paille,,
Merton Corey,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Clément PICARD,,
Marcello Borelli,,https://m.media-amazon.com/images/S/amzn-author-media-prod/u96b8konprqvt39smbctsp7am3._SY600_.jpg
Thibaut Meurisse,,https://m.media-amazon.com/images/S/amzn-author-media-prod/dodgjj92binq4366fb33l1m2jg._SY600_.jpg
Eckhart Tolle,"Amazon.fr
Ekhart Tolle&#39s message is simple: living in the now is the truest path to happiness and enlightenment. And while this message may not seem stunningly original or fresh, Tolle&#39s clear writing, supportive voice and enthusiasm make this an excellent manual for anyone who&#39s ever wondered what exactly ""living in the now"" means. Foremost, Tolle is a world-class teacher, able to explain complicated concepts in concrete language. More importantly, within a chapter of reading this book, readers are already holding the world in a different container--more conscious of how thoughts and emotions get in the way of their ability to live in genuine peace and happiness.
Tolle packs a lot of information and inspirational ideas into The Power of Now. (Topics include the source of Chi, enlightened relationships, creative use of the mind, impermanence and the cycle of life.) Thankfully, he&#39s added markers that symbolise ""break time"". This is when readers should close the book and mull over what they just read. As a result, The Power of Now reads like the highly acclaimed A Course in Miracles--a spiritual guidebook that has the potential to inspire just as many study groups and change just as many lives for the better. --Gail Hudson
Revue de presse
The POWER OF NOW can transform your thinking. The result? More joy, right now. -- Oprah Winfrey

The POWER OF NOW is the bible du jour - a must-read for anyone looking for a modern take on spirituality ... Essential reading for anyone who might be feeling weighed down by the past or fearful of the future. ― Red magazine

Pointing to the portals of the eternal Present, this practical mystic&#39s modern gospel offers transcendent truths that set us free. -- Dan Millman

One of the clearest and most accessible texts on becoming more present than we have seen. ― Kindred Spirit

En lire plus",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
David Chazelle,,
David O&#39Hare,"Le Dr David O&#39Hare est médecin et spécialiste international de la cohérence cardiaque. Il forme des thérapeutes, des intervenants professionnels et des coachs au sein de l&#39institut de formation Equilibios David O&#39Hare (IFEDO) en Europe francophone et au Québec.",
Marcello Borelli,,https://m.media-amazon.com/images/S/amzn-author-media-prod/u96b8konprqvt39smbctsp7am3._SY600_.jpg
Marcello Borelli,,https://m.media-amazon.com/images/S/amzn-author-media-prod/u96b8konprqvt39smbctsp7am3._SY600_.jpg
Marcello Borelli,,https://m.media-amazon.com/images/S/amzn-author-media-prod/u96b8konprqvt39smbctsp7am3._SY600_.jpg
Cathy Assenheim,"Cathy Assenheim est psychologue clinicienne spécialisée en neuropsychologie. Elle s’est spécialisée dans l’accompagnement du haut potentiel, de l’hypersensibilité, mais aussi dans le traitement du stress et de ses conséquences : l&#39anxiété, les troubles du sommeil, les kilos émotionnels ou encore le burn-out.",https://m.media-amazon.com/images/S/amzn-author-media-prod/7epi1v3q3l8dc9f6pfj21chvec._SY600_.jpg
Louis-Arthur Girard,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
David Heimbacher,,https://m.media-amazon.com/images/S/amzn-author-media-prod/h0r77te5gjmbl1ef8imfqkvd43._SY600_.jpg
Ariane Hébert,"Psychologue et fondatrice de La Boîte à Psy (www.boiteapsy.com), Ariane Hébert est l’autrice vedette de la collection Boîte à outils aux éditions de Mortagne.",https://m.media-amazon.com/images/I/61Suu-UZl6L._SY600_.jpg
Nadine Atmani,,
Don Miguel Ruiz,"Don Miguel Ruiz est un maître nagual renommé. Né dans une famille de guérisseurs, il a été élevé dans une région rurale du Mexique et dans la tradition toltèque par une mère guérisseuse et un grand-père nagual. Leader spirituel aujourd’hui suivi par des millions de personnes, don Miguel Ruiz a exercé le métier de chirurgien jusqu’à ce qu’une expérience de mort imminente le rapproche des traditions des Toltèques, marchant ainsi sur les traces de ses ancêtres. 
Il est l’auteur renommé des best-sellers Les Quatre Accords toltèques, Le 5e accord toltèque et La Maîtrise de l’amour, tous parus aux Éditions Jouvence.


Janet Mills est rédactrice et éditrice de Amber-Allen Publishing, une maison d’édition américaine publiant les livres de don Miguel Ruiz et dont l’objectif est de donner à autrui la possibilité de vivre la vie de ses rêves.",
Oliver Burkeman,"Revue de presse
This book is wonderful. Instead of offering new tips on how to cram more into your day, it questions why we feel the need to ... My favourite kind of book is this one ... it examines the human struggle with intelligence, wisdom, humour and humility. -- Marianne Power ― The Times

Perfectly pitched somewhere between practical self-help book and philosophical quest ... as with all the best quests, its many pleasures don&#39t require a fast-forward button, but happen along the way -- Tim Adams ― Observer

Life is finite. You don&#39t have to fit everything in. Enjoy your life. Breathe out. Read this book and wake up to a new way of thinking and living ― Emma Gannon, author of The Multi-Hyphen Method

A wonderfully honest book, Four Thousand Weeks is a much-needed reality check on our culture&#39s crazy assumptions around work, productivity and living a meaningful life -- Mark Manson, bestselling author of Everything is F*cked and The Subtle Art of Not Giving a F*ck

His book will challenge and amuse you. And it may even spur you on to change your life. At the very least reading it would be a good use of one of your four thousand weeks -- Robbie Smith ― Evening Standard
Quatrième de couverture
Rejecting the futile modern obsession with &#39getting everything done,&#39 Four Thousand Weeks introduces readers to tools for constructing a meaningful life by embracing rather than denying their limitations.

Drawing on the insights of both ancient and contemporary philosophers, psychologists, and spiritual teachers, Oliver Burkeman sets out to realign our relationship with time - and in doing so, to liberate us from its tyranny.




En lire plus",https://m.media-amazon.com/images/I/51Yf1-0sbCL._SY600_.jpg
Papeterie Bleu,,https://m.media-amazon.com/images/S/amzn-author-media-prod/3ul2tv71k0dtk7hr2so0dv9kdj._SY600_.jpg
Marcello Borelli,,https://m.media-amazon.com/images/S/amzn-author-media-prod/u96b8konprqvt39smbctsp7am3._SY600_.jpg
Marcello Borelli,,https://m.media-amazon.com/images/S/amzn-author-media-prod/u96b8konprqvt39smbctsp7am3._SY600_.jpg
David Berceli,David Berceli (Ph.D.) est un expert international de la gestion des stress post-traumatiques. Il a vécu et travaillé pendant plus de 25 ans dans des pays déchirés par la guerre ou frappés par des catastrophes naturelles. Il a élaboré des programmes spéciaux d&#39aide post-traumatique pour l&#39armée américaine. Actuellement il enseigne la méthode TRE dans une trentaine de pays.,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
,,
Papeterie Bleu,,
Gabor Maté,"Revue de presse
Gabor Maté’s connections―between the intensely personal and the global, the spiritual and the medical, the psychological and the political―are bold, wise and deeply moral. He is a healer to be cherished ― Naomi Klein, author of No Logo and The Shock Doctrine

Rare and refreshing. . . . Here you will find family stories, an accessible description of brain development and sound information. You will also find hope ― Globe and Mail

His medical background and lucid writing style make complex biological processes accessible to non-scientific readers ― The Gazette (Montreal)

An insightful read that makes you realise that without your health nothing really matters ― The Sun
Quatrième de couverture
Can a person literally die of loneliness? Is there a connection between the ability to express emotions and Alzheimer’s disease? Is there such a thing as a ‘cancer personality’?

Drawing on deep scientific research and Dr Gabor Maté’s acclaimed clinical work, When the Body Says No provides the answers to critical questions about the mind-body link – and the role that stress and our emotional makeup play in an array of common diseases.




En lire plus",https://m.media-amazon.com/images/S/amzn-author-media-prod/bkrbmqdvtpr7po7t1m88nog0t3._SY600_.jpg
Erika Rossi,,https://m.media-amazon.com/images/S/amzn-author-media-prod/okucms3808rkcvp2kegfu3mc5c._SY600_.jpg
Jérémy Mariez,"Jérémy Mariez est designer produit, character designer, illustrateur et professeur de techniques de dessin. L&#39art virtuel (peinture numérique, image de synthèse et animation 3D) est son domaine de prédilection. jeremymariez.free.fr",https://m.media-amazon.com/images/I/716QBYQJ9AL._SY600_.jpg
Angelo Giardino,,https://m.media-amazon.com/images/S/amzn-author-media-prod/d0qb3d8j7n8jnkm6gu4ggj7qvf._SY600_.jpg
James Path,,https://m.media-amazon.com/images/S/amzn-author-media-prod/n9hpvaaiu9fa7bv9cq89mr9fmq._SY600_.jpg
Marcello Borelli,,https://m.media-amazon.com/images/S/amzn-author-media-prod/u96b8konprqvt39smbctsp7am3._SY600_.jpg
Marcello Borelli,,https://m.media-amazon.com/images/S/amzn-author-media-prod/u96b8konprqvt39smbctsp7am3._SY600_.jpg
Marcello Borelli,,https://m.media-amazon.com/images/S/amzn-author-media-prod/u96b8konprqvt39smbctsp7am3._SY600_.jpg
Marcello Borelli,,https://m.media-amazon.com/images/S/amzn-author-media-prod/u96b8konprqvt39smbctsp7am3._SY600_.jpg
Mo Gawdat,"A new way to take control of all kinds of stress from the internationally bestselling author Mo Gawdat and stress-management specialist Alice Law.

&#39Everything he writes is an enlightening education in how to be human.&#39 - Elizabeth Day

Unstressable applies Mo Gawdat&#39s brilliant engineering mind and Alice Law&#39s psychology and stress-management expertise to the &#39stress pandemic&#39.

This follow up to bestselling Solve For Happy will show you that chronic stress is not an unavoidable part of modern life, but a predictable – and therefore preventable – response, often as much to do with negative thought patterns as external circumstances. Mo explains how he made it through the most acutely stressful times in his own life, and the book touches on the idea of post-traumatic growth – both on a personal level and in response to huge events that affected all of us, such as the COVID pandemic and subsequent economic turmoil.

Practical exercises will help you build up the skills to manage stress no matter your circumstances, backed up by neuroscience and accessible psychology.",https://m.media-amazon.com/images/I/61QXLDDwcAL._SY600_.jpg
Papeterie Bleu,,https://m.media-amazon.com/images/S/amzn-author-media-prod/3ul2tv71k0dtk7hr2so0dv9kdj._SY600_.jpg
Jérémy Mariez,"Jérémy Mariez est designer produit, character designer, illustrateur et professeur de techniques de dessin. L&#39art virtuel (peinture numérique, image de synthèse et animation 3D) est son domaine de prédilection. jeremymariez.free.fr",https://m.media-amazon.com/images/I/716QBYQJ9AL._SY600_.jpg
Filliette Cécile-Alma,,
Emilie Adam,,
June & Lucy,,https://m.media-amazon.com/images/S/amzn-author-media-prod/q6bsmbqo73m935b494f9b8dlbr._SY600_.jpg
CREATIVE Edition,,https://m.media-amazon.com/images/S/amzn-author-media-prod/gdoorhs6dqhc0ngqc52hmha22j._SY600_.jpg
Marika Attirelepositif,,
Marcello Borelli,,https://m.media-amazon.com/images/S/amzn-author-media-prod/u96b8konprqvt39smbctsp7am3._SY600_.jpg
Marcello Borelli,,https://m.media-amazon.com/images/S/amzn-author-media-prod/u96b8konprqvt39smbctsp7am3._SY600_.jpg
Alice Carter,,
Papier Bohème,,
Victor Soleil,,https://m.media-amazon.com/images/S/amzn-author-media-prod/o8a8kslmonanvuvvockneblq0s._SY600_.jpg
Editions Therapycolors,,https://m.media-amazon.com/images/S/amzn-author-media-prod/emobacejngesg2ed1d04dgq26l._SY600_.jpg
Fumio Sasaki,"Fumio Sasaki, 38 ans, est un ancien éditeur de mangas au Japon. Il vit actuellement dans un appartement de quelques mètres carrés, suffisamment dépouillé pour lui permettre de déménager en quelques minutes s&#39il le souhaitait. Véritable phénomène de librairie au Japon, son livre connaît un succès flamboyant à travers le monde.",https://m.media-amazon.com/images/S/amzn-author-media-prod/m36s60hof5n9jk41lc0no109l1._SY600_.jpg
Lucas Bourguignon,,https://m.media-amazon.com/images/S/amzn-author-media-prod/cafv6ops8jni6cjl0pgcpfj35h._SY600_.jpg
Docteur Yann Rougier,"Le Dr Yann Rougier, médecin spécialiste des hôpitaux de Paris, est passionné de Neurosciences appliquées, de Nutrition-santé et de Psycho-neuro-immunologie. Membre fondateur de l&#39IN2A (Institut de Neuronutrition et de Neurosciences Appliquées) et du Whealth Found dédié à l&#39accompagnement thérapeutique des maladies dégénératives chroniques par les outils des neurosciences appliquées (AppliedDelta-Medicine), il intervient comme consultant et coordinateur au sein d&#39équipes scientifiques internationales. Il a publié aux éditions Albin Michel Voulez-vous maigrir avec moi ? (2007), Prévenir et vaincre le surpoids en famille (2008), Le Régime SLIM-data en 120 recettes (2009) et Se programmer pour guérir (2010).",https://m.media-amazon.com/images/I/71eVTfefTRL._SY600_.jpg
Marcello Borelli,,https://m.media-amazon.com/images/S/amzn-author-media-prod/u96b8konprqvt39smbctsp7am3._SY600_.jpg
Marcello Borelli,,https://m.media-amazon.com/images/S/amzn-author-media-prod/u96b8konprqvt39smbctsp7am3._SY600_.jpg
Marcello Borelli,,https://m.media-amazon.com/images/S/amzn-author-media-prod/u96b8konprqvt39smbctsp7am3._SY600_.jpg
Marcello Borelli,,https://m.media-amazon.com/images/S/amzn-author-media-prod/u96b8konprqvt39smbctsp7am3._SY600_.jpg
Papeterie Bleu,,https://m.media-amazon.com/images/S/amzn-author-media-prod/3ul2tv71k0dtk7hr2so0dv9kdj._SY600_.jpg
Allen Carr,"Allen Carr was an accountant who smoked 100 cigarettes a day until he discovered EASYWAY and went on to write a series of bestselling books, most famously The Easy Way to Stop Smoking. Now, over 13 million stop smoking books have been sold in 57 countries and 38 languages around the world. Allen&#39s lasting legacy is a dynamic, on-going, global publishing programme which helps treat a range of issues including smoking, weight, alcohol and other drug addictions.",https://m.media-amazon.com/images/I/A1AnCZAEXzL._SY600_.jpg
Papeterie Bleu,,https://m.media-amazon.com/images/S/amzn-author-media-prod/3ul2tv71k0dtk7hr2so0dv9kdj._SY600_.jpg
Freddy G,,
Jon Kabat-Zinn,"Fondé sur le travail pionnier du Dr Jon Kabat-Zinn et son célèbre programme de réduction du stress, ce livre majeur nous montre comment utiliser des méthodes scientifiquement prouvées pour guérir le corps, l&#39âme et l&#39esprit. Ce programme unique a fait l&#39objet de recherches qui démontrent que les techniques de méditation ont des effets préventifs et thérapeutiques sur la maladie, le stress social et professionnel, les troubles du sommeil ou alimentaires, etc. En pratiquant les techniques de la pleine conscience, vous apprendrez non seulement à réduire la douleur physique ou émotionnelle, l&#39anxiété et les sentiments de panique, mais également à améliorer la qualité de votre vie et de vos relations.",https://m.media-amazon.com/images/I/91pzWxu3EPL._SY600_.jpg
Thibaut Meurisse,,https://m.media-amazon.com/images/S/amzn-author-media-prod/dodgjj92binq4366fb33l1m2jg._SY600_.jpg
Marcello Borelli,,https://m.media-amazon.com/images/S/amzn-author-media-prod/u96b8konprqvt39smbctsp7am3._SY600_.jpg
Marcello Borelli,,https://m.media-amazon.com/images/S/amzn-author-media-prod/u96b8konprqvt39smbctsp7am3._SY600_.jpg
Sudoku-Mania,,
Jean Angius,,
Luty Berata,,
Ronald P. FANOU,,https://m.media-amazon.com/images/S/amzn-author-media-prod/d76ft3sq28ebhke724dp0kgi5._SY600_.jpg
Anne Everard,"Juriste de formation, Anne Everard a créé son propre bureau de conférenciers après avoir eu diverses vies professionnelles (consultante, avocate, directrice juridique et des ressources humaines).",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Papeterie Bleu,,https://m.media-amazon.com/images/S/amzn-author-media-prod/3ul2tv71k0dtk7hr2so0dv9kdj._SY600_.jpg
Marcello Borelli,,https://m.media-amazon.com/images/S/amzn-author-media-prod/u96b8konprqvt39smbctsp7am3._SY600_.jpg
Marcello Borelli,,https://m.media-amazon.com/images/S/amzn-author-media-prod/u96b8konprqvt39smbctsp7am3._SY600_.jpg
Dimitri Carlet,,
Edith Perreaut-Pierre,"Édith Perreaut-Pierre est , médecin du sport, préparateur mental hypnothérapeute et, consultante sénior associée dans la société Coévolution depuis 2008, elle a été médecin des armées et a développé la méthode TOP (Techniques d&#39Optimisation du Potentiel). Également sophrologue, elle est l&#39auteur d&#39ouvrages liant sophrologie et sport chez Amphora et de Comprendre et pratique les Techniques d&#39Optimisation du Potentiel chez InterÉditions.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
