Nom,Description,Photo
Marie Russo,,https://m.media-amazon.com/images/S/amzn-author-media-prod/76618tf4cchb6lf5mevu6h2sb5._SY600_.jpg
Marie Russo,,https://m.media-amazon.com/images/S/amzn-author-media-prod/76618tf4cchb6lf5mevu6h2sb5._SY600_.jpg
Capucine Marc,,
Victoire Charlie,,
Une Réflexion,,
Marika Ciaoanxiete,,
Marie Russo,,https://m.media-amazon.com/images/S/amzn-author-media-prod/76618tf4cchb6lf5mevu6h2sb5._SY600_.jpg
Lucie Vie,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Chantal Labeste,"Chantal Labeste est coach de dirigeants et de sportifs de haut niveau, depuis plus de 15 ans. Diplômée d&#39HEC Paris, elle est experte en programmation mentale et en stratégie de réussite. A travers ses programmes de coaching, ses séminaires, elle a consacré sa vie à accompagner de milliers de femmes et d&#39hommes comme vous à se révéler et à sublimer chaque facette de leur vie.",https://m.media-amazon.com/images/S/amzn-author-media-prod/jmqc9hb8efcm9r6pv292mot3fv._SY600_.jpg
Sophie Evrard,,
Thibaut Meurisse,,https://m.media-amazon.com/images/S/amzn-author-media-prod/dodgjj92binq4366fb33l1m2jg._SY600_.jpg
Alice Hussonnois,"Alice Hussonnois, diététicienne-nutritionniste spécialisée dans les troubles du comportement alimentaire et en thérapie ACT, propose des clés utiles pour comprendre chaque étape de la maladie et offrir un accompagnement bienveillant sur le chemin de la guérison, avec optimisme et pédagogie. ",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Cathy Assenheim,"Cathy Assenheim est psychologue clinicienne spécialisée en neuropsychologie. Elle s’est spécialisée dans l’accompagnement du haut potentiel, de l’hypersensibilité, mais aussi dans le traitement du stress et de ses conséquences : l&#39anxiété, les troubles du sommeil, les kilos émotionnels ou encore le burn-out.",https://m.media-amazon.com/images/S/amzn-author-media-prod/7epi1v3q3l8dc9f6pfj21chvec._SY600_.jpg
Coralie Pelletier,,
Epic Soul Publishing,,
James Path,,https://m.media-amazon.com/images/S/amzn-author-media-prod/n9hpvaaiu9fa7bv9cq89mr9fmq._SY600_.jpg
Joseph Rabie,,https://m.media-amazon.com/images/S/amzn-author-media-prod/ikasp14citn2qfpbdj0nnuqk52._SY600_.jpg
Emilie Adam,,
Marika Attirelepositif,,
Marie Russo,,https://m.media-amazon.com/images/S/amzn-author-media-prod/76618tf4cchb6lf5mevu6h2sb5._SY600_.jpg
Marie Russo,,https://m.media-amazon.com/images/S/amzn-author-media-prod/76618tf4cchb6lf5mevu6h2sb5._SY600_.jpg
Freddy G,,
Silvia Cipolla,,
Etienne Drouard,,https://m.media-amazon.com/images/S/amzn-author-media-prod/5lmqk1o1bsbf8p1vn7cu1paqr7._SY600_.jpg
Derick Howell,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Erika Rossi,,https://m.media-amazon.com/images/S/amzn-author-media-prod/okucms3808rkcvp2kegfu3mc5c._SY600_.jpg
Isabelle Mullesch,,https://m.media-amazon.com/images/S/amzn-author-media-prod/gleujs75ksd6r3ku8af345nasu._SY600_.jpg
,,
Marie Russo,,https://m.media-amazon.com/images/S/amzn-author-media-prod/76618tf4cchb6lf5mevu6h2sb5._SY600_.jpg
MetaMind Edition,,https://m.media-amazon.com/images/S/amzn-author-media-prod/79s0od0bvjc847mi32v4p9jbq._SY600_.jpg
Prof Steve Peters,"He is the best. I’ve played my most consistent form for Liverpool and England since seeing Steve. -- Steven Gerrard ― Steven Gerrard

The mind programme that helped me win my Olympic Golds ― Sir Chris Hoy

Steve Peters is the most important person in my career ― Victoria Pendleton, World and Olympic Cycling Champion

Steve&#39s been excellent. He is a specialist in what he does and a genius in that field, and is such an understanding guy. ― Brendan Rodgers

Absolutely fascinating, the book is fantastic ... I&#39m obsessed with this book ― Chris Evans, Radio Two",https://m.media-amazon.com/images/S/amzn-author-media-prod/jlr38gbjron91cqa0l1879b9ah._SY600_.jpg
Marie Russo,,https://m.media-amazon.com/images/S/amzn-author-media-prod/76618tf4cchb6lf5mevu6h2sb5._SY600_.jpg
Lori Gottlieb,"Revue de presse
‘Absorbing and fascinating.’
--Oliver Burkeman, The Guardian

‘This is a wonderful book … I wish I hadn’t finished reading it, but will start from the beginning again happily.’
--Nigella Lawson

‘Gottlieb has written a wise, funny, and sometimes blisteringly sad book that is warmer than any self-help guide: one that feels like a friend.’
--Anna Leszkiewicz, New Statesman
Quatrième de couverture
Meet Lori Gottlieb, an insightful and compassionate therapist whose clients present with all kinds of problems. There&#39s the struggling new parents; the older woman who feels she has nothing to live for; the self-destructive young alcoholic; and the terminally ill 35-year-old newlywed. And there&#39s John, a narcissistic television producer, who frankly just seems to be a bit of a jerk. Over the course of a year, they all make progress. But Gottlieb is not just a therapist ? she&#39s also a patient who&#39s on a journey of her own. Interspersed with the stories of her clients are her own therapy sessions, as Gottlieb goes in search of the hidden roots of a devastating and life-changing event. Personal, revealing, funny, and wise, Maybe You Should Talk to Someone opens a rare window onto a world that is most often bound by secrecy, offering an illuminating tour of a profoundly private process.
En lire plus",https://m.media-amazon.com/images/S/amzn-author-media-prod/2989bqr528e1kgch0lpnarj3uc._SY600_.jpg
Annie Robert,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Joseph Rabie,,https://m.media-amazon.com/images/S/amzn-author-media-prod/ikasp14citn2qfpbdj0nnuqk52._SY600_.jpg
Alice Hussonnois,"Alice Hussonnois, diététicienne-nutritionniste spécialisée dans les troubles du comportement alimentaire et en thérapie ACT, propose des clés utiles pour comprendre chaque étape de la maladie et offrir un accompagnement bienveillant sur le chemin de la guérison, avec optimisme et pédagogie. ",
Elsa Shalane,,
Marie Russo,,https://m.media-amazon.com/images/S/amzn-author-media-prod/76618tf4cchb6lf5mevu6h2sb5._SY600_.jpg
Marie Russo,,https://m.media-amazon.com/images/S/amzn-author-media-prod/76618tf4cchb6lf5mevu6h2sb5._SY600_.jpg
Dr Yvan Bourgeois,,https://m.media-amazon.com/images/S/amzn-author-media-prod/etdp2d5v0prnbf5na6r5dhnlsq._SY600_.jpg
Léa Lorant,,
Health and Wealth,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
