Nom,Description,Photo
,,
Caroline Ferriol,"Caroline Ferriol est formée en psychopédagogie de la relation et en recherche en sciences humaines. Elle est consultante spécialiste du sommeil des bébés et des enfants, formatrice et conférencière depuis 2018. Connue sous le nom de la Fée Dodo, elle a accompagné des milliers de familles vers la résolution des troubles du sommeil de leurs enfants. Son approche bienveillante et innovante se situe à la croisée des dernières connaissances scientifiques et des valeurs de la parentalité dite « positive ». Sa philosophie consiste à proposer un autre chemin vers le sommeil des bébés et des enfants, basé sur une compréhension de la physiologie du sommeil, des émotions et de la relation.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Anna GAINES,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Benjamin Putois,"Benjamin Putois est docteur ès sciences cognitives, enseignant à la formation universitaire à distance de Suisse, chercheur associé à l’Inserm, psychologue clinicien et psychothérapeute TCC/ACT/EMDR.

Mélinée Chapoutot est psychologue clinicienne et psychothérapeute TCC/ACT spécialisée dans le sommeil de l’adulte. Elle exerce notamment au Centre hospitalier du Valais Romand en Suisse.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Héloïse Junier,"Magic Maman : « À lire »

France Inter ""Grand bien vous fasse"" : « c’est très drôle et très bien écrit »",https://m.media-amazon.com/images/S/amzn-author-media-prod/k23m37rp8hine5p601o5la559q._SY600_.jpg
Rosa Jové,"Rosa Jové est pédopsychiatre. Spécialiste du sommeil chez les enfants, membre de l&#39Observatoire des droits de l&#39enfant de la Généralité de Catalogne, elle accueille un grand nombre d&#39enfants et leurs parents dans ses consultations.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Nadine Atmani,,
Nadine Atmani,,
Candice Turjman,"Candice Turjman, du compte Instagram @lafetedusleep est experte en sommeil pour les enfants de 0 à 5 ans. Tout a commencé lorsqu&#39elle est devenue maman et qu&#39elle s&#39est retrouvée au cœur des nuits sans sommeil. Elle s&#39est donc formée pour transmettre, informer et aider les jeunes parents. Elle a depuis accompagné de nombreuses familles en difficulté pour les aider à retrouver des nuits sereines et un équilibre dans le chamboulement que représente la parentalité. Ses mots d&#39ordre sont la bienveillance, l&#39écoute et une petite touche d&#39humour pour vous aider à relativiser !",https://m.media-amazon.com/images/S/amzn-author-media-prod/n8sscetscvpin5scl8uecmkfdp._SY600_.jpg
Alexia Aigloz,,https://m.media-amazon.com/images/S/amzn-author-media-prod/r9acv8emaqt91lu87v8rq26jnk._SY600_.jpg
Anna Wahlgren,"Anna Wahlgren est une écrivaine suédoise, auteur, mère de neuf enfants et grand-mère de quatorze. Au cours des trente dernières années, elle a été éducatrice de parents, défenseure des enfants et une participante active et souvent controversée dans le débat public sur l&#39éducation des enfants. Elle est une experte reconnue dans le domaine de l&#39enfance en Scandinavie et est réputée pour ses cures de sommeil.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Robin Sharma,"Robin Sharma, LL.B., LL.M., is one of the world&#39s top experts on leadership and personal development, having helped millions of people to live their best lives. He is the author of 11 major international bestsellers, including The Monk Who Sold His Ferrari and The Greatness Guide. His work has been published in over 60 countries and in nearly 70 languages, making him one of the most widely read authors in the world.",https://m.media-amazon.com/images/S/amzn-author-media-prod/ddl6isug919ukj2r4bla21gm4q._SY600_.jpg
Aurélie Callet,"Clémence Prompsy est psychologue familiale spécialisée en éducation bienveillante. Elle a fondé Kidz & Family avec sa consoeur Aurélie Callet.

Aurélie Callet est psychologue familiale spécialisée en éducation bienveillante. Elle a fondé Kidz & Family avec sa consoeur Clémence Prompsy.",
Benjamin Lubszynski,"Diplômé de l&#39EDHEC Business School et d&#39écoles de thérapies brèves (New York Training Institute for Hypnosis, IFPNL...), Benjamin Lubszynski est thérapeute et coach et dirige un cabinet de psychothérapie à Paris. Sa chaîne Youtube est consacrée à la psychologie et au bien-être. Elle compte 340 000 abonnés et propose des explications concrètes et des séances d&#39hypnose et de méditation consacrées notamment au sommeil et au stress qui sont vues plus d&#391M de fois par mois. Benjamin Lubszynski a participé à de nombreuses émissions de télévision et de radio et a fait l&#39objet d&#39articles dans la presse française et suisse (Nouvel Obs / Rue 89 et La Liberté). Il travaille depuis deux ans avec Le Figaro, en créant des contenus vidéos et un podcast « Inspirations », dans lequel il reçoit des personnalités inspirantes. Il est l&#39auteur du livre Bien dormir, ça s&#39apprend! paru aux Éditions du Rocher et qui vient de sortir en poche.",https://m.media-amazon.com/images/S/amzn-author-media-prod/1cne21bloovjdnvc4q0hso3db3._SY600_.jpg
Sonia Lebdiri,,
