Nom,Description,Photo
Marcello Borelli,,https://m.media-amazon.com/images/S/amzn-author-media-prod/u96b8konprqvt39smbctsp7am3._SY600_.jpg
Marcello Borelli,,https://m.media-amazon.com/images/S/amzn-author-media-prod/u96b8konprqvt39smbctsp7am3._SY600_.jpg
Christian Walton,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Marcello Borelli,,https://m.media-amazon.com/images/S/amzn-author-media-prod/u96b8konprqvt39smbctsp7am3._SY600_.jpg
Diana Carson,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Alessandro Villanucci,,https://m.media-amazon.com/images/S/amzn-author-media-prod/v30lvbqs16uibcpvkeji0r44mo._SY600_.jpg
Marcello Borelli,,https://m.media-amazon.com/images/S/amzn-author-media-prod/u96b8konprqvt39smbctsp7am3._SY600_.jpg
Cecilia Hart,,https://m.media-amazon.com/images/S/amzn-author-media-prod/nl9qja7ktrfib855hsel80eoe2._SY600_.jpg
MOKHAPPY,,https://m.media-amazon.com/images/S/amzn-author-media-prod/94smd3sadb6vjcqqle5gp1oies._SY600_.jpg
Relative Editions,,https://m.media-amazon.com/images/S/amzn-author-media-prod/icuf6ckpgdbubgo8r2l8dvrk3e._SY600_.jpg
Gérard Athias,"Diplômé de la faculté de Médecine de Marseille, Gérard Athias a exercé la Médecine générale et la Médecine Traditionnelle Chinoise pendant 8 ans. Nourri des enseignements de Georges Lahy et d’Alejandro Jodorowsky, il construit des ponts avec des outils aussi divers que l’énergétique, la Kabbale et le Tarot. Le fil conducteur de cet enseignement est la quête de l’Unité dans un modèle de réunification des diverses connaissances et des traditions anciennes. Il est l’auteur de nombreux ouvrages et anime des séminaires sur le thème : GEST© (Géométrie Sacrée Trame énergétique).",https://m.media-amazon.com/images/I/210R9AaPuGL._SY600_.jpg
Mia Letellier,,https://m.media-amazon.com/images/S/amzn-author-media-prod/4p1dpuh1hkn2073s79ai6h4kt0._SY600_.jpg
Christophe de Jaeger,"Christophe de JAEGER est médecin et chercheur. Il développe depuis plus de trente-cinq ans une vision axée sur la santé et la prévention. Son travail s&#39appuie sur la physiologie et la meilleure gestion possible de notre capital santé dans une perspective de longévité en bonne santé. Conférencier international, il est chargé d&#39enseignement à la faculté de médecine et préside la société française de médecine et physiologie de la longévité. Il est l&#39auteur de nombreux articles et ouvrages sur cette thématique.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Peter Attia,"Dr. Peter Attia is my doctor and also my friend. He is a specialist in longevity and someone I trust with my life. What separates him from others is his pursuit of quality of life from all angles-physical, emotional, mental, relational, and spiritual health. This incredible book is a call to action and a reminder to always participate and never be passive. It will arm you with the tools you need to live a long, meaningful, and fulfilling life. ― Hugh Jackman

In Outlive, Peter Attia explores the science of not just prolonging life, but also prolonging aliveness. Attia makes the crucial connection between overall health and relational health. ― Esther Perel, New York Times bestselling author, psychotherapist, and podcast host of Where Should We Begin?

Outlive completely transformed my approach to growing old. Peter Attia is among the most brilliant people I&#39ve ever met, and he&#39s succeeded in packing a life&#39s worth of insights into this book. It promises to be one of the most important books you&#39ll ever read. ― Steven D. Levitt, New York Times bestselling author of Freakonomics

In Outlive, Peter Attia has delivered the definitive look at the complex subject of longevity. Comprehensive and rigorous, Outlive is full of surprising insights into the diseases of aging that will likely kill most of us, and the tactics and techniques that can help us live longer and in better health. Attia&#39s writing surprises and delights us, while provoking a new way to think about longevity. ― Siddhartha Mukherjee, author of the Pulitzer Prize winner The Emperor of All Maladies and the New York Times bestseller The Song of The Cell

Finally, there is a modern, thorough, clear, and actionable manual for how to maximize our immediate and long-term health. Firmly grounded in data and real-life conditions, Outlive makes obvious which actions we all need to take and, just as important, what all we need to pay attention to in order to live a long, vital life. As the most accurate and comprehensive health guide published to date, Outlive is not just informative, it is important. ― Andrew Huberman, PhD, Professor in the Department of Neurobiology at Stanford University School of Medicine, creator of the Huberman Lab podcast",
Stéphane Baurand,,https://m.media-amazon.com/images/S/amzn-author-media-prod/j5i02vf33sippev77h6cubstmv._SY600_.jpg
Eva Ross,,https://m.media-amazon.com/images/S/amzn-author-media-prod/vgf58nd8c8gn5sdfnddvb2d01f._SY600_.jpg
Lise Collin,,https://m.media-amazon.com/images/S/amzn-author-media-prod/rj4cu8qsk9oj2qtdr6qh22gqv7._SY600_.jpg
Jean Marchal,,https://m.media-amazon.com/images/S/amzn-author-media-prod/9mjgcq8e3qnjo3295o95nepmnm._SY600_.jpg
Editions Layke,,https://m.media-amazon.com/images/S/amzn-author-media-prod/tr93dg8mnaucj55efnr4gnbcm9._SY600_.jpg
Marcello Borelli,,https://m.media-amazon.com/images/S/amzn-author-media-prod/u96b8konprqvt39smbctsp7am3._SY600_.jpg
Marcello Borelli,,https://m.media-amazon.com/images/S/amzn-author-media-prod/u96b8konprqvt39smbctsp7am3._SY600_.jpg
Dr Alain Delabos,"Le Dr Alain Delabos est le père de la Chrono-nutrition®, fondateur et directeur général de l&#39Institut de recherches sur la nutrition et la santé (IREN&#39S). Ses ouvrages ont tous rencontré le succès : Mincir sur mesure grâce à la Chrono-nutrition - Le régime starter - Mincir gourmand, 200 recettes spécial Chrono-nutrition - Mincir vite et rester mince - Mincir en beauté grâce à la Morpho-nutrition - 220 recettes rapides pour mincir vite et rester mince - Prévenir et traiter le cholestérol grâce à la Chrono-nutrition...",https://m.media-amazon.com/images/I/61h9crg9zUL._SY600_.jpg
Editions Layke,,https://m.media-amazon.com/images/S/amzn-author-media-prod/tr93dg8mnaucj55efnr4gnbcm9._SY600_.jpg
Editions Vetillard,,https://m.media-amazon.com/images/S/amzn-author-media-prod/ulg680insn8ktdhiroj00vouer._SY600_.jpg
Tanmaya Honervogt,"Tanmaya Honervogt, Maître Enseignant de Reiki Usui, anime régulièrement des séances de formation en Europe, au Japon et aux États-Unis. Elle est l&#39auteure de nombreux ouvrages.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Arthur Écho,,
Jonathan Price,,https://m.media-amazon.com/images/S/amzn-author-media-prod/g5ir9pkrr7g1fp4nrmo26499a2._SY600_.jpg
Edward Bach,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Marie de Hennezel,"Marie de Hennezel, psychologue et auteure, a écrit plusieurs ouvrages à succès dont La Mort intime, Croire aux forces de l&#39esprit, Vivre avec l&#39invisible et le récent (en 2022) L&#39aventure devieillir. Chez Robert Laffont/Versilio.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Marcello Borelli,,https://m.media-amazon.com/images/S/amzn-author-media-prod/u96b8konprqvt39smbctsp7am3._SY600_.jpg
MOKHAPPY,,https://m.media-amazon.com/images/S/amzn-author-media-prod/94smd3sadb6vjcqqle5gp1oies._SY600_.jpg
Erika Rossi,,https://m.media-amazon.com/images/S/amzn-author-media-prod/okucms3808rkcvp2kegfu3mc5c._SY600_.jpg
Marie-Claire Cohen,,
Originale Educ,,https://m.media-amazon.com/images/S/amzn-author-media-prod/4qas0u92svi3hfapu8e4v64ghf._SY600_.jpg
Grafton D.Neil,,
Stephanie Matthews Simonton,"Stéphanie Matthews Simonton, psychologue et psychothérapeute-conseil et co-inventeur de la méthode, a élaboré un programme de psychothérapie intensive pour les services d&#39aide aux malades atteints d&#39un cancer.

Le docteur Carl Simonton, cancérologue-radiothérapeute, travaille sur le cancer depuis des années et intervient dans de nombreux hôpitaux et facultés de médecine aux États-Unis.

James Creighton, psychothérapeute, est l&#39un des plus proches collaborateurs de Carl Simonton et Stephanie Matthews Simonton.",
Raphaël Gruman,"Raphaël Gruman, diététicien nutritionniste, est l’auteur de Ménopause sans les kilos et coauteur de Dash, le meilleur régime du monde et Le régime Mind. Retrouvez-le sur son site : http://www.lamethodegruman.com",
AMANDA RIVA,,
Marcello Borelli,,https://m.media-amazon.com/images/S/amzn-author-media-prod/u96b8konprqvt39smbctsp7am3._SY600_.jpg
Marcello Borelli,,https://m.media-amazon.com/images/S/amzn-author-media-prod/u96b8konprqvt39smbctsp7am3._SY600_.jpg
Stuart Alve Olson,"Stuart Alve Olson, longtime protege of Master T.T. Liang (1900–2002), is a teacher, translator, and writer on Taoist philosophy, health, and internal arts. In 2006, he formed Valley Spirit Arts to present his books and DVDs, and is the head teacher at the Sanctuary of Tao in Phoenix, Arizona, where he focuses on translating various Taoist texts, conducting lectures, leading retreats, and teaching.",https://m.media-amazon.com/images/I/61ZZl+0yWsL._SY600_.jpg
Olivier Courtin-Clarins,"Olivier Courtin-Clarins est PDG de l&#39iconique entreprise de cosmétiques française Clarins et est diplômé de médecine. Dès 1984, il collabore avec Clarins pour créer un réseau de laboratoires de recherche fondamentale à travers le monde. Il rejoint l&#39entreprise familiale en 1995 après un MBA à l&#39ESSEC, il s&#39implique notamment auprès de la Recherche, des instituts et des spas. En 2007, il lance sa propre ligne, My Blend, un principe révolutionnaire de haute cosmétique sur-mesure. Il est président de la Fondation Arthritis qui subventionne la recherche sur l&#39ensemble des rhumatismes inflammatoires chroniques.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Marie-Paule Dessaint,,https://m.media-amazon.com/images/S/amzn-author-media-prod/hqa80j9ov7co481i9m7ksjaov8._SY600_.jpg
Camille Renaux,,
CerebrumLudos Edition,,https://m.media-amazon.com/images/S/amzn-author-media-prod/3ruoqotnknplg8os7fc8ogpkm5._SY600_.jpg
Editions MM,,
NADINE CHARLAT,"Nadine Charlat, licenciée en biologie et en psychologie, est enseignante depuis 23 ans. Elle pratique la course à pied depuis 2008 et est entraîneur bénévole dans un des clubs associatifs de sa ville. Par ailleurs, elle anime aussi bénévolement dans son village des ""cours de course à pied"" adaptés au cas par cas à toutes les personnes qui souhaitent se mettre à courir. Elle est l&#39auteur du roman ""Je vous montrerai les étoiles"", publié aux éditions Vérone.",https://m.media-amazon.com/images/S/amzn-author-media-prod/ig25t92e9rqbr84pktlfi0m4oo._SY600_.jpg
Allen Carr,"Allen Carr was an accountant who smoked 100 cigarettes a day until he discovered EASYWAY and went on to write a series of bestselling books, most famously The Easy Way to Stop Smoking. Now, over 13 million stop smoking books have been sold in 57 countries and 38 languages around the world. Allen&#39s lasting legacy is a dynamic, on-going, global publishing programme which helps treat a range of issues including smoking, weight, alcohol and other drug addictions.",https://m.media-amazon.com/images/I/A1AnCZAEXzL._SY600_.jpg
Marcello Borelli,,https://m.media-amazon.com/images/S/amzn-author-media-prod/u96b8konprqvt39smbctsp7am3._SY600_.jpg
Azako Domo,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Sophie Lapage,,https://m.media-amazon.com/images/S/amzn-author-media-prod/rkqqc3pherftqbvuvcigvomti2._SY600_.jpg
William Bates,"Spécialiste des travaux du Dr William Bates, fondateur de l&#39Institut William Bates, traducteur et présentateur de ses œuvres en langue française, Jean-Philippe Marie Dit Moisson est historien et conférencier. Ayant jadis porté des lunettes durant 15 ans pour myopie évolutive, il a lui-même amélioré naturellement sa vue par la Méthode Bates.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Sophie Davant,"Journaliste de télévision et de radio, présentatrice du Téléthon, Sophie Davant est l&#39une des personnalités préférées des Français. Animatrice phare sur France 2 de C&#39est au programme (de 1998 à 2019) et plus récemment d&#39 Affaire conclue, elle est aujourd&#39hui à la tête d&#39une nouvelle émission sur Europe 1, Sophie & les copains. Après le succès de son magazine S et plusieurs best-sellers dont Tout ce qui nous lie : Confidence pour confidence (Albin Michel, 2021), elle signe ici son premier guide pratique pour prendre la parole sur le bien vieillir, un sujet qui l&#39interroge et lui tient à cœur.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Lise Collin,,https://m.media-amazon.com/images/S/amzn-author-media-prod/rj4cu8qsk9oj2qtdr6qh22gqv7._SY600_.jpg
Alessandro Villanucci,,https://m.media-amazon.com/images/S/amzn-author-media-prod/v30lvbqs16uibcpvkeji0r44mo._SY600_.jpg
Michelle Zauner,"Michelle Zauner vit à Philadelphie et jongle entre trois jobs alimentaires et un groupe de rock dont la carrière ne décolle pas quand elle apprend que sa mère est malade. Elle rentre alors dans l’Oregon pour l’accompagner dans son combat contre le cancer, et pour essayer de rattraper le temps perdu. Car Michelle a été une adolescente rebelle, ne se sentant jamais à la bonne place, et fuyant cette figure maternelle qui incarne l’exigence mais aussi la culture coréenne, si proche et si lointaine. Le souvenir des étés passés dans le pays natal de sa mère, et celui de la passion avec laquelle cette dernière cuisinait et mangeait, vont aider Michelle à surmonter son chagrin, à trouver un chemin vers l’apaisement.
Michelle Zauner évoque avec une grande simplicité le deuil qu’elle a traversé, et toutes les complexités de l’amour entre une mère et sa fille. Elle consacre surtout des pages inoubliables au plaisir gastronomique pour nous rappeler que nous sommes aussi ce que nous mangeons. Un livre qui ne ressemble à aucun autre.",https://m.media-amazon.com/images/S/amzn-author-media-prod/mea2gb1n1q72lpsta6246340n7._SY600_.jpg
Patrick Gepner,Patrick Gepner est praticien en médecine interne à l&#39hôpital Foch de Suresnes et l&#39auteur de plusieurs ouvrages de vulgarisation scientifique aux éditions Odile Jacob et de J&#39ai mal au dos ! aux Editions First.,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Marcello Borelli,,https://m.media-amazon.com/images/S/amzn-author-media-prod/u96b8konprqvt39smbctsp7am3._SY600_.jpg
Marcello Borelli,,https://m.media-amazon.com/images/S/amzn-author-media-prod/u96b8konprqvt39smbctsp7am3._SY600_.jpg
MOKHAPPY,,https://m.media-amazon.com/images/S/amzn-author-media-prod/94smd3sadb6vjcqqle5gp1oies._SY600_.jpg
Bernard Ollivier,"Non, la retraite ce n&#39est pas le début de la fin ! Ce n&#39est pas non plus le consumérisme à outrance de mannequins « seniors » qui courent après leur jeunesse. C&#39est le début d&#39une vie enfin libre. Elle est dans le mouvement, l&#39action, la plénitude. L&#39occasion rêvée de réaliser des projets longtemps différés, d&#39être créatif et citoyen. Bernard Ollivier revient sur la décennie qui fut la sienne depuis qu&#39il a cessé d&#39être salarié. Le moins que l&#39on puisse dire est que le bilan est plus que positif : comme une renaissance, une invitation à le suivre sur ce chemin du temps retrouvé pour soi et pour les autres.",https://m.media-amazon.com/images/S/amzn-author-media-prod/r50n1ug4j2bvhfgb4fund38qe3._SY600_.jpg
Bernie S Siegel,"S&#39appuyant sur des cas de guérison exceptionnelle, L&#39amour, la médecine et les miracles prouve qu&#39il est possible de déjouer les pronostics médicaux les plus sombres. Pour Bernie Siegel, célèbre chirurgien et enseignant à l&#39université de Yale, les rémissions spontanées ne se produisent pas chez n&#39importe qui : il s&#39agit souvent de patients qui prennent leur vie en main et ne comptent pas uniquement sur les médecins. Ils font preuve d&#39un optimisme et d&#39une volonté de fer, et sont amoureux de la vie. Pour recouvrer la santé et la conserver, le Dr Siegel détaille les techniques qui stimulent fortement le processus de guérison : la méditation, la visualisation, la thérapie de groupe, l&#39affirmation des émotions, le jeu, le travail sur les rêves, le dessin, le rire. Un livre majeur qui illustre l&#39action spectaculaire des pensées et des émotions sur notre corps et qui redonne courage et espoir.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Parimal Danielle Tonossi,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Georges Mouton,"Fort de 36 années d’expérience professionnelle et d’un quart de siècle de pratique de la Médecine Fonctionnelle, le docteur Georges MOUTON travaille à la création d’une chaîne de vidéos (disponible sur YouTube) à des fins d’éducation tant du grand public que des professionnels de la santé. Après avoir consulté à Liège, Madrid, Sotogrande, Bruxelles, Beyrouth et Londres, il réside depuis quatre ans dans le Nord du Grand-Duché du Luxembourg, dans les merveilleux paysages de l’Œsling entre l’Ardenne et l’Eiffel. Il y consulte toujours sous les regards complices de son fidèle chien ‘Goliath’ et de son jeune chat prodige ‘Oxo’ (tous renseignements disponibles via contact@gmouton.com).",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Lise Bourbeau,"Lise Bourbeau, née en 1941, est la fondatrice de l&#39école de développement personnel Écoute Ton Corps, créée au Québec en 1982. Son enseignement pratique et la philosophie simple qu&#39elle transmet aident des milliers de personnes à travers le monde à apporter des changements concrets dans leur quotidien. Reconnue comme enseignante et philosophe, elle est une conférencière très sollicitée par tous ceux qui aspirent à avoir une meilleure qualité de vie. En 1987, elle écrit son premier livre, intitulé Écoute ton corps, ton plus grand ami sur la Terre, et fonde sa propre maison d&#39édition, les Éditions E.T.C. Les livres de Lise Bourbeau se sont vendus à plus de 6,5 millions d&#39exemplaires. Ils sont traduits en 26 langues.
Écoute Ton Corps est la plus grande école de déve-loppement personnel au Québec. Son enseignement est diffusé dans 29 pays.

Pour plus d&#39informations au sujet de
Lise Bourbeau, consultez :
www.ecoutetoncorps.com",
Alizée Valois,,https://m.media-amazon.com/images/S/amzn-author-media-prod/m5nu1qtfvt473plil2olal4ae2._SY600_.jpg
Roger Fiammetti,"Roger Fiammetti, ostéopathe D. O., conférencier spécialisé dans l&#39approche somato-émotionnelle, nous livre un grand secret. Ce secret, c&#39est le nôtre, celui que détient notre corps.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Marcello Borelli,,https://m.media-amazon.com/images/S/amzn-author-media-prod/u96b8konprqvt39smbctsp7am3._SY600_.jpg
