Nom,Description,Photo
Alain Bauer,"Alain Bauer est professeur de criminologie au Conservatoire National des Arts et Métiers, New York et Shanghai. Il est responsable du pôle sécurité défense - renseignement criminologie cybermenaces et crises. Il a publié une soixantaine d&#39ouvrages sur les questions de sécurité, criminelles et de terrorisme.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Laurence Pernoud,"En 1956, Laurence Pernoud, journaliste visionnaire, entourée d&#39une équipe pluridisciplinaire, rédige J&#39attends un enfant, le premier ouvrage consacré à la maternité. Le succès est immédiat : elle reçoit un prix de l&#39Académie de Médecine et le livre est publié dans plus de 70 pays en français et traduit dans 40 langues. En 2009, c&#39est sa collaboratrice Agnès Grison qui reprend le flambeau et assure chaque année l&#39actualisation du livre, avec l&#39aide d&#39un comité d&#39experts renouvelé. J&#39attends un enfant est toujours, depuis son lancement, le leader sur le marché des ouvrages de maternité. Il est souvent cité comme la « bible » des futurs parents.",https://m.media-amazon.com/images/I/916Gma92OGL._SY600_.jpg
Shiwasunookina,"Après le succès de la série Peace Hame et du manga Enkou Ojisan, Shiwasu no Okina est de nouveau traduit en France avec une aventure d&#39étudiantes débauchées comme il les affectionne !",
Gérard Araud,"Gérard Araud a été ambassadeur en Israël (2003-2006), représentant permanent de la France auprès des Nations unies à New York (2009-2014) puis ambassadeur de France aux États-Unis (2014-2019). Il est l’auteur chez Tallandier d’une biographie d’Henry Kissinger (« Texto », 2023), de Nous étions seuls (prix Ernest Lémonon et Historia 2023), et tient une chronique internationale dans Le Point.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
LINK+SAVAN,,
Chloé Thibaud,"Chloé Thibaud est journaliste indépendante, spécialiste des sujets culture et société. Diplômée du CELSA, elle débute sa carrière chez France 3 en tant que reporter, rejoint ensuite le Groupe Marie Claire, avant d&#39être réalisatrice pour l&#39émission culturelle “Entrée Libre“ sur France 5 puis rédactrice en chef de la newsletter féministe “Les Petites Glo“. Depuis septembre 2022, elle écrit une newsletter hebdomadaire en collaboration avec Simone Média, “La Pause Simone“, qui compte plus de 500.000 abonnés.

Elle est l&#39autrice de plusieurs ouvrages : “En relisant Gainsbourg“ (2021, Bleu nuit éditeur), “Hum Hum, et si on parlait vraiment de sexe ?“ (2022, Webedia Books), “Toutes pour la musique“ (2022, Hugo Image) et “Pécho Canards - Décryptage d&#39une vie amoureuse tumultueuse“ (2023, Mango Society).",
Alice Davril,"Rédactrice et chroniqueuse, Camille Anseaume a créé le blog Une odeur de Café (anciennement Café des filles, élu blog coup de cœur de la rédaction de Elle.). Auteure de livres pratiques, elle a également écrit trois romans.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Valérie Bacot,"Originaire de Saône-et-Loire, Valérie Bacot grandit dans un village appelé La Clayette. Elle subit dès l’enfance les assauts quotidiens du compagnon de sa mère, sans trouver d’aide autour d’elle. Condamné en 1996 à quatre ans de prison pour agressions sexuelles sur mineure, celui-ci sort de prison au bout de deux ans et demi et retourne au domicile familial, où les viols reprennent. À l&#39âge de 17 ans, Valérie Bacot attend son premier enfant, et n’a pas d’autre choix que de s’installer avec son beau-père. Ils vivront ensemble pendant une vingtaine d’années et auront quatre enfants, trois garçons et une fille. Isolée, surveillée en permanence, maltraitée et régulièrement menacée de mort par son conjoint qui la force à se prostituer, elle le tue en 2016 et dissimule son corps dans la forêt. Arrêtée en 2017, elle est condamnée en 2021 à quatre ans de prison dont trois avec sursis et ressort libre du tribunal, ayant déjà purgé sa peine.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Ttung Gae,,
Jean-Luc Riva,"Membre du GIGN, Aton a été un gendarme d&#39élite dont les faits d&#39arme lui ont valu la Légion d&#39honneur. Les 25 ans passés à l&#39étranger dans le Renseignement ont amené Jean-Luc Riva à évaluer les nouvelles menaces que font peser sur les Français l&#39évolution des technologies.",https://m.media-amazon.com/images/S/amzn-author-media-prod/f5uloiev0lrl1l8bj8ol1fdp1o._SY600_.jpg
Ryan Ottley,"Scénariste de bandes dessinées. Scénariste et producteur.

Dessinateur de bandes dessinées.",https://m.media-amazon.com/images/I/31KdZr+hO5L._SY600_.jpg
Shun Matsuena,"Né un 11 février à Tôkyô au Japon, Shun MATSUENA est un mangaka japonais. Avant de se lancer, il fait une école de manga dans laquelle il se fait remarquer avec Le Chevalier et Le Voyageur. Il commence ensuite sa carrière avec La Porte du Valhalla, prépubliée dans le Shônen Sunday, mais c&#39est véritablement avec À l&#39attaque Ryôzampaku ! L&#39invincible disciple qu&#39il connaît le succès. Ce titre est même tellement populaire qu&#39il est interrompu afin d&#39être retravaillé puis relancé sous le titre de Ken-Ichi – Le Disciple ultime, toujours préublié dans le Shônen Sunday et complété d&#39une seconde saison, Ken-Ichi – Les Disciples de l&#39ombre. En 2014, Shun MATSUENA se lance dans une nouvelle série, Tokiwa Kitareri !!, qu&#39il mène parallèlement à Ken-Ichi.


Joffrey SEGUIN est un traducteur et adaptateur français de mangas. Il a notamment adapté en français Magi – The Labyrinth of Magic de Shinobu OHTAKA en collaboration avec Kayo CHASSAIGNE-NISHINO et Satoko FUJIMOTO, publié chez Kurokawa. Il est également le rédacteur du lexique historico-mythologique publié dans chaque volume du manga Saint Seiya - Les Chevaliers du Zodiaque - The Lost Canvas - La Légende d&#39Hadès de Masami KURUMADA et Shiori TESHIROGI. Doctorant à l&#39université Paris-Sorbonne, Joffrey SEGUIN travaille sur les relations entre l&#39Égypte et l&#39Orient et collabore à la revue Orient-Express, notes et nouvelles d&#39archéologie orientale.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Makoto Fukami,,https://m.media-amazon.com/images/S/amzn-author-media-prod/13ejqi087mdm19hfcq099pmfhs._SY600_.jpg
Tomo Chiyoji,"Chiyoji est l&#39un des premiers auteurs de hentai publié en Europe, dès les années 1980. Pour le magazine espagnol Kiss Comix, il crée la série Miss 130 et y laisse libre cours à ses fantasmes, sans crainte de la censure japonaise. Sur les centaines d&#39histoires que compte la série, quelques-unes sont colorisées par l&#39auteur : les voici pour la première fois traduites en français.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Héloïse Junier,"Héloïse Junier, autrice à succès et psychologue pour enfants, accompagne les familles. Elle aide les jeunes enfants et leurs parents à traverser les grands moments et les soucis du quotidien. Retrouvez-la sur @lapsycontreattaque et sur heloisejunier.com

Carole Xénard est illustratrice depuis 2006. Elle a étudié aux Arts Décoratifs de Paris. Elle travaille pour l&#39édition et la presse jeunesse, et enseigne le dessin et l&#39illustration à l&#39École de Condé de Paris",
