Nom,Description,Photo
945,,
Ttung Gae,,
Ayano Yamane,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
DJUN,,
Yuo Yodogawa,,
Inui Nikuya,,
Kotetsuko YAMAMOTO,,
945,,
Ayano Yamane,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Tsuta SUZUKI,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Ker,,
Yodaka KUROI,,
Same Zarame,,
Michel Jack,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Teoh Akihisa,,
Teoh Akihisa,,
Rihara,,
Atami MICHINOKU,,
Ttung Gae,,
Ayumu Nagisa,,
Adumi Nagano,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
945,,
Fargo,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Gengoro Tagame,"Devenu célèbre auprès du grand public avec le succès international Le Mari de mon frère (2014), Gengoroh Tagame, né en 1964, compte parmi les pionniers du manga gay. Il est l&#39un des rares artistes japonais à représenter la sexualité homosexuelle de manière aussi crue, avec des relations souvent sadomasochistes. "" Le travail de Tom of Finland ressemble à du Disney à côté de ses illustrations "", écrit le magazine d&#39art 032c à son propos.

House of Brutes, jusqu&#39alors totalement inédit en France, est l&#39une de ses œuvres les plus plébiscitées dans le monde.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
White Eared,,
Mika,Deux lycéens qui vont découvrir leur homosexualité dans un manga plein d&#39humour et de bienveillance.,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Gengoro Tagame,"Devenu célèbre auprès du grand public avec le succès international Le Mari de mon frère (2014), Gengoroh Tagame, né en 1964, compte parmi les pionniers du manga gay. Il est l&#39un des rares artistes japonais à représenter le sexe homosexuel de manière aussi crue, avec des rapports souvent sadomasochistes dont la pornographie reprend, en les détournant, les codes du hentai. "" Le travail de Tom of Finland ressemble à du Disney à côté de ses illustrations "", écrit le magazine d&#39art 032c à son propos. House of Brutes, série en trois volumes totalement inédite en France, est l&#39une de ses œuvres les plus plébiscitées dans le monde.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Natsuki KIZU,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Shou Harusono,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Ichika YUNO,,
Gengoro Tagame,"Devenu célèbre auprès du grand public avec le succès international Le Mari de mon frère (2014), Gengoroh Tagame, né en 1964, compte parmi les pionniers du manga gay. Il est l&#39un des rares artistes japonais à représenter le sexe homosexuel de manière aussi crue, avec des rapports souvent sadomasochistes dont la pornographie reprend, en les détournant, les codes du hentai. "" Le travail de Tom of Finland ressemble à du Disney à côté de ses illustrations "", écrit le magazine d&#39art 032c à son propos. House of Brutes, totalement inédit en France, est l&#39une de ses œuvres les plus plébiscitées dans le monde.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Teoh Akihisa,,
Yoshio Akira,,
Adashi Fati,,https://m.media-amazon.com/images/S/amzn-author-media-prod/5trtdrfk138n61dpnl4n765346._SY600_.jpg
GODSSTATION,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Shungiku Nakamura,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Kaoru Iwamoto,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
KOOGI,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Shou Harusono,,https://m.media-amazon.com/images/S/amzn-author-media-prod/infud0in1msnm1c7gp1r3ct63l._SY600_.jpg
Ker,,
Shou Harusono,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Shikimi Bibi,,
KOOGI,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Shou Harusono,,
Shou Harusono,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Aki Kumase,,
Mitori Fujii,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Dentô Hayane,,
Djun,,
Akira Minazuki,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Yuu Toyota,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
YAGOH,,
YMZ,,
SI MITSURU,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Mayo Tsurukame,,
Ichikawa Ichi,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Shou Harusono,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Shou Harusono,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Bboong Bbang KKYU,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Ichikawa Ichi,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Saori Nobana,,
Tohru Tagura,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
NOJIRO Guri,,
ICHIKA YUNO,,
TOMO SERIZAWA,,
Namio Hanasawa,,
Nmura,,
Shou Harusono,,
Io Amaki,,
Yan,,
Shou Harusono,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
GODSSTATION,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Yuu Toyota,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
