Nom,Description,Photo
Kuzushiro,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Mikanuji,,
Kuzushiro,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Yuama,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Ren Sakuragi,,
Kiyoko Iwami,,
Ren Sakuragi,,
Kiyoko Iwami,,
Sumiko Arai,,
Kuzushiro,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Miyako Miyahara,,
Yuama,,
Tatsubon,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Yuama,,
Yuama,,
SABUROUTA,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Ren Sakuragi,,
SABUROUTA,,
Hiromi TAKASHIMA,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
SABUROUTA,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
SABUROUTA,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Yuama,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
SABUROUTA,,
Battan,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
SABUROUTA,,
SABUROUTA,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Hiromi TAKASHIMA,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Hiromi TAKASHIMA,,
TAKESHIMA EKU,,
Yuriko HARA,,
Aonoshimo,,
SABUROUTA,,
SABUROUTA,,
Usui Shio,,
Aono Sumio,,
Aono Sumio,,
Aonoshimo,,
Dr. Pepperco,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Dr. Pepperco,,
PEYO,,
Dr. Pepperco,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Miyako Miyahara,,
Ana C. Sanchez,"Autrice née et vivant à Murcie, Ana C. Sánchez s’intéresse aux mangas dès l’adolescence. Aimant créer des histoires, elle commence par les écrire. Pour les rendre plus visuelles, elle se lance ensuite dans l’illustration en autodidacte. Elle crée plusieurs webcomics (Cross Heart, Melody of Sorrow, Phantom Edge) en auto édition avant d’être publiée par Planeta avec Alter Ego et Sirius. Avec Limbo, elle se lance dans sa première série shonen remplie d’aventures, d’action et de surnaturel.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Mikanuji,,
Naoko KODAMA,,https://m.media-amazon.com/images/S/amzn-author-media-prod/pvmeqpbl9f1gl4kvqm7k5gsum6._SY600_.jpg
Coolkyousinnjya,"coolkyousinnjya is a Japanese creator best known for his works Komori-san Can't Decline, I Can't Understand What My Husband Is Saying, The Idaten Deities Know Only Peace, and Miss Kobayashi's Dragon Maid--all of which have received anime adaptations.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
TAKESHIMA EKU,,
Tatsubon,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
TAKESHIMA EKU,,
Miman,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Miman,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
SABUROUTA,,
Itsuki Kuro,,
Hiromi TAKASHIMA,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Eku Takeshima,Eku Takeshima is a yuri manga artist who debuted in 2015. Whisper Me a Love Song is Takeshima's first manga to be published in English.,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
TAKESHIMA EKU,,
SABUROUTA,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Aonoshimo,,
Usui Shio,,
MEDAMAYAKI,,
Eku Takeshima,Eku Takeshima is a yuri manga artist who debuted in 2015. Whisper Me a Love Song is Takeshima's first manga to be published in English.,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Hiromi TAKASHIMA,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Tamifull,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
TAKESHIMA EKU,,
