Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
Pierres et huiles essentielles: Le guide de l&#39alliance parfaite,14.83,"Découvrez le pouvoir des pierres allié à celui de l&#39aromathérapie
Le premier et UNIQUE livre combinant deux thérapies exceptionnelles !
Souhaitez-vous tirer parti du pouvoir des énergies naturelles pour vous guérir ?
Souhaitez-vous bénéficier des avantages physiques, émotionnels et spirituels qu’elles apportent ?
Aimeriez-vous y parvenir par le biais des pierres et des huiles essentielles ?
Vous avez peut-être entendu parler des propriétés étonnantes associées aux huiles essentielles et de leur influence sur notre bien-être physique, émotionnel et spirituel. Il est fort à parier néanmoins que vous n’ayez pas – ou peu- entendu parler de la façon dont les pierres peuvent nous affecter. Pourtant, elles sont tout autant capables d’influencer notre bien-être, sans oublier que",979-8813452314,https://m.media-amazon.com/images/I/61B-0DhraeL._SY522_.jpg,Independently published (3 mai 2022),Noémie XUEREF,Aromatherapie
Pierres et huiles essentielles: Le guide de l&#39alliance parfaite,19.42,"Découvrez le pouvoir des pierres allié à celui de l&#39aromathérapie
Le premier et UNIQUE livre combinant deux thérapies exceptionnelles !
Souhaitez-vous tirer parti du pouvoir des énergies naturelles pour vous guérir ?
Souhaitez-vous bénéficier des avantages physiques, émotionnels et spirituels qu’elles apportent ?
Aimeriez-vous y parvenir par le biais des pierres et des huiles essentielles ?
Vous avez peut-être entendu parler des propriétés étonnantes associées aux huiles essentielles et de leur influence sur notre bien-être physique, émotionnel et spirituel. Il est fort à parier néanmoins que vous n’ayez pas – ou peu- entendu parler de la façon dont les pierres peuvent nous affecter. Pourtant, elles sont tout autant capables d’influencer notre bien-être, sans oublier que",979-8813452314,https://m.media-amazon.com/images/I/61B-0DhraeL._SY522_.jpg,Independently published (3 mai 2022),Noémie XUEREF,Aromatherapie
"Ma bible des huiles essentielles - Edition de luxe: L&#39édition enrichie du livre de référence, illustrée et 100% en couleurs",6.23,"Avec ce livre de référence, découvrez le fabuleux potentiel des huiles essentielles pour votre santé, votre beauté, votre bien-être, pour une maison plus saine et plus agréable, et une cuisine plus digeste et plus parfumée. Edition augmentée et mise à jour, tout en couleurs - Apprivoisez les 80 huiles essentielles les plus efficaces : arbre à thé, lavande officinale, hélichryse italienne, ylangylang… pour traiter 230 maux du quotidien. - Utilisez les voies d&#39administration les plus appropriées pour un maximum d&#39action et de sécurité. - Visualisez les zones d&#39application grâce à nos illustrations claires. - Constituez votre trousse personnalisée, pour avoir toujours sous la main vos flacons indispensables. Enfants, futures mamans, seniors : à chacun ses ""essentiels"". - Inclus : 1 cahier ""spécial bébé"" + 1 cahier ""spécial femmes enceintes"".",979-1028517809,https://m.media-amazon.com/images/I/71pkMLk4S4L._SY522_.jpg,LEDUC; Edition spéciale (9 septembre 2020),Danièle Festy,Aromatherapie
Ma bible des huiles essentielles,29.9,"Découvrez le fabuleux potentiel des huiles essentielles pour votre santé, votre beauté, votre bien-être, pour une maison plus saine et plus agréable, et une cuisine plus digeste et plus parfumée !
Dans cette bible illustrée :
Apprivoisez les 75 huiles essentielles les plus efficaces : lavande officinale, tea tree, romarin à cinéole, gaulthérie couchée, hélichryse italienne, ylang-ylang… à chacune ses propriétés, ses indications, ses voies d’administration.
À respirer, à avaler, à diffuser, à appliquer sur la peau en compresses, en massages ou dans le bain, plus de 1 100 formules personnalisées pour traiter 250 maux du quotidien.",979-1028525651,https://m.media-amazon.com/images/I/81+JbdcyxuL._SY522_.jpg,LEDUC; Illustrated édition (11 octobre 2022),Danièle Festy,Aromatherapie
Le Petit guide des plantes médicinales,11.33,"Un petit guide tout en couleurs pour apprendre à reconnaître les plantes médicinales !
De nombreuses plantes médicinales sont à portée de main pour pouvoir se soigner le plus naturellement possible. Apprenez à les reconnaître : description, habitat, période de floraison, localisation, bienfaits, conseils pour la cueillette et la conservation... grâce à ces 70 fiches d&#39identification, les plantes médicinales n&#39auront plus de secrets pour vous !
Chaque fiche est illustrée avec un dessin très précis de la plante pour la reconnaître en un clin d&#39œil et éviter les erreurs d&#39identification.
D&#39un tout petit format, ce livre tient dans une poche pour être le compagnon idéal de toutes vos excursions.",978-2412055342,https://m.media-amazon.com/images/I/613bw6mixuL._SY522_.jpg,First; Illustrated édition (11 juin 2020),Morgane Peyrot,Aromatherapie
Le guide Terre vivante des huiles essentielles,14.31,"Le guide aroma le plus complet pour soigner toute la famille : 135 huiles essentielles et 600 synergies !

Le meilleur de l’aromathérapie ! |Parce que l’aromathérapie est une science jeune, mais particulièrement puissante, se soigner avec les huiles essentielles ne s’improvise pas ! Ce guide complet vous permettra de soigner toute la famille, du bébé au senior en en passant par le sportif, la femme enceinte ou allaitante, en toute sécurité, avec les conseils de Françoise Couic-Marinier d’une des meilleures expertes françaises, et des témoignages et protocoles utilisés en milieu hospitalier pour les maux courants (stress, anxiété, sommeil, cicatrisation…) voire plus pointus (accompagnement de chimio, aide à l’accouchement…).",978-2360985715,https://m.media-amazon.com/images/I/715A6Pjr5+L._SY522_.jpg,TERRE VIVANTE; 2e édition (29 septembre 2020),Françoise Dr Couic Marinier,Aromatherapie
Pierres et huiles essentielles: Le guide de l&#39alliance parfaite,19.75,"Découvrez le pouvoir des pierres allié à celui de l&#39aromathérapie
Le premier et UNIQUE livre combinant deux thérapies exceptionnelles !
Souhaitez-vous tirer parti du pouvoir des énergies naturelles pour vous guérir ?
Souhaitez-vous bénéficier des avantages physiques, émotionnels et spirituels qu’elles apportent ?
Aimeriez-vous y parvenir par le biais des pierres et des huiles essentielles ?
Vous avez peut-être entendu parler des propriétés étonnantes associées aux huiles essentielles et de leur influence sur notre bien-être physique, émotionnel et spirituel. Il est fort à parier néanmoins que vous n’ayez pas – ou peu- entendu parler de la façon dont les pierres peuvent nous affecter. Pourtant, elles sont tout autant capables d’influencer notre bien-être, sans oublier que",979-8813452314,https://m.media-amazon.com/images/I/61B-0DhraeL._SY522_.jpg,Independently published (3 mai 2022),Noémie XUEREF,Aromatherapie
Physiologie et huiles essentielles: Comment les huiles essentielles agissent sur les différents systèmes de l&#39organisme?,15.07,"Vous utilisez les huiles essentielles, mais vous souhaitez comprendre comment elles fonctionnent sur notre corps ?
Vous êtes étudiant en santé naturelle (naturopathie, ostéopathie, aromathérapie…) et vous souhaitez acquérir des bases solides dans l’utilisation des huiles essentielles en lien avec le fonctionnement du corps humain ?
Vous êtes utilisateur éclairé des huiles essentielles, et vous souhaitez mettre à jour vos connaissances en physiologie et en aromathérapie scientifique ?
Les réponses détaillées à ces questions et à beaucoup d’autres se trouvent dans ce livre, véritable ouvrage d’aromathérapie doublé d’un manuel de physiologie. Il présente les grandes fonctions physiologiques du corps humain d’un point de vue à la fois scientifique et abordable.

Pour chaque fonction, les huiles essentielles qui s’y rapportent sont présentées. Les auteurs explicitent le mode d’action des HE, en particulier la manière dont elles modulent le système en question, et donc le meilleur moyen de les utiliser d’un point de vue thérapeutique. Pour chaque pathologie, une préconisation pratique est proposée.",978-2100820771,https://m.media-amazon.com/images/I/71Vqj7-uRAL._SY522_.jpg,Dunod; Illustrated édition (23 février 2022),Arnaud Géa,Aromatherapie
Aromathérapie pour les soignants,36.0,"Ce livre propose une formation complète à l’utilisation professionnelle des huiles essentielles dans un contexte de soins réalisés par des soignants : médecins, infirmiers, aides-soignants, kinésithérapeutes, ergothérapeute, psychologues, etc. Manuel pratique, il aborde les différentes thématiques du soin en fonction des maux les plus fréquemment rencontrés dans le traitement de la santé au quotidien (anxiété, douleur intestinale, cicatrisation difficile, maux de tête, fatigue, etc.). Les huiles essentielles les plus adaptées sont décrites avec leurs synergies possibles. Préface d&#39Isabelle EL KHIARI, infirmière DE clinicienne, consultante en approches complémentaires en soin, Hôpitaux Universitaires Henri Mondor, APHP.",978-2100781263,https://m.media-amazon.com/images/I/71Uw9qIWlOL._SY522_.jpg,Dunod (23 octobre 2019),Anne-Laure Jaffrelo,Aromatherapie
"Je distille mes Huiles Essentielles : Tous les secrets pour réussir enfleurage et distillation, de la récolte à la conservation, avec 40 fiches de plantes détaillées (préparation, rendement...)",16.55,"Vous pouvez tout distiller (ou presque).
Vous voulez fabriquer, chez vous, vos propres huiles essentielles et eaux florales ? Vous êtes tombé sur le bon livre !

Dans ce guide richement détaillé et illustré, vous découvrirez :
- Tous les secrets de la réalisation des Huile Essentielle (Lavande, Eucalyptus, Citron, Oud, ...) -avec et SANS alambic-
- Comment confectionner une Eau Florale de qualité (Rose, Fleur d&#39Oranger, Jasmin...)
- Comment réaliser un enfleurage pour le savon, parfum... (Rose de Damas, Oeillets...)
- Des fiches techniques détaillées pour 40 plantes (les majeures) utilisées en médecine ou en parfumerie,
- La période de récolte optimale des plantes,
- Quelle partie distiller et quel rendement
- Comment extraire l&#39huile essentielle des résineux (Pin, Sapin),
- Les caractéristiques chimiques des huiles extraites,
- Les principales propriétés reconnues en naturopathie et phytothérapie de chaque plante,
- Comment confectionner des bougies, des parfums,",979-8395779342,https://m.media-amazon.com/images/I/71PHib5YGjL._SY522_.jpg,Independently published (28 mai 2023),Dr D MUL,Aromatherapie
