Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
Le Guide de l&#39Autodiscipline: Partez à la découverte des 9 principes souverains et maîtrisez l&#39art de tout réussir,18.88,"Vous avez envie de tout abandonner ? Vous êtes découragé car vous n’arrivez pas à atteindre vos objectifs ? Vous ne savez plus comment vous y prendre pour progresser et obtenir de vrais résultats ?

STOP ! Où que vous regardiez il y aura des obstacles qui retiendront votre progression ; quoi que vous fassiez vous rencontrerez des ennuis à dépasser, des obstacles à franchir ; c’est la même loi pour tous.

Pour affronter et surmonter les difficultés que cette loi impose, aller jusqu’au bout de ses rêves avec succès et effectuer des changements positifs dans sa vie, vous avez simplement besoin d’apprendre à développer une véritable autodiscipline et une redoutable progression personnelle.",979-8475591161,https://m.media-amazon.com/images/I/61jsrH03KNL._SY522_.jpg,Independently published (12 septembre 2021),Nathan Clémenceau,Arts martiaux
Le Guide de l&#39Autodiscipline: Partez à la découverte des 9 principes souverains et maîtrisez l&#39art de tout réussir,18.38,"Vous avez envie de tout abandonner ? Vous êtes découragé car vous n’arrivez pas à atteindre vos objectifs ? Vous ne savez plus comment vous y prendre pour progresser et obtenir de vrais résultats ?

STOP ! Où que vous regardiez il y aura des obstacles qui retiendront votre progression ; quoi que vous fassiez vous rencontrerez des ennuis à dépasser, des obstacles à franchir ; c’est la même loi pour tous.

Pour affronter et surmonter les difficultés que cette loi impose, aller jusqu’au bout de ses rêves avec succès et effectuer des changements positifs dans sa vie, vous avez simplement besoin d’apprendre à développer une véritable autodiscipline et une redoutable progression personnelle.",979-8475591161,https://m.media-amazon.com/images/I/61jsrH03KNL._SY522_.jpg,Independently published (12 septembre 2021),Nathan Clémenceau,Arts martiaux
Traité des cinq roues : Gorin-no-sho,12.0,"Au XVIe siècle, Miyamoto Musashi, samouraï invaincu par une vie de combats, maître ès armes et esprit de nombreux disciples, se retire dans une grotte quelques mois avant sa mort et rédige ce classique de la littérature universelle : Traité des Cinq Roues.
Ce guerrier nous donne en un texte lumineux l&#39essence des arts martiaux et le secret d&#39une stratégie victorieuse qui transcende la violence et devient art de vivre et d&#39agir. Attitude qui explique aujourd&#39hui les raisons des succès japonais dans tous les domaines.
Une leçon à méditer et à pratiquer : car l&#39esprit de l&#39art de l&#39épée peut s&#39appliquer à tous les gestes de la vie quotidienne.",978-2226018526,https://m.media-amazon.com/images/I/81KiE5+3EKL._SY522_.jpg,Albin Michel (31 août 1983),Musashi Miyamoto,Arts martiaux
"Préparation mentale gagnante: Gagner en confiance, dépasser ses peurs et repousser ses limites grâce à la méthode de Dépolarisation",19.45,"Vous n&#39arrivez pas à atteindre vos objectifs ? Vous avez l&#39impression de stagner ?
Vous êtes au top techniquement, tactiquement et physiquement mais vous perdez vos moyens en milieu compétitif ?
Ce livre est pour vous.
Il propose une méthode inédite, la Dépolarisation®, pour :
vous construire une identité de champion et éliminer la peur de l&#39échec ;
vaincre les freins émotionnels et libérer votre plein potentiel ;
renforcer votre confiance en vous pour devenir inarrêtable et réaliser vos rêves.",978-2416010446,https://m.media-amazon.com/images/I/71VA5AF+k6L._SY522_.jpg,EYROLLES (19 janvier 2023),Pierre David,Arts martiaux
Des plaies et des bosses: Des champs de bataille aux cages du MMA,5.38,"Tim Kennedy a un problème : il ne se sent jamais autant en vie que lorsqu&#39il est sur le point de mourir. Béret Vert, sniper de l&#39armée et champion de MMA dans le cadre de l&#39Ultimate Fighting Championship, Tim Kennedy a affronté des taureaux à mains nues, sauté en parachute, plongé dans les profondeurs de l&#39océan et parcouru le monde entier afin d&#39y traquer des talibans, des nazis ou des trafiquants d&#39êtres humains. Ce même homme s&#39est fait successivement renvoyer alors qu&#39il était policier, puis pompier ou encore secouriste, a engrossé deux femmes en l&#39espace de quatre jours et s&#39est fait tabasser par l&#39ensemble de ses collègues des forces spéciales pour n&#39avoir été qu&#39un « sale connard d&#39égoïste arrogant ». Dans son récit autobiographique Des plaies et des bosses, Tim Kennedy confie de quelle manière tous ces échecs l&#39ont façonné pour faire de lui l&#39homme qu&#39il est aujourd&#39hui. À travers des anecdotes aussi vivantes qu&#39ubuesques, il révèle tous les comportements stupides, violents et embarrassants dont il a fait preuve, mais aussi ses actes plus héroïques lors de missions de combat au plus fort de la guerre en Afghanistan ou lorsque Kaboul était submergée par les talibans, ainsi que son parcours en tant que professionnel du MMA. Avec Tim Kennedy, vous comprendrez que l&#39échec n&#39est pas une fin en soi, mais plutôt le premier pas vers ce qui permettra de révéler le meilleur de soi-même jusqu&#39à rencontrer le succès, quels qu&#39auront été les obstacles placés sur le chemin.",978-2377530717,https://m.media-amazon.com/images/I/81zFn0nqc6L._SY522_.jpg,NIMROD (18 janvier 2024),Tim Kennedy,Arts martiaux
Coffret L&#39art du samouraï,39.9,"Trois grands textes classiques de stratégie militaire, en version illustrée.

Lecture incontournable des stratèges orientaux depuis la nuit des temps, L&#39 Art de la guerre de Sun Tzu est probablement le traité de guerre et de science militaire le plus connu au monde. Pragmatique, il enseigne comment s‑assurer la victoire à moindre coût, grâce à toutes sortes de moyens – ruse, espionnage, mobilité, surprise... –, en s&#39adaptant à la stratégie de son adversaire. Véritable référence pour de nombreux leaders à travers l&#39Histoire, les techniques de résolution des conflits qu&#39il présente restent d&#39une incroyable actualité et sont facilement transposables à d&#39autres domaines, y compris à la stratégie d&#39entreprise, le commerce, ou même le sport.",978-2813225795,https://m.media-amazon.com/images/I/6174406psUL._SY522_.jpg,Les éditions Trédaniel; Illustrated édition (3 février 2022),Sun Tzu,Arts martiaux
Le Guide de l&#39Autodiscipline: Partez à la découverte des 9 principes souverains et maîtrisez l&#39art de tout réussir,18.73,"Vous avez envie de tout abandonner ? Vous êtes découragé car vous n’arrivez pas à atteindre vos objectifs ? Vous ne savez plus comment vous y prendre pour progresser et obtenir de vrais résultats ?

STOP ! Où que vous regardiez il y aura des obstacles qui retiendront votre progression ; quoi que vous fassiez vous rencontrerez des ennuis à dépasser, des obstacles à franchir ; c’est la même loi pour tous.

Pour affronter et surmonter les difficultés que cette loi impose, aller jusqu’au bout de ses rêves avec succès et effectuer des changements positifs dans sa vie, vous avez simplement besoin d’apprendre à développer une véritable autodiscipline et une redoutable progression personnelle.",979-8475591161,https://m.media-amazon.com/images/I/61jsrH03KNL._SY522_.jpg,Independently published (12 septembre 2021),Nathan Clémenceau,Arts martiaux
"Krav Maga, les bases de la self-défense: Programmes officiels des ceintures jaune et orange",16.51,"Entrez dans l&#39univers de la méthode de self-défense la plus réputée au monde, choisie par les policiers et les militaires de tous les continents. Le Krav Maga connaît un engouement extraordinaire et fait figure de phénomène dans le milieu des arts martiaux. Pas besoin d&#39apprendre des techniques compliquées pendant des années ni d&#39avoir un physique bodybuildé, le Krav Maga repose sur des mouvements réflexes et des principes d&#39efficacité qui en font une self-défense simple, facile d&#39accès et à la portée de tous. Dans ce véritable guide de self-défense, vous découvrirez des conseils, des astuces, et des dizaines de techniques simples d&#39auto-défense illustrées et détaillées pas à pas ainsi que leurs points clés.",978-2757605738,https://m.media-amazon.com/images/I/81SgL1SxskL._SY522_.jpg,AMPHORA; Illustrated édition (7 septembre 2023),Steve Schmitt,Arts martiaux
"Le courage du Cœur: Un parcours initiatique dans la sueur, le sang et les larmes",17.06,"Le livre ""Le Courage du Coeur"" de Clément Richard Gigout explore la voie du guerrier intérieur à travers les enseignements du Bujinkan, une école d&#39arts martiaux japonais fondée par Maître Masaaki Hatsumi.
Dans ce livre, l&#39auteur propose une réflexion profonde sur le sens de la vie et sur la manière de développer une force intérieure. L&#39ouvrage met l&#39accent sur l&#39importance de la compassion, de la persévérance et de l&#39humilité dans la voie du guerrier intérieur.
Clément Richard Gigout explore également les caractéristiques communes entre les principes du Bujinkan et les concepts de la médecine chinoise, du Taoïsme et du Bouddhisme. Ces principes peuvent être appliqués dans la vie quotidienne pour atteindre un état de présence mentale calme et développer une maîtrise de soi.",979-1069994904,https://m.media-amazon.com/images/I/71geQZBAitL._SY522_.jpg,Gigout Clément (13 juin 2022),Clément Richard Gigout,Arts martiaux
Shinkage-Ryu Sword Techniques: Traditional Japanese Martial Arts,10.39,,978-0870408878,https://m.media-amazon.com/images/I/6103T3yJEdL._SY522_.jpg,"Japan Times,The (1 mai 1993)",Tadashige Watanabe,Arts martiaux
