Nom,Prix,Description,Isbn,Photo,Editeur,Auteur,Categorie
,10.76,,,,,,Atlas et cartes
La France en perspectives: Imaginer 2050,25.0,"Imaginer la France de 2050. Imaginer les enjeux et les nouveaux équilibres socioéconomiques du pays. Dans quel environnement vivrons-nous dans un contexte de changement climatique ? Une réindustrialisation du pays est-elle possible ? Quel visage aura l&#39école et comment seront formés les travailleurs de demain ? Comment seront organisés les systèmes de santé ? Quels seront les défis démographiques et sociaux d&#39une France vieillissante ? Les auteurs, grâce à une cartographie riche de plus de 200 documents, répondent à toutes ces questions, dégagent les grandes tendances et ouvrent la réflexion sur les défis auxquels la France va être confrontée dans les 25 prochaines années.",978-2080427779,https://m.media-amazon.com/images/I/71-bTdbqRvL._SY522_.jpg,AUTREMENT (22 mai 2024),GILLI Frédéric,Atlas et cartes
,17.14,,978-2758540939,,Ign (26 avril 2017),,Atlas et cartes
,18.25,,,,,,Atlas et cartes
"Notre monde expliqué en 12 cartes - Un livre documentaire passionnant pour s&#39initier à la géopolitique, dès 10 ans",19.9,"Pourquoi les hommes se font-ils la guerre ? Pourquoi y a-t-il des pays riches et des pays pauvres ? Comment les États-Unis sont-ils devenus une superpuissance ?
Un tour du monde passionnant pour s&#39initier à la géopolitique.
Saviez-vous que l&#39Afrique est trois fois plus grande en vrai que sur les planisphères ? Que la Pologne a changé 10 fois en 4 siècles ?
La géographie est au centre de tout ! De notre histoire, des conflits, des tensions tenaces qui agitent certaines régions du monde. L&#39auteur s&#39est basé sur 30 années de reportages pour écrire son livre, adapté pour le jeune public.
Cartes à l&#39appui, on comprend l&#39actualité et comment géographie, histoire et politique sont indissociables. Pour chaque région, une carte légendée, des repères historiques, des zooms sur les grands enjeux conduisent de découverte en découverte.",978-2092492383,https://m.media-amazon.com/images/I/61ge2iNcy1S._SY522_.jpg,Nathan; Illustrated édition (21 octobre 2021),Tim Marshall,Atlas et cartes
,17.88,,978-2758547938,,Ign; 2e édition (9 mars 2020),,Atlas et cartes
Terrible Maps: Hilarious Maps for a Ridiculous World,20.4,"The joys of the world, one terrible map at a time – this is the ultimate gift book for the budding geographer or anyone who wants to have a laugh.
Ever wondered about the average jean colour across the United States? Or what ‘pedestrians’ look like in Denmark? What unites Brokenwind, Upton Snodsbury and Crackpot? And have you ever tried to take a train in Antarctica? Well Terrible Maps is the book for you!
Put together by the creator behind the tremendously popular social media feed, this is the ultimate humour book for the budding geographer in your life. From countries that eat their national animals to nations that have declared war on birds (and lost), Terrible Maps celebrates pointless cartography in all its glory. Don’t leave home without it!",978-0008641597,https://m.media-amazon.com/images/I/71A1EvZh8wL._SY522_.jpg,HarperCollins; 1er édition (12 octobre 2023),Michael Howe,Atlas et cartes
Bretagne Nord - Le sentier des douaniers GR34 (89028),13.84,,978-2758551270,https://m.media-amazon.com/images/I/813+c98RF0L._SY522_.jpg,Institut Geographique National (15 avril 2021),,Atlas et cartes
Atlas Mondial,13.64,"Un atlas à la fois complet, clair et synthétique. Un atlas qui va à l&#39essentiel. Une bonne compréhension de l&#39actualité nécessite une information précise : les événements majeurs qui ont fait l&#39histoire récente de chaque pays sont ici rappelés et actualisés. Accessible à tous, cet atlas accompagnera les élèves tout au long de leur scolarité.",978-2737389061,https://m.media-amazon.com/images/I/71Bmcv1qmUL._SY522_.jpg,OUEST FRANCE (25 août 2023),Patrick Mérienne,Atlas et cartes
Permis mer hauturier,38.1,"Cette carte est éditée par le SHOM à la demande du Ministère de l&#39Equipement, des Transports, du Logement, du Tourisme et de la Mer (Secrétariat d&#39Etat aux transports et à la mer, Direction du transport maritime, des ports et du littoral). Elle est exclusivement destinée à la préparation aux épreuves théoriques de navigation du permis hauturier. Son contenu, qui correspond à l&#39édition n° 2 de la carte 7033, établie dans le système géodésique ED50, n&#39évoluera pas, afin : de rester cohérent avec les différents documents pédagogiques édités pour la préparation à ce permis ; de permettre des exercices sur le report de positions obtenues au moyen de systèmes de navigation par satellites, rapportées au système géodésique mondial (WGS). Pour cette raison, cette carte spéciale ne doit pas être utilisée pour la navigation. Contrairement aux autres cartes marines, cette carte spéciale ne fait pas l&#39objet d&#39informations de tenue à jour diffusées dans les groupes hebdomadaires d&#39Avis aux Navigateurs. Pour répondre aux souhaits des utilisateurs, elle est éditée en deux versions strictement identiques quant au contenu (à l&#39exception du code à barres) : la version à plat, sous la référence 9999-SA, sur papier 150 g / m2 ; la version pliée, sous la référence 9999NSG, sur papier 110 g / m2. Il est nécessaire de bien préciser la version souhaitée lors de toute commande.",,https://m.media-amazon.com/images/I/91k8s0S3a0L._SY522_.jpg,Epshom; 1ère édition (30 juillet 2003),Cartes Epshom,Atlas et cartes
Massif du vercors,17.16,,978-2758554714,https://m.media-amazon.com/images/I/81cc7m6I4TL._SY522_.jpg,Ign; 3e édition (23 mai 2023),Collectif,Atlas et cartes
Carte NATIONAL Thaïlande,15.8,"Los mapas de carreteras de la colección National disfrutan de una escala detallada que se ha adaptado a cada país o región, ofreciendo una cartografía fiable, a la vez que clara, para facilitar su viaje y orientación. Gracias tanto a su actualización anual como a la gran diversidad de informaciones recogidas en sus signos convencionales, mediante pictogramas de fácil comprensión, los mapas National son una herramienta imprescindible, no solo para viajar con total seguridad, sino también, gracias a las informaciones turísticas que incorpora, para descubrir nuevos países o regiones. El Mapa National Tailandia, editado a escala 1/1 370 000, guarda además otros interesantes contenidos, tales como un índice de localidades, curiosidades turísticas y el plano de la ciudad de Bangkok. Incluye signos convencionales inglés, francés y tailandés.",978-2067172654,https://m.media-amazon.com/images/I/81UvRSLJi2L._SY522_.jpg,MICHELIN; 2014e édition (29 janvier 2020),Collectif Michelin,Atlas et cartes
NORMANDIE JOUR J - 6 JUIN 1944,15.7,"L&#39IGN édite la carte Normandie Jour J – 6 juin 1944 pour commémorer son 80ème anniversaire. Cette carte, à l&#39échelle du 1 : 100 000 (1 cm = 1 km) présente les plages du débarquement, les positions des différents corps d&#39armée et l&#39évolution du front du 06 juin au 18 août 1944. Vous y trouverez également des informations sur les sites touristiques du conservatoire du littoral, sur les vestiges et cimetières militaires ainsi que les musées existants. Réalisée en partenariat avec le comité du 75ème anniversaire Bataille de Normandie-terre de liberté, cette carte propose une légende et des informations éditoriales en trois langues : français. anglais et allemand.",978-2758555810,https://m.media-amazon.com/images/I/71zlQiECcpL._SY522_.jpg,IGN; 2e édition (13 janvier 2024),IGN,Atlas et cartes
GR70 - Chemin de stevenson,19.8,IGN Chemin de Stevenson - Carte topographique,978-2758552536,https://m.media-amazon.com/images/I/81IWrF1D61L._SY522_.jpg,Ign; 2e édition (5 mars 2022),Collectif,Atlas et cartes
Atlas mondial de l&#39eau: Défendre et protéger notre bien commun,15.28,"L&#39eau est la ressource la plus précieuse sur la Terre. Irremplaçable pour l&#39homme, l&#39eau est pourtant menacée, parfois mal gérée, souvent inaccessible. Comment donner un accès à l&#39eau pour tous ? Cet atlas propose un tour d&#39horizon autour de divers aspects : - L&#39eau, ressource vitale, abondante mais mal répartie, qui révèle des inégalités sociales et de genre. - L&#39eau, bien commun menacé par la surexploitation, les pollutions agricoles, industrielles et urbaines. - Préserver les ressources en eau et leur qualité : un défi sanitaire et social, économique et environnemental, mais aussi et surtout un choix politique. Cette nouvelle édition, grâce aux plus de 100 cartes et schémas mis à jour, dresse un tableau complet des défis auxquels le monde est aujourd&#39hui confronté pour une meilleure gestion de l&#39eau.",978-2746763012,https://m.media-amazon.com/images/I/71jae55iQTL._SY522_.jpg,AUTREMENT; 4e édition (16 février 2022),David Blanchon,Atlas et cartes
Atlas des routes de France 2024,9.61,"Le compagnon indispensable pour sillonner les routes de France !
Ouvrage très complet, pratique et facile à utiliser, ce nouveau millésime inclut :

- 200 sites touristiques exceptionnels
- 28 plans détaillés des grandes villes
- Index de 6000 communes
- Plans des grandes agglomérations",978-2263183614,https://m.media-amazon.com/images/I/71PQZDPxWlL._SY522_.jpg,Solar (25 mai 2023),Collectif,Atlas et cartes
943 - FRANCE SUD OUEST 2024,18.59,,978-2758555742,https://m.media-amazon.com/images/I/61NL5R-8RgL._SY522_.jpg,IGN; 34e édition (12 avril 2024),COLLECTIF,Atlas et cartes
Massif du Sancy Parc naturel régional Volcans d&#39Auvergne,7.23,SERIE TOP 25 Pour randonner en toute sécurité et découvrir l&#39ensemble du littoral et des massifs forestiers et montagneux. Echelle 1 : 25 000. Accédez gratuitement par QR code à différents services pour préparer vos activités de plein air.,978-2758551492,https://m.media-amazon.com/images/I/81sAR6VBHkL._SY522_.jpg,Ign; 6e édition (24 février 2021),Collectif,Atlas et cartes
944 - FRANCE SUD EST 2024,6.77,,978-2758555759,https://m.media-amazon.com/images/I/61ygDE-oznL._SY522_.jpg,IGN; 34e édition (12 avril 2024),COLLECTIF,Atlas et cartes
LA TRAVERSEE DES PYRENEES,16.64,,978-2758551294,https://m.media-amazon.com/images/I/81HN0OawiHL._SY522_.jpg,IGN (2 juin 2021),COLLECTIF,Atlas et cartes
,12.26,,978-2758543336,,Ign; 5e édition (22 mai 2019),,Atlas et cartes
Le Grand atlas géographique du monde (5e ED),59.95,"Un tour du monde en 400 pages avec cet ouvrage de référence, véritable invitation au voyage et porte d’entrée sur la géographie plurielle de notre planète bleue.
Vendu en France à plus de 100 000 exemplaires, cet atlas indispensable à tous ceux qui désirent découvrir le monde qui les entoure a été conçu par les plus grands spécialistes internationaux de cartographie à l&#39Istituto Geografico De Agostini, dont Libreria Geografica a recueilli l&#39expérience. Grâce aux méthodes de pointe de la cartographie numérique, les cartes bénéficient d’une précision exceptionnelle. L’ouvrage rassemble 326 pages de cartes physiques et politiques, des cartes thématiques de la France : géologie, météorologie, économie, démographie… ; 48 pages de photographies satellites de la Terre et de l’espace, un tableau d&#39assemblage pour faciliter la consultation des cartes par zone géographique ; une riche toponymie exploitant les noms locaux officiels ; un planisphère indiquant les fuseaux horaires terrestres ; un index répertoriant 120 000 noms de lieux ; un glossaire présentant près de 1 000 termes géographiques.",978-2344055298,https://m.media-amazon.com/images/I/81S--PQ3XpL._SY522_.jpg,Glénat Livres; Illustrated édition (19 octobre 2022),Collectif,Atlas et cartes
946 - FRANCE NORD EST 2024 PLASTIFIEE,5.06,,978-2758555773,https://m.media-amazon.com/images/I/61A1vyurmDL._SY522_.jpg,IGN; 20e édition (12 avril 2024),COLLECTIF,Atlas et cartes
3531OT Megeve Col des Aravis,5.44,,978-2758553489,https://m.media-amazon.com/images/I/81SH3ceSCcL._SY522_.jpg,Ign (23 janvier 2023),Collectif,Atlas et cartes
,15.69,,978-2758551539,,Ign; 5e édition (1 janvier 2021),,Atlas et cartes
Bretagne Sud - Le sentier des douaniers GR34 (89029),19.9,,978-2758551287,https://m.media-amazon.com/images/I/81pHeMmnmYL._SY522_.jpg,Institut Geographique National (15 avril 2021),IGN,Atlas et cartes
Le grand guide de l&#39Astronomie (8e ed),9.27,"Partez à la découverte du cosmos avec ce guide très complet !
Galaxies, constellations, étoiles et systèmes solaires… Le Grand guide de l’Astronomie vous invite à découvrir l’espace. Cet ouvrage incontournable est une nouvelle édition entièrement mise à jour du Grand Atlas de l’Astronomie. Il a été élaboré par un collectif d’astrophysiciens et préfacé par le plus célèbre d’entre eux, Hubert Reeves. Peut-on observer des supernovas avec un télescope amateur ? Pourquoi Uranus a-t-elle cette couleur bleuâtre ? Comment reconnaître la constellation d’Andromède ? Quelles découvertes découlent de la mission InSight et de ses recherches sur la planète Mars ? Plongez dans ce guide aux images envoûtantes, fournies par les satellites de la NASA, afin de déceler les secrets de l’univers.

Ce",978-2344057957,https://m.media-amazon.com/images/I/81anUrduWTL._SY522_.jpg,Glénat Livres; 8e édition (19 avril 2023),Collectif,Atlas et cartes
